query_id,query,claim_id,claim_rank,claim_ar,support_status,support_score,citation_valid,qa_valid,cited_evidence_ids,valid_evidence_ids,source_qa_ids,valid_source_qa_ids,supporting_relations,supporting_evidence,verification_reason,best_evidence_preview
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,trial_query_085_claim_01,1,الأعراض المذكورة قد تكون مرتبطة بحالات تتطلب تقييمًا طبيًا,unsupported,0.1111,False,False,[],[],[],[],"[""أغذية غنية بالحديد والفولات وفيتامين ب12 --ABSORPTION_IMPROVED_BY--> أطعمة غنية بفيتامين ج"", ""أغذية غنية بالحديد والفولات وفيتامين ب12 --ABSORPTION_REDUCED_BY--> الشاي والقهوة والكالسيوم مع الحديد""]","[{""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_00594"", ""evidence_text"": ""تناول الأطعمة الغنية بالحديد مع أطعمة غنية بفيتامين ج مثل البرتقال والطماطم والفراولة قد يحسن الامتصاص."", ""relation"": ""أغذية غنية بالحديد والفولات وفيتامين ب12 --ABSORPTION_IMPROVED_BY--> أطعمة غنية بفيتامين ج""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_00594"", ""evidence_text"": ""ينصح بتجنب تناول الأطعمة الغنية بالحديد مع القهوة أو الشاي أو الأطعمة الغنية بالكالسيوم لأنها قد تمنع امتصاص الحديد."", ""relation"": ""أغذية غنية بالحديد والفولات وفيتامين ب12 --ABSORPTION_REDUCED_BY--> الشاي والقهوة والكالسيوم مع الحديد""}]",no sufficient lexical evidence support in the retrieved subgraph,تناول الأطعمة الغنية بالحديد مع أطعمة غنية بفيتامين ج مثل البرتقال والطماطم والفراولة قد يحسن الامتصاص.
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,trial_query_086_claim_01,1,وصف 20 إبرة حديد خلال شهر آمن إذا كانت مبنية على نتائج التحاليل,supported,0.5385,True,True,"[""E6""]","[""E6""]","[""ahd5k_01162""]","[""ahd5k_01162""]","[""نقص حديد --DIAGNOSED_BY--> فحص تحاليل مخبرية""]","[{""evidence_id"": ""E6"", ""qa_id"": ""ahd5k_01162"", ""evidence_text"": ""فحص التحاليل المخبرية مرتبط بتشخيص نقص حديد"", ""relation"": ""نقص حديد --DIAGNOSED_BY--> فحص تحاليل مخبرية""}]",claim terms overlap retrieved evidence and cited/source ids are valid,فحص التحاليل المخبرية مرتبط بتشخيص نقص حديد
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,trial_query_086_claim_02,2,يجب تقييم الجرعة بناءً على نسبة الهيموغلوبين ومخزون الحديد في الجسم,supported,0.5455,True,True,"[""E6""]","[""E6""]","[""ahd5k_01162""]","[""ahd5k_01162""]","[""نقص حديد --DIAGNOSED_BY--> فحص تحاليل مخبرية""]","[{""evidence_id"": ""E6"", ""qa_id"": ""ahd5k_01162"", ""evidence_text"": ""فحص التحاليل المخبرية مرتبط بتشخيص نقص حديد"", ""relation"": ""نقص حديد --DIAGNOSED_BY--> فحص تحاليل مخبرية""}]",claim terms overlap retrieved evidence and cited/source ids are valid,فحص التحاليل المخبرية مرتبط بتشخيص نقص حديد
trial_query_087,أود معرفة ما أسباب تدلي المستقيم؟وطرق العلاج؟,trial_query_087_claim_02,2,البيانات المتاحة تركز على أمراض أخرى مثل دوالي الخصية أو التهابات المسالك البولية، ولا تتضمن معلومات مباشرة عن تدلي المستقيم,unsupported,0.25,True,True,[],[],[],[],"[""دوالي الخصية --TREATED_BY--> العلاج بالجراحة"", ""العلاج بالجراحة --TREATS--> دوالي الخصية"", ""التهاب --HAS_SYMPTOM--> الدم""]","[{""evidence_id"": ""E5"", ""qa_id"": ""ahd5k_00261"", ""evidence_text"": ""العلاج بالجراحة"", ""relation"": ""دوالي الخصية --TREATED_BY--> العلاج بالجراحة""}, {""evidence_id"": ""E6"", ""qa_id"": ""ahd5k_00261"", ""evidence_text"": ""العلاج بالجراحة"", ""relation"": ""العلاج بالجراحة --TREATS--> دوالي الخصية""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_00666"", ""evidence_text"": ""التهاب في المثانة أو الإحليل يسبب خروج الدم"", ""relation"": ""التهاب --HAS_SYMPTOM--> الدم""}]",no sufficient lexical evidence support in the retrieved subgraph,العلاج بالجراحة
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,trial_query_088_claim_01,1,يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية,supported,0.8889,True,True,"[""E1"", ""E3""]","[""E1"", ""E3""]","[""ahd5k_01190"", ""ahd5k_01190""]","[""ahd5k_01190"", ""ahd5k_01190""]","[""الجلد المترهل --TREATED_BY--> الجراحة التجميلية"", ""الجراحة التجميلية --TREATS--> الجلد المترهل""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01190"", ""evidence_text"": ""يمكن شده بممارسة الرياضة أو بالجراحة التجميلية"", ""relation"": ""الجلد المترهل --TREATED_BY--> الجراحة التجميلية""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_01190"", ""evidence_text"": ""يمكن شده بممارسة الرياضة أو بالجراحة التجميلية"", ""relation"": ""الجراحة التجميلية --TREATS--> الجلد المترهل""}]",claim terms overlap retrieved evidence and cited/source ids are valid,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,trial_query_088_claim_02,2,يمكن شد الجلد المترهل في منطقة البطن بممارسة الرياضة,supported,0.8889,True,True,"[""E1"", ""E3""]","[""E1"", ""E3""]","[""ahd5k_01190"", ""ahd5k_01190""]","[""ahd5k_01190"", ""ahd5k_01190""]","[""الجلد المترهل --TREATED_BY--> الجراحة التجميلية"", ""الجراحة التجميلية --TREATS--> الجلد المترهل""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01190"", ""evidence_text"": ""يمكن شده بممارسة الرياضة أو بالجراحة التجميلية"", ""relation"": ""الجلد المترهل --TREATED_BY--> الجراحة التجميلية""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_01190"", ""evidence_text"": ""يمكن شده بممارسة الرياضة أو بالجراحة التجميلية"", ""relation"": ""الجراحة التجميلية --TREATS--> الجلد المترهل""}]",claim terms overlap retrieved evidence and cited/source ids are valid,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,trial_query_089_claim_01,1,تضخم الطحال يمكن أن يسبب تضخمًا في الأرداف,supported,0.25,True,True,"[""E1""]","[""E1""]","[""ahd5k_00647""]","[""ahd5k_00647""]","[""تضخم --HAS_SYMPTOM--> تضخم في الارداف""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_00647"", ""evidence_text"": ""تضخم في الارداف"", ""relation"": ""تضخم --HAS_SYMPTOM--> تضخم في الارداف""}]",claim terms overlap retrieved evidence and cited/source ids are valid,تضخم في الارداف
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,trial_query_089_claim_02,2,الالتهاب يمكن أن يسبب التعب,supported,0.2,True,True,"[""E2"", ""E3""]","[""E2"", ""E3""]","[""ahd5k_03872""]","[""ahd5k_03872""]","[""التهاب --HAS_SYMPTOM--> تعب"", ""تعب --SYMPTOM_OF--> التهاب""]","[{""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_03872"", ""evidence_text"": ""اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام"", ""relation"": ""التهاب --HAS_SYMPTOM--> تعب""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_03872"", ""evidence_text"": ""اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام"", ""relation"": ""تعب --SYMPTOM_OF--> التهاب""}]",claim terms overlap retrieved evidence and cited/source ids are valid,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_01,1,الكورتيزونات تُستخدم في علاج شلل العصب السابع,supported,0.8571,True,True,"[""E1""]","[""E1""]","[""ahd5k_01221""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> الكورتيزونات""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01221"", ""evidence_text"": ""الكورتيزونات"", ""relation"": ""شلل العصب السابع --TREATED_BY--> الكورتيزونات""}]",claim terms overlap retrieved evidence and cited/source ids are valid,الكورتيزونات
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_02,2,مضادات الالتهاب تُستخدم في علاج شلل العصب السابع,supported,0.875,True,True,"[""E2""]","[""E2""]","[""ahd5k_01221""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> مضادات الالتهاب""]","[{""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_01221"", ""evidence_text"": ""مضادات الالتهاب"", ""relation"": ""شلل العصب السابع --TREATED_BY--> مضادات الالتهاب""}]",claim terms overlap retrieved evidence and cited/source ids are valid,مضادات الالتهاب
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_03,3,مضادات الفيروسات تُستخدم في علاج شلل العصب السابع,supported,0.875,True,True,"[""E4""]","[""E4""]","[""ahd5k_01221""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> مضادات الفيروسات""]","[{""evidence_id"": ""E4"", ""qa_id"": ""ahd5k_01221"", ""evidence_text"": ""مضادات الفيروسات"", ""relation"": ""شلل العصب السابع --TREATED_BY--> مضادات الفيروسات""}]",claim terms overlap retrieved evidence and cited/source ids are valid,مضادات الفيروسات
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_04,4,العلاج الطبيعي يُستخدم في علاج شلل العصب السابع,supported,0.875,True,True,"[""E3""]","[""E3""]","[""ahd5k_01221""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> العلاج الطبيعي""]","[{""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_01221"", ""evidence_text"": ""العلاج الطبيعي"", ""relation"": ""شلل العصب السابع --TREATED_BY--> العلاج الطبيعي""}]",claim terms overlap retrieved evidence and cited/source ids are valid,العلاج الطبيعي
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_05,5,العلاج بالإبر الصينية يُستخدم في علاج شلل العصب السابع,supported,0.8889,True,True,"[""E5""]","[""E5""]","[""ahd5k_01221""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> العلاج بالإبر الصينية""]","[{""evidence_id"": ""E5"", ""qa_id"": ""ahd5k_01221"", ""evidence_text"": ""العلاج بالإبر الصينية"", ""relation"": ""شلل العصب السابع --TREATED_BY--> العلاج بالإبر الصينية""}]",claim terms overlap retrieved evidence and cited/source ids are valid,العلاج بالإبر الصينية
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,trial_query_091_claim_01,1,تجنب تناول مضاد حيوي مثل زييثرون مجددًا في حال حدوث حساسية شديدة,supported,0.3333,True,True,"[""E1""]","[""E1""]","[""ahd5k_01231""]","[""ahd5k_01231""]","[""حساسية --TREATED_BY--> مضاد الهيستامين""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01231"", ""evidence_text"": ""استخدمي مضاد هيسامين وكورتيزون موضعي"", ""relation"": ""حساسية --TREATED_BY--> مضاد الهيستامين""}]",claim terms overlap retrieved evidence and cited/source ids are valid,استخدمي مضاد هيسامين وكورتيزون موضعي
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,trial_query_091_claim_02,2,استخدام مضاد الهيستامين مع كورتيزون موضعي لعلاج الحساسية الشديدة,supported,0.3333,True,True,"[""E1"", ""E2""]","[""E1"", ""E2""]","[""ahd5k_01231""]","[""ahd5k_01231""]","[""حساسية --TREATED_BY--> مضاد الهيستامين"", ""حساسية --TREATED_BY--> كورتيزون""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01231"", ""evidence_text"": ""استخدمي مضاد هيسامين وكورتيزون موضعي"", ""relation"": ""حساسية --TREATED_BY--> مضاد الهيستامين""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_01231"", ""evidence_text"": ""استخدمي مضاد هيسامين وكورتيزون موضعي"", ""relation"": ""حساسية --TREATED_BY--> كورتيزون""}]",claim terms overlap retrieved evidence and cited/source ids are valid,استخدمي مضاد هيسامين وكورتيزون موضعي
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,trial_query_091_claim_03,3,إجراء تحليل لتحديد حساسية المضادات الحيوية بعد تفاعل شديد,supported,0.3333,True,True,"[""E1""]","[""E1""]","[""ahd5k_01231""]","[""ahd5k_01231""]","[""حساسية --TREATED_BY--> مضاد الهيستامين""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01231"", ""evidence_text"": ""استخدمي مضاد هيسامين وكورتيزون موضعي"", ""relation"": ""حساسية --TREATED_BY--> مضاد الهيستامين""}]",claim terms overlap retrieved evidence and cited/source ids are valid,استخدمي مضاد هيسامين وكورتيزون موضعي
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,trial_query_092_claim_01,1,الحساسية قد تسبب أعراض مثل السعال والبلغم [E1],supported,0.25,True,True,"[""E1""]","[""E1""]","[""ahd5k_00970""]","[""ahd5k_00970""]","[""حساسية --HAS_SYMPTOM--> سعال""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_00970"", ""evidence_text"": ""هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم"", ""relation"": ""حساسية --HAS_SYMPTOM--> سعال""}]",claim terms overlap retrieved evidence and cited/source ids are valid,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,trial_query_092_claim_02,2,الحساسية قد تؤدي إلى ضيق تنفس [E3],supported,0.7143,True,True,"[""E3""]","[""E3""]","[""ahd5k_00683""]","[""ahd5k_00683""]","[""حساسية --HAS_SYMPTOM--> ضيق تنفس""]","[{""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_00683"", ""evidence_text"": ""ضيق تنفس وسرعة التعب وقلق"", ""relation"": ""حساسية --HAS_SYMPTOM--> ضيق تنفس""}]",claim terms overlap retrieved evidence and cited/source ids are valid,ضيق تنفس وسرعة التعب وقلق
trial_query_093,لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب. كما أخبركم أني مريصة بالقلب (مشكل في صمامتين),trial_query_093_claim_01,1,صعوبة التنفس العميق قد تكون مرتبطة بفقر الدم [E3],supported,0.2222,True,True,"[""E3""]","[""E3""]","[""ahd5k_02546""]","[""ahd5k_02546""]","[""فقر الدم --HAS_SYMPTOM--> الم المعدجة""]","[{""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_02546"", ""evidence_text"": ""أحيانا الم في المعدة كسل وخمول اضطرابات في النوم"", ""relation"": ""فقر الدم --HAS_SYMPTOM--> الم المعدجة""}]",claim terms overlap retrieved evidence and cited/source ids are valid,أحيانا الم في المعدة كسل وخمول اضطرابات في النوم
