differential_id,cohort,query_id,query,reference_answer,generation_mode,cited_evidence,evidence_qa_ids,verification_status,support_score,question_relevance,failed_checks,differential_type,automatic_citation_valid,automatic_verifier_supported,review_decision,safety_error_types,reviewer_notes,reviewer_type,candidate_claim,candidate_citations,closest_baseline_claim,closest_baseline_similarity
ahd_reference_100:evalv1_036:1,ahd_reference_100,evalv1_036,زوجة تبلغ 31 وتعاني مِم صداع شديد بالرأس وصف لها الطبيب المعالج دواء relpax وتستعمله بشكل يومي . هل هذا الاستعمال اليومي له تأثير على صحتها على طول المدة وشكرا,الدواء ينتمى لمجموعةEletriptanلعلاج الصداع النصفى واعراضه الجانبية بسيطة مثل الدوخة وزغللة العينين والغثيان وعدم تحمل الاضاء المبهرة او الاصوات العالية ولكن على طول فترة الاستعمال ينصح بعمل تحليل لكرات الدم البيضاء كل ثلاثة شهور,structured_claims_v3_1,إن الصداع الشديد يعتبر من علامات ارتفاع ضغط الدم ولكن يجب العلم أنه لا يمكن تشخيص هذا المرض من قراءة واحدة مع العلم أن الاكتشاف المبكر مهم للغاية ولكن إذا كان ضغط الدم مرتفع فقد يطلب منك الطبيب فحص الضغط لديك على مدى بضعة أسابيع لمعرفة ما إذا كان الرقم مرتفع أو أنه سيعود إلى المستويات الطبيعية.,ahd10k_07583,supported,0.75,0.671967,,not_produced_by_baseline,true,true,,,,,الصداع الشديد قد يكون علامة على ارتفاع ضغط الدم، ويجب فحص ضغط الدم على مدى بضعة أسابيع لتحديد ما إذا كان الرقم مرتفعًا أم لا.,E1,استخدام دواء Relpax بشكل يومي قد يسبب تأثيرات صحية غير معروفة على المدى الطويل,0.278607
ahd_reference_100:evalv1_046:1,ahd_reference_100,evalv1_046,castor.oil مادا يستخدم هدا الدواء وكيف الطريقه,يستخدم بشكل أساسي كملين في علاج حالات الامساك ولتفريغ الامعاء قبل التصوير او العمل الجراحي الجرعة للبالغين كملين في حالات الإمساك هي 15 مل تؤخذ قبل النوم الجرعة للبالغين لتفريغ الامعاء هي 60 مل تؤخذ قبل النوم,structured_claims_v3_1,حضر قائمة من المواد المفيدة لإزالة الشامات بشكل طبيعي. القرنبيط، والثوم، والأناناس، وزيت الخروع، والعسل، وجذوع التينة والماء الحار بالخلّ التي تعتبر فعّالة في إزالة الشامة. اختر فقط مادة واحدة من المواد المذكورة. 3. حضر عصير القرنبيط في الخلاط. افركي العصير على الشامة بشكل يومي حتى يتقشّر الجلد طبيعيا. 4. قومي بطحن بعض قطع الثوم لتحصلي على معجون. ضعي المعجون على الشامة وغطّيه بضمادة. قومي بهذا في الليل ثم ازيلي الضماد في الصباح التالي. 5. قم بصنع عصير أناناس يوميا. ضع العصير إلى الشامة حتى تضعف وتختفي. 6. قومي بتدليك زيت خروع على الشامة بلطف لبضعة أيام حتى تضعف بشكل تدريجي وتختفي. . 7- ضعي خلّ شراب التفاح على الشامة بقطعة قطن ثمّ دعيه لمدة دقائق كي يجف ، ثمّ اشطفيه بالماء البارد,ahd10k_08330,supported,0.642857,0.778618,,not_produced_by_baseline,true,true,,,,,يُستخدم زيت الخروع لتقليل الشامات الجلدية عن طريق تدليكها بلطف لبضعة أيام حتى تضعف وتختفي.,E2,يُستخدم زيت الخروع لتدليك الشامة لتضعف وتختفي.,0.636364
ahd_reference_100:evalv1_050:1,ahd_reference_100,evalv1_050,هل الخصية اليسرى دائما اق ارتفاع من اليمنى,في العادة تكون الخصية اليسرى مرتفعة أكثر قليلا من الخصية اليمنى، ولكن هناك اختلافات شخصية كثيرة.,structured_claims_v3_1,اختلاف ارتفاع الخصيتين عادي، وحالتك عادية ولا داعي للقلق.,ahdqa_0463794,supported,1.0,0.83125,,not_produced_by_baseline,true,true,,,,,اختلاف ارتفاع الخصيتين عادي ولا داعي للقلق.,E2,الاختلاف في ارتفاع الخصيتين أمر طبيعي في كثير من الحالات.,0.612245
ahd_reference_100:evalv1_052:1,ahd_reference_100,evalv1_052,لدي ألم في رأسي من الخلف حتى الامام من الجهة اليسرى وكثيرا ما تأتيني هذه النوبات أحيانا بعد أيام من زوال الألم يصاحب ذلك خروج الدم من أنفي ويصل هذه...,اختي العزيزة ان الاعراض التي تتكلمين عنها قد تكون نتيجة ارتفاع ضغط الدم فلو حبذا لو راجعتي طبيب ليقيس لك الضغط ويتاكد من حالتكي فان كان ضغطكي طبيعي فهناك اسباب اخرى كالصداع النصفي وله علاج باذن بالله ولكن بما انه تعانين من نزف من الانف فانا ارجح الاحتمال الاول وشكر,structured_claims_v3_1,اسباب كثيرة ممكن ان تسبب الم الرأس وهذا ما يجب البحث عنه لمعرفة السبب ، من الاسباب مشاكل النظر ، التهاب الجيوب الانفية ، شد عضلي ، ارتفاع ضغط الدم ، الشقيقة ، واسباب اخرى لذا يجب معرفة وضعك الصحي وما ان كنت تعاني من احد الاسباب المذكورة,ahd10k_06668,supported,0.75,0.64514,,not_produced_by_baseline,true,true,,,,,قد تكون أسباب الألم في الرأس متعددة، منها مشاكل النظر، التهاب الجيوب الأنفية، شد عضلي، ارتفاع ضغط الدم، أو الشقيقة، ويجب البحث عنها لتحديد السبب.,E4,التهاب الجيوب الأنفية قد يسبب نزيف أنفي مع ألم في الرأس.,0.39196
ahd_reference_100:evalv1_056:1,ahd_reference_100,evalv1_056,سؤال هل فعلن ان اهداب قناة فالوب تكون كسلانه؟كيف اعرف ذلك؟هل فيه علاج لها؟,"يتأثر عبور الحيوانات المنوية في قناة فالوب بكل من: انقباضات عضلات قناة فالوب. نشاط الأهداب. تدفق الإفرازات فيها. على الرغم من أن الأهمية النسبية لهذه الآليات لا تزال غير واضحة، إلا أن هناك دليل على أن نشاط الأهداب قد يلعب الدور المهيمن في نقل الأمشاج والأجنة، كما أن الأهداب وحدها قادرة على نقل البويضة إلى موقع الإخصاب، لذلك تعاني النساء المصابات ""بمتلازمة الأهداب غير المتحركة"" أو الكسلانة أو متلازمة كارتاجينر، من ضعف الخصوبة، ويمكن معرفة إصابتك بهذه المتلازمة أم لا عن طريق استشارة الطبيب المختص كما أنه سيصف لك علاج تلف اهداب قناة فالوب. للمزيد: تقنيات المساعدة على الإنجاب كل ما تريد ان تعرفه عن الاخصاب الاصطناعي (IVF) او اطفال الانابيب",structured_claims_v3_1,استسقاء قناة فالوب هو انسداد قناة فالوب بسائل مائي، تحدث هذه الحالة عادةً بسبب: عدوى سابقة في الحوض أو عن طريق الاتصال الجنسي. حالة مثل التهاب بطانة الرحم، أو جراحة سابقة. على الرغم من أن بعض النساء لا يعانين من أي أعراض، فقد يعاني البعض الآخر من ألم مستمر أو متكرر في أسفل البطن أو إفرازات مهبلية غير عادية. ويكون علاج استسقاء قناة فالوب أوعلاج استسقاء البوقين عن طريق علاج انسداد قناة فالوب وذلك عن طريق: جراحة لإزالة الأنابيب المصابة. إصلاح الأنابيب المسدودة. المعالجة بالتصليب. للمزيد: هل يحدث الحمل بقناة فالوب واحدة ؟,ahdqa_0647694,supported,0.818182,0.423333,,not_produced_by_baseline,true,true,,,,,يُعالج انسداد قناة فالوب عادةً جراحة لإزالة الأنابيب المصابة أو إصلاحها أو بالتصليب.,E4,الانسداد في قناة فالوب غالباً ما يكون نتيجة لالتهاب أو إصابة سابقة,0.534247
ahd_reference_100:evalv1_060:1,ahd_reference_100,evalv1_060,السلام عليكم ..... انا اعاني من الاستيقاظ بعد النوم لثلاث ساعات ثم اخلد للنوم مرة اخرى . هل هذا قد يؤثر على النمو؟,للاسف نعم يؤثر على النمو رجاء استبعاد اﻻسباب النفسية وتجنب شرب المنبهات ليﻻ و عمل تحليل غدة درقية,structured_claims_v3_1,لا يؤثر علي النمو ولكن الاحلام والنوم المريح يجي مع النوم الطويل,ahdqa_0136654,supported,0.555556,0.888889,,not_produced_by_baseline,true,true,,,,,لا يؤثر الاستيقاظ بعد النوم لثلاث ساعات على النمو.,E2,لا يؤثر النوم المتقطع على النمو.,0.666667
ahd_reference_100:evalv1_062:1,ahd_reference_100,evalv1_062,"عندي ورم صلب في فروة الراس منذ 3 سنوات الى الان بينمو ببطئ وبيسبب صداع شديد لو لمسته او اتخبطت او اي حركة قريبة من مكان وجود الكتلة الصلبة ,مع...",يجب مبدئيا معاينة هذا الورم لمعرفة طبيعته هل هو ورم فعلا أم كيس دهني أم ورم دهني؟من الممكن تصوير المنطقة المصابة من الرأس للمعاينة عن بعد أيضا,structured_claims_v3_1,تحياتي لك لاداعي للقلق ولكن هذا الورم لايسبب هذه الأعراض ولابد من عمل الفحوصات الطبية مثل تحليل صوره الدم الكامله لأنه قد يكون هنالك انيميا تسبب هذه الأعراض أو قد يكون هنالك مشاكل في ضغط الدم فيجب اولا عمل الفحوصات لمعرفة السبب وأخذ العلاج المناسب,ahd10k_00769,supported,0.538462,0.758947,,not_produced_by_baseline,true,true,,,,,يجب إجراء فحوصات طبية شاملة مثل تحليل دم كامل لتحديد سبب الصداع المرتبط بالكتلة الصلبة.,E2,يُنصح بإجراء فحوصات دم كاملة لتحديد وجود أي انيميا أو اضطراب ضغط دم,0.447368
ahd_reference_100:evalv1_067:1,ahd_reference_100,evalv1_067,من فترة بعانى من ضيق ف التنفس وبحس بضغط ع صدرى واما اتحرك او اعمل مجهود حتى لو خفيف مجرد مشى مثلا بحس بدوخة و نفسى بيروح,إذا كنت لا تعاني من أي مشاكل صحية، من الأفضل المتابعة مع معالج نفسي لعلاج الأسباب النفسية لضيق التنفس والتوتر,structured_claims_v3_1,يجب اولا قياس الضغط لانه من المحتمل ان تكون هذه اعراض انخفاض في ضغط الدم ، و ينصح بزيارة طبيب مختص للقيام بالفحوصات اللازمة,ahdqa_0205304,supported,0.5,0.39945,,not_produced_by_baseline,true,true,,,,,يجب قياس ضغط الدم لتحديد ما إذا كان ضيق التنفس والدوار ناتجين عن انخفاض ضغط الدم.,E1,لتحديد ما إذا كان هناك انخفاض في ضغط الدم,0.608696
ahd_reference_100:evalv1_070:1,ahd_reference_100,evalv1_070,انا ذكر عمرى 18 عام هل من وصفات او اطعمه تساعد على اطاله الشعر فى مدد قصيره ؟؟,"قبل الحديث عن اطعمة او وصفات تطيل الشعر من الضروري معرفة سبب المشكلة كتقصف الشعر او سقوطه بشكل كبير , ينصح مراجعة اخصائي جلدية او غدد صم وسكري من اجل الفحوصات المخبرية والتشخيص والعلاج",structured_claims_v3_1,تساقط الشعر بمعدل 50--100شعرة في اليوم أمر طبيعي وغير مرضي ولا يبعث على الانزعاج، لأنه يحل محلها نفس العدد .ينمو شعر الرأس بمعدل سنتمتر واحد في الشهر ، وعدد شعرات الرأس 140ألف شعرة عند الشقر ، و105آلاف عند السمر ،و90ألفعند ذوي اللون الأحمر. أسباب تساقط الشعر متعددة منها : --الحمى الشديدة والالتهابات الجرثومية الحادة والانفلوانزا. --أمراض الغدة الدرقية سواء قصور أوزيادة نشاطسوء التغذية وخاصة نقص البروتينات --الأنيميا ونقص الحديد.-------العقاقير : الأدوية المضادة للتجلط، وبعض أدوية النقرس ،والتهابات المفاصل ،ومضادات الاكتئاب ، وبعض ادوية القلب وارتفاع الضغط . --أدوية علاج السرطان . ----أقراص منع الحمل . --مرض الثعلبة ---اجراء عمليات جراحية كبرى. الوراثة وهي أهم سبب وأكثرها شيوعا. ---------------------اصابة فروة الرأس بالقوباء بسبب فطريات . ---التوتر النفسي ----------مرض السكري . ---استعما...,ahd5k_03407,supported,0.521739,0.694902,,not_produced_by_baseline,true,true,,,,,يُعَدّ تساقط الشعر بمعدل 50–100 شعرة في اليوم أمرًا طبيعيًا وغير مرضي، إذ يُستبدل بنفس العدد من الشعر الجديد، ويُنمو شعر الرأس بمعدل تقريبًا سنتيمترًا واحدًا في الشهر.,E1,,0.0
ahd_reference_100:evalv1_070:2,ahd_reference_100,evalv1_070,انا ذكر عمرى 18 عام هل من وصفات او اطعمه تساعد على اطاله الشعر فى مدد قصيره ؟؟,"قبل الحديث عن اطعمة او وصفات تطيل الشعر من الضروري معرفة سبب المشكلة كتقصف الشعر او سقوطه بشكل كبير , ينصح مراجعة اخصائي جلدية او غدد صم وسكري من اجل الفحوصات المخبرية والتشخيص والعلاج",structured_claims_v3_1,تساقط الشعر ونموه يعتمد على عامل وراثي والأمراض الوراثية للآن لم يتم اكتشاف علاج شافي لها ، ولكن بعض الأدوية تستعمل لفترة طويلة وبحاجة الى صبر ومثابرة تساعد على نمو الشعر وتؤخر تساقطه مثل زد-سبان كبسولة يوميا ودواء سنتروم كبسولة يوميا ، ودهن فروة الرأس بمحلول سنيكسوديل 2% وتناول تغذية جيدة متوازنة ومتنوعة,ahdqa_0801343,supported,0.818182,0.403824,,not_produced_by_baseline,true,true,,,,,يمكن استخدام أدوية مثل زد-سبان كبسولة يوميًا ودواء سنتروم كبسولة يوميًا، بالإضافة إلى دهن فروة الرأس بمحلول سنيكسوديل 2%، لتسريع نمو الشعر وتؤخر تساقطه.,E5,,0.0
ahd_reference_100:evalv1_070:3,ahd_reference_100,evalv1_070,انا ذكر عمرى 18 عام هل من وصفات او اطعمه تساعد على اطاله الشعر فى مدد قصيره ؟؟,"قبل الحديث عن اطعمة او وصفات تطيل الشعر من الضروري معرفة سبب المشكلة كتقصف الشعر او سقوطه بشكل كبير , ينصح مراجعة اخصائي جلدية او غدد صم وسكري من اجل الفحوصات المخبرية والتشخيص والعلاج",structured_claims_v3_1,..زيت الخروع و زيت الجرجير مفيدان لانبات للشعر وتطويله وايضا عصير البصل مفيد جدا لتقوية بصيلات الشعر ولمنع تساقطه ويجعل الشعر كثيف,ahdqa_0735618,supported,0.625,0.401397,,not_produced_by_baseline,true,true,,,,,يُفيد زيت الخروع وزيت الجرجير في نمو الشعر وتطويله، كما يُعتبر عصير البصل مفيدًا لتقوية بصيلات الشعر ومنع تساقطه.,E6,,0.0
ahd_reference_100:evalv1_074:1,ahd_reference_100,evalv1_074,هل زواج الاقارب له خطورة على انجاب اطفال اصحاء خاصة ان احد الزوجين لديه اخوة بهم اعاقة بسبب ايضا زواج الاقارب,يعتمد ذلك على نوع الاعاقة وهل الصفة الوراثية لهذا المرض او الاعاقة سائدة ام متنحية ففي الصفة السائدة تزيد احتمالية الاصابة بالمرض اما في الصفة المتنحية تزيد احتمالية ان يكون الشخص حاملا للمرض الرجاء توضيح ما هو المرض للاجابة بالتفصيل,structured_claims_v3_1,زواج الاقارب بالفعل من ضمن الأسباب نتيجة الجينات الوراثية المنتخبة اللتى تتجمع من الاب والام الاقارب ولكن أيضا مشاكل عملية الولادة مثل طول فترة الولادة ونقص وصول الدم المخ الطفل أثناء عملية الولادة قد يكون من ضمن الاسباب,ahdqa_0073922,supported,0.636364,0.394361,,not_produced_by_baseline,true,true,,,,,بالإضافة إلى العوامل الوراثية، قد يسبب زواج الأقارب مشاكل عملية أثناء الولادة مثل طول فترة الولادة ونقص وصول الدم إلى المخ، ما قد يزيد من خطر المضاعفات للطفل.,E2,زواج الأقارب يزيد خطر حدوث تشوهات خلقية عند الأطفال بسبب مشاركة الجينات المتنحية بين الزوجين.,0.216867
ahd_reference_100:evalv1_075:1,ahd_reference_100,evalv1_075,أعاني من تشققات في اللسان,اللسان هو مرآة الجسم راجع طبيب الأسنان ليتسنى له رؤية لسانك وتحديد نوع التشققات ودراسة سببها المحتمل,structured_claims_v3_1,ان اللسان هو مراة الجسم لذا وجب فحص اللسان وتشخيص الحاله بشكل دقيق والتنسيق مع اطب العام ومن الممكن تعرض اللسان للمشاكل التاليه : وجود ترسبات كلسيه بحاجه الى ازاله فى عيادة طبيب الاسنان وجود تسوس فى الاسنان وجود امراض عامه تعكس على اللسان وجود فطريات وجود انواع مختلفه من الالسنه باشكال مختلفه لذا وجب اجراء تحاليل طبيه للتاكد من التشخيص السليم لتسهيل عملية العلاج,ahdqa_0766266,supported,0.625,0.925,,not_produced_by_baseline,true,true,,,,,يجب فحص اللسان وتقييمه مع طبيب عام أو طبيب أسنان لتحديد سبب التشققات، بما في ذلك فحص الأسنان للتأكد من عدم وجود تسوس أو ترسبات كلسية أو فطريات.,E1,يمكن استخدام مضمضة معجون مرتين يومياً ونيستاتين كمضاد للفطريات.,0.315271
