chunk_id,stage,severity,error
chunk_00138,validation,warning,Rejected body-part-only entity: الجلد
chunk_00140,validation,warning,Rejected body-part-only entity: القلب
chunk_00141,validation,warning,Rejected generic/noisy standalone entity: دواء
chunk_00142,validation,warning,Rejected generic/noisy standalone entity: الم
chunk_00142,validation,error,تحاليل مخبرية has no mentions
chunk_00145,validation,warning,Rejected body-part-only entity: القلب
chunk_00147,validation,warning,Rejected body-part-only entity: الجلد
chunk_00154,validation,warning,Rejected body-part-only entity: القلب
chunk_00163,validation,warning,Rejected generic/noisy standalone entity: ألم
chunk_00164,validation,warning,Rejected body-part-only entity: الجلد
chunk_00168,validation,warning,Rejected generic/noisy standalone entity: دواء
chunk_00173,validation,warning,Rejected body-part-only entity: القلب
chunk_00175,validation,warning,Rejected body-part-only entity: الكلى
chunk_00176,validation,warning,Rejected body-part-only entity: المعدة
chunk_00177,validation,warning,Rejected generic/noisy standalone entity: الم
chunk_00177,validation,warning,Rejected generic/noisy standalone entity: دواء
chunk_00181,validation,warning,Rejected generic/noisy standalone entity: دواء
chunk_00181,validation,warning,Rejected body-part-only entity: قلب
chunk_00181,validation,warning,Rejected body-part-only entity: الكبد
chunk_00183,validation,warning,Rejected body-part-only entity: المعدة
chunk_00188,validation,warning,Rejected body-part-only entity: الكبد
chunk_00190,validation,warning,Rejected body-part-only entity: المعدة
chunk_00191,validation,warning,Rejected body-part-only entity: صدر
chunk_00191,validation,warning,Rejected generic/noisy standalone entity: علاج
chunk_00194,validation,warning,Rejected body-part-only entity: المعدة
chunk_00195,validation,warning,Rejected body-part-only entity: الجلد
chunk_00199,validation,warning,Rejected body-part-only entity: الجلد
