alias,alias_norm,entity_id,canonical_name,entity_type,support_count,source_chunks,qa_ids
ارتكاريا,ارتكاريا,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,0,"[""chunk_00001"", ""chunk_00002"", ""chunk_00003"", ""chunk_00004"", ""chunk_00005"", ""chunk_00006"", ""chunk_00007"", ""chunk_00009"", ""chunk_00013"", ""chunk_00014"", ""chunk_00019"", ""chunk_00028"", ""chunk_00068"", ""chunk_00082"", ""chunk_00089"", ""chunk_00096"", ""chunk_00098"", ""chunk_00114"", ""chunk_00119"", ""chunk_00122"", ""chunk_00127"", ""chunk_00130"", ""chunk_00136"", ""chunk_00191"", ""chunk_00195""]","[""ahd5k_00010"", ""ahd5k_00020"", ""ahd5k_00069"", ""ahd5k_00133"", ""ahd5k_00142"", ""ahd5k_00481"", ""ahd5k_00614"", ""ahd5k_00683"", ""ahd5k_00695"", ""ahd5k_00812"", ""ahd5k_00864"", ""ahd5k_00887"", ""ahd5k_00931"", ""ahd5k_00963"", ""ahd5k_00970"", ""ahd5k_00994"", ""ahd5k_01231"", ""ahd5k_01236"", ""ahd5k_01245"", ""ahd5k_01418"", ""ahd5k_01836"", ""ahd5k_02039"", ""ahd5k_02115"", ""ahd5k_02124"", ""ahd5k_02470"", ""ahd5k_02556"", ""ahd5k_02966"", ""ahd5k_03068"", ""ahd5k_03098"", ""ahd5k_03258"", ""ahd5k_03626"", ""ahd5k_03762"", ""ahd5k_04144"", ""ahd5k_04235"", ""ahd5k_04347""]"
ارتكاريا,ارتكاريا,ent_diseasecondition_7f3c581aaa3e,ارتكاريا,DiseaseCondition,2,"[""chunk_00030"", ""chunk_00180""]","[""ahd5k_00012"", ""ahd5k_00348""]"
ارتكاريا,ارتكاريا,ent_diseasecondition_ca9304cd0dde,القولون العصبي,DiseaseCondition,0,"[""chunk_00027"", ""chunk_00177"", ""chunk_00180"", ""chunk_00183"", ""chunk_00185""]","[""ahd5k_00012"", ""ahd5k_01181"", ""ahd5k_01465"", ""ahd5k_02411"", ""ahd5k_02511"", ""ahd5k_02677"", ""ahd5k_02679"", ""ahd5k_04323"", ""ahd5k_04517"", ""ahd5k_04566""]"
ارتكاريا,ارتكاريا,ent_diseasecondition_db17a406c72e,ارتفاع ضغط الدم,DiseaseCondition,0,"[""chunk_00026"", ""chunk_00051"", ""chunk_00052"", ""chunk_00069"", ""chunk_00070"", ""chunk_00083"", ""chunk_00140"", ""chunk_00196""]","[""ahd5k_00065"", ""ahd5k_00237"", ""ahd5k_00823"", ""ahd5k_01005"", ""ahd5k_01682"", ""ahd5k_01761"", ""ahd5k_01763"", ""ahd5k_02399"", ""ahd5k_03242"", ""ahd5k_03423"", ""ahd5k_03624"", ""ahd5k_03983"", ""ahd5k_04477"", ""ahd5k_04701"", ""ahd5k_04944"", ""ahd5k_04975""]"
ارتياف دعب \u0627لديم,ارتياف دعب \u0627لديم,ent_diseasecondition_f3982f19c624,ارتياف دعب \u0627لديم,DiseaseCondition,0,"[""chunk_00179""]","[""ahd5k_03738""]"
ارتياف دعب الديم,ارتياف دعب الديم,ent_diseasecondition_f3982f19c624,ارتياف دعب \u0627لديم,DiseaseCondition,0,"[""chunk_00179""]","[""ahd5k_03738""]"
اسنان,اسنان,ent_diseasecondition_8b9d599f7475,الأسنان,DiseaseCondition,0,"[""chunk_00114""]","[""ahd5k_02966""]"
إسهال,اسهال,ent_diseasecondition_9db0143f0c61,إسهال,DiseaseCondition,0,"[""chunk_00164""]","[""ahd5k_03761""]"
اسهال,اسهال,ent_diseasecondition_9db0143f0c61,إسهال,DiseaseCondition,1,"[""chunk_00164""]","[""ahd5k_03761""]"
اضطراب الغدة الدرقية,اضطراب الغده الدرقيه,ent_diseasecondition_b2548ad0e103,اضطراب الغدة الدرقية,DiseaseCondition,0,"[""chunk_00080""]","[""ahd5k_02768""]"
اضطراب نفسي,اضطراب نفسي,ent_diseasecondition_35eb2b8f8638,اضطراب نفسي,DiseaseCondition,1,"[""chunk_00144""]","[""ahd5k_03579""]"
اضطرابات المناعة الذاتية الوراثية,اضطرابات المناعه الذاتيه الوراثيه,ent_diseasecondition_09dfb160ec9a,مرض جريفز,DiseaseCondition,0,"[""chunk_00162""]","[""ahd5k_02200""]"
اضطرابات كهربية,اضطرابات كهربيه,ent_diseasecondition_fab2e100965e,اضطرابات كهربية قلبية,DiseaseCondition,0,"[""chunk_00080""]","[""ahd5k_02768""]"
اضطرابات كهربية قلبية,اضطرابات كهربيه قلبيه,ent_diseasecondition_fab2e100965e,اضطرابات كهربية قلبية,DiseaseCondition,1,"[""chunk_00080""]","[""ahd5k_02768""]"
أطفال الأنابيب,اطفال الانابيب,ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,1,"[""chunk_00092""]","[""ahd5k_01629""]"
أقل من الطبيعي,اقل من الطبيعي,ent_diseasecondition_a2605dbbfa2a,أقل من الطبيعي,DiseaseCondition,1,"[""chunk_00137""]","[""ahd5k_04817""]"
اكتئاب,اكتياب,ent_diseasecondition_32c84edce6a2,اكتئاب,DiseaseCondition,1,"[""chunk_00140""]","[""ahd5k_03852""]"
اكتئاب,اكتياب,ent_diseasecondition_c530adcb98c5,الاكتئاب,DiseaseCondition,0,"[""chunk_00135""]","[""ahd5k_01394""]"
الأسنان,الاسنان,ent_diseasecondition_8b9d599f7475,الأسنان,DiseaseCondition,1,"[""chunk_00114""]","[""ahd5k_02966""]"
الاكتئاب,الاكتياب,ent_diseasecondition_c530adcb98c5,الاكتئاب,DiseaseCondition,2,"[""chunk_00135""]","[""ahd5k_01394""]"
الانتان,الانتان,ent_diseasecondition_8ca9f15583c7,الانتان,DiseaseCondition,0,"[""chunk_00055""]","[""ahd5k_04844""]"
الانتان خفي أو ظاهر,الانتان خفي او ظاهر,ent_diseasecondition_8ca9f15583c7,الانتان,DiseaseCondition,1,"[""chunk_00055""]","[""ahd5k_04844""]"
الانزلاقات الغضروفية العنقية,الانزلاقات الغضروفيه العنقيه,ent_diseasecondition_4483219775eb,الانزلاقات الغضروفية العنقية,DiseaseCondition,1,"[""chunk_00069""]","[""ahd5k_04477""]"
الانفلوانزا,الانفلوانزا,ent_diseasecondition_8ae017ffaf32,الانفلوانزا,DiseaseCondition,1,"[""chunk_00088""]","[""ahd5k_01372""]"
البرونكيتيس,البرونكيتيس,ent_diseasecondition_ce9ff22d8fac,البرونكيتيس,DiseaseCondition,1,"[""chunk_00096""]","[""ahd5k_01770""]"
البواسير,البواسير,ent_diseasecondition_f9f02cdde82f,البواسير,DiseaseCondition,1,"[""chunk_00180""]","[""ahd5k_02677""]"
التسوس,التسوس,ent_diseasecondition_30c063bfe92d,التسوس,DiseaseCondition,2,"[""chunk_00035"", ""chunk_00118""]","[""ahd5k_00209"", ""ahd5k_04190""]"
التسوس,التسوس,ent_diseasecondition_4ea30d57b62c,التصبغات السوداء,DiseaseCondition,0,"[""chunk_00118""]","[""ahd5k_00209""]"
التصاق التوائم السيامي,التصاق التوايم السيامي,ent_diseasecondition_743481d9d387,التصاق التوائم السيامي,DiseaseCondition,1,"[""chunk_00155""]","[""ahd5k_02748""]"
التصبغات السوداء,التصبغات السوداء,ent_diseasecondition_30c063bfe92d,التسوس,DiseaseCondition,0,"[""chunk_00035"", ""chunk_00118""]","[""ahd5k_00209"", ""ahd5k_04190""]"
التصبغات السوداء,التصبغات السوداء,ent_diseasecondition_4ea30d57b62c,التصبغات السوداء,DiseaseCondition,1,"[""chunk_00118""]","[""ahd5k_00209""]"
التهاب,التهاب,ent_diseasecondition_109e661e0028,تهاب الغدة الدرقية,DiseaseCondition,0,"[""chunk_00170""]","[""ahd5k_02685""]"
إلتهاب,التهاب,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,0,"[""chunk_00001"", ""chunk_00014"", ""chunk_00021"", ""chunk_00025"", ""chunk_00028"", ""chunk_00034"", ""chunk_00035"", ""chunk_00037"", ""chunk_00039"", ""chunk_00042"", ""chunk_00049"", ""chunk_00052"", ""chunk_00061"", ""chunk_00062"", ""chunk_00067"", ""chunk_00072"", ""chunk_00076"", ""chunk_00079"", ""chunk_00080"", ""chunk_00082"", ""chunk_00085"", ""chunk_00088"", ""chunk_00091"", ""chunk_00098"", ""chunk_00110"", ""chunk_00111"", ""chunk_00113"", ""chunk_00117"", ""chunk_00119"", ""chunk_00121"", ""chunk_00122"", ""chunk_00123"", ""chunk_00125"", ""chunk_00126"", ""chunk_00128"", ""chunk_00129"", ""chunk_00130"", ""chunk_00135"", ""chunk_00136"", ""chunk_00138"", ""chunk_00143"", ""chunk_00145"", ""chunk_00156"", ""chunk_00158"", ""chunk_00166"", ""chunk_00168"", ""chunk_00170"", ""chunk_00176"", ""chunk_00177"", ""chunk_00178"", ""chunk_00180"", ""chunk_00183"", ""chunk_00192""]","[""ahd5k_00008"", ""ahd5k_00012"", ""ahd5k_00032"", ""ahd5k_00069"", ""ahd5k_00072"", ""ahd5k_00114"", ""ahd5k_00140"", ""ahd5k_00171"", ""ahd5k_00480"", ""ahd5k_00505"", ""ahd5k_00515"", ""ahd5k_00530"", ""ahd5k_00632"", ""ahd5k_00639"", ""ahd5k_00656"", ""ahd5k_00666"", ""ahd5k_00673"", ""ahd5k_00736"", ""ahd5k_00774"", ""ahd5k_00775"", ""ahd5k_00855"", ""ahd5k_00859"", ""ahd5k_00887"", ""ahd5k_00970"", ""ahd5k_00994"", ""ahd5k_01099"", ""ahd5k_01104"", ""ahd5k_01394"", ""ahd5k_01422"", ""ahd5k_01465"", ""ahd5k_01510"", ""ahd5k_01551"", ""ahd5k_01558"", ""ahd5k_01578"", ""ahd5k_01669"", ""ahd5k_01689"", ""ahd5k_01751"", ""ahd5k_01836"", ""ahd5k_01874"", ""ahd5k_02023"", ""ahd5k_02169"", ""ahd5k_02203"", ""ahd5k_02245"", ""ahd5k_02282"", ""ahd5k_02491"", ""ahd5k_02532"", ""ahd5k_02569"", ""ahd5k_02587"", ""ahd5k_02618"", ""ahd5k_02620"", ""ahd5k_02627"", ""ahd5k_02662"", ""ahd5k_02685"", ""ahd5k_02719"", ""ahd5k_02761"", ""ahd5k_02768"", ""ahd5k_02810"", ""ahd5k_02863"", ""ahd5k_02864"", ""ahd5k_02971"", ""ahd5k_03068"", ""ahd5k_03113"", ""ahd5k_03139"", ""ahd5k_03154"", ""ahd5k_03234"", ""ahd5k_03333"", ""ahd5k_03339"", ""ahd5k_03376"", ""ahd5k_03385"", ""ahd5k_03400"", ""ahd5k_03427"", ""ahd5k_03431"", ""ahd5k_03469"", ""ahd5k_03501"", ""ahd5k_03544"", ""ahd5k_03553"", ""ahd5k_03632"", ""ahd5k_03651"", ""ahd5k_03685"", ""ahd5k_03769"", ""ahd5k_03818"", ""ahd5k_03872"", ""ahd5k_03901"", ""ahd5k_03985"", ""ahd5k_03986"", ""ahd5k_04034"", ""ahd5k_04067"", ""ahd5k_04112"", ""ahd5k_04190"", ""ahd5k_04262"", ""ahd5k_04279"", ""ahd5k_04408"", ""ahd5k_04517"", ""ahd5k_04546"", ""ahd5k_04706"", ""ahd5k_04728"", ""ahd5k_04754"", ""ahd5k_04866"", ""ahd5k_04903"", ""ahd5k_04916"", ""ahd5k_04921"", ""ahd5k_04942"", ""ahd5k_04944""]"
التهاب,التهاب,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,100,"[""chunk_00001"", ""chunk_00014"", ""chunk_00025"", ""chunk_00034"", ""chunk_00035"", ""chunk_00037"", ""chunk_00039"", ""chunk_00042"", ""chunk_00049"", ""chunk_00052"", ""chunk_00061"", ""chunk_00062"", ""chunk_00067"", ""chunk_00072"", ""chunk_00079"", ""chunk_00080"", ""chunk_00082"", ""chunk_00085"", ""chunk_00098"", ""chunk_00111"", ""chunk_00113"", ""chunk_00117"", ""chunk_00119"", ""chunk_00121"", ""chunk_00122"", ""chunk_00123"", ""chunk_00125"", ""chunk_00126"", ""chunk_00128"", ""chunk_00129"", ""chunk_00130"", ""chunk_00135"", ""chunk_00136"", ""chunk_00138"", ""chunk_00143"", ""chunk_00145"", ""chunk_00156"", ""chunk_00158"", ""chunk_00166"", ""chunk_00168"", ""chunk_00170"", ""chunk_00176"", ""chunk_00177"", ""chunk_00178"", ""chunk_00180"", ""chunk_00183"", ""chunk_00192""]","[""ahd5k_00008"", ""ahd5k_00012"", ""ahd5k_00032"", ""ahd5k_00069"", ""ahd5k_00072"", ""ahd5k_00114"", ""ahd5k_00140"", ""ahd5k_00171"", ""ahd5k_00480"", ""ahd5k_00505"", ""ahd5k_00515"", ""ahd5k_00530"", ""ahd5k_00632"", ""ahd5k_00639"", ""ahd5k_00656"", ""ahd5k_00666"", ""ahd5k_00673"", ""ahd5k_00736"", ""ahd5k_00774"", ""ahd5k_00775"", ""ahd5k_00855"", ""ahd5k_00859"", ""ahd5k_00887"", ""ahd5k_00970"", ""ahd5k_00994"", ""ahd5k_01394"", ""ahd5k_01422"", ""ahd5k_01465"", ""ahd5k_01510"", ""ahd5k_01551"", ""ahd5k_01578"", ""ahd5k_01669"", ""ahd5k_01689"", ""ahd5k_01751"", ""ahd5k_01836"", ""ahd5k_01874"", ""ahd5k_02023"", ""ahd5k_02169"", ""ahd5k_02203"", ""ahd5k_02245"", ""ahd5k_02282"", ""ahd5k_02491"", ""ahd5k_02569"", ""ahd5k_02587"", ""ahd5k_02618"", ""ahd5k_02627"", ""ahd5k_02662"", ""ahd5k_02685"", ""ahd5k_02719"", ""ahd5k_02761"", ""ahd5k_02768"", ""ahd5k_02863"", ""ahd5k_02864"", ""ahd5k_03113"", ""ahd5k_03139"", ""ahd5k_03154"", ""ahd5k_03234"", ""ahd5k_03333"", ""ahd5k_03339"", ""ahd5k_03376"", ""ahd5k_03400"", ""ahd5k_03427"", ""ahd5k_03469"", ""ahd5k_03501"", ""ahd5k_03544"", ""ahd5k_03553"", ""ahd5k_03632"", ""ahd5k_03651"", ""ahd5k_03685"", ""ahd5k_03769"", ""ahd5k_03818"", ""ahd5k_03872"", ""ahd5k_03901"", ""ahd5k_03985"", ""ahd5k_03986"", ""ahd5k_04034"", ""ahd5k_04067"", ""ahd5k_04112"", ""ahd5k_04190"", ""ahd5k_04262"", ""ahd5k_04279"", ""ahd5k_04408"", ""ahd5k_04517"", ""ahd5k_04546"", ""ahd5k_04728"", ""ahd5k_04754"", ""ahd5k_04866"", ""ahd5k_04903"", ""ahd5k_04916"", ""ahd5k_04921"", ""ahd5k_04942"", ""ahd5k_04944""]"
التهاب,التهاب,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,0,"[""chunk_00001"", ""chunk_00002"", ""chunk_00003"", ""chunk_00004"", ""chunk_00005"", ""chunk_00006"", ""chunk_00007"", ""chunk_00009"", ""chunk_00013"", ""chunk_00014"", ""chunk_00019"", ""chunk_00028"", ""chunk_00068"", ""chunk_00082"", ""chunk_00089"", ""chunk_00096"", ""chunk_00098"", ""chunk_00114"", ""chunk_00119"", ""chunk_00122"", ""chunk_00127"", ""chunk_00130"", ""chunk_00136"", ""chunk_00191"", ""chunk_00195""]","[""ahd5k_00010"", ""ahd5k_00020"", ""ahd5k_00069"", ""ahd5k_00133"", ""ahd5k_00142"", ""ahd5k_00481"", ""ahd5k_00614"", ""ahd5k_00683"", ""ahd5k_00695"", ""ahd5k_00812"", ""ahd5k_00864"", ""ahd5k_00887"", ""ahd5k_00931"", ""ahd5k_00963"", ""ahd5k_00970"", ""ahd5k_00994"", ""ahd5k_01231"", ""ahd5k_01236"", ""ahd5k_01245"", ""ahd5k_01418"", ""ahd5k_01836"", ""ahd5k_02039"", ""ahd5k_02115"", ""ahd5k_02124"", ""ahd5k_02470"", ""ahd5k_02556"", ""ahd5k_02966"", ""ahd5k_03068"", ""ahd5k_03098"", ""ahd5k_03258"", ""ahd5k_03626"", ""ahd5k_03762"", ""ahd5k_04144"", ""ahd5k_04235"", ""ahd5k_04347""]"
التهاب,التهاب,ent_diseasecondition_385230d505f3,تهاب,DiseaseCondition,3,"[""chunk_00120"", ""chunk_00181""]","[""ahd5k_01567"", ""ahd5k_01579"", ""ahd5k_02037""]"
التهاب,التهاب,ent_diseasecondition_6e95846a4080,التهاب اللثة,DiseaseCondition,1,"[""chunk_00121""]","[""ahd5k_02491""]"
التهاب,التهاب,ent_diseasecondition_ca9304cd0dde,القولون العصبي,DiseaseCondition,0,"[""chunk_00027"", ""chunk_00177"", ""chunk_00180"", ""chunk_00183"", ""chunk_00185""]","[""ahd5k_00012"", ""ahd5k_01181"", ""ahd5k_01465"", ""ahd5k_02411"", ""ahd5k_02511"", ""ahd5k_02677"", ""ahd5k_02679"", ""ahd5k_04323"", ""ahd5k_04517"", ""ahd5k_04566""]"
التهاب,التهاب,ent_diseasecondition_ce9ff22d8fac,البرونكيتيس,DiseaseCondition,0,"[""chunk_00096""]","[""ahd5k_01770""]"
التهاب,التهاب,ent_diseasecondition_db17a406c72e,ارتفاع ضغط الدم,DiseaseCondition,0,"[""chunk_00026"", ""chunk_00051"", ""chunk_00052"", ""chunk_00069"", ""chunk_00070"", ""chunk_00083"", ""chunk_00140"", ""chunk_00196""]","[""ahd5k_00065"", ""ahd5k_00237"", ""ahd5k_00823"", ""ahd5k_01005"", ""ahd5k_01682"", ""ahd5k_01761"", ""ahd5k_01763"", ""ahd5k_02399"", ""ahd5k_03242"", ""ahd5k_03423"", ""ahd5k_03624"", ""ahd5k_03983"", ""ahd5k_04477"", ""ahd5k_04701"", ""ahd5k_04944"", ""ahd5k_04975""]"
التهاب,التهاب,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,0,"[""chunk_00012"", ""chunk_00126""]","[""ahd5k_00140"", ""ahd5k_04015""]"
التهاب الامعاء,التهاب الامعاء,ent_diseasecondition_d1ac437fb721,التهاب الامعاء,DiseaseCondition,1,"[""chunk_00049""]","[""ahd5k_03400""]"
التهاب البنكرياس,التهاب البنكرياس,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,0,"[""chunk_00001"", ""chunk_00014"", ""chunk_00021"", ""chunk_00025"", ""chunk_00028"", ""chunk_00034"", ""chunk_00035"", ""chunk_00037"", ""chunk_00039"", ""chunk_00042"", ""chunk_00049"", ""chunk_00052"", ""chunk_00061"", ""chunk_00062"", ""chunk_00067"", ""chunk_00072"", ""chunk_00076"", ""chunk_00079"", ""chunk_00080"", ""chunk_00082"", ""chunk_00085"", ""chunk_00088"", ""chunk_00091"", ""chunk_00098"", ""chunk_00110"", ""chunk_00111"", ""chunk_00113"", ""chunk_00117"", ""chunk_00119"", ""chunk_00121"", ""chunk_00122"", ""chunk_00123"", ""chunk_00125"", ""chunk_00126"", ""chunk_00128"", ""chunk_00129"", ""chunk_00130"", ""chunk_00135"", ""chunk_00136"", ""chunk_00138"", ""chunk_00143"", ""chunk_00145"", ""chunk_00156"", ""chunk_00158"", ""chunk_00166"", ""chunk_00168"", ""chunk_00170"", ""chunk_00176"", ""chunk_00177"", ""chunk_00178"", ""chunk_00180"", ""chunk_00183"", ""chunk_00192""]","[""ahd5k_00008"", ""ahd5k_00012"", ""ahd5k_00032"", ""ahd5k_00069"", ""ahd5k_00072"", ""ahd5k_00114"", ""ahd5k_00140"", ""ahd5k_00171"", ""ahd5k_00480"", ""ahd5k_00505"", ""ahd5k_00515"", ""ahd5k_00530"", ""ahd5k_00632"", ""ahd5k_00639"", ""ahd5k_00656"", ""ahd5k_00666"", ""ahd5k_00673"", ""ahd5k_00736"", ""ahd5k_00774"", ""ahd5k_00775"", ""ahd5k_00855"", ""ahd5k_00859"", ""ahd5k_00887"", ""ahd5k_00970"", ""ahd5k_00994"", ""ahd5k_01099"", ""ahd5k_01104"", ""ahd5k_01394"", ""ahd5k_01422"", ""ahd5k_01465"", ""ahd5k_01510"", ""ahd5k_01551"", ""ahd5k_01558"", ""ahd5k_01578"", ""ahd5k_01669"", ""ahd5k_01689"", ""ahd5k_01751"", ""ahd5k_01836"", ""ahd5k_01874"", ""ahd5k_02023"", ""ahd5k_02169"", ""ahd5k_02203"", ""ahd5k_02245"", ""ahd5k_02282"", ""ahd5k_02491"", ""ahd5k_02532"", ""ahd5k_02569"", ""ahd5k_02587"", ""ahd5k_02618"", ""ahd5k_02620"", ""ahd5k_02627"", ""ahd5k_02662"", ""ahd5k_02685"", ""ahd5k_02719"", ""ahd5k_02761"", ""ahd5k_02768"", ""ahd5k_02810"", ""ahd5k_02863"", ""ahd5k_02864"", ""ahd5k_02971"", ""ahd5k_03068"", ""ahd5k_03113"", ""ahd5k_03139"", ""ahd5k_03154"", ""ahd5k_03234"", ""ahd5k_03333"", ""ahd5k_03339"", ""ahd5k_03376"", ""ahd5k_03385"", ""ahd5k_03400"", ""ahd5k_03427"", ""ahd5k_03431"", ""ahd5k_03469"", ""ahd5k_03501"", ""ahd5k_03544"", ""ahd5k_03553"", ""ahd5k_03632"", ""ahd5k_03651"", ""ahd5k_03685"", ""ahd5k_03769"", ""ahd5k_03818"", ""ahd5k_03872"", ""ahd5k_03901"", ""ahd5k_03985"", ""ahd5k_03986"", ""ahd5k_04034"", ""ahd5k_04067"", ""ahd5k_04112"", ""ahd5k_04190"", ""ahd5k_04262"", ""ahd5k_04279"", ""ahd5k_04408"", ""ahd5k_04517"", ""ahd5k_04546"", ""ahd5k_04706"", ""ahd5k_04728"", ""ahd5k_04754"", ""ahd5k_04866"", ""ahd5k_04903"", ""ahd5k_04916"", ""ahd5k_04921"", ""ahd5k_04942"", ""ahd5k_04944""]"
التهاب الجيوب الأنفية,التهاب الجيوب الانفيه,ent_diseasecondition_ad3e19c416f6,التهاب الجيوب الأنفية,DiseaseCondition,1,"[""chunk_00128""]","[""ahd5k_02662""]"
