relation_id,chunk_id,qa_id,candidate_relation_type,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,source_evidence,target_evidence,candidate_method,needs_llm_validation
rel_seed_f0f432e62cc5ed96,chunk_00002,ahd5k_00020,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_0311bc90ba75,حليب مكسر بروتين الحليب,Treatment,بنتي سنتين ونصف عندها حساسية من حليب البقر,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,entity_type_cooccurrence_same_qa,true
rel_seed_df369e76bea13661,chunk_00002,ahd5k_00133,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_45a78ee47153,نازونكس,Treatment,عندي تحسس انفي موسمي بيتغير حسب المواسم,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,entity_type_cooccurrence_same_qa,true
rel_seed_036615e69fe27f5a,chunk_00003,ahd5k_01231,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,تناولت مضاد حيووي زييثرون وانتج حساسية شديدة,استخدمي مضاد هيسامين وكورتيزون موضعي,entity_type_cooccurrence_same_qa,true
rel_seed_8e92aaaff3cb2b47,chunk_00003,ahd5k_01231,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_843876e28a68,كورتيزون,Treatment,تناولت مضاد حيووي زييثرون وانتج حساسية شديدة,استخدمي مضاد هيسامين وكورتيزون موضعي,entity_type_cooccurrence_same_qa,true
rel_seed_2a16da29661e0d27,chunk_00003,ahd5k_01231,DIAGNOSED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_test_433492431144,تحليل الحساسية,Test,تناولت مضاد حيووي زييثرون وانتج حساسية شديدة,اعملي تحليل حساسية المضادات,entity_type_cooccurrence_same_qa,true
rel_seed_6687872658c864ac,chunk_00003,ahd5k_01245,DIAGNOSED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_test_3f0d2e079b73,RAST Test,Test,انا اشعر بالصداع والنعاس وحساسية في وجهي,معرفة سبب الحساسيه يتم ذلك عن طريق RAST Test,entity_type_cooccurrence_same_qa,true
rel_seed_c4c6c926d85ac5f6,chunk_00004,ahd5k_02039,DIAGNOSED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_test_dd68aa784555,تحاليل مخبرية,Test,اعاني من حبوب بيضاء صغيره ف اماكن معينه ف الوجه و اتوقع انها حساسية من البيض او اشعة الشمس,لابدمن رؤيتها من قبل طبيب وعمل تحاليل خاصه بالحساسيه,entity_type_cooccurrence_same_qa,true
rel_seed_e43cc896f52f8b30,chunk_00006,ahd5k_00812,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_cbf0b7b10d4f,تجنب المنتجات التي تحوي جلوتين,Treatment,طفلتي تتحسس من الجلوتين وعمرها سنة ونصف هل توجد أدوية تساعد على الشفاء من هذا المرض ام لا ؟؟,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,entity_type_cooccurrence_same_qa,true
rel_seed_19c18472a8cd7446,chunk_00006,ahd5k_02124,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_66c2e60e8e52,نشفان,Symptom,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,entity_type_cooccurrence_same_qa,true
rel_seed_4e1404e8486246b4,chunk_00006,ahd5k_02124,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_e341edad55d8,تقوية المناعة,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_d83589eb55da5ed1,chunk_00006,ahd5k_02124,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_c48b0529e8b1,شراب ECHINACEA,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_06067f3481a14bb7,chunk_00006,ahd5k_02124,HAS_SYMPTOM,ent_diseasecondition_341d574d8fe5,التهاب اللوزتين,DiseaseCondition,ent_symptom_66c2e60e8e52,نشفان,Symptom,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,entity_type_cooccurrence_same_qa,true
rel_seed_1d0a5267ab69c428,chunk_00006,ahd5k_02124,TREATED_BY,ent_diseasecondition_341d574d8fe5,التهاب اللوزتين,DiseaseCondition,ent_treatment_e341edad55d8,تقوية المناعة,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_6394e23049cb9f7c,chunk_00006,ahd5k_02124,TREATED_BY,ent_diseasecondition_341d574d8fe5,التهاب اللوزتين,DiseaseCondition,ent_treatment_c48b0529e8b1,شراب ECHINACEA,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_7bf1fcd6399c6209,chunk_00006,ahd5k_02124,TREATED_BY,ent_symptom_66c2e60e8e52,نشفان,Symptom,ent_treatment_e341edad55d8,تقوية المناعة,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_b6bc52a8678af246,chunk_00006,ahd5k_02124,TREATED_BY,ent_symptom_66c2e60e8e52,نشفان,Symptom,ent_treatment_c48b0529e8b1,شراب ECHINACEA,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_982decef15a095a6,chunk_00008,ahd5k_01190,TREATED_BY,ent_diseasecondition_adcc5a085807,الجلد المترهل,DiseaseCondition,ent_treatment_5b2a681074cf,الجراحة التجميلية,Treatment,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.,entity_type_cooccurrence_same_qa,true
rel_seed_913123ff000cd8d8,chunk_00009,ahd5k_00614,DIAGNOSED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_test_433492431144,تحليل الحساسية,Test,هل عشبة الزعرور تتعارض مع مميعات الدم كالأسبرين وتؤدي لنتيجة سلبية ؟,وكذلك تزيد من احتمالية تسمم الجسم بدواء ( DIGOXIN ) وذلك عند تفاعله مع هذه العشبة تزداد معدلاته في الدم بصورة عالية,entity_type_cooccurrence_same_qa,true
rel_seed_ff07e3e9137b5923,chunk_00009,ahd5k_00614,DIAGNOSED_BY,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_test_433492431144,تحليل الحساسية,Test,وجد ان هذه العشبة تزيد من سيولة الدم في المرضى الذين يأخذون الاسبرين او البلافكس او الورفارين وهم الغالبية العظمى من مرضى القلب,وكذلك تزيد من احتمالية تسمم الجسم بدواء ( DIGOXIN ) وذلك عند تفاعله مع هذه العشبة تزداد معدلاته في الدم بصورة عالية,entity_type_cooccurrence_same_qa,true
rel_seed_4c0806798fc3b63e,chunk_00010,ahd5k_04473,HAS_SYMPTOM,ent_diseasecondition_c8b276e9a67b,التهاب المفاصل,DiseaseCondition,ent_symptom_202dedeff038,ألم المفاصل,Symptom,الحد من التهاب المفاصل,التخفيف من ألم المفاصل,entity_type_cooccurrence_same_qa,true
rel_seed_d84227361802ce87,chunk_00010,ahd5k_04473,TREATED_BY,ent_diseasecondition_c8b276e9a67b,التهاب المفاصل,DiseaseCondition,ent_treatment_b036b1170044,زيت الحنظل,Treatment,الحد من التهاب المفاصل,يستخرج زيت الحنظل من نبات الحنظل الصحراوي,entity_type_cooccurrence_same_qa,true
rel_seed_20519a58cbc56b93,chunk_00010,ahd5k_04473,TREATED_BY,ent_symptom_202dedeff038,ألم المفاصل,Symptom,ent_treatment_b036b1170044,زيت الحنظل,Treatment,التخفيف من ألم المفاصل,يستخرج زيت الحنظل من نبات الحنظل الصحراوي,entity_type_cooccurrence_same_qa,true
rel_seed_61010f5e08ac4035,chunk_00011,ahd5k_03104,TREATED_BY,ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,ent_treatment_24d83b12af40,زيت الحلبة,Treatment,"لا ينبغي استخدام زيت الحلبة قبل استشارة الطبيب , ومن الأفضل تجنب استخدامه أثناء فترة الحمل.",ما هى فوائد زيت الحلبه للجسم اذا استعمل شربا مع الماء شكرا,entity_type_cooccurrence_same_qa,true
rel_seed_354224a6f6ecd18c,chunk_00011,ahd5k_04697,TREATED_BY,ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,ent_treatment_6528bb63fe9c,فينوروتون,Treatment,انا متزوجة وعمري 29 سنة ولدي ثلاثة اطفال اعاني من الدوالي في ساق قدمي بدت الدوالي عندي وانا حامل بالطفل الثاني وازدادت مع حملي في الطفل الثالث ....,العلاج : 1-- تنفيذ النصائح السابقة وتناول علاج بسيط مثل فينوروتون,entity_type_cooccurrence_same_qa,true
rel_seed_17a5353f44e5cf8d,chunk_00011,ahd5k_04697,TREATED_BY,ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,ent_treatment_f5d29134c577,العلاج بالليزر,Treatment,انا متزوجة وعمري 29 سنة ولدي ثلاثة اطفال اعاني من الدوالي في ساق قدمي بدت الدوالي عندي وانا حامل بالطفل الثاني وازدادت مع حملي في الطفل الثالث ....,6--وافضل طريقة هي العلاج بالليزر حيث أثبتت الأبحاث العالمية نجاحا يفوق الجراحات الأخرى .,entity_type_cooccurrence_same_qa,true
rel_seed_28ce871fa8d02466,chunk_00011,ahd5k_04697,TREATED_BY,ent_diseasecondition_c4254d272647,دوالي الساقين,DiseaseCondition,ent_treatment_6528bb63fe9c,فينوروتون,Treatment,دوالي الساقين : هي تضخم الأوردة السطحية وقد تحدث في أي مكان من الجسم ولكنها أكثر انتشارا في الساقين .,العلاج : 1-- تنفيذ النصائح السابقة وتناول علاج بسيط مثل فينوروتون,entity_type_cooccurrence_same_qa,true
rel_seed_7ba94027e8803b24,chunk_00011,ahd5k_04697,TREATED_BY,ent_diseasecondition_c4254d272647,دوالي الساقين,DiseaseCondition,ent_treatment_f5d29134c577,العلاج بالليزر,Treatment,دوالي الساقين : هي تضخم الأوردة السطحية وقد تحدث في أي مكان من الجسم ولكنها أكثر انتشارا في الساقين .,6--وافضل طريقة هي العلاج بالليزر حيث أثبتت الأبحاث العالمية نجاحا يفوق الجراحات الأخرى .,entity_type_cooccurrence_same_qa,true
rel_seed_ff666fc9288a7df2,chunk_00012,ahd5k_04015,TREATED_BY,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,ent_treatment_fd42eb263b89,اكليل الجبل,Treatment,تنظيم الدورة الشهرية,اكليل الجبل,entity_type_cooccurrence_same_qa,true
rel_seed_410b5987d20de0d3,chunk_00012,ahd5k_04015,TREATED_BY,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,ent_treatment_b792fc31b8bb,الميرمية,Treatment,تنظيم الدورة الشهرية,الميرمية,entity_type_cooccurrence_same_qa,true
rel_seed_326f7e183a766cef,chunk_00012,ahd5k_04015,TREATED_BY,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,ent_treatment_c91b15de897a,البقدونس,Treatment,تنظيم الدورة الشهرية,البقدونس,entity_type_cooccurrence_same_qa,true
rel_seed_efa5cdecacaf49f5,chunk_00012,ahd5k_04015,TREATED_BY,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,ent_treatment_c2ead061e2d0,حشيشة الملاك,Treatment,تنظيم الدورة الشهرية,حشيشة الملاك,entity_type_cooccurrence_same_qa,true
rel_seed_9771359a526fa098,chunk_00012,ahd5k_04015,TREATED_BY,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,ent_treatment_fc32e4036e25,البردقوش,Treatment,تنظيم الدورة الشهرية,البردقوش,entity_type_cooccurrence_same_qa,true
rel_seed_244c1ab7820a5189,chunk_00012,ahd5k_04015,TREATED_BY,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,ent_treatment_895d0d591838,القرفة,Treatment,تنظيم الدورة الشهرية,القرفة,entity_type_cooccurrence_same_qa,true
rel_seed_a7bb8588332ff407,chunk_00012,ahd5k_04015,TREATED_BY,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,ent_treatment_639e625fe991,الزنجبيل,Treatment,تنظيم الدورة الشهرية,الزنجبيل,entity_type_cooccurrence_same_qa,true
rel_seed_512abecec0fbc4b3,chunk_00012,ahd5k_04015,TREATED_BY,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,ent_treatment_2cb98decc0ee,الكرفس,Treatment,تنظيم الدورة الشهرية,الكرفس,entity_type_cooccurrence_same_qa,true
rel_seed_ac7da79349285de2,chunk_00013,ahd5k_02556,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_91cb532e35c6,بابونج,Treatment,تجبنه في حال المعاناة من حساسية تجاه البابونج,كيف يحضر شراب البابونج,entity_type_cooccurrence_same_qa,true
rel_seed_4e146192db0931f5,chunk_00013,ahd5k_02556,TREATED_BY,ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,ent_treatment_91cb532e35c6,بابونج,Treatment,يجب تجنب الإفراط في استخدامه في حال الحمل,كيف يحضر شراب البابونج,entity_type_cooccurrence_same_qa,true
rel_seed_c564afb6ccfe81cb,chunk_00014,ahd5k_00887,HAS_SYMPTOM,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_symptom_b754f1a1e5a8,صداع,Symptom,التخفيف من أعراض الربو وأمراض الجهاز التنفسي.,التخفيف من أعراض الصداع والصداع النصفي.,entity_type_cooccurrence_same_qa,true
rel_seed_5a95dc63296dfe15,chunk_00014,ahd5k_00887,TREATED_BY,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,التخفيف من أعراض الربو وأمراض الجهاز التنفسي.,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,entity_type_cooccurrence_same_qa,true
rel_seed_2025cad13118277b,chunk_00014,ahd5k_00887,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_b754f1a1e5a8,صداع,Symptom,علاج حساسية الأنف والتهاب الجيوب الأنفية.,التخفيف من أعراض الصداع والصداع النصفي.,entity_type_cooccurrence_same_qa,true
rel_seed_4f94c296991a8bf7,chunk_00014,ahd5k_00887,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,علاج حساسية الأنف والتهاب الجيوب الأنفية.,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,entity_type_cooccurrence_same_qa,true
rel_seed_ae85f383f00386e8,chunk_00014,ahd5k_00887,TREATED_BY,ent_symptom_b754f1a1e5a8,صداع,Symptom,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,التخفيف من أعراض الصداع والصداع النصفي.,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,entity_type_cooccurrence_same_qa,true
rel_seed_89925911869011b4,chunk_00014,ahd5k_00887,HAS_SYMPTOM,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_b754f1a1e5a8,صداع,Symptom,علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي.,التخفيف من أعراض الصداع والصداع النصفي.,entity_type_cooccurrence_same_qa,true
rel_seed_6f46569af308e5f2,chunk_00014,ahd5k_00887,TREATED_BY,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي.,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,entity_type_cooccurrence_same_qa,true
rel_seed_81d4ef9053ac542a,chunk_00016,ahd5k_02823,HAS_SYMPTOM,ent_diseasecondition_1cff9c5dbe9e,صرع,DiseaseCondition,ent_symptom_871c0c5d659d,نوبة,Symptom,طفل عمره اربع سنوات شخص مرضه على انه كهرباء زائدة,الصرع نوعان : 1- نوبات عامة تصيب جميع اجزاء الجسم,entity_type_cooccurrence_same_qa,true
rel_seed_c158ff08f803e10f,chunk_00019,ahd5k_03258,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_039793a12776,الايزوتريتينوين,Treatment,منذ دخول الصيف وانا اعاني من ظهور حبوب في وجهي,يفضل مراجعة طبيب الجلدية لوصف العلاج المناسب لانه عادة يحتاج حب الشباب الى ادوية لعلاجها منها الايزوتريتينوين,entity_type_cooccurrence_same_qa,true
rel_seed_3bf6d9ef701b9bec,chunk_00020,ahd5k_01423,TREATED_BY,ent_diseasecondition_cbcc5fb6bf54,صغر الثدي,DiseaseCondition,ent_treatment_3278b7c5cc1b,حليب الصويا,Treatment,عمري 18 سنة وأنا أعاني من صغر الثدي هل يوجد أي حل لتكبيره دون جراحة,حليب الصويا له فوائد عديدة فهو يزيد من افراز هرمون الأستروجين الأنثوي الذي يثير الرغبة الجنسية عند المرأة ويزيد من حجم الأعضاء التناسلية والثديين,entity_type_cooccurrence_same_qa,true
rel_seed_950a6cd53d4f8f78,chunk_00022,ahd5k_04612,TREATED_BY,ent_diseasecondition_7754d34e2c52,شيب,DiseaseCondition,ent_treatment_48712ae621b5,خلطة الريحان و الروزماري,Treatment,هل يوجد حل لعلاج الشيب المبكر,هل خلطة الريحان و الروزماري مفيدة للتخلص من الشيب,entity_type_cooccurrence_same_qa,true
rel_seed_f266ca001389ac0d,chunk_00022,ahd5k_04779,TREATED_BY,ent_diseasecondition_050f0f4f890b,كسل بالغدة الدرقية,DiseaseCondition,ent_treatment_982172163039,خلطة العسل والفوقص الحوصلي والغذاء الملكي والعكبر والقسط الهندي,Treatment,هل هناك اعشاب معينه ممكن ان آخذها للمحافظة على الغدة الدرقية,هذه خلطة مفيدة ان شاء الله لمن معهم كسل بالغدة الدرقية,entity_type_cooccurrence_same_qa,true
rel_seed_8d3a656f552448a8,chunk_00022,ahd5k_04986,TREATED_BY,ent_symptom_6910233b82fc,بروز في البطن,Symptom,ent_treatment_a3fdf405330a,تمارين رياضية,Treatment,انا بنت عمري 22 سنة بدي علاج طبيعي وسريع للبطن.. عندي بروز في البطن,وجربت التمارين فترة بس ما لاحظت نتيجة كبيرة,entity_type_cooccurrence_same_qa,true
rel_seed_177d9b3c7b46d5f7,chunk_00028,ahd5k_03068,DIAGNOSED_BY,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_test_dd68aa784555,تحاليل مخبرية,Test,التهابات المهبل,تحليل الحساسية,entity_type_cooccurrence_same_qa,true
rel_seed_20e3faa05b161f86,chunk_00028,ahd5k_03068,DIAGNOSED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_test_dd68aa784555,تحاليل مخبرية,Test,حساسية جلديه,تحليل الحساسية,entity_type_cooccurrence_same_qa,true
rel_seed_f28c8e031cdacc1f,chunk_00028,ahd5k_03068,DIAGNOSED_BY,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,ent_test_dd68aa784555,تحاليل مخبرية,Test,مرض السكري,تحليل الحساسية,entity_type_cooccurrence_same_qa,true
