query_id,claim,human_should_retain,original_failed_checks,v5_hard_failures,v5_soft_failures,v5_semantic_eligible,v5_status_after_hard_gates,support_score
entitygtv1_015,نزول كتل من الدم أثناء الدورة الشهرية عادي ولا خطورة منه.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.4
entitygtv1_015,ينصح بفحص قوة الدم.,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,0.666667
entitygtv1_016,ثم متابعة الأطباء كل شهر حتى الشهر السابع,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0
entitygtv1_016,ثم أسبوعيًا أو حسب برنامج الطبيب المعالج,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0
entitygtv1_024,الانتفاخ في أصابع القدم نتيجة الوقوف أو الجلوس لفترات طويلة هو أمر طبيعي,False,intent_mismatch,,intent_mismatch,True,unsupported,0.4
entitygtv1_024,أزرق أصابع القدم عند وضعها في الماء الساخن قد يشير إلى مشاكل في الدورة الدموية أو الجهاز الليمفاوي,False,intent_mismatch,,intent_mismatch,True,unsupported,0.5
entitygtv1_027,متابعة جادة مع الطبيب المعالج.,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0
entitygtv1_028,ألمك في أكتافك قد يكون نتيجة التهاب الأوتار أو شد عضلي.,True,claim_query_concept_mismatch,,claim_query_concept_mismatch,True,unsupported,0.5
entitygtv1_028,ينصح بتقوية عضلات العنق والجذع.,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,0.75
entitygtv1_028,ينصح بإجراء صورة أشعة للعنق ومراجعة مركز علاج طبيعي.,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,0.875
entitygtv1_033,الدوخة والدوار قد تكون ناتجة عن التهاب في الأذن الوسطى.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.714286
entitygtv1_034,صعوبة التنفس تشير إلى ضرورة طلب العناية الطبية خاصة إذا كانت مصحوبة بأعراض أخرى.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.615385
entitygtv1_034,أسباب صعوبة التنفس تشمل قصور عضلة القلب، الربو، النوبة القلبية، الاسترواح الصدري، وفقر الدم.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.857143
entitygtv1_034,إذا كانت صعوبة التنفس شديدة ومستمرة، يجب مراجعة الطبيب.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.714286
entitygtv1_037,تحفيف كمية الطعام تدريجيا والتركيز على الأغذية قليلة السعرات الحرارية مثل الخضار وبعض المشروبات مثل الشاي الأخضر والقرفة وتناول كافة الأطعمة الصحية بكميات قليلة مع التمارين الرياضية,True,claim_query_concept_mismatch,,claim_query_concept_mismatch,True,unsupported,1.0
entitygtv1_038,قد يكون لديه تحسس من حليب الصويا,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,0.8
entitygtv1_041,أعراض الإصابة بمرض القلب تشمل ألمًا في الصدر وضيقًا في التنفس أو صعوبة في التنفس، دوخة أو إغماء، تسارع أو خفقان، إزرقاق الجلد، أو غير ذلك.,True,anatomy_mismatch,anatomy_mismatch,,False,unsupported,0.588235
entitygtv1_041,أسباب مرض القلب متعددة وتشمل مشاكل في الصمامات أو الشرايين أو عضلة القلب أو أغشيتها أو غير ذلك.,False,intent_mismatch,incomplete_list_support,intent_mismatch,False,unsupported,0.416667
entitygtv1_042,الاعراض التي ظهرت لديك (كثرة البراز، خفقان، وحساسية الجلد) هي من أكثر الأعراض الجانبية للإريثرومايسين شائعةً، ما يدل على وجود حساسية لجسمك تجاه هذا الدواء.,False,anatomy_mismatch,,,False,unsupported,0.526316
entitygtv1_043,لا داعي للقلق,False,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_044,طنين في الأذن اليمنى قد يكون نتيجة شمع كثيف في الأذن الخارجية أو التهاب في الأذن الوسطى أو التهاب في عصب السمع.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.75
entitygtv1_044,ينصح بزيارة طبيب أنف وأذن للقيام بغسيل الأذن أو فحص السمع.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.5
entitygtv1_045,5‑HTP لم يُصنَّف عالميًا كعلاج لنوبات الهلع أو القلق، ولا توجد دراسات واسعة تثبت فعاليته.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.5
entitygtv1_047,احتمال حدوث حمل ضعيف إذا كان هناك إفرازات قبل القذف.,False,intent_mismatch,,intent_mismatch,True,unsupported,0.5
entitygtv1_049,تعاطي الحشيش مرة واحدة لا يؤثر على هرمون الحمل في الدم (hCG).,False,intent_mismatch,,intent_mismatch,True,unsupported,0.727273
entitygtv1_051,تطعيم زوجتك يحمّها من فيروس التهاب الكبد ب بشرط التأكد من درجة المناعة بعد إعطاء اللقاح.,True,anatomy_mismatch|claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,0.461538
entitygtv1_052,يمنع وجود طبقة مخاطية، إفراز مادة قلوية، وشبكة دموية في جدار المعدة من تأثير الببسين على المعدة رغم قدرته على تفكيك البروتينات.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.444444
entitygtv1_053,ويجب فحص سريري لاستبعاد أمراض عضوية,True,intent_mismatch,,intent_mismatch,True,unsupported,0.4
entitygtv1_054,يمكن علاج نقص وصول الدم إلى المخ والأذن الداخلية بموسعات الأوعية الدموية مثل بيتاسيرك,False,intent_mismatch,,intent_mismatch,True,unsupported,0.714286
entitygtv1_055,الحساسية الموسمية أو الحساسية تجاه العث في الفراش أو نوعية الأقمشة قد تسبب السعال الليلي عند الأطفال.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.583333
entitygtv1_055,قد يكون السعال نتيجة التنقيط الأنفي الخلفي.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.833333
entitygtv1_055,قد يكون السعال نتيجة الإصابة بالخناق أو السعال الذي يشبه صوت النباح.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.888889
entitygtv1_055,قد يكون السعال نتيجة السعال الديكي نتيجة عدوى بكتيرية.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.833333
entitygtv1_056,يج عليها اعادة استخدام العلاج,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0
entitygtv1_057,التهاب الأذن الداخلية يسبب دوخة وضعف دم حاد,False,claim_query_concept_mismatch|intent_mismatch,unrelated_condition_mismatch,claim_query_concept_mismatch|intent_mismatch,False,unsupported,1.0
entitygtv1_059,ويُنصح بمحاولة رفع الحركة إلى أكثر من 50٪,True,intent_mismatch,,intent_mismatch,True,unsupported,0.5
entitygtv1_059,قد يساعد تحسين شرب الماء وممارسة النشاط البدني في زيادة حركة الحيوانات المنوية.,False,intent_mismatch,,intent_mismatch,True,unsupported,0.454545
entitygtv1_060,الدورة الشهرية قبل موعدها ب 15 يومًا، وغزيرة مع تكبد الدم,False,intent_mismatch,,intent_mismatch,True,unsupported,0.888889
entitygtv1_060,راجعي الطبيب للفحص,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_061,يجب استكمال اللقاحات بمعظمها حتى بوجود ثقب في القلب,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_062,لا يوجد أي ضرر في أخذ جهاز الـ ultrasound خلال الحمل.,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,0.6
entitygtv1_063,العلاج التصلبي بالليزر.,False,claim_query_concept_mismatch,patient_context_mismatch,claim_query_concept_mismatch,False,unsupported,1.0
entitygtv1_064,يُنصح بمراجعة أخصائي أمراض داخلية.,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_065,التهاب مفصل الفك الأيسر يسبب صداع يبدأ من الفك حتى الأعلى.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.888889
entitygtv1_066,قد يكون لدى الفتاة حساسية,True,intent_mismatch,,intent_mismatch,True,unsupported,0.5
entitygtv1_066,لا يمكن الوصول إلى تشخيص نهائي من الأعراض المذكورة,True,claim_query_concept_mismatch,,claim_query_concept_mismatch,True,unsupported,0.75
entitygtv1_069,رعشة اليدين هي تقلصات لا إرادية في العضلات.,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_069,أسباب رعشة اليدين تشمل القلق واضطرابات الغدة الدرقية وغيرها.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.888889
entitygtv1_069,يجب مراجعة طبيب مختص وإجراء فحوصات دم وتصوير.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.428571
entitygtv1_071,يجب إجراء صورة أشعة بانورامية لتشخيص المشكلة,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_071,قد يكون السبب خراجًا أو التهابًا في العقد اللمفاوية,True,claim_query_concept_mismatch,,claim_query_concept_mismatch,True,unsupported,0.5
entitygtv1_073,لا بد من معالجة الآثار النفسية للتعاطي,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0
entitygtv1_073,في حال استمرار الألم أو ظهور أعراض أخرى يجب مراجعة الطبيب لتحديد السبب وإجراء الفحوصات اللازمة,False,claim_query_concept_mismatch,patient_context_mismatch,claim_query_concept_mismatch,False,unsupported,0.75
entitygtv1_074,يُنصح باستخدام مضاد للهيستامين غير المسبب للنعاس مثل بولارامين أو كلاريتين أو تليفاست,True,intent_mismatch,,intent_mismatch,True,unsupported,0.6
entitygtv1_077,الحرارة عند الإصابة بالزكام شائعة وطبيعية.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.666667
entitygtv1_077,يمكن تخفيض الحرارة باستخدام خافضات الحرارة مثل الباراسيتامول أو الإيبوبروفين لتخفيف الصداع وآلام الجسم.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.75
entitygtv1_079,ويجب مراجعة الطبيب لتقييم الحالة وإجراء الفحوصات اللازمة,True,intent_mismatch,,intent_mismatch,True,unsupported,0.428571
entitygtv1_080,العصب الثالث ليس العصب السمعي,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_080,الطنين أسباب عديدة,True,intent_mismatch,,intent_mismatch,True,unsupported,0.666667
entitygtv1_083,الأسبرين لا يغني عن أبر السيولة في الأسابيع الأولى من الحمل,True,intent_mismatch,,intent_mismatch,True,unsupported,0.75
entitygtv1_083,الميتوفورمين آمن مع الحمل,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,0.666667
entitygtv1_084,ويجب استخدام علاج وقائي وإجراء تحاليل لتحديد سبب الحساسية,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_086,يجب مراقبة ضغط الدم على مدى أسابيع أو أشهر قبل أن يُقصد تشخيص ارتفاع ضغط الدم,True,intent_mismatch,,intent_mismatch,True,unsupported,0.75
entitygtv1_090,ممكن أن يكون التهاباً في العين.,True,anatomy_mismatch|intent_mismatch,,intent_mismatch,True,unsupported,0.6
entitygtv1_091,لا ينصح بهكذا اقتران لان كل الاحتمالات ممكنة من حيث اصابة الذرية تكون اصابة مختلطة شديدة,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0
entitygtv1_092,احتمال أن يكون الدمل عبارة عن تجمع صديدي,True,intent_mismatch,,intent_mismatch,True,unsupported,0.571429
entitygtv1_092,ويجب فتحه وتنظيفه في المستشفى,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,0.666667
entitygtv1_093,الإكتئاب يتعالج، عليك بمراجعة الطبيب النفساني.,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0
entitygtv1_094,إعطاء فيتامين د لا يتعارض مع حصوة الكلى، وهناك أنواع من هذا الفيتامين تُعطى حتى في أصعب حالات إصابة الكلى.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.923077
entitygtv1_095,التهاب الكبدي هو التهاب في الكبد يسببه فيروس أو بكتيريا أو أدوية,True,intent_mismatch,,intent_mismatch,True,unsupported,0.571429
entitygtv1_099,يمكن وضع مادة مرة على الأصابع لإيقاف عادة أكل الأظافر,True,intent_mismatch,,intent_mismatch,True,unsupported,0.6
