question,answer,entity_type,canonical_name
ما هي مضار الصوف الصخري عند لمسه و استنشاقه؟,"يستخدم الصوف الصخري في عزل البناء، ويتم انتاجه عن طريق أكاسيد معدنية وطبيعية. يتعرض العمال والأشخاص الذين يتعاملون معه بشكل كبير إلى أضراره والتي تحدث خلال فترة زمنية قصيرة (بالإنجليزية: Acute) أو فترة زمينة طويلة (بالإنجليزية: Chronic). 
فمن أضرار الصوف الصخري على الإنسان والتي تحدث عند ملامسته مباشرة ما يلي: 

تهيج واحمرار في الجلد والعينين: يؤدي تعرض للصوف الصخري في بعض الأحيان إلى التهاب الجلد والعينين، حيث تظهر الأعراض التالية: حكة، واحمرار، وتقشر، وظهور فقاعات مائية، وغيرها من التغيرات الجلدية. 
تهيج الجهاز التنفسي: يمكن أن تظهر بعض أعراض تهيج الجهاز التنفسي بعد استنشاق الصوف الصخري، مثل السعال، والتهاب الحلق، وحكة الأنف، واحتقان الأنف. 
الإصابة بالعدوى: قد تجرح الألياف الحادة من الصوف الصخري الجلد، وبالتالي يزيد من خطر دخول الجراثيم المسببة للعدوى. 

ومن أضرار الصوف الصخري على الإنسان والتي تحدث عند التعرض لفترات طويلة: 

زيادة من خطر الإصابة تليف الرئتين (بالإنجليزية: Lung fibrosis).
زيادة من خطر الإصابة بالتهاب الرئوي والتهاب الجنبي (بالإنجليزية: Pleural inflammation).
صنفت الوكالة الدولية لبحوث السرطان (IARC) الصوف الصخري كمادة غير مسببة للسرطان.
لا توجد دراسات كافية على تأثير الصوف الصخري على صحة الإنجاب.

لذا لمنع تعرض الجلد والجهاز التنفسي للصوف الصخري، وللتقليل من أضراره ينصح بأن يرتدي أولئك الذين يتعاملون مع الصوف الصخري قفازات واقية، وكمامة أو قناع مانع للاستنشاق، ونظارات واقية.
للمزيد:

أسباب وعلاج احمرار الجلد
تقشر الجلد: أسباب وعلاجات طبيعية
أشياء غير متوقعة تسبب حساسية الجلد

المراجع: 

Carcinogenicity of the insulation wools: Reassessment of the IARC evaluation
Health Hazards of Rockwool
Lung Cancer among Rock and Slag Wool Production Workers",DiseaseCondition,التهاب الجلد
اكل علك وابلعه هل يمكن ان يؤدي الى انسداد البلعوم؟,"بلع العلكة "" اللبانة "" عادةً لا يسبب مشاكل في البلعوم .. في حالات نادرة قد يسبب مشاكل إذا دخل إلى القصبات أو القصيبات الهوائية مثل الإختناق أو الإلتهابات الناتجة عن وجود جسم أجنبي فيها .. أما المشاكل الأخرى فهي ممكنة وتكون ناتجة عن صعوبات هضمية سواء في المعدة أو الأمعاء .. فهي تتكون من مواد صعبة الهضم .. لذلك أنصحك أن لا تقومي بذلك أبداً",DiseaseCondition,انسداد البلعوم
بعد فرك المهبل بقوة من خلال الاصابع اصبح هنالك انتفاخ واحمرار في الشفرتين وحرقة والم اثناء التبول فهل هذا يعني ان البكارة تمزق وانني لست عذراء ؟,لا. لم تتمزق.ولكن اصبح عندك التهاب وتلوث,DiseaseCondition,التهاب
نسبه فيتامين د 17 هل هذه النسبه قليله في الشهور الاولي من الحمل,خذي فيتامين D2000 يوميا,Test,نسبه فيتامين د
انا اعني من نزول كتل من الدم أثناء الدورة الشهرية هل في ذلك خطورة وماتفسير ذلك ، مع العلم انا لست متزوجة ...؟؟؟؟؟؟؟؟؟؟؟؟,هذا عادي ولا خطر منه.ولكن اعملي فحص قوة الدم,Test,فحص قوة الدم
عمري٣٣حامل الاسبوع١٢ وتبين لدي ورم او كيس داخل الرحم حجمه ٥*٦سم مكانه قاع الرحم ونحن لاجئين في تركيا و الاطباء هنا لا يتكلمون كثيرا و قالو عادي! هل يكتمل حملي...,"مراقبة الحمل كل اسبوعين حتى نهاية الشهر الرابع, ومتابعة الاطباء بعد ذلك عند الضرورة والا كل شهر لغاية الشهر السابع, ثم اسبوعيا او حسب برنامج الطبيب المعالج",DiseaseCondition,ورم
السلام عليكم ..اشعر بكتلة صغيرة لينة تحت الجلد اسفل الرأس اعلى الرقبة بحجم حبة الحمص عندما المسها اشعر بحرارة في المكان وتشنج قليل في الرقبة ولكن لا تؤلمني ومسببة لي...,أنا أظن أن هذه كتلة دهنية ولكن لا يمكن الجزم قبل المعاينة لذلك أنصحك بإستشارة طبيب.,DiseaseCondition,كتلة دهنية
تنظيف الجهاز التنفسي والرءه من النيكوتين,"التوقف عن التدخين بكل انواعه اولا ...
الابتعاد عن الاجواء الملوثة ...
أخذ علاج ال MUCOSOLVAN شراب ثلاث مرات يوميا على معدة فارغة لمدة ستة أشهر على ان يؤخذ في الأشهر الأخيرة علاج مرافق Expectorant 3 مرات يوميا وهذا سيؤدي لخروج اليلغم من القصبات
من الافضل تنشق الأكسجين نصف ساعة صباحا ... وتصف ساعة مساء والابقاء على تواصل مع الأخصائي ..",Treatment,MUCOSOLVAN
"ﻋﻨﺪﻣﺎ ﺃﻧﺎﻡ ﻋﻠﻰ ﺟﻨﺒﻲ ﺍﻷﻳﻤﻦ ﺗﻜﻮﻥ ﻓﺘﺤﺔ ﺍﻷﻧﻒ
ﺍﻟﻴﺴﺮﻯ ﻓﻘﻂ ﻫﻲ ﺍﻟﺘﻲ ﺗﻌﻤﻞ، ﻭﺍﻟﻌﻜﺲ ﻋﻨﺪﻣﺎ ﺃﻧﺎﻡ ﻋﻠﻰ ﺟﻨﺒﻲ ﺍﻷﻳﺴﺮ
ﺗﻜﻮﻥ ﻓﺘﺤﺖ ﺍﻷﻧﻒ ﺍﻟﻴﻤﻨﻰ ﻫﻴﺎ ﺍﻟﺘﻲ ﺗﻌﻤﻞ",من الطبيعي ان نشعر باغلاق وفتح الانف بشكل دوري ولكن اذا وصلت لدرجة الانزعاج فغالبا ما يكون بسبب الحساسيه الانفيه وتضخم القرنيات الانفيه,DiseaseCondition,الحساسيه الانفيه
هل يوجد شئ غير الخصيتين داخل كيس الصفن اشعر بشي غير الخصيتين داخل الكيس لا تسبب اى الم حتى بعد الضغط عليها ترى ماذا تكون ؟,"يحتوي كيس الصفن على:

الخصيتين
البربخ
الاوعية الناقلة للحيوانات المنوية
اوعية دموية

 
الشعور ب أي شيء آخر قد يكون بسبب:

 التهاب البربخ
توسع بالاوعية الدموية ما يسمى ب دوالي الخصية
كيس او كتلة

 
عليك ب مراجعة طبيب المسالك البولية، لاخد تاريخ مرضي، واجراء فحص سريري، و صورة تلفزونية (التراساوند).
 
للمزيد:

خمسة أسئلة يتحرج الرجال من سؤالها للطبيب
أمور تضر بصحة الحيوانات المنوية

المرجع:

Scrotum
Scrotum Masses",DiseaseCondition,دوالي الخصية
"السلام عليكم
دائما اشعر بنعاس حتى لو كنت نائمة فترة جيدة تقريبا 6 او 7 ساعات ما السبب وما االحل ؟؟
وشكرا الكم كتير","الأسباب الشائعة:
- النوم لفترات قصيرة.
- الأدوية والعقاقير (مهدئات- أقراص منومة- مضادات الهيستامين).
- اضطرابات النوم (مثل تقطع النفس أثناء النوم) أو الغفوات النومية.
- حالات طبية أخرى مثل ( خمول الغدة الدرقية - فرط كالسيوم الدم - فرط صوديوم الدم أو نقصه).
- علاج النعاس:
- العناية فى المنزل:
- ينبغى علاج الأسباب، بالنسبة للنعاس الذى يكون سببه الاكتئاب، القلق، الملل، الضغوط عليك بمحاولة حل المشكلة بدون اللجوء للمساعدة الطبية النتخصصة.
- أما إذا كان بسبب أحد الادوية أو العقاقير عليك بالتحدث إلى الطبيب الذى وصفه لك للتوقف عنه على الفور أو لتغييره (لا تفعل ذلك من نفسك أبداً).
- وإذا كان السبب السمنة أو نقص التهوية، فاللجوء إلى إنقاص الوزن هو علاج فى حد ذاته مع استشارة طبيب متخصص.
- وإذا كان النعاس بسبب خمول الغدة الدرقية أو فرط كالسيوم الدم أو فرط صوديوم الدم أو نقصه يعالجها الطبيب المتخصص كل شخص حسب حالته الصحية.",Symptom,النعاس
مولوده بشفه ارنبيه هل من الممكن انجب اطفال يعانون من نفس المشكله وكيف يمكن ان اتجنب عدم ولاده اطفال مصابين بالشفه الارنبيه,السبب بيئي وجيني على العموم-تجنب السجاير والدخان وبعض الامراض الفيروسيه -اما الاسباب الجينيه لها دور في الاسباب -ذالك يعني ان الفرصه للاصابه موجوده- التشخيص اثناء الحمل ممكن بعمل التراساوند واخصائي النسائه له دور في التشخيص والتصرف,Test,التراساوند
السلام عليكم،،عندي التهاب في اليد اليسرى و انتفاخ الان انا داخل في اليوم الرابع،رحت مستوصف قال التهاب في العصب وصرف لي دواء بروفين وحط لي مشد، والانتفاخ مستمر هل هو...,نعم نتيجة الالتهاب وتجمع السوائل فقط قم بوضع اليد بماء بارد لمدة 20 دقيقه ثم قم بوضع الضاغط وكرر العمليه 3 مرات باليوم,DiseaseCondition,التهاب في العصب
هل انتفاخ اصابع القدم و احيانا ازراق الاصابع عند وضع القدم دخل الماء الساخن او عند الجلوس لمدة طويلة او الوقوف لمدة طويلة امر عادي ؟ و لا أعاني من...,"تورم القدمين
هذه هي عادة مصدر ازعاج مؤقت وتكون إما بسبب الوقوف طويلا وخاصة إذا كنت حاملا. في المقابل ، يمكن أن يكون تورم القدمين علامة على حالة مرضية خطيرة فقد يكون السبب ضعف الدورة الدموية، أو مشكلة مع الجهاز الليمفاوي ، أو تجلط الدم , أو مشكلة بالكلي أو الغدة الدرقية
اما ازرقائها القدمين في الماء الساخن أظن ان هذه الحالة موجودة في الماء البارد لكن بالماء الساخن ممكن ان تنتفخ القدم وهذا طبيعي لحدوث توسع في الشرايين ام ازرقاء القدم فهو نتيجة تقلص في الشرايين ويكون هذا في الماء البارد او في فصل الشتاء",Symptom,تورم القدمين
"كم فنجان قهوة مسموح لي بالشرب يوميا ؟
علما باني طالبة ثانوية عامة واحتاجها للتركيز بدراستي","الكمية الموصى بهـــا 200 ملغم لكل يوم للأشخاص البالغين حسب الجمعية العامة للغذاء والدواء الأمريكية
ومن الجدير بالذكر أن الإكثار من تناول الكافيين أكثر من 400 ملغم يؤدي إلى :
- الأرق
- الهلع
- التهيج للأمعاء
- اضطراب المعدة
- سرعة ضربات القلب
- الهزل العام في العضلات",Treatment,قهوة
ما معنى المرض من ناحية علمية و نفسية,تحول عن حالة الصحة العادية، وبدقة أكثر فإن المرض هو المجموع الكلي للتفاعلات الجسدية والعقلية من قبل شخص تجاه عامل مؤذي يدخل جسمه من الخارج، أو ينشأ من الداخل (كالكائنات الدقيقة، أو السموم)، أو جرح، أو خلل خلقي، أو ولادي. او خلل استقلابي، او نقص في التغذية، أو عملية متنكسة. وتقسم الأمراض إلى معدية وغير معدية،وبائية وغير وبائية.,DiseaseCondition,المرض
"كان معايا الجرثومه الحلزونيه واتعالجت منها
لكن تعبت جدا
عملت منظار للمعده
لاقيت فى شرخ فى جدار المعده و تهتكات فى الحجاب الحاجزواشعر بالم وحرقان تحت القفص الصدرى.ماذا افعل؟",متابعة جادة مع الطبيب المعالج.,DiseaseCondition,شرخ فى جدار المعده
عمري 22 طالبة امتياز تمريض،أعاني من فترة طويله ألم بأكتافي ويثور عندما أعمل بيدي ولا أعلم مالسبب ،ارجو مساعدتكم,"في الاعمار الشابة هذه الالام سببها الرئيسب التهاب اوتار او شد عضلي , ينصح العمل على تقوية عضلات العنق والجذع , ينصح عمل صورة اشعة للعنق ومراجعة مركز علاج طبيعي",DiseaseCondition,التهاب اوتار
هل الهرمونات تسبب حساسيه في الجلد( مثل منطقة الصدر)؟؟؟,من الامراض التي تؤدي الى خلل هرموني وكذلك تغيرات جلديه هي ما يسمى بمتلازمه تكيس المبايض فبهذه الحاله نتيجه للارتفاع المفرط في الأنسولين و حالة مقاومة الانسولين، فهذا قد يؤدي الى زيادة بالوزن في الجزء العلوي من الجسم وكذلك تغيرات جلدية، مثل ظهور علامات في الجلد، أو ظهور بقع جلدية داكنة تحت الذراع أو على الرقبة أو في أعلى الفخذ و منطقة الأعضاء التناسلية.,DiseaseCondition,متلازمه تكيس المبايض
هل خلط إبرة dexon مع safenac ضار ؟,لن يضر الا ان كان المريض يعاني من مشكلة في المعدة لأن كلاهما (حتى ان كانا حقن) يؤثران بشكل سلبي على المعدة.,Treatment,dexon
اعراض التهاب القولون لاني اعاني من الم في البطن من اسبوعين في الجهة اليسرى اكثر وفي اسفل البطن بدي اعرف السببب والعلاج وشكرا,"• يجب نغير أنماطنا السريعة المتعجلة في تناول الطعام وفي عملية التبرز
• لا بد ان ندقق في نوعية الأطعمة التي نأكلها وفي موعد تناولها
لا تشرب المشروبات الغازية
ابتعد عن مضغ العلك
ابتعد عن البقوليات
ان كانت منتجات الحليب تؤذيك فتجنبها
أيضاً البصل والملفوف
المخللات
الاكل المملوء بالبهارات والفلفل
الشوفان وبذر الكتان جيدا للغازات والنفخة
شاي الأعشاب مثل النعناع والبابونج مفيدة",DiseaseCondition,التهاب القولون
حصل لي إلتهاب مكان الضرس المخلوع لكن مع ايام شفيت الحمدلله و الأن قررت المضمضة بيروكسيد الهيدروجين ماء اكسجيني 10٪؜ لكن خفت ان يترك لي اثار جانبية او يضر مكان...,ما سبب استخدامك لهذه المضمضه ...يجب ان لا تستخدمها استخدم مضمضه عاديه وابتعد عن هذه,Treatment,ابتعاد بيروكسيد الهيدروجين
دوخه و دوار بسيط لمده شهرين بدون فقدان التوازن و عندما اقود السياره اشعر ان السيارات تتحرك وهي واقفه تحاليل الدم و الحديد و ب12 كلها سليمه,"يجب عليك التاكد من عدم وجود التهاب بالاذن الوسطي
الدوخه والدوار قد تكون لهدا السبب وجود التهابات بالاذن الوسطي",DiseaseCondition,التهاب بالاذن الوسطي
صعوبة التنفس,"ضيق التنفس
هو عبارة عن تنفس مجهد وسريع أو عدم القدرة على استنشاق الهواء أو اخراجه من الرئتين.
وفي الغالبية العظمى من الحالات تنبيء هذه الحالة عن ضرورة طلب العناية الطبية خاصة إذا كانت مصحوبة بالم في الصدر أو تورم في الوجه.
أهم اسباب ضيق النفس:
قصور عضلة القلب/ الربو الشعبي / النوبة القلبية / الاسترواح الصدري / فقر الدم
إذا بدات تشعر بقصر النفس مؤخرآ + وإذا كنت تشعر بأي من الاعراض التالية :
- تورم الوجه أو الزور
- حكة أو ارتكاريا
فالحالة على الارجح
تفاعل حساسية / العوار / الربو الشعبي
إذا بدات تشعر بقصر النفس مؤخرآ + واصبت بالم مفاجيء بالصدر أثناء التنفس بعمق واستمر بعد الاستراحة لبضع دقائق
إذا بدات تشعر بقصر النفس مؤخرآ + وتشعر بأي من الاعراض التالية :
- دوار خفيف
- خوف شديد مفاجيء.
- تنميل بالشفاه أو اليدين.
- عرق.
- سرعة ضربات القلب
فالتشخيص على الارجح
اضطراب الذعر
إذا بدات تشعر بقصر النفس مؤخرآ +
وتشعر باي من الاعراض التالية:
- حرارة فوق 37.4 درجة مؤية.
- بلغم أصفر أة أخضر.
- ألم بالصدر اثناء التنفس.
فالتشخيص الراجح:
عدوى بكتيرية / الانفلونزا / الالتهاب الرئوي / نزلة البرد
إذا كنت مصاب بقصر مزمن في التنفس مع أو بدون سعال+
وتشعر بأي من الاعراض التالية:
- حمى.
- عرق غزير بالليل.
- فقدان الشهية.
- سعال مع دم.
- إصابة سابقة بالسل.
فالتشخيص الراجح:
ورم رئوي / خراج رئوي أو سل / سرطان الرئة
إذا كنت مصاب بقصر مزمن في التنفس مع أو بدون سعال+
وتشعر باي من الاعراض التالية:
- قصر النفس أو السعال يزداد سوءآ عند الرقاد.
- تورم الساقين.
- إصابة سابقة بمرض القلب
فالتشخيص الراجح:هبوط القلب الاحتقاني
إذا كنت مصاب بقصر مزمن في التنفس مع أو بدون سعال+
واصابك قصر النفس أثناء نشاط و سعال مصحوب ببلغم لمدة 3 شهور على الاقل
الالتهاب الشعبي المزمن / الانتفاخ الرئوي
إذا كان ضيق النفس مصحوبة بتزييق بالصدر
فالتشخيص الراجح:
تزييق الصدر / الربو الشعبي
إذا كنت بدينآ
زيادة الوزن والسمنة قد تكون السبب",Symptom,ضيق التنفس
هل مرض السرطان وراثي,معظم حالات السرطان ليست وراثية، ولهاأسباب متعددة، وحوالي ١٠-١٥٪ من السرطانات مثل القولون والثدي والرحم والمبيض والدم تكون عائلية ولها أسباب جينية.,DiseaseCondition,السرطان
عندى حساسية صدر مزمنه اخذ لها موسع للشعب وبخاخ ودواء مذيب وطارد للبلغم هل اخذ حقنة دبيروفوس اثناء الازمه مفيد للمرض وما هى المده بين أخذ هذه الحقنه والاخرى,في حالات الاصابة بنوبة حادة قد تعطى الحقنة في المشفى ولكن يجب استشارة الطبيب ومراجعته,Treatment,حقنة دبيروفوس
انا بدي اضعف وزني ٦٤ وطولي ١٦٥ كان وزني ٥٥ ونصحت وكيف اتخلص من كرشه صغيره من الولاده القيصري مرتين صار عندي كرش صغير,تحفيف كمية الطعام تدريجيا والتركيز على الأغذيه قليلة السعرات الحرارية مثل الخضار وبعض المشروبات مثل الشاي الأخضر والقرفه وتناول كافة الاطعمه الصحيه بكميات قليله مع التمارين الرياضية وباستشارة اخصائية تغذيه,Treatment,التمارين الرياضية
ابني ٨ اشهر و عندا حساسية الحليب و البيض و الرز و القمح و تناول حليب الصويا و بعد ساعتين تقيء و بعدها اسهال هل تحسس من حليب الصويا او...,نسبة كبيرة من الأطفال الذين يعانون من تحسس البروتين البقري في الحليب..يكون عندهم حساسية من الصويا.لكن هذا طبعاً لا يعني أن السبب هو الصويا.لابد من فحص الطفل أولاً.سلامته,DiseaseCondition,حساسية الحليب
ماهي افضل طريقه للتخلص من الجلد الزاائد بعد ازاله الكرش او البطن,حسب كمية الزيادة وليونة الجلد اذا بسيط ولا يوجد انثنأت الرياضة وعلاج الميزو بساعد والعكس جراحة,Treatment,جراحة
التحليل النسيجي ورم من الثدي T3 G3N1M0 her2 neu +1مستقبلات الهرمون ايجابية،ماهي نسبة الشفاء التام وعدم عودة المرض ؟ لم تتم الجراحة بعد واللستئصال سيكون كلي ، العقد الابطية ٢,ما هي نسبة مؤشر لانتشار ki 67؟ اذا كان مرتفعا يمكن بدا العلاج بال chemotherapy لتجنب الاستئصال الكلي للثدي,DiseaseCondition,ورم من الثدي
ما هي اعراض الاصابة بمرض القلب وما هي اسبابه,أمراض القلب كثيرة ولكل منها سببه، ولا نعرف عن أي مرض تسأل هل عن ما يتعلق بالصمامات أو الشريين أو عضلة القلب أو أغشيته أو غير ذلك,DiseaseCondition,أمراض القلب
قبل فترة اصبت بالتهاب في اللوزتين فاخذت اقراص ازيثرومايسين 500 ملغم عانيت من الاعراض التالية كثرة النبرز ويحتوي بقايا طعام وبهدها بفترة خفقان وبعدها تحسس بالجلد كلسع الحشرات,الأعراض السابقة هي من أكثر الأعراض الجانبية للإريثرومايسين شيوعاًً .. مما يدل على وجود حساسية لجسمك تجاه الإريثرومايسين .. أنصحك بالإبتعاد عن تناول هذا الدواء بدون إشراف طبي و زيارة الطبيب للتعرف على مدى الحساسية و أنواع المضادات الحيوية الأخرى التي يمكن تناولها بدلاً من الاريثرومايسين.,Treatment,ازيثرومايسين
"لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب.
كما أخبركم أني مريصة بالقلب (مشكل في صمامتين)",لا داعي للقلق لكن اسباب ذلك كثيرة وقد لا تكون متعلقة بحالتك السابقة وفي جميع الاحوال لا بد من فحص طبي سريري اولا لبيان خصائص الاعراض وللكشف عن العلامات المرافقة اولا,Symptom,صعوبة في التنفس العميق
اعاني من طنين بالاذن اليمين اثنا الليل,طنين الاذن قد يكون بسبب. شمع كثيف بالاذن الخارجية. او تصلب بعظمة الركاب. او التهاب بعصب السمع او التهاب الاذن الوسطي او الداخلية. ينصح بمتابعة طبيب الانف فقد تحتاج الي غسيل الاذن. او عمل مقياس للسمع او ضغط للسمع,DiseaseCondition,التهاب
