query_id,query,subgraph_rank,rerank_score,max_hybrid_score,mean_top_hybrid_score,evidence_count,unique_qa_count,direct_edge_count,semantic_support,evidence_relevance,relation_weight,primary_intent_match,source_entity_id,source_name,source_type,graph_relation_type,target_entity_id,target_name,target_type,best_seed_entity_name,best_seed_source,rank_reason
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,3,0.379826,0.394817,0.394817,1,1,1,0.06455,0.142857,-0.2,False,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,DIAGNOSED_BY,ent_test_dd68aa784555,تحاليل مخبرية,Test,حساسية,semantic_qa_evidence,has original/direct edge support
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,4,0.379631,0.394513,0.394513,1,1,1,0.062017,0.142857,-0.2,False,ent_symptom_fd750eeb2865,انتفاخ,Symptom,INVESTIGATED_BY,ent_test_c4cfd2d6468c,اشعة,Test,انتفاخ,semantic_qa_evidence,has original/direct edge support
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,5,0.379458,0.394243,0.394243,1,1,1,0.059761,0.142857,-0.2,False,ent_symptom_42ad4acdebc5,وجع,Symptom,INVESTIGATED_BY,ent_test_c4cfd2d6468c,اشعة,Test,وجع,semantic_qa_evidence,has original/direct edge support
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,6,0.294226,0.354817,0.354817,1,1,0,0.06455,0.142857,-0.2,False,ent_test_dd68aa784555,تحاليل مخبرية,Test,DIAGNOSES,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,تحاليل مخبرية,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,7,0.294031,0.354513,0.354513,1,1,0,0.062017,0.142857,-0.2,False,ent_test_c4cfd2d6468c,اشعة,Test,INVESTIGATES,ent_symptom_fd750eeb2865,انتفاخ,Symptom,اشعة,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,8,0.293858,0.354243,0.354243,1,1,0,0.059761,0.142857,-0.2,False,ent_test_c4cfd2d6468c,اشعة,Test,INVESTIGATES,ent_symptom_42ad4acdebc5,وجع,Symptom,اشعة,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,1,0.920872,0.768113,0.762113,3,3,3,0.346779,0.4,1.0,True,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,HAS_SYMPTOM,ent_symptom_724e59ded899,ضغط الدم,Symptom,مرض السكري,semantic_candidate,matches primary intent; 3 evidence rows; has original/direct edge support; evidence overlaps query terms; 3 distinct QA sources
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,2,0.919639,0.921311,0.921311,1,1,1,0.523422,0.8,1.0,True,ent_symptom_1113453f7a36,فقدان الوعي,Symptom,TREATED_BY,ent_treatment_b9702eae5c6a,عسل,Treatment,فقدان الوعي,detected_exact,matches primary intent; has original/direct edge support; strong semantic support; evidence overlaps query terms
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,3,0.803312,0.778613,0.778613,1,1,1,0.346779,0.3,1.0,True,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,DIAGNOSED_BY,ent_test_dd68aa784555,تحاليل مخبرية,Test,مرض السكري,semantic_candidate,matches primary intent; has original/direct edge support; evidence overlaps query terms
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,4,0.759701,0.718283,0.718283,1,1,1,0.231523,0.2,1.0,True,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,DIAGNOSED_BY,ent_test_dd68aa784555,تحاليل مخبرية,Test,التهاب,semantic_qa_evidence,matches primary intent; has original/direct edge support
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,5,0.387559,0.449311,0.449311,1,1,0,0.523422,0.8,-0.2,False,ent_treatment_b9702eae5c6a,عسل,Treatment,TREATS,ent_symptom_1113453f7a36,فقدان الوعي,Symptom,عسل,semantic_qa_evidence,strong semantic support; evidence overlaps query terms
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,6,0.340352,0.414613,0.414613,1,1,0,0.346779,0.3,-0.2,False,ent_test_dd68aa784555,تحاليل مخبرية,Test,DIAGNOSES,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,تحاليل مخبرية,semantic_qa_evidence,evidence overlaps query terms
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,7,0.338632,0.404113,0.404113,1,1,0,0.346779,0.4,-0.2,False,ent_symptom_724e59ded899,ضغط الدم,Symptom,SYMPTOM_OF,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,ضغط الدم,semantic_qa_evidence,evidence overlaps query terms
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,8,0.312101,0.378283,0.378283,1,1,0,0.231523,0.2,-0.2,False,ent_test_dd68aa784555,تحاليل مخبرية,Test,DIAGNOSES,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,تحاليل مخبرية,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,1,0.863471,0.8814,0.8814,1,1,1,0.497087,0.1875,1.0,True,ent_symptom_fd750eeb2865,انتفاخ,Symptom,INVESTIGATED_BY,ent_test_c4cfd2d6468c,اشعة,Test,انتفاخ,detected_exact,matches primary intent; has original/direct edge support
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,2,0.78026,0.7465,0.7465,1,1,1,0.241666,0.25,1.0,True,ent_diseasecondition_22348d970227,مرض الغدة الدرقية,DiseaseCondition,DIAGNOSED_BY,ent_test_234f794d532f,الهرمون,Test,مرض الغدة الدرقية,semantic_candidate,matches primary intent; has original/direct edge support; evidence overlaps query terms
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,3,0.777871,0.8414,0.8414,1,1,0,0.497087,0.1875,1.0,True,ent_test_c4cfd2d6468c,اشعة,Test,INVESTIGATES,ent_symptom_fd750eeb2865,انتفاخ,Symptom,أشعة,detected_exact,matches primary intent
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,4,0.777748,0.836325,0.836325,1,1,0,0.423544,0.25,1.0,True,ent_test_c4cfd2d6468c,أشعة,Test,DIAGNOSES,ent_diseasecondition_190a32dbb9bd,تسوس الأسنان,DiseaseCondition,أشعة,detected_exact,matches primary intent; evidence overlaps query terms
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,5,0.773343,0.740575,0.740575,1,1,1,0.423544,0.1875,1.0,True,ent_symptom_42ad4acdebc5,وجع,Symptom,INVESTIGATED_BY,ent_test_c4cfd2d6468c,اشعة,Test,وجع,semantic_qa_evidence,matches primary intent; has original/direct edge support
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,6,0.773343,0.740575,0.740575,1,1,1,0.423544,0.1875,1.0,True,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,DIAGNOSED_BY,ent_test_c4cfd2d6468c,اشعة,Test,التهاب,semantic_qa_evidence,matches primary intent; has original/direct edge support
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,7,0.772223,0.832575,0.832575,1,1,0,0.423544,0.1875,1.0,True,ent_test_c4cfd2d6468c,اشعة,Test,INVESTIGATES,ent_symptom_42ad4acdebc5,وجع,Symptom,أشعة,detected_exact,matches primary intent
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,8,0.772223,0.832575,0.832575,1,1,0,0.423544,0.1875,1.0,True,ent_test_c4cfd2d6468c,اشعة,Test,DIAGNOSES,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,أشعة,detected_exact,matches primary intent
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,1,0.532286,0.589286,0.589286,1,1,1,0.242622,0.142857,0.4,False,ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,HAS_SYMPTOM,ent_symptom_f4cf885a0447,سعال,Symptom,حساسية الصدر,semantic_qa_evidence,has original/direct edge support
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,2,0.53072,0.586839,0.586839,1,1,1,0.277231,0.142857,0.4,False,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,HAS_SYMPTOM,ent_symptom_59d5c1de0b88,الدم,Symptom,التهاب,semantic_qa_evidence,has original/direct edge support
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,3,0.446686,0.549286,0.549286,1,1,0,0.242622,0.142857,0.4,False,ent_symptom_f4cf885a0447,سعال,Symptom,SYMPTOM_OF,ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,سعال,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,4,0.44512,0.546839,0.546839,1,1,0,0.277231,0.142857,0.4,False,ent_symptom_59d5c1de0b88,الدم,Symptom,SYMPTOM_OF,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,الدم,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,5,0.402496,0.430239,0.430239,1,1,1,0.277231,0.142857,-0.2,False,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,DIAGNOSED_BY,ent_test_f6ff9119ed14,تصوير الجهاز البولي,Test,التهاب,semantic_qa_evidence,has original/direct edge support
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,6,0.400384,0.426939,0.426939,1,1,1,0.277231,0.142857,-0.2,False,ent_symptom_59d5c1de0b88,الدم,Symptom,INVESTIGATED_BY,ent_test_f6ff9119ed14,تصوير الجهاز البولي,Test,الدم,semantic_qa_evidence,has original/direct edge support
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,7,0.399838,0.426086,0.426086,1,1,1,0.242622,0.142857,-0.2,False,ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,DIAGNOSED_BY,ent_test_433492431144,تحليل الحساسية,Test,حساسية الصدر,semantic_qa_evidence,has original/direct edge support
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,8,0.316896,0.390239,0.390239,1,1,0,0.277231,0.142857,-0.2,False,ent_test_f6ff9119ed14,تصوير الجهاز البولي,Test,DIAGNOSES,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,تصوير الجهاز البولي,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,1,0.787398,0.766408,0.766408,1,1,1,0.388605,0.137931,1.0,True,ent_diseasecondition_d9b91988beb9,التهاب السحايا,DiseaseCondition,HAS_SYMPTOM,ent_symptom_b754f1a1e5a8,صداع,Symptom,التهاب السحايا,semantic_qa_evidence,matches primary intent; has original/direct edge support
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,2,0.786278,0.858408,0.858408,1,1,0,0.388605,0.137931,1.0,True,ent_symptom_b754f1a1e5a8,صداع,Symptom,SYMPTOM_OF,ent_diseasecondition_d9b91988beb9,التهاب السحايا,DiseaseCondition,صداع,detected_exact,matches primary intent
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,3,0.776838,0.749908,0.749908,1,1,1,0.388605,0.137931,1.0,True,ent_diseasecondition_ad3e19c416f6,التهاب الجيوب الأنفية,DiseaseCondition,HAS_SYMPTOM,ent_symptom_b754f1a1e5a8,صداع,Symptom,التهاب الجيوب الأنفية,semantic_qa_evidence,matches primary intent; has original/direct edge support
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,4,0.775718,0.841908,0.841908,1,1,0,0.388605,0.137931,1.0,True,ent_symptom_b754f1a1e5a8,صداع,Symptom,SYMPTOM_OF,ent_diseasecondition_ad3e19c416f6,التهاب الجيوب الأنفية,DiseaseCondition,صداع,detected_exact,matches primary intent
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,5,0.766573,0.835702,0.835702,1,1,0,0.388605,0.034483,1.0,True,ent_symptom_b754f1a1e5a8,صداع,Symptom,SYMPTOM_OF,ent_diseasecondition_00247d3d5c80,الصداع التوتري,DiseaseCondition,صداع,detected_exact,matches primary intent
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,6,0.760182,0.729271,0.729271,1,1,1,0.388605,0.068966,1.0,True,ent_diseasecondition_04b436ff2a98,ضرس العقل,DiseaseCondition,HAS_SYMPTOM,ent_symptom_b754f1a1e5a8,صداع,Symptom,ضرس العقل,semantic_qa_evidence,matches primary intent; has original/direct edge support
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,7,0.759583,0.722947,0.722947,1,1,1,0.218925,0.137931,1.0,True,ent_diseasecondition_ad3e19c416f6,التهاب الجيوب الأنفية,DiseaseCondition,HAS_SYMPTOM,ent_symptom_d713f64368d3,ضغط,Symptom,التهاب الجيوب الأنفية,semantic_qa_evidence,matches primary intent; has original/direct edge support
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,8,0.759062,0.821271,0.821271,1,1,0,0.388605,0.068966,1.0,True,ent_symptom_b754f1a1e5a8,صداع,Symptom,SYMPTOM_OF,ent_diseasecondition_04b436ff2a98,ضرس العقل,DiseaseCondition,صداع,detected_exact,matches primary intent
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,1,0.567512,0.624663,0.624663,1,1,1,0.474086,0.954545,-0.2,False,ent_diseasecondition_780d3bf613f5,قرحة,DiseaseCondition,TREATED_BY,ent_treatment_90996a0e2d01,ايزومبرازول,Treatment,قرحة,detected_exact,has original/direct edge support; evidence overlaps query terms
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,2,0.407368,0.438359,0.438359,1,1,1,0.293147,0.136364,-0.2,False,ent_diseasecondition_86e897b1e25a,الملوية البوابية,DiseaseCondition,TREATED_BY,ent_treatment_1479a48d3d42,الدواء,Treatment,الملوية البوابية,semantic_qa_evidence,has original/direct edge support
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,3,0.397432,0.452663,0.452663,1,1,0,0.474086,0.954545,-0.2,False,ent_treatment_90996a0e2d01,ايزومبرازول,Treatment,TREATS,ent_diseasecondition_780d3bf613f5,قرحة,DiseaseCondition,ايزومبرازول,semantic_qa_evidence,evidence overlaps query terms
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,4,0.321768,0.398359,0.398359,1,1,0,0.293147,0.136364,-0.2,False,ent_treatment_1479a48d3d42,الدواء,Treatment,TREATS,ent_diseasecondition_86e897b1e25a,الملوية البوابية,DiseaseCondition,الدواء,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,1,0.421826,0.457136,0.457136,1,1,1,0.232705,0.185185,-0.2,False,focus_ent_dental_filling,حشو الأسنان,Treatment,NOT_ASSOCIATED_WITH,focus_ent_face_dimple,غمازة الوجه,BodyFeature,حشو الأسنان,semantic_qa_evidence,has original/direct edge support
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,2,0.421826,0.457136,0.457136,1,1,1,0.232705,0.185185,-0.2,False,focus_ent_strong_local_anesthesia,تخدير موضعي قوي,Treatment,MAY_TEMPORARILY_AFFECT,focus_ent_face_dimple,غمازة الوجه,BodyFeature,تخدير موضعي قوي,semantic_qa_evidence,has original/direct edge support
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,3,0.415278,0.452691,0.452691,1,1,1,0.232705,0.111111,-0.2,False,focus_ent_tooth_filing,برد الأسنان,Procedure,HAS_RISK,focus_ent_tooth_sensitivity,حساسية الأسنان,Symptom,برد الأسنان,semantic_qa_evidence,has original/direct edge support
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,4,0.415278,0.452691,0.452691,1,1,1,0.232705,0.111111,-0.2,False,focus_ent_tooth_filing,برد الأسنان,Procedure,PROCEDURE_DURATION,focus_ent_one_two_sessions,جلسة واحدة أو جلستان,ProcedureDuration,برد الأسنان,semantic_qa_evidence,has original/direct edge support
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,5,0.38401,0.400941,0.400941,1,1,1,0.112938,0.148148,-0.2,False,ent_symptom_6910233b82fc,بروز في البطن,Symptom,TREATED_BY,ent_treatment_a3fdf405330a,تمارين رياضية,Treatment,بروز في البطن,semantic_qa_evidence,has original/direct edge support
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,6,0.29841,0.360941,0.360941,1,1,0,0.112938,0.148148,-0.2,False,ent_treatment_a3fdf405330a,تمارين رياضية,Treatment,TREATS,ent_symptom_6910233b82fc,بروز في البطن,Symptom,تمارين رياضية,semantic_qa_evidence,kept as lower-priority supporting graph edge
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,1,0.496355,0.509929,0.509929,1,1,1,0.595238,1.0,-0.2,False,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,HAS_SYMPTOM,ent_symptom_ecf500c8beea,حرقه,Symptom,التهاب,semantic_qa_evidence,has original/direct edge support; strong semantic support; evidence overlaps query terms
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,2,0.495235,0.601929,0.601929,1,1,0,0.595238,1.0,-0.2,False,ent_symptom_ecf500c8beea,حرقه,Symptom,SYMPTOM_OF,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,حرقه,detected_exact,strong semantic support; evidence overlaps query terms
