query_id,source_entity_id,graph_relation_type,target_entity_id,evidence_rank,hybrid_score,evidence_relevance,qa_id,evidence,reason,edge_id,edge_direction
trial_query_077,ent_test_c4cfd2d6468c,INVESTIGATES,ent_symptom_42ad4acdebc5,1,0.354243,0.142857,ahd5k_01537,اشعة بالصبغة,X-ray with contrast is explicitly mentioned as the investigative method for the symptom of body pain.,rel_seed_11af4134e6087155__inverse,inverse
trial_query_078,ent_symptom_1113453f7a36,TREATED_BY,ent_treatment_b9702eae5c6a,1,0.921311,0.8,ahd5k_00992,يجب عليك اعطاء المصاب عسل تحت لسانه,QA explicitly recommends honey as treatment for loss of consciousness in diabetic patient,rel_seed_db347ae3105b718e,direct
trial_query_078,ent_diseasecondition_380db6d92562,DIAGNOSED_BY,ent_test_dd68aa784555,1,0.778613,0.3,ahd5k_01551,تحاليل مخبرية,Lab tests are standard diagnostic tools for diabetes.,rel_seed_fff580f977f6b0c9,direct
trial_query_078,ent_diseasecondition_380db6d92562,HAS_SYMPTOM,ent_symptom_724e59ded899,1,0.768113,0.4,ahd5k_04912,مع العلم أن المريض يعاني من مرض السكر,Explicit disease-symptom relationship,rel_seed_b3536762c6f85e02,direct
trial_query_078,ent_diseasecondition_380db6d92562,HAS_SYMPTOM,ent_symptom_724e59ded899,2,0.762113,0.3,ahd5k_01294,مرض السكري وضغط الدمز,Direct co-occurrence with explicit disease-symptom relationship,rel_seed_bd9e5c6d36b9dbdb,direct
trial_query_078,ent_diseasecondition_380db6d92562,HAS_SYMPTOM,ent_symptom_724e59ded899,3,0.756113,0.2,ahd5k_02607,مرض السكري وضغط الدم,Direct disease-symptom relationship established,rel_seed_1a25f42f93f6f380,direct
trial_query_078,ent_diseasecondition_16cf4e77b755,DIAGNOSED_BY,ent_test_dd68aa784555,1,0.718283,0.2,ahd5k_01551,تحاليل مخبرية,Lab tests are standard diagnostic tools for inflammation.,rel_seed_85a95e9683ec40c4,direct
trial_query_078,ent_treatment_b9702eae5c6a,TREATS,ent_symptom_1113453f7a36,1,0.449311,0.8,ahd5k_00992,يجب عليك اعطاء المصاب عسل تحت لسانه,QA explicitly recommends honey as treatment for loss of consciousness in diabetic patient,rel_seed_db347ae3105b718e__inverse,inverse
trial_query_078,ent_test_dd68aa784555,DIAGNOSES,ent_diseasecondition_380db6d92562,1,0.414613,0.3,ahd5k_01551,تحاليل مخبرية,Lab tests are standard diagnostic tools for diabetes.,rel_seed_fff580f977f6b0c9__inverse,inverse
trial_query_078,ent_symptom_724e59ded899,SYMPTOM_OF,ent_diseasecondition_380db6d92562,1,0.404113,0.4,ahd5k_04912,مع العلم أن المريض يعاني من مرض السكر,Explicit disease-symptom relationship,rel_seed_b3536762c6f85e02__inverse,inverse
trial_query_078,ent_test_dd68aa784555,DIAGNOSES,ent_diseasecondition_16cf4e77b755,1,0.378283,0.2,ahd5k_01551,تحاليل مخبرية,Lab tests are standard diagnostic tools for inflammation.,rel_seed_85a95e9683ec40c4__inverse,inverse
trial_query_079,ent_symptom_fd750eeb2865,INVESTIGATED_BY,ent_test_c4cfd2d6468c,1,0.8814,0.1875,ahd5k_01537,اشعة بالصبغة,X-ray with contrast is explicitly mentioned as the investigative method for the symptom of swelling.,rel_seed_b0669eae8f21f480,direct
trial_query_079,ent_test_c4cfd2d6468c,INVESTIGATES,ent_symptom_fd750eeb2865,1,0.8414,0.1875,ahd5k_01537,اشعة بالصبغة,X-ray with contrast is explicitly mentioned as the investigative method for the symptom of swelling.,rel_seed_b0669eae8f21f480__inverse,inverse
trial_query_079,ent_test_c4cfd2d6468c,DIAGNOSES,ent_diseasecondition_190a32dbb9bd,1,0.836325,0.25,ahd5k_04844,أشعة,أشعة مذكورة كوسيلة لتشخيص خراجات اللثة المرتبطة بتسوس الأسنان,rel_seed_892989157e377bf9__inverse,inverse
trial_query_079,ent_test_c4cfd2d6468c,INVESTIGATES,ent_symptom_42ad4acdebc5,1,0.832575,0.1875,ahd5k_01537,اشعة بالصبغة,X-ray with contrast is explicitly mentioned as the investigative method for the symptom of body pain.,rel_seed_11af4134e6087155__inverse,inverse
trial_query_079,ent_test_c4cfd2d6468c,DIAGNOSES,ent_diseasecondition_16cf4e77b755,1,0.832575,0.1875,ahd5k_00114,اجراء صورة اشعة عادية للحوض,X-ray directly used to diagnose inflammation,rel_seed_e970be45ddb963ae__inverse,inverse
trial_query_079,ent_diseasecondition_22348d970227,DIAGNOSED_BY,ent_test_234f794d532f,1,0.7465,0.25,ahd5k_00035,مستوى الهرمون في الدم,Hormone level test directly linked to thyroid disease diagnosis,rel_seed_14a6be8faeb8ff92,direct
trial_query_079,ent_symptom_42ad4acdebc5,INVESTIGATED_BY,ent_test_c4cfd2d6468c,1,0.740575,0.1875,ahd5k_01537,اشعة بالصبغة,X-ray with contrast is explicitly mentioned as the investigative method for the symptom of body pain.,rel_seed_11af4134e6087155,direct
trial_query_079,ent_diseasecondition_16cf4e77b755,DIAGNOSED_BY,ent_test_c4cfd2d6468c,1,0.740575,0.1875,ahd5k_00114,اجراء صورة اشعة عادية للحوض,X-ray directly used to diagnose inflammation,rel_seed_e970be45ddb963ae,direct
trial_query_080,ent_diseasecondition_250910ab0701,HAS_SYMPTOM,ent_symptom_f4cf885a0447,1,0.589286,0.142857,ahd5k_04490,حساسية الصدر and سعال co-occur with explicit symptom-pathology link,Direct symptom-pathology relationship established in QA context,rel_seed_bae062ec77d09618,direct
trial_query_080,ent_diseasecondition_16cf4e77b755,HAS_SYMPTOM,ent_symptom_59d5c1de0b88,1,0.586839,0.142857,ahd5k_00666,التهاب في المثانة أو الإحليل يسبب خروج الدم,Direct causal link between inflammation and blood as symptom,rel_seed_cc52f0a3c44e4c1e,direct
trial_query_080,ent_symptom_f4cf885a0447,SYMPTOM_OF,ent_diseasecondition_250910ab0701,1,0.549286,0.142857,ahd5k_04490,حساسية الصدر and سعال co-occur with explicit symptom-pathology link,Direct symptom-pathology relationship established in QA context,rel_seed_bae062ec77d09618__inverse,inverse
trial_query_080,ent_symptom_59d5c1de0b88,SYMPTOM_OF,ent_diseasecondition_16cf4e77b755,1,0.546839,0.142857,ahd5k_00666,التهاب في المثانة أو الإحليل يسبب خروج الدم,Direct causal link between inflammation and blood as symptom,rel_seed_cc52f0a3c44e4c1e__inverse,inverse
trial_query_080,ent_diseasecondition_16cf4e77b755,DIAGNOSED_BY,ent_test_f6ff9119ed14,1,0.430239,0.142857,ahd5k_00666,تصوير الجهاز البولي لتحديد سبب التهاب المثانة,Diagnostic imaging directly linked to inflammation diagnosis,rel_seed_582350660fdefde2,direct
trial_query_080,ent_symptom_59d5c1de0b88,INVESTIGATED_BY,ent_test_f6ff9119ed14,1,0.426939,0.142857,ahd5k_00666,تصوير الجهاز البولي لتحديد مكان خروج الدم,Direct investigation of blood symptom through imaging,rel_seed_f03eb900aed1136f,direct
trial_query_080,ent_diseasecondition_250910ab0701,DIAGNOSED_BY,ent_test_433492431144,1,0.426086,0.142857,ahd5k_04490,تحليل الحساسية explicitly mentioned as diagnostic tool for حساسية الصدر,Test directly linked to condition diagnosis in QA,rel_seed_e4f1901524d0dd30,direct
trial_query_080,ent_test_f6ff9119ed14,DIAGNOSES,ent_diseasecondition_16cf4e77b755,1,0.390239,0.142857,ahd5k_00666,تصوير الجهاز البولي لتحديد سبب التهاب المثانة,Diagnostic imaging directly linked to inflammation diagnosis,rel_seed_582350660fdefde2__inverse,inverse
trial_query_081,ent_symptom_b754f1a1e5a8,SYMPTOM_OF,ent_diseasecondition_d9b91988beb9,1,0.858408,0.137931,ahd5k_02662,صداع,Meningitis (التهاب السحايا) directly causes headache (صداع) as a primary symptom.,rel_seed_3d467dae60e3e704__inverse,inverse
trial_query_081,ent_symptom_b754f1a1e5a8,SYMPTOM_OF,ent_diseasecondition_ad3e19c416f6,1,0.841908,0.137931,ahd5k_02662,صداع,Sinusitis (التهاب الجيوب الأنفية) commonly presents with headache (صداع) as a symptom.,rel_seed_fc5afd3631ff5eb3__inverse,inverse
trial_query_081,ent_symptom_b754f1a1e5a8,SYMPTOM_OF,ent_diseasecondition_00247d3d5c80,1,0.835702,0.034483,ahd5k_00780,الصداع التوتري قد يظهر كصداع يختلف حدته,العلاقة مدعومة مباشرة من النص الذي يربط بين الحالة المرضية والأعراض,rel_seed_f7f26f23fb811356__inverse,inverse
trial_query_081,ent_symptom_b754f1a1e5a8,SYMPTOM_OF,ent_diseasecondition_04b436ff2a98,1,0.821271,0.068966,ahd5k_04356,ضرس العقل,Wisdom teeth (ضرس العقل) are explicitly linked to headache (صداع) as a symptom.,rel_seed_938a3b9670527bd9__inverse,inverse
trial_query_081,ent_diseasecondition_d9b91988beb9,HAS_SYMPTOM,ent_symptom_b754f1a1e5a8,1,0.766408,0.137931,ahd5k_02662,صداع,Meningitis (التهاب السحايا) directly causes headache (صداع) as a primary symptom.,rel_seed_3d467dae60e3e704,direct
trial_query_081,ent_diseasecondition_ad3e19c416f6,HAS_SYMPTOM,ent_symptom_b754f1a1e5a8,1,0.749908,0.137931,ahd5k_02662,صداع,Sinusitis (التهاب الجيوب الأنفية) commonly presents with headache (صداع) as a symptom.,rel_seed_fc5afd3631ff5eb3,direct
trial_query_081,ent_diseasecondition_04b436ff2a98,HAS_SYMPTOM,ent_symptom_b754f1a1e5a8,1,0.729271,0.068966,ahd5k_04356,ضرس العقل,Wisdom teeth (ضرس العقل) are explicitly linked to headache (صداع) as a symptom.,rel_seed_938a3b9670527bd9,direct
trial_query_081,ent_diseasecondition_ad3e19c416f6,HAS_SYMPTOM,ent_symptom_d713f64368d3,1,0.722947,0.137931,ahd5k_02662,ضغط,Sinusitis (التهاب الجيوب الأنفية) causes facial pressure (ضغط) as a direct symptom.,rel_seed_3f9dbbea6fdd8f6f,direct
trial_query_082,ent_diseasecondition_780d3bf613f5,TREATED_BY,ent_treatment_90996a0e2d01,1,0.624663,0.954545,ahd5k_01066,ممكن تجرب دواء اسمه ايزومبرازول,Treatment explicitly recommended for ulcer.,rel_seed_d859af7524ae0413,direct
trial_query_082,ent_treatment_90996a0e2d01,TREATS,ent_diseasecondition_780d3bf613f5,1,0.452663,0.954545,ahd5k_01066,ممكن تجرب دواء اسمه ايزومبرازول,Treatment explicitly recommended for ulcer.,rel_seed_d859af7524ae0413__inverse,inverse
trial_query_082,ent_diseasecondition_86e897b1e25a,TREATED_BY,ent_treatment_1479a48d3d42,1,0.438359,0.136364,ahd5k_03807,مضادات حيويه نكسيوم و كلاريثرومايسين واموكسسلين,السياق يربط العلاج مباشرة بالملوية البوابية كسبب للقرحة,rel_seed_ca33d772076cfe85,direct
trial_query_082,ent_treatment_1479a48d3d42,TREATS,ent_diseasecondition_86e897b1e25a,1,0.398359,0.136364,ahd5k_03807,مضادات حيويه نكسيوم و كلاريثرومايسين واموكسسلين,السياق يربط العلاج مباشرة بالملوية البوابية كسبب للقرحة,rel_seed_ca33d772076cfe85__inverse,inverse
trial_query_083,focus_ent_dental_filling,NOT_ASSOCIATED_WITH,focus_ent_face_dimple,1,0.457136,0.185185,ahd5k_00484,لا توجد علاقة مرتبطة بين حشو الأسنان وغمازة الوجه حسب مصدر AHD.,focused dataset-derived expansion from ahd5k_00484,focus_rel_dental_filling_no_dimple_relation,direct
trial_query_083,focus_ent_strong_local_anesthesia,MAY_TEMPORARILY_AFFECT,focus_ent_face_dimple,1,0.457136,0.185185,ahd5k_00484,إذا تم تخدير منطقة الغمازة بمخدر قوي وكمية كبيرة فقد تزول الحالة خلال 24-48 ساعة.,focused dataset-derived expansion from ahd5k_00484,focus_rel_dental_anesthesia_temporary_dimple,direct
trial_query_083,focus_ent_tooth_filing,HAS_RISK,focus_ent_tooth_sensitivity,1,0.452691,0.111111,ahd5k_00828,كثرة برد الأسنان قد تؤثر على الأسنان وتجعلها حساسة.,focused dataset-derived expansion from ahd5k_00828,focus_rel_tooth_filing_risk_sensitivity,direct
trial_query_083,focus_ent_tooth_filing,PROCEDURE_DURATION,focus_ent_one_two_sessions,1,0.452691,0.111111,ahd5k_00828,برد الأسنان للتصغير قد يتم في جلسة واحدة، أما للتركيب وعمل أسنان صناعية فقد يحتاج جلسة أو جلستين.,focused dataset-derived expansion from ahd5k_00828,focus_rel_tooth_filing_duration,direct
trial_query_083,ent_symptom_6910233b82fc,TREATED_BY,ent_treatment_a3fdf405330a,1,0.400941,0.148148,ahd5k_04986,وجربت التمارين فترة بس ما لاحظت نتيجة كبيرة,Exercise explicitly mentioned as treatment for belly protrusion,rel_seed_8d3a656f552448a8,direct
trial_query_083,ent_treatment_a3fdf405330a,TREATS,ent_symptom_6910233b82fc,1,0.360941,0.148148,ahd5k_04986,وجربت التمارين فترة بس ما لاحظت نتيجة كبيرة,Exercise explicitly mentioned as treatment for belly protrusion,rel_seed_8d3a656f552448a8__inverse,inverse
trial_query_084,ent_symptom_ecf500c8beea,SYMPTOM_OF,ent_diseasecondition_16cf4e77b755,1,0.601929,1.0,ahd5k_01099,التهابات نسائيه تسبب حرقه في المهبل,الالتهاب النسائي يُظهر مباشرةً حرقه كأعراض مصاحبة,rel_seed_49bc59e28967e4ac__inverse,inverse
trial_query_084,ent_diseasecondition_16cf4e77b755,HAS_SYMPTOM,ent_symptom_ecf500c8beea,1,0.509929,1.0,ahd5k_01099,التهابات نسائيه تسبب حرقه في المهبل,الالتهاب النسائي يُظهر مباشرةً حرقه كأعراض مصاحبة,rel_seed_49bc59e28967e4ac,direct
trial_query_085,focus_ent_anemia,MANAGED_BY,focus_ent_iron_rich_foods,1,0.434009,0.1,ahd5k_00594,يمكن دعم فقر الدم بنظام غذائي غني بعناصر مثل الحديد وحمض الفوليك وفيتامين ب-12، مع بقاء العلاج حسب نوع فقر الدم تحت إشراف الطبيب.,focused dataset-derived expansion from ahd5k_00594,focus_rel_anemia_managed_by_iron_rich_food,direct
trial_query_085,focus_ent_iron_rich_foods,ABSORPTION_IMPROVED_BY,focus_ent_vitamin_c_foods,1,0.434009,0.1,ahd5k_00594,تناول الأطعمة الغنية بالحديد مع أطعمة غنية بفيتامين ج مثل البرتقال والطماطم والفراولة قد يحسن الامتصاص.,focused dataset-derived expansion from ahd5k_00594,focus_rel_iron_absorption_improved_by_vitamin_c,direct
trial_query_085,focus_ent_iron_rich_foods,ABSORPTION_REDUCED_BY,focus_ent_tea_coffee_calcium,1,0.434009,0.1,ahd5k_00594,ينصح بتجنب تناول الأطعمة الغنية بالحديد مع القهوة أو الشاي أو الأطعمة الغنية بالكالسيوم لأنها قد تمنع امتصاص الحديد.,focused dataset-derived expansion from ahd5k_00594,focus_rel_iron_absorption_reduced_by_tea_coffee,direct
trial_query_085,ent_symptom_c411d2ed3083,TREATED_BY,ent_treatment_34b849dbecc0,1,0.394756,0.1,ahd5k_04444,جرب بخاخات الماء والملح,النص يشير مباشرة إلى استخدام البخاخات كعلاج,rel_seed_91d68abf0a3b2f49,direct
trial_query_085,ent_symptom_c411d2ed3083,INVESTIGATED_BY,ent_test_84971d541245,1,0.394756,0.1,ahd5k_04444,لابد من عرضه على اخصائي الاطفال,النص يشير مباشرة إلى التحقيق عبر استشارة متخصص,rel_seed_95c059b6f1660cdf,direct
trial_query_085,ent_treatment_34b849dbecc0,TREATS,ent_symptom_c411d2ed3083,1,0.354756,0.1,ahd5k_04444,جرب بخاخات الماء والملح,النص يشير مباشرة إلى استخدام البخاخات كعلاج,rel_seed_91d68abf0a3b2f49__inverse,inverse
trial_query_085,ent_test_84971d541245,INVESTIGATES,ent_symptom_c411d2ed3083,1,0.354756,0.1,ahd5k_04444,لابد من عرضه على اخصائي الاطفال,النص يشير مباشرة إلى التحقيق عبر استشارة متخصص,rel_seed_95c059b6f1660cdf__inverse,inverse
trial_query_086,ent_diseasecondition_9719230327a2,HAS_SYMPTOM,ent_symptom_d48190970b2d,1,0.80838,0.178571,ahd5k_00838,نقص فيتامين (ب12) يسبب انيميا وتنميل,QA directly states vitamin B12 deficiency causes anemia and numbness,rel_seed_0e8bcb10a29e6d54,direct
trial_query_086,ent_diseasecondition_9719230327a2,HAS_SYMPTOM,ent_symptom_c81532a33515,1,0.801951,0.071429,ahd5k_02292,نقص في الدم مع الالم في المعده,Directly states anemia is associated with stomach pain.,rel_seed_6eed37b4f0733cbb,direct
trial_query_086,ent_diseasecondition_9719230327a2,HAS_SYMPTOM,ent_symptom_c81532a33515,2,0.801951,0.071429,ahd5k_02546,أحيانا الم في المعدة كسل وخمول اضطرابات في النوم,Directly links anemia to stomach pain as a symptom.,rel_seed_c660576254101bcf,direct
trial_query_086,ent_diseasecondition_9719230327a2,HAS_SYMPTOM,ent_symptom_c48c0df96785,1,0.801951,0.071429,ahd5k_02546,فقر الدم سبب فقدان الشهيه,Directly states anemia causes loss of appetite.,rel_seed_90514571a31526b3,direct
trial_query_086,ent_diseasecondition_6116bf50d3f1,DIAGNOSED_BY,ent_test_8dfa1780f518,1,0.777847,1.0,ahd5k_01162,فحص التحاليل المخبرية مرتبط بتشخيص نقص حديد,الاختبار مذكور كوسيلة لتشخيص الحالة,rel_seed_26332336a3521fcf,direct
trial_query_086,ent_diseasecondition_9719230327a2,DIAGNOSED_BY,ent_test_8dfa1780f518,1,0.741847,1.0,ahd5k_01162,فحص التحاليل المخبرية مرتبط بتشخيص فقر الدم,الاختبار مذكور كوسيلة لتشخيص الحالة,rel_seed_c06b8520b4415b11,direct
trial_query_086,ent_diseasecondition_21962ce71aec,HAS_SYMPTOM,ent_symptom_9510bd8242ac,1,0.722321,0.214286,ahd5k_04611,اعاني من مشكلة انقطاع الطمث...قال ان عندي مشكلة نقص هرمونات,Direct causal link stated in patient's QA,rel_seed_05bc738bb2725c91,direct
trial_query_086,ent_symptom_9510bd8242ac,SYMPTOM_OF,ent_diseasecondition_21962ce71aec,1,0.682321,0.214286,ahd5k_04611,اعاني من مشكلة انقطاع الطمث...قال ان عندي مشكلة نقص هرمونات,Direct causal link stated in patient's QA,rel_seed_05bc738bb2725c91__inverse,inverse
trial_query_086,ent_symptom_d48190970b2d,SYMPTOM_OF,ent_diseasecondition_9719230327a2,1,0.67238,0.178571,ahd5k_00838,نقص فيتامين (ب12) يسبب انيميا وتنميل,QA directly states vitamin B12 deficiency causes anemia and numbness,rel_seed_0e8bcb10a29e6d54__inverse,inverse
trial_query_087,ent_diseasecondition_250910ab0701,HAS_SYMPTOM,ent_symptom_f4cf885a0447,1,0.747089,0.1,ahd5k_04490,حساسية الصدر and سعال co-occur with explicit symptom-pathology link,Direct symptom-pathology relationship established in QA context,rel_seed_bae062ec77d09618,direct
trial_query_087,ent_diseasecondition_16cf4e77b755,HAS_SYMPTOM,ent_symptom_59d5c1de0b88,1,0.730487,0.0,ahd5k_00666,التهاب في المثانة أو الإحليل يسبب خروج الدم,Direct causal link between inflammation and blood as symptom,rel_seed_cc52f0a3c44e4c1e,direct
trial_query_087,ent_symptom_f4cf885a0447,SYMPTOM_OF,ent_diseasecondition_250910ab0701,1,0.707089,0.1,ahd5k_04490,حساسية الصدر and سعال co-occur with explicit symptom-pathology link,Direct symptom-pathology relationship established in QA context,rel_seed_bae062ec77d09618__inverse,inverse
trial_query_087,ent_symptom_59d5c1de0b88,SYMPTOM_OF,ent_diseasecondition_16cf4e77b755,1,0.690487,0.0,ahd5k_00666,التهاب في المثانة أو الإحليل يسبب خروج الدم,Direct causal link between inflammation and blood as symptom,rel_seed_cc52f0a3c44e4c1e__inverse,inverse
trial_query_087,ent_diseasecondition_c7baf8534e07,TREATED_BY,ent_treatment_f4382c9333bb,1,0.577381,0.2,ahd5k_00261,العلاج بالجراحة,Surgical treatment is a standard intervention for varicocele.,rel_seed_5cf2bad5750a18bc,direct
trial_query_087,ent_treatment_f4382c9333bb,TREATS,ent_diseasecondition_c7baf8534e07,1,0.537381,0.2,ahd5k_00261,العلاج بالجراحة,Surgical treatment is a standard intervention for varicocele.,rel_seed_5cf2bad5750a18bc__inverse,inverse
trial_query_087,ent_diseasecondition_250910ab0701,DIAGNOSED_BY,ent_test_433492431144,1,0.433889,0.1,ahd5k_04490,تحليل الحساسية explicitly mentioned as diagnostic tool for حساسية الصدر,Test directly linked to condition diagnosis in QA,rel_seed_e4f1901524d0dd30,direct
trial_query_087,ent_diseasecondition_16cf4e77b755,DIAGNOSED_BY,ent_test_f6ff9119ed14,1,0.423887,0.0,ahd5k_00666,تصوير الجهاز البولي لتحديد سبب التهاب المثانة,Diagnostic imaging directly linked to inflammation diagnosis,rel_seed_582350660fdefde2,direct
trial_query_088,ent_diseasecondition_adcc5a085807,TREATED_BY,ent_treatment_5b2a681074cf,1,0.968845,0.928571,ahd5k_01190,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية,الجراحة التجميلية مذكورة صراحة كعلاج للجلد المترهل في السؤال والجواب,rel_seed_982decef15a095a6,direct
trial_query_088,ent_diseasecondition_380db6d92562,HAS_SYMPTOM,ent_symptom_724e59ded899,1,0.719397,0.285714,ahd5k_04912,مع العلم أن المريض يعاني من مرض السكر,Explicit disease-symptom relationship,rel_seed_b3536762c6f85e02,direct
trial_query_088,ent_treatment_5b2a681074cf,TREATS,ent_diseasecondition_adcc5a085807,1,0.496845,0.928571,ahd5k_01190,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية,الجراحة التجميلية مذكورة صراحة كعلاج للجلد المترهل في السؤال والجواب,rel_seed_982decef15a095a6__inverse,inverse
trial_query_088,ent_symptom_724e59ded899,SYMPTOM_OF,ent_diseasecondition_380db6d92562,1,0.379397,0.285714,ahd5k_04912,مع العلم أن المريض يعاني من مرض السكر,Explicit disease-symptom relationship,rel_seed_b3536762c6f85e02__inverse,inverse
trial_query_089,ent_diseasecondition_4453ab65a84b,HAS_SYMPTOM,ent_symptom_8d2e4253732b,1,0.868522,0.096774,ahd5k_00647,تضخم في الارداف,"The symptom 'تضخم في الارداف' is a specific manifestation of the disease 'تضخم', directly supported by the QA evidence.",rel_seed_7de18c9b149431b5,direct
trial_query_089,ent_symptom_28acc791e82d,SYMPTOM_OF,ent_diseasecondition_16cf4e77b755,1,0.839675,0.129032,ahd5k_03872,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Fatigue explicitly mentioned as symptom of inflammation,rel_seed_b17e2cb75449ca9f__inverse,inverse
trial_query_089,ent_diseasecondition_16cf4e77b755,HAS_SYMPTOM,ent_symptom_28acc791e82d,1,0.747675,0.129032,ahd5k_03872,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Fatigue explicitly mentioned as symptom of inflammation,rel_seed_b17e2cb75449ca9f,direct
trial_query_089,ent_diseasecondition_16cf4e77b755,HAS_SYMPTOM,ent_symptom_7b839cc80688,1,0.72864,0.096774,ahd5k_03872,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Direct symptom linkage in inflammation context,rel_seed_4e0920fcda8ee854,direct
