query_id,query,hybrid_score,relation_confidence,seed_score,relation_weight,semantic_support,direction_bonus,evidence_relevance,seed_entity_id,seed_entity_name,seed_source,expansion_source,edge_id,original_relation_id,edge_direction,graph_relation_type,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,qa_id,evidence,reason
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.768521,0.9,0.82,0.4,0.694106,0.04,0.857143,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_0c7a95bcebd3a487,rel_seed_0c7a95bcebd3a487,direct,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,ahd5k_00970,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,Phlegm explicitly linked to allergy condition
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.766665,0.85,0.55,1.0,0.420426,0.04,0.228571,ent_diseasecondition_1c50bd11c45a,ربو,semantic_candidate,seed_entity_traversal,rel_seed_5a95dc63296dfe15,rel_seed_5a95dc63296dfe15,direct,TREATED_BY,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,ahd5k_00887,التخفيف من أعراض الربو وأمراض الجهاز التنفسي. ما هي فوائد زيت حبة السوداء,Direct treatment claim for asthma symptoms
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.761821,0.87,1.0,0.4,0.694106,0.0,0.857143,ent_symptom_dc2c7333a505,بلغم,detected_exact,seed_entity_traversal,rel_seed_6c884a1c6b84097f__inverse,rel_seed_6c884a1c6b84097f,inverse,SYMPTOM_OF,ent_symptom_dc2c7333a505,بلغم,Symptom,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ahd5k_00970,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,Phlegm explicitly mentioned in inflammation context
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.754705,0.92,0.82,0.4,0.53826,0.04,0.828571,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_56abfb8d8355106e,rel_seed_56abfb8d8355106e,direct,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,ahd5k_00970,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,Direct symptom attribution in allergy context
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.742208,0.92,1.0,0.4,0.431259,0.04,0.114286,ent_diseasecondition_250910ab0701,حساسية الصدر,detected_exact,seed_entity_traversal,rel_seed_bae062ec77d09618,rel_seed_bae062ec77d09618,direct,HAS_SYMPTOM,ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,ahd5k_04490,حساسية الصدر and سعال co-occur with explicit symptom-pathology link,Direct symptom-pathology relationship established in QA context
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.720371,0.85,0.45,1.0,0.248928,0.04,0.2,ent_symptom_b754f1a1e5a8,صداع,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_ae85f383f00386e8,rel_seed_ae85f383f00386e8,direct,TREATED_BY,ent_symptom_b754f1a1e5a8,صداع,Symptom,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,ahd5k_00887,التخفيف من أعراض الصداع. ما هي فوائد زيت حبة السوداء,Direct treatment claim for headache symptoms
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.708677,0.9,0.82,0.4,0.53826,0.04,0.171429,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_aad068f18b3b6989,rel_seed_aad068f18b3b6989,direct,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_7b839cc80688,ضيق تنفس,Symptom,ahd5k_00683,ضيق تنفس وسرعة التعب وقلق,Direct symptom 'ضيق تنفس' explicitly linked to allergy in evidence
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.703721,0.9,0.55,0.4,0.694106,0.04,0.857143,ent_diseasecondition_1c50bd11c45a,ربو,semantic_candidate,seed_entity_traversal,rel_seed_2d8676e4afe037e2,rel_seed_2d8676e4afe037e2,direct,HAS_SYMPTOM,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,ahd5k_00970,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,Phlegm explicitly linked to asthma symptoms
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.702665,0.85,0.45,1.0,0.420426,0.0,0.228571,ent_treatment_677fdfb3086e,زيت الحبة السوداء,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_5a95dc63296dfe15__inverse,rel_seed_5a95dc63296dfe15,inverse,TREATS,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ahd5k_00887,التخفيف من أعراض الربو وأمراض الجهاز التنفسي. ما هي فوائد زيت حبة السوداء,Direct treatment claim for asthma symptoms
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.70182,0.9,0.82,0.4,0.53826,0.04,0.057143,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_19c18472a8cd7446,rel_seed_19c18472a8cd7446,direct,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_66c2e60e8e52,نشفان,Symptom,ahd5k_02124,واشعر بنشفان دائم في الحلق,Symptom explicitly linked to allergy
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.698591,0.8,0.45,1.0,0.53826,0.0,0.2,ent_treatment_677fdfb3086e,زيت الحبة السوداء,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_4f94c296991a8bf7__inverse,rel_seed_4f94c296991a8bf7,inverse,TREATS,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ahd5k_00887,علاج حساسية الأنف. ما هي فوائد زيت حبة السوداء,Direct treatment claim for nasal allergies
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.690463,0.85,0.82,0.4,0.53826,0.04,0.142857,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_7dd0c20df6697b64,rel_seed_7dd0c20df6697b64,direct,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,ahd5k_00069,حساسية الصدر وسعال,Direct symptom-disease link in QA context
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.687034,0.85,0.82,0.4,0.53826,0.04,0.085714,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_07e32356e492ed5b,rel_seed_07e32356e492ed5b,direct,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_7b839cc80688,ضيق تنفس,Symptom,ahd5k_00010,حساسية تسبب ضيق تنفس,الحساسية تُعتبر سببًا مباشرًا لظهور ضيق التنفس كأعراض مرضية
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.684465,0.91,0.55,0.4,0.520426,0.04,0.828571,ent_diseasecondition_1c50bd11c45a,ربو,semantic_candidate,seed_entity_traversal,rel_seed_0c18290c6e2c4697,rel_seed_0c18290c6e2c4697,direct,HAS_SYMPTOM,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,ahd5k_00970,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,Cough directly attributed to asthma condition
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.682398,0.88,1.0,0.4,0.390456,0.0,0.085714,ent_symptom_d713f64368d3,ضغط,detected_exact,seed_entity_traversal,rel_seed_3f9dbbea6fdd8f6f__inverse,rel_seed_3f9dbbea6fdd8f6f,inverse,SYMPTOM_OF,ent_symptom_d713f64368d3,ضغط,Symptom,ent_diseasecondition_ad3e19c416f6,التهاب الجيوب الأنفية,DiseaseCondition,ahd5k_02662,ضغط,Sinusitis (التهاب الجيوب الأنفية) causes facial pressure (ضغط) as a direct symptom.
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.680371,0.85,0.45,1.0,0.248928,0.0,0.2,ent_treatment_677fdfb3086e,زيت الحبة السوداء,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_ae85f383f00386e8__inverse,rel_seed_ae85f383f00386e8,inverse,TREATS,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,ent_symptom_b754f1a1e5a8,صداع,Symptom,ahd5k_00887,التخفيف من أعراض الصداع. ما هي فوائد زيت حبة السوداء,Direct treatment claim for headache symptoms
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.669821,0.87,0.45,0.4,0.694106,0.04,0.857143,ent_diseasecondition_16cf4e77b755,التهاب,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_6c884a1c6b84097f,rel_seed_6c884a1c6b84097f,direct,HAS_SYMPTOM,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,ahd5k_00970,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,Phlegm explicitly mentioned in inflammation context
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.650565,0.88,0.45,0.4,0.520426,0.04,0.828571,ent_diseasecondition_16cf4e77b755,التهاب,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_bd265df67c4d74e3,rel_seed_bd265df67c4d74e3,direct,HAS_SYMPTOM,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,ahd5k_00970,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,Cough directly associated with upper respiratory inflammation
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.627067,0.85,0.82,0.4,0.343296,0.0,0.142857,ent_symptom_724e59ded899,ضغط الدم,detected_alias,seed_entity_traversal,rel_seed_1a25f42f93f6f380__inverse,rel_seed_1a25f42f93f6f380,inverse,SYMPTOM_OF,ent_symptom_724e59ded899,ضغط الدم,Symptom,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,ahd5k_02607,مرض السكري وضغط الدم,Direct disease-symptom relationship established
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.627067,0.85,0.82,0.4,0.343296,0.0,0.142857,ent_symptom_724e59ded899,ضغط الدم,detected_alias,seed_entity_traversal,rel_seed_b3536762c6f85e02__inverse,rel_seed_b3536762c6f85e02,inverse,SYMPTOM_OF,ent_symptom_724e59ded899,ضغط الدم,Symptom,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,ahd5k_04912,مع العلم أن المريض يعاني من مرض السكر,Explicit disease-symptom relationship
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.625905,0.92,0.45,0.4,0.53826,0.0,0.828571,ent_symptom_f4cf885a0447,سعال,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_56abfb8d8355106e__inverse,rel_seed_56abfb8d8355106e,inverse,SYMPTOM_OF,ent_symptom_f4cf885a0447,سعال,Symptom,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ahd5k_00970,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,Direct symptom attribution in allergy context
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.625353,0.85,0.82,0.4,0.343296,0.0,0.114286,ent_symptom_724e59ded899,ضغط الدم,detected_alias,seed_entity_traversal,rel_seed_bd9e5c6d36b9dbdb__inverse,rel_seed_bd9e5c6d36b9dbdb,inverse,SYMPTOM_OF,ent_symptom_724e59ded899,ضغط الدم,Symptom,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,ahd5k_01294,مرض السكري وضغط الدمز,Direct co-occurrence with explicit disease-symptom relationship
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.620465,0.91,0.45,0.4,0.520426,0.0,0.828571,ent_symptom_f4cf885a0447,سعال,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_0c18290c6e2c4697__inverse,rel_seed_0c18290c6e2c4697,inverse,SYMPTOM_OF,ent_symptom_f4cf885a0447,سعال,Symptom,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ahd5k_00970,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,Cough directly attributed to asthma condition
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.610565,0.88,0.45,0.4,0.520426,0.0,0.828571,ent_symptom_f4cf885a0447,سعال,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_bd265df67c4d74e3__inverse,rel_seed_bd265df67c4d74e3,inverse,SYMPTOM_OF,ent_symptom_f4cf885a0447,سعال,Symptom,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ahd5k_00970,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,Cough directly associated with upper respiratory inflammation
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.606944,0.95,0.45,0.4,0.292987,0.04,0.171429,ent_diseasecondition_db17a406c72e,ارتفاع ضغط الدم,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_b56f6f5369b043a2,rel_seed_b56f6f5369b043a2,direct,HAS_SYMPTOM,ent_diseasecondition_db17a406c72e,ارتفاع ضغط الدم,DiseaseCondition,ent_symptom_759403abc54c,الإغماء,Symptom,ahd5k_03423,الإغماء,Direct symptom mentioned in QA evidence
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.579008,0.88,1.0,-0.2,0.431259,0.04,0.114286,ent_diseasecondition_250910ab0701,حساسية الصدر,detected_exact,seed_entity_traversal,rel_seed_e4f1901524d0dd30,rel_seed_e4f1901524d0dd30,direct,DIAGNOSED_BY,ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,ent_test_433492431144,تحليل الحساسية,Test,ahd5k_04490,تحليل الحساسية explicitly mentioned as diagnostic tool for حساسية الصدر,Test directly linked to condition diagnosis in QA
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.570208,0.92,0.45,0.4,0.431259,0.0,0.114286,ent_symptom_f4cf885a0447,سعال,semantic_qa_evidence,semantic_qa_relation_expansion,rel_seed_bae062ec77d09618__inverse,rel_seed_bae062ec77d09618,inverse,SYMPTOM_OF,ent_symptom_f4cf885a0447,سعال,Symptom,ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,ahd5k_04490,حساسية الصدر and سعال co-occur with explicit symptom-pathology link,Direct symptom-pathology relationship established in QA context
