query_id,query,context_rank,context_type,score,evidence_relevance,source_id,relation,evidence,qa_id,question,answer
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,11,graph_relation,0.768521,0.857143,rel_seed_0c7a95bcebd3a487,حساسية HAS_SYMPTOM بلغم,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,ahd5k_00970,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,اذا كنت مدخنا يجب الاقلاع عن التدخين نهائياً وقطعياً علما بأنك لا تدخن كما قلت لكن جلوسك في مكان فيه مدخنين يجعلك مدخناً ايضاً اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج يجب التأكد من ما تعانيه هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم يجب التأكد من ذلك وانصحك بان تطلب معاينة من اخصائي حساسية لكي يعطيك التشخيص النهائي وعندها الطريق الى العلاج يكون اسهل
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,12,graph_relation,0.766665,0.228571,rel_seed_5a95dc63296dfe15,ربو TREATED_BY زيت الحبة السوداء,التخفيف من أعراض الربو وأمراض الجهاز التنفسي. ما هي فوائد زيت حبة السوداء,ahd5k_00887,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,يعتقد أن لزيت الحبة السوداء أو ما يعرف بحبة البركة العديد من الفوائد الصحية، والتي تضمن فوائد للجلد، والشعر، والجسم، والمناعة، ولكن لم يتم إثبات فاعلية جميع الفوائد المشهورة للحبة السوداء والمستخدمة في الطب الشعبي، لذلك ينصح باستشارة الطبيب قبل استخدام الحبة السوداء في علاج أي من الاضطرابات الصحية المختلفة. سوف أبين لك فيما يأتي مجموعة من فوائد زيت الحبة السوداء الشائعة: التخفيف من أعراض الربو وأمراض الجهاز التنفسي. علاج حساسية الأنف والتهاب الجيوب الأنفية. التخفيف من أعراض الصداع والصداع النصفي. التخفيف من الأرق، والقلق، والتوتر. التخفيف من أعراض بعض الأمراض الجلدية مثل الصدفية والإكزيما. علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي. تنظيم سكر الدم. تنظيم ضغط الدم والكوليسترول. تعزيز جهاز المناعة. المحافظة على صحة الشعر. للمزيد: أضرار حبة البركة وزيتها ومحاذير تناولهما فوائد الحبة السوداء مع العسل، وأضرار محتملة
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,13,graph_relation,0.761821,0.857143,rel_seed_6c884a1c6b84097f__inverse,بلغم SYMPTOM_OF التهاب,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,ahd5k_00970,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,اذا كنت مدخنا يجب الاقلاع عن التدخين نهائياً وقطعياً علما بأنك لا تدخن كما قلت لكن جلوسك في مكان فيه مدخنين يجعلك مدخناً ايضاً اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج يجب التأكد من ما تعانيه هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم يجب التأكد من ذلك وانصحك بان تطلب معاينة من اخصائي حساسية لكي يعطيك التشخيص النهائي وعندها الطريق الى العلاج يكون اسهل
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,14,graph_relation,0.754705,0.828571,rel_seed_56abfb8d8355106e,حساسية HAS_SYMPTOM سعال,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,ahd5k_00970,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,اذا كنت مدخنا يجب الاقلاع عن التدخين نهائياً وقطعياً علما بأنك لا تدخن كما قلت لكن جلوسك في مكان فيه مدخنين يجعلك مدخناً ايضاً اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج يجب التأكد من ما تعانيه هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم يجب التأكد من ذلك وانصحك بان تطلب معاينة من اخصائي حساسية لكي يعطيك التشخيص النهائي وعندها الطريق الى العلاج يكون اسهل
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,15,graph_relation,0.742208,0.114286,rel_seed_bae062ec77d09618,حساسية الصدر HAS_SYMPTOM سعال,حساسية الصدر and سعال co-occur with explicit symptom-pathology link,ahd5k_04490,انا عندي قضيبي صغير هل هذه بسبب متعلق بهرمون الذكوره علما انا عمري 17 ويوجد شعر على الارجل والابط ولايوجد على الشارب وبدي اعرف اذا كان السبب متعلق بلهرمون كيفيه...,يجب اجراء الفحص السريري و الفحوصات المخبرية لتحديد السبب ثم العلاج
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,16,graph_relation,0.720371,0.2,rel_seed_ae85f383f00386e8,صداع TREATED_BY زيت الحبة السوداء,التخفيف من أعراض الصداع. ما هي فوائد زيت حبة السوداء,ahd5k_00887,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,يعتقد أن لزيت الحبة السوداء أو ما يعرف بحبة البركة العديد من الفوائد الصحية، والتي تضمن فوائد للجلد، والشعر، والجسم، والمناعة، ولكن لم يتم إثبات فاعلية جميع الفوائد المشهورة للحبة السوداء والمستخدمة في الطب الشعبي، لذلك ينصح باستشارة الطبيب قبل استخدام الحبة السوداء في علاج أي من الاضطرابات الصحية المختلفة. سوف أبين لك فيما يأتي مجموعة من فوائد زيت الحبة السوداء الشائعة: التخفيف من أعراض الربو وأمراض الجهاز التنفسي. علاج حساسية الأنف والتهاب الجيوب الأنفية. التخفيف من أعراض الصداع والصداع النصفي. التخفيف من الأرق، والقلق، والتوتر. التخفيف من أعراض بعض الأمراض الجلدية مثل الصدفية والإكزيما. علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي. تنظيم سكر الدم. تنظيم ضغط الدم والكوليسترول. تعزيز جهاز المناعة. المحافظة على صحة الشعر. للمزيد: أضرار حبة البركة وزيتها ومحاذير تناولهما فوائد الحبة السوداء مع العسل، وأضرار محتملة
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,17,graph_relation,0.708677,0.171429,rel_seed_aad068f18b3b6989,حساسية HAS_SYMPTOM ضيق تنفس,ضيق تنفس وسرعة التعب وقلق,ahd5k_00683,مرحبا اعاني منذ فتره من نبضات قلي قويه واصبحت اشعر بها في جميع اجزاء جسمي خصوصا قبل النوم وضيق تنفس وسرعة التعب وقلق علما اني تعرضت لموقف قلق وتوتر ووخزات...,أتمنى لك السلامة، وأود الإشارة إلى ضرورة مراجعة الطبيب لتحديد الأسباب المحتملة ووصف العلاج المناسب فلا يجب إهمال هذه الأعراض، وبشكل عام قد يكون ذلك ناجم عن العديد من الأسباب، ومنها الآتي: القلق أو التوتر. ممارسة الرياضة أو النشاط البدني. الجفاف. ارتفاع درجة حرارة الجسم. الحساسية. اضطرابات الغدة الدرقية. أمراض القلب. اضطرابات الجهاز التنفسي. الاضطرابات العصبية. للمزيد: ما هي اسباب زيادة ضربات القلب المفاجئ؟ ما هي أهم طرق علاج ضربات القلب السريعة في المنزل؟
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,18,graph_relation,0.703721,0.857143,rel_seed_2d8676e4afe037e2,ربو HAS_SYMPTOM بلغم,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,ahd5k_00970,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,اذا كنت مدخنا يجب الاقلاع عن التدخين نهائياً وقطعياً علما بأنك لا تدخن كما قلت لكن جلوسك في مكان فيه مدخنين يجعلك مدخناً ايضاً اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج يجب التأكد من ما تعانيه هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم يجب التأكد من ذلك وانصحك بان تطلب معاينة من اخصائي حساسية لكي يعطيك التشخيص النهائي وعندها الطريق الى العلاج يكون اسهل
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,19,graph_relation,0.702665,0.228571,rel_seed_5a95dc63296dfe15__inverse,زيت الحبة السوداء TREATS ربو,التخفيف من أعراض الربو وأمراض الجهاز التنفسي. ما هي فوائد زيت حبة السوداء,ahd5k_00887,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,يعتقد أن لزيت الحبة السوداء أو ما يعرف بحبة البركة العديد من الفوائد الصحية، والتي تضمن فوائد للجلد، والشعر، والجسم، والمناعة، ولكن لم يتم إثبات فاعلية جميع الفوائد المشهورة للحبة السوداء والمستخدمة في الطب الشعبي، لذلك ينصح باستشارة الطبيب قبل استخدام الحبة السوداء في علاج أي من الاضطرابات الصحية المختلفة. سوف أبين لك فيما يأتي مجموعة من فوائد زيت الحبة السوداء الشائعة: التخفيف من أعراض الربو وأمراض الجهاز التنفسي. علاج حساسية الأنف والتهاب الجيوب الأنفية. التخفيف من أعراض الصداع والصداع النصفي. التخفيف من الأرق، والقلق، والتوتر. التخفيف من أعراض بعض الأمراض الجلدية مثل الصدفية والإكزيما. علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي. تنظيم سكر الدم. تنظيم ضغط الدم والكوليسترول. تعزيز جهاز المناعة. المحافظة على صحة الشعر. للمزيد: أضرار حبة البركة وزيتها ومحاذير تناولهما فوائد الحبة السوداء مع العسل، وأضرار محتملة
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,20,graph_relation,0.70182,0.057143,rel_seed_19c18472a8cd7446,حساسية HAS_SYMPTOM نشفان,واشعر بنشفان دائم في الحلق,ahd5k_02124,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,21,graph_relation,0.698591,0.2,rel_seed_4f94c296991a8bf7__inverse,زيت الحبة السوداء TREATS حساسية,علاج حساسية الأنف. ما هي فوائد زيت حبة السوداء,ahd5k_00887,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,يعتقد أن لزيت الحبة السوداء أو ما يعرف بحبة البركة العديد من الفوائد الصحية، والتي تضمن فوائد للجلد، والشعر، والجسم، والمناعة، ولكن لم يتم إثبات فاعلية جميع الفوائد المشهورة للحبة السوداء والمستخدمة في الطب الشعبي، لذلك ينصح باستشارة الطبيب قبل استخدام الحبة السوداء في علاج أي من الاضطرابات الصحية المختلفة. سوف أبين لك فيما يأتي مجموعة من فوائد زيت الحبة السوداء الشائعة: التخفيف من أعراض الربو وأمراض الجهاز التنفسي. علاج حساسية الأنف والتهاب الجيوب الأنفية. التخفيف من أعراض الصداع والصداع النصفي. التخفيف من الأرق، والقلق، والتوتر. التخفيف من أعراض بعض الأمراض الجلدية مثل الصدفية والإكزيما. علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي. تنظيم سكر الدم. تنظيم ضغط الدم والكوليسترول. تعزيز جهاز المناعة. المحافظة على صحة الشعر. للمزيد: أضرار حبة البركة وزيتها ومحاذير تناولهما فوائد الحبة السوداء مع العسل، وأضرار محتملة
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,22,graph_relation,0.690463,0.142857,rel_seed_7dd0c20df6697b64,حساسية HAS_SYMPTOM سعال,حساسية الصدر وسعال,ahd5k_00069,انا قبل يجي طقطقة في الفك الايسر بدون اللم وبعد ما سويت التمرين راح طقطقة الفك وجاني اللم هل هذا امر عادي بسبب التمرين ولا لل,طبيعي بسبب التمرين ومع الوقت بيختفي الألم وممكن استعمال بعض المسكنات الخفيفه
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,23,graph_relation,0.687034,0.085714,rel_seed_07e32356e492ed5b,حساسية HAS_SYMPTOM ضيق تنفس,حساسية تسبب ضيق تنفس,ahd5k_00010,يوجد أعراض ترعبني. عند الصعود بالدرج او مرتفع ينقطع نفسي ويجب ان استريح علماً باني ب٢٦ من العمر ومن قبل كانت هناك آلام في الصدر غريبه كنت اتجاهلها علما بان...,لم تذكر خصائص ضيق النفس، لكن الفحص الطبي السريري ضروري كونه يسمح بالتأكد من خصائص الأعراض المذكورة والعلامات التي قد يجدها الطبيب عند الفحص، لأن الأسباب كثيرة تنفسية وقلبية ودموية ووعائية وغير ذلك
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,24,graph_relation,0.684465,0.828571,rel_seed_0c18290c6e2c4697,ربو HAS_SYMPTOM سعال,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,ahd5k_00970,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,اذا كنت مدخنا يجب الاقلاع عن التدخين نهائياً وقطعياً علما بأنك لا تدخن كما قلت لكن جلوسك في مكان فيه مدخنين يجعلك مدخناً ايضاً اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج يجب التأكد من ما تعانيه هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم يجب التأكد من ذلك وانصحك بان تطلب معاينة من اخصائي حساسية لكي يعطيك التشخيص النهائي وعندها الطريق الى العلاج يكون اسهل
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,25,graph_relation,0.682398,0.085714,rel_seed_3f9dbbea6fdd8f6f__inverse,ضغط SYMPTOM_OF التهاب الجيوب الأنفية,ضغط,ahd5k_02662,لدي الم في جانبي راسي وخصوصا الايسر فوق الاذن اشعر بضغط فى هذه المنطقه وكانه شي سينفجر وكثير من الاوقات اشعر بارهاق عام لهذا السبب,إن الألم في الرأس مع الشعور بالضغط على جانبي الرأس مع الإرهاق العام قد يعود لأحد الأسباب التالية: صداع التوتر. الشد العضلي. الضغط العصبي. القلق والتوتر أو الاكتئاب. التهاب الجيوب الأنفية. الشقيقة (الصداع النصفي). وجود مشاكل في الأذن التهاب السحايا. تمدد الأوعية الدموية في الدماغ. ينصح في الوقت الحالي زيارة الطبيب المختص لعمل الفحوصات والتحاليل اللازمة في حال عدم نجاح النصائح التالية: استخدام الأدوية المسكنة للألم حسب تعليمات الطبيب المختص مثل الايبوبروفين وغيرها. اتباع طرق التنفس العميق من أجل الاسترخاء وخفض مستويات هرمونات التوتر. ممارسة تمارين الاسترخاء مثل اليوغا والتأمل. تجنب القلق أو التوتر. للمزيد: اسباب الصداع ومحفزاته التدليك لعلاج الصداع هل تعاني من صداع من دون معرفة سببه؟ المرجع: What to know about pressure in the head
