query_id,query,stage,result_type,relevant_total,retrieved_relevant_at_5,recall_at_5,mrr,ndcg_at_10,ragas_context_precision,ragas_context_recall
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,hybrid_retrieval,relation,4,0,0.0,0.0,0.0,,
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,hybrid_retrieval,context,1,0,0.0,0.125,0.315465,0.133333,1.0
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,hybrid_retrieval,relation,7,1,0.142857,0.2,0.106337,,
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,hybrid_retrieval,context,4,1,0.25,0.2,0.15102,0.533333,1.0
trial_query_087,أود معرفة ما أسباب تدلي المستقيم؟وطرق العلاج؟,hybrid_retrieval,relation,3,2,0.666667,1.0,0.765361,,
trial_query_087,أود معرفة ما أسباب تدلي المستقيم؟وطرق العلاج؟,hybrid_retrieval,context,2,2,1.0,1.0,1.0,0.4,1.0
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,hybrid_retrieval,relation,2,1,0.5,1.0,0.613147,,
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,hybrid_retrieval,context,1,1,1.0,1.0,1.0,0.2,1.0
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,hybrid_retrieval,relation,4,2,0.5,1.0,0.636682,,
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,hybrid_retrieval,context,2,2,1.0,1.0,1.0,0.266667,1.0
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,hybrid_retrieval,relation,2,1,0.5,1.0,0.613147,,
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,hybrid_retrieval,context,1,1,1.0,1.0,1.0,0.1,1.0
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,hybrid_retrieval,relation,40,4,0.1,1.0,0.661831,,
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,hybrid_retrieval,context,38,4,0.105263,1.0,0.661831,1.0,0.421053
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,hybrid_retrieval,relation,60,4,0.066667,1.0,0.820523,,
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,hybrid_retrieval,context,54,4,0.074074,1.0,0.820523,1.0,0.296296
trial_query_093,لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب. كما أخبركم أني مريصة بالقلب (مشكل في صمامتين),hybrid_retrieval,relation,2,1,0.5,1.0,0.613147,,
trial_query_093,لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب. كما أخبركم أني مريصة بالقلب (مشكل في صمامتين),hybrid_retrieval,context,1,1,1.0,1.0,1.0,0.366667,1.0
trial_query_094,هل هناك أسباب أخرى محددة تؤدي الى ولادة دات شفة مشقوقة من غير استعمال دواء التوبيراميت.,hybrid_retrieval,relation,3,0,0.0,0.0,0.0,,
trial_query_094,هل هناك أسباب أخرى محددة تؤدي الى ولادة دات شفة مشقوقة من غير استعمال دواء التوبيراميت.,hybrid_retrieval,context,1,1,1.0,0.2,0.386853,0.1,1.0
trial_query_095,كيف تتم ازالة شظايا القنابل الصغيرة الانشطارية في المنزل عند عدم التمكن من الذهاب للمستشفى وهل هناك اخطار من بقائها؟,hybrid_retrieval,relation,2,1,0.5,1.0,0.613147,,
trial_query_095,كيف تتم ازالة شظايا القنابل الصغيرة الانشطارية في المنزل عند عدم التمكن من الذهاب للمستشفى وهل هناك اخطار من بقائها؟,hybrid_retrieval,context,1,1,1.0,1.0,1.0,0.166667,1.0
trial_query_096,السلام عليكم .. هل تناول ملعقة يوميا من زيت الحلبة على الريق يزيد من حجم الثدي بجانب التمارين ..؟؟ و ما المدة التى يمكن الاستمرار عليها فى تناول الزيت؟ و...,hybrid_retrieval,relation,3,0,0.0,0.0,0.0,,
trial_query_096,السلام عليكم .. هل تناول ملعقة يوميا من زيت الحلبة على الريق يزيد من حجم الثدي بجانب التمارين ..؟؟ و ما المدة التى يمكن الاستمرار عليها فى تناول الزيت؟ و...,hybrid_retrieval,context,2,1,0.5,0.333333,0.524981,0.166667,1.0
trial_query_097,كيفية التعامل مع انتفاخ ضرس العقل مسببا الام و احمرار الفك الاسفل,hybrid_retrieval,relation,5,2,0.4,1.0,0.470365,,
trial_query_097,كيفية التعامل مع انتفاخ ضرس العقل مسببا الام و احمرار الفك الاسفل,hybrid_retrieval,context,2,2,1.0,1.0,0.850345,0.666667,1.0
trial_query_098,تعاني والدتي من انسداد في الصمام الابهر بنسبة 40-60. حيث والتقرير ينصح باجراء عملية قلب مفتوح وتبديل صمامالابهر مع العلم انها تعاني من مرض السكري وضغط الدمز. العمر65س,hybrid_retrieval,relation,31,4,0.129032,1.0,0.715551,,
trial_query_098,تعاني والدتي من انسداد في الصمام الابهر بنسبة 40-60. حيث والتقرير ينصح باجراء عملية قلب مفتوح وتبديل صمامالابهر مع العلم انها تعاني من مرض السكري وضغط الدمز. العمر65س,hybrid_retrieval,context,25,4,0.16,1.0,0.715551,1.0,0.68
trial_query_099,انا ابتلعت دبوس امس ولا اشعر ببلعه واعاني بوجع صدري كيف اعمل,hybrid_retrieval,relation,4,2,0.5,0.333333,0.363318,,
trial_query_099,انا ابتلعت دبوس امس ولا اشعر ببلعه واعاني بوجع صدري كيف اعمل,hybrid_retrieval,context,2,2,1.0,0.333333,0.570642,0.333333,1.0
trial_query_100,عندى بقع بنية على جانبى الوجة وانا اعانى من انيميا 10 وكان عندى حصوات بالمرارة وعملت العملية ولا زالت البقع موجودة ما العلاج الاكيد وشكرا,hybrid_retrieval,relation,23,4,0.173913,1.0,0.762416,,
trial_query_100,عندى بقع بنية على جانبى الوجة وانا اعانى من انيميا 10 وكان عندى حصوات بالمرارة وعملت العملية ولا زالت البقع موجودة ما العلاج الاكيد وشكرا,hybrid_retrieval,context,21,4,0.190476,1.0,0.762416,1.0,0.619048
trial_query_101,ماهو البردقوش وهل يوجد باليمن وهل يزيد من عدد الحيوانات المنويه؟,hybrid_retrieval,relation,5,2,0.4,1.0,0.553146,,
trial_query_101,ماهو البردقوش وهل يوجد باليمن وهل يزيد من عدد الحيوانات المنويه؟,hybrid_retrieval,context,3,2,0.666667,1.0,0.765361,0.866667,1.0
trial_query_102,اعاني من حموضة وصعوبة في التنفس وصعوبة بلع والم في الجانب الايسر من الصدر مع تعب في الكتف اليسرى بعد ابذال مجهود فهل هذا خطر على القلب ام حموضة عادية,hybrid_retrieval,relation,6,2,0.333333,1.0,0.419665,,
trial_query_102,اعاني من حموضة وصعوبة في التنفس وصعوبة بلع والم في الجانب الايسر من الصدر مع تعب في الكتف اليسرى بعد ابذال مجهود فهل هذا خطر على القلب ام حموضة عادية,hybrid_retrieval,context,3,2,0.666667,1.0,0.792087,0.3,1.0
trial_query_103,ما هو ابسط علاج لمرض السكر بدون كيماويات؟,hybrid_retrieval,relation,13,3,0.230769,1.0,0.547398,,
trial_query_103,ما هو ابسط علاج لمرض السكر بدون كيماويات؟,hybrid_retrieval,context,11,3,0.272727,1.0,0.611019,0.933333,1.0
trial_query_104,انا عملت جراحة فى القلب وتم تغير الصمام المترالى بصمام ميكانيكى صناعى وباخد دواء واريفان ( لسيولة الدم ) 8 ملجرام ومصاب بالانفلوانزا ماالعلاج المناسب,hybrid_retrieval,relation,5,0,0.0,0.0,0.0,,
trial_query_104,انا عملت جراحة فى القلب وتم تغير الصمام المترالى بصمام ميكانيكى صناعى وباخد دواء واريفان ( لسيولة الدم ) 8 ملجرام ومصاب بالانفلوانزا ماالعلاج المناسب,hybrid_retrieval,context,3,0,0.0,0.090909,0.0,0.166667,1.0
trial_query_105,هل حبوب كريستور(rousovastatin) تؤثر على عضلة القلب ؟,hybrid_retrieval,relation,2,0,0.0,0.0,0.0,,
trial_query_105,هل حبوب كريستور(rousovastatin) تؤثر على عضلة القلب ؟,hybrid_retrieval,context,1,0,0.0,0.142857,0.333333,0.1,1.0
trial_query_106,هل يوجد أعشاب طبية تساعد على الشفاء من حالة الاكتئاب و الشعور بالخوف ، علما بأنه يوجد لدي فقر دم (انيميا الفول ) و يتجدث حالات الاكتئاب هذه عند تناول...,hybrid_retrieval,relation,26,5,0.192308,1.0,0.796761,,
trial_query_106,هل يوجد أعشاب طبية تساعد على الشفاء من حالة الاكتئاب و الشعور بالخوف ، علما بأنه يوجد لدي فقر دم (انيميا الفول ) و يتجدث حالات الاكتئاب هذه عند تناول...,hybrid_retrieval,context,21,5,0.238095,1.0,0.860382,1.0,0.714286
trial_query_107,"انا عندى 16 سنة وعندي ارتخاء بالصمام الميترالى والاعراض اللى عندي دوخة لما أقف و بتعب من أقل مجهود , وعند الاستيقاظ هناك ضيق بالتنفس,والدكتورظكاتبلى اندرال 20 جم بس مش...",hybrid_retrieval,relation,10,2,0.2,1.0,0.358954,,
trial_query_107,"انا عندى 16 سنة وعندي ارتخاء بالصمام الميترالى والاعراض اللى عندي دوخة لما أقف و بتعب من أقل مجهود , وعند الاستيقاظ هناك ضيق بالتنفس,والدكتورظكاتبلى اندرال 20 جم بس مش...",hybrid_retrieval,context,6,2,0.333333,1.0,0.493523,0.566667,1.0
trial_query_108,هل هناك اسباب للحساسية من الباراسيتمول وما الاغذية التى امتنع عنها وما هى الاغذية التى ااكلها,hybrid_retrieval,relation,40,4,0.1,1.0,0.661831,,
trial_query_108,هل هناك اسباب للحساسية من الباراسيتمول وما الاغذية التى امتنع عنها وما هى الاغذية التى ااكلها,hybrid_retrieval,context,38,4,0.105263,1.0,0.661831,1.0,0.421053
trial_query_109,كان لدي ارتفاع بسيط في الصفائح ٤٦١ وعندما ولدت بعد ٥٠ يوم التحليل طلع ٦٧٩ واشكو من عدم اكتمال النفس في بعض الاوقات وقال لي الطبيب لديك التهاب في الصدر...,hybrid_retrieval,relation,8,2,0.25,1.0,0.496846,,
trial_query_109,كان لدي ارتفاع بسيط في الصفائح ٤٦١ وعندما ولدت بعد ٥٠ يوم التحليل طلع ٦٧٩ واشكو من عدم اكتمال النفس في بعض الاوقات وقال لي الطبيب لديك التهاب في الصدر...,hybrid_retrieval,context,6,2,0.333333,1.0,0.681862,0.5,1.0
trial_query_110,عمري 18 سنة وأنا أعاني من صغر الثدي هل يوجد أي حل لتكبيره دون جراحة?,hybrid_retrieval,relation,2,0,0.0,0.0,0.0,,
trial_query_110,عمري 18 سنة وأنا أعاني من صغر الثدي هل يوجد أي حل لتكبيره دون جراحة?,hybrid_retrieval,context,1,0,0.0,0.090909,0.0,0.066667,1.0
trial_query_111,عمري ٢٥سنة واعاني من نشاط زائد في الغده الدرقية وقمت بأخذ جرعه من اليود النووي المشع وعندي طفل عمره سنه فما المده الزمنيه المحدده اللتي سأتمكن بعدها,hybrid_retrieval,relation,6,1,0.166667,1.0,0.302602,,
trial_query_111,عمري ٢٥سنة واعاني من نشاط زائد في الغده الدرقية وقمت بأخذ جرعه من اليود النووي المشع وعندي طفل عمره سنه فما المده الزمنيه المحدده اللتي سأتمكن بعدها,hybrid_retrieval,context,4,1,0.25,1.0,0.39038,0.433333,1.0
trial_query_112,يشعر والدي بألم في منطقة الصدر علما ان والدي مصاب بجلطة قلبية ودماغية اليوم قد تناول بيزا وكانت دسمة،،،،،هل هذا الم قلب ام الام معدة,hybrid_retrieval,relation,2,1,0.5,1.0,0.613147,,
trial_query_112,يشعر والدي بألم في منطقة الصدر علما ان والدي مصاب بجلطة قلبية ودماغية اليوم قد تناول بيزا وكانت دسمة،،،،،هل هذا الم قلب ام الام معدة,hybrid_retrieval,context,1,1,1.0,1.0,1.0,0.366667,1.0
trial_query_113,هل يوجد تأثير على الجنين في حالة تعاطي أقراص ميزوتاك في بداية الحمل بغرض الإجهاض وأنا الآن اقتنعت باكمال الحمل ولكن قلق من تأثر الجنين بالمادة الفعالة لهذا الدواء؟,hybrid_retrieval,relation,45,5,0.111111,1.0,0.72733,,
trial_query_113,هل يوجد تأثير على الجنين في حالة تعاطي أقراص ميزوتاك في بداية الحمل بغرض الإجهاض وأنا الآن اقتنعت باكمال الحمل ولكن قلق من تأثر الجنين بالمادة الفعالة لهذا الدواء؟,hybrid_retrieval,context,40,5,0.125,1.0,0.790951,1.0,0.525
trial_query_114,حموضة في فمي واحساس برائحة تفاح متعفن مع كدمات زرقاء غامقة في قدماي واحساس بغبوش في الرؤية,hybrid_retrieval,relation,2,0,0.0,0.0,0.0,,
trial_query_114,حموضة في فمي واحساس برائحة تفاح متعفن مع كدمات زرقاء غامقة في قدماي واحساس بغبوش في الرؤية,hybrid_retrieval,context,1,1,1.0,0.2,0.386853,0.066667,1.0
trial_query_115,قمت بعمل اشعة بالصبغة على الاورطى والشرايين الطرفية وجت انتفاخ بالوجه ووجع بالجسم ارجو الافادة,hybrid_retrieval,relation,15,2,0.133333,1.0,0.656303,,
trial_query_115,قمت بعمل اشعة بالصبغة على الاورطى والشرايين الطرفية وجت انتفاخ بالوجه ووجع بالجسم ارجو الافادة,hybrid_retrieval,context,12,2,0.166667,1.0,0.656303,0.9,1.0
trial_query_116,ماهي أضرارشجرة القات وماهي منافعها إذا لها فوائد وهل صحيح أنها علاج لمرضى السكر,hybrid_retrieval,relation,14,3,0.214286,1.0,0.547398,,
trial_query_116,ماهي أضرارشجرة القات وماهي منافعها إذا لها فوائد وهل صحيح أنها علاج لمرضى السكر,hybrid_retrieval,context,11,3,0.272727,1.0,0.547398,0.933333,1.0
trial_query_117,أعاني من حرقان بكامل بجسمي والتهاب المسالك البوليه وارتفاع الكلسترول والدهون الثلاثيه مال الحل جزاكم الله خير وما قد يكون المسبب,hybrid_retrieval,relation,4,0,0.0,0.0,0.0,,
trial_query_117,أعاني من حرقان بكامل بجسمي والتهاب المسالك البوليه وارتفاع الكلسترول والدهون الثلاثيه مال الحل جزاكم الله خير وما قد يكون المسبب,hybrid_retrieval,context,2,1,0.5,0.2,0.44158,0.166667,1.0
trial_query_118,ماهي علاجات حمى التهاب باطن القدم وباطن اليد وماهي الفحوصات للتاكد من اسباب هذا المرض؟,hybrid_retrieval,relation,16,1,0.0625,1.0,0.220092,,
trial_query_118,ماهي علاجات حمى التهاب باطن القدم وباطن اليد وماهي الفحوصات للتاكد من اسباب هذا المرض؟,hybrid_retrieval,context,14,1,0.071429,1.0,0.220092,1.0,0.357143
trial_query_119,والدي وقع من الدرج قبل ثلالث ايام نلاحظ هناك زغللة في عينه اليمنى مع حول فيها تم قياسة مستوى السكر اليوم 200 اتمنى افادتي بهذا الامر هل له علاقة بالحلطة...,hybrid_retrieval,relation,13,4,0.307692,1.0,0.563788,,
trial_query_119,والدي وقع من الدرج قبل ثلالث ايام نلاحظ هناك زغللة في عينه اليمنى مع حول فيها تم قياسة مستوى السكر اليوم 200 اتمنى افادتي بهذا الامر هل له علاقة بالحلطة...,hybrid_retrieval,context,11,4,0.363636,1.0,0.627409,0.7,1.0
trial_query_120,ماهي الاهمية الطبية للجلوكوز والفركتوز والجالكتوز؟,hybrid_retrieval,relation,4,1,0.25,1.0,0.39038,,
trial_query_120,ماهي الاهمية الطبية للجلوكوز والفركتوز والجالكتوز؟,hybrid_retrieval,context,1,1,1.0,1.0,1.0,0.3,1.0
trial_query_121,متى يلجأ الدكتور الي نزع عَصّب السن او الضرس,hybrid_retrieval,relation,6,2,0.333333,1.0,0.453904,,
trial_query_121,متى يلجأ الدكتور الي نزع عَصّب السن او الضرس,hybrid_retrieval,context,5,2,0.4,1.0,0.719833,0.333333,1.0
trial_query_122,سلام لقد اجريت فحص الهرمون B-HCG ،و نتائج التحاليل كما يللي 3-4 اسبوع 9-130 4-5 اسبوع 75-2600 5-6 اسبوع 850-20800 7-8 اسبوع 4000-100200 7-12 اسبوع 11500-289000 12-16 اسبوع 18300-137000 و...,hybrid_retrieval,relation,5,2,0.4,1.0,0.553146,,
trial_query_122,سلام لقد اجريت فحص الهرمون B-HCG ،و نتائج التحاليل كما يللي 3-4 اسبوع 9-130 4-5 اسبوع 75-2600 5-6 اسبوع 850-20800 7-8 اسبوع 4000-100200 7-12 اسبوع 11500-289000 12-16 اسبوع 18300-137000 و...,hybrid_retrieval,context,3,2,0.666667,1.0,0.765361,0.3,1.0
trial_query_123,لسلام عليكم ممكن تساعدوني ابني عملتله تطعيم سنة ونص اليوم هو يعاني من ارتفاع الحرارة ومايقدر يحرك رجلو وحتى يوقف وهو كتير البكاء كيف اتعامل معاه كيف اخفف من الم...,hybrid_retrieval,relation,2,1,0.5,1.0,0.613147,,
trial_query_123,لسلام عليكم ممكن تساعدوني ابني عملتله تطعيم سنة ونص اليوم هو يعاني من ارتفاع الحرارة ومايقدر يحرك رجلو وحتى يوقف وهو كتير البكاء كيف اتعامل معاه كيف اخفف من الم...,hybrid_retrieval,context,1,1,1.0,1.0,1.0,0.133333,1.0
trial_query_124,هل زيت نبات الميرمية له آثار جانبية عند تناوله بشكل 3 كبسولات قبل الطعام للتخلص من افراز البرولاكتين المفرز والناتج عن ورم حميد في الغدة النخامية . .,hybrid_retrieval,relation,13,3,0.230769,1.0,0.453743,,
trial_query_124,هل زيت نبات الميرمية له آثار جانبية عند تناوله بشكل 3 كبسولات قبل الطعام للتخلص من افراز البرولاكتين المفرز والناتج عن ورم حميد في الغدة النخامية . .,hybrid_retrieval,context,8,3,0.375,1.0,0.521468,1.0,0.625
trial_query_125,عندي الم في منطقه البطن مع الم بصدر جهه اليمين الى الرقبه وماقدرت اعرف تفسير الالم ذا من ايش او سببه مع وجود احيان ضيق بالتنفس ،،،، افيدوني,hybrid_retrieval,relation,2,1,0.5,1.0,0.613147,,
trial_query_125,عندي الم في منطقه البطن مع الم بصدر جهه اليمين الى الرقبه وماقدرت اعرف تفسير الالم ذا من ايش او سببه مع وجود احيان ضيق بالتنفس ،،،، افيدوني,hybrid_retrieval,context,1,1,1.0,1.0,1.0,0.133333,1.0
