doc_id,doc_type,source_id,entity_id,qa_id,title,embedding_text
entity::ent_diseasecondition_fab2e100965e,entity,ent_diseasecondition_fab2e100965e,ent_diseasecondition_fab2e100965e,,اضطرابات كهربية قلبية,"Entity: اضطرابات كهربية قلبية
Aliases: اضطرابات كهربية, اضطرابات كهربية قلبية
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_a2605dbbfa2a,entity,ent_diseasecondition_a2605dbbfa2a,ent_diseasecondition_a2605dbbfa2a,,أقل من الطبيعي,"Entity: أقل من الطبيعي
Aliases: أقل من الطبيعي
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_32c84edce6a2,entity,ent_diseasecondition_32c84edce6a2,ent_diseasecondition_32c84edce6a2,,اكتئاب,"Entity: اكتئاب
Aliases: اكتئاب
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_8b9d599f7475,entity,ent_diseasecondition_8b9d599f7475,ent_diseasecondition_8b9d599f7475,,الأسنان,"Entity: الأسنان
Aliases: اسنان, الأسنان
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_c530adcb98c5,entity,ent_diseasecondition_c530adcb98c5,ent_diseasecondition_c530adcb98c5,,الاكتئاب,"Entity: الاكتئاب
Aliases: اكتئاب, الاكتئاب, شعور بالخوف
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_8ca9f15583c7,entity,ent_diseasecondition_8ca9f15583c7,ent_diseasecondition_8ca9f15583c7,,الانتان,"Entity: الانتان
Aliases: الانتان, الانتان خفي أو ظاهر
Type: DiseaseCondition
Quality: high
Relations: الانتان DIAGNOSED_BY فحص الدم. Evidence: فحص دم"
entity::ent_diseasecondition_4483219775eb,entity,ent_diseasecondition_4483219775eb,ent_diseasecondition_4483219775eb,,الانزلاقات الغضروفية العنقية,"Entity: الانزلاقات الغضروفية العنقية
Aliases: الانزلاقات الغضروفية العنقية
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_8ae017ffaf32,entity,ent_diseasecondition_8ae017ffaf32,ent_diseasecondition_8ae017ffaf32,,الانفلوانزا,"Entity: الانفلوانزا
Aliases: الانفلوانزا
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_ce9ff22d8fac,entity,ent_diseasecondition_ce9ff22d8fac,ent_diseasecondition_ce9ff22d8fac,,البرونكيتيس,"Entity: البرونكيتيس
Aliases: البرونكيتيس, التهاب
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_f9f02cdde82f,entity,ent_diseasecondition_f9f02cdde82f,ent_diseasecondition_f9f02cdde82f,,البواسير,"Entity: البواسير
Aliases: البواسير
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_30c063bfe92d,entity,ent_diseasecondition_30c063bfe92d,ent_diseasecondition_30c063bfe92d,,التسوس,"Entity: التسوس
Aliases: التسوس, التصبغات السوداء
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_743481d9d387,entity,ent_diseasecondition_743481d9d387,ent_diseasecondition_743481d9d387,,التصاق التوائم السيامي,"Entity: التصاق التوائم السيامي
Aliases: التصاق التوائم السيامي
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_4ea30d57b62c,entity,ent_diseasecondition_4ea30d57b62c,ent_diseasecondition_4ea30d57b62c,,التصبغات السوداء,"Entity: التصبغات السوداء
Aliases: التصبغات السوداء
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_16cf4e77b755,entity,ent_diseasecondition_16cf4e77b755,ent_diseasecondition_16cf4e77b755,,التهاب,"Entity: التهاب
Aliases: إلتهاب, التهاب البنكرياس, التهاب الحاد, التهاب الحفاظ, التهاب الحلق, التهاب الدم, التهاب الرحم, التهاب القلبي, التهاب المهبل, التهاب فيروسي, التهابات, الم, تهاب, تهاب الحلمات, تهاب الفم, تهاب اللثة, حساسية, حساسية الصدر, ربو
Type: DiseaseCondition
Quality: high
Relations: التهاب HAS_SYMPTOM سعال. Evidence: اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج | التهاب HAS_SYMPTOM بلغم. Evidence: اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج | التهاب HAS_SYMPTOM ضيق تنفس. Evidence: اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام | التهاب HAS_SYMPTOM تعب. Evidence: اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام | التهاب HAS_SYMPTOM اختلال وظائف الكبد. Evidence: التهاب في العين وفقدان حاسة الشم واختلال وظائف الكبد والكلى | التهاب DIAGNOSED_BY تحاليل مخبرية. Evidence: تحاليل مخبرية | التهاب DIAGNOSED_BY تحليل بول. Evidence: عمل تحليل بول | التهاب TREATED_BY الاكثار من شرب الماء. Evidence: الاكثار من شرب الماء"
entity::ent_diseasecondition_d1ac437fb721,entity,ent_diseasecondition_d1ac437fb721,ent_diseasecondition_d1ac437fb721,,التهاب الامعاء,"Entity: التهاب الامعاء
Aliases: التهاب الامعاء
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_ad3e19c416f6,entity,ent_diseasecondition_ad3e19c416f6,ent_diseasecondition_ad3e19c416f6,,التهاب الجيوب الأنفية,"Entity: التهاب الجيوب الأنفية
Aliases: التهاب الجيوب الأنفية
Type: DiseaseCondition
Quality: high
Relations: التهاب الجيوب الأنفية HAS_SYMPTOM صداع. Evidence: صداع | التهاب الجيوب الأنفية HAS_SYMPTOM ضغط. Evidence: ضغط"
entity::ent_diseasecondition_6ed57271807f,entity,ent_diseasecondition_6ed57271807f,ent_diseasecondition_6ed57271807f,,التهاب الحفاظ,"Entity: التهاب الحفاظ
Aliases: التهاب الحفاظ
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_8073c16255c6,entity,ent_diseasecondition_8073c16255c6,ent_diseasecondition_8073c16255c6,,التهاب الخلوي,"Entity: التهاب الخلوي
Aliases: التهاب الخلوي
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_d9b91988beb9,entity,ent_diseasecondition_d9b91988beb9,ent_diseasecondition_d9b91988beb9,,التهاب السحايا,"Entity: التهاب السحايا
Aliases: التهاب السحايا
Type: DiseaseCondition
Quality: high
Relations: التهاب السحايا HAS_SYMPTOM صداع. Evidence: صداع"
entity::ent_diseasecondition_6ed4cacd0b61,entity,ent_diseasecondition_6ed4cacd0b61,ent_diseasecondition_6ed4cacd0b61,,التهاب الشعري,"Entity: التهاب الشعري
Aliases: التهاب الشعري
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_3a46ea69fd7e,entity,ent_diseasecondition_3a46ea69fd7e,ent_diseasecondition_3a46ea69fd7e,,التهاب العصي البصري,"Entity: التهاب العصي البصري
Aliases: التهاب العصي البصري
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_31c6f1e3a619,entity,ent_diseasecondition_31c6f1e3a619,ent_diseasecondition_31c6f1e3a619,,التهاب الغدة الدرقية,"Entity: التهاب الغدة الدرقية
Aliases: التهاب الدرقية, التهاب الغدة الدرقية
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_93d8578caf27,entity,ent_diseasecondition_93d8578caf27,ent_diseasecondition_93d8578caf27,,التهاب الكبد,"Entity: التهاب الكبد
Aliases: التهاب الكبد
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_6e95846a4080,entity,ent_diseasecondition_6e95846a4080,ent_diseasecondition_6e95846a4080,,التهاب اللثة,"Entity: التهاب اللثة
Aliases: التهاب, التهاب اللثة, تهاب اللثه
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_341d574d8fe5,entity,ent_diseasecondition_341d574d8fe5,ent_diseasecondition_341d574d8fe5,,التهاب اللوزتين,"Entity: التهاب اللوزتين
Aliases: التهاب اللوزتين
Type: DiseaseCondition
Quality: high
Relations: التهاب اللوزتين HAS_SYMPTOM نشفان. Evidence: نشفان دائم في الحلق"
entity::ent_diseasecondition_c8b276e9a67b,entity,ent_diseasecondition_c8b276e9a67b,ent_diseasecondition_c8b276e9a67b,,التهاب المفاصل,"Entity: التهاب المفاصل
Aliases: التهاب المفاصل
Type: DiseaseCondition
Quality: high
Relations: التهاب المفاصل HAS_SYMPTOM ألم المفاصل. Evidence: الحد من التهاب المفاصل والتخفيف من ألم المفاصل"
entity::ent_diseasecondition_5a02034f11b7,entity,ent_diseasecondition_5a02034f11b7,ent_diseasecondition_5a02034f11b7,,التهاب بكتيري,"Entity: التهاب بكتيري
Aliases: التهاب بكتيري, تهاب بكتيري
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_9c03a470d940,entity,ent_diseasecondition_9c03a470d940,ent_diseasecondition_9c03a470d940,,التهاب فطري,"Entity: التهاب فطري
Aliases: التهاب فطري, تهاب فطري
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_2c73be2f25fe,entity,ent_diseasecondition_2c73be2f25fe,ent_diseasecondition_2c73be2f25fe,,التهاب فيروسي,"Entity: التهاب فيروسي
Aliases: التهاب فيروسي
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_f12d335bd2d8,entity,ent_diseasecondition_f12d335bd2d8,ent_diseasecondition_f12d335bd2d8,,التهاب مفصل الركبة,"Entity: التهاب مفصل الركبة
Aliases: التهاب مفصل الركبة, تهاب مفصل الركبة
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_443aafd23ff7,entity,ent_diseasecondition_443aafd23ff7,ent_diseasecondition_443aafd23ff7,,التوحد السلوكي,"Entity: التوحد السلوكي
Aliases: التوحد السلوكي
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_8e104f8ce212,entity,ent_diseasecondition_8e104f8ce212,ent_diseasecondition_8e104f8ce212,,الجالكتوز,"Entity: الجالكتوز
Aliases: الجالكتوز
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_adcc5a085807,entity,ent_diseasecondition_adcc5a085807,ent_diseasecondition_adcc5a085807,,الجلد المترهل,"Entity: الجلد المترهل
Aliases: الجلد المترهل
Type: DiseaseCondition
Quality: high
Relations: الجلد المترهل TREATED_BY الجراحة التجميلية. Evidence: يمكن شده بممارسة الرياضة أو بالجراحة التجميلية"
entity::ent_diseasecondition_9efe983f86e2,entity,ent_diseasecondition_9efe983f86e2,ent_diseasecondition_9efe983f86e2,,الجلطات,"Entity: الجلطات
Aliases: الجلطات, جلطات
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_925cfcb87467,entity,ent_diseasecondition_925cfcb87467,ent_diseasecondition_925cfcb87467,,الجلطات الدماغية,"Entity: الجلطات الدماغية
Aliases: الجلطات الدماغية
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_da5565d6842c,entity,ent_diseasecondition_da5565d6842c,ent_diseasecondition_da5565d6842c,,الجلطة الدماغية,"Entity: الجلطة الدماغية
Aliases: الجلطة الدماغية, الجلطة الدماغية السابقة
Type: DiseaseCondition
Quality: high
Relations: الجلطة الدماغية TREATED_BY الأسبرين. Evidence: الأسبرين + البلافيكس"
entity::ent_diseasecondition_1420aadad936,entity,ent_diseasecondition_1420aadad936,ent_diseasecondition_1420aadad936,,الجنين,"Entity: الجنين
Aliases: الجنين
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_2de63ce5404a,entity,ent_diseasecondition_2de63ce5404a,ent_diseasecondition_2de63ce5404a,,الجيب اللثوي,"Entity: الجيب اللثوي
Aliases: الجيب اللثوي
Type: DiseaseCondition
Quality: high
Relations: الجيب اللثوي TREATED_BY الجيب اللثوي. Evidence: ازاله التلبيس وعمل جراحة للجيب اللثوي"
entity::ent_diseasecondition_5dcc30c3edc8,entity,ent_diseasecondition_5dcc30c3edc8,ent_diseasecondition_5dcc30c3edc8,,الحروق,"Entity: الحروق
Aliases: الحروق
Type: DiseaseCondition
Quality: high
Relations: الحروق TREATED_BY الطبيب. Evidence: يستدعي الطبيب او المسعف للتعامل مع المصاب"
entity::ent_diseasecondition_ac6f7cbfb177,entity,ent_diseasecondition_ac6f7cbfb177,ent_diseasecondition_ac6f7cbfb177,,الحصى,"Entity: الحصى
Aliases: الحصى
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_7abdd04c7114,entity,ent_diseasecondition_7abdd04c7114,ent_diseasecondition_7abdd04c7114,,الحمل,"Entity: الحمل
Aliases: أطفال الأنابيب, الحمل, حمل, حمل الأنابيب, حمل لفايروس الكبد
Type: DiseaseCondition
Quality: high
Relations: الحمل HAS_SYMPTOM الزراق. Evidence: بعض الحالات المرضية مثل امراض القلب والشرايين , او امراض الجهاو التنفسي التي قد تؤدي الة ضيق النفس ونقص الاكسجين وبالتالي الزراق | الحمل HAS_SYMPTOM قيء. Evidence: قيء"
entity::ent_diseasecondition_41f520aa86a9,entity,ent_diseasecondition_41f520aa86a9,ent_diseasecondition_41f520aa86a9,,الحودة الحال,"Entity: الحودة الحال
Aliases: الحودة الحال
Type: DiseaseCondition
Quality: high
Relations: الحودة الحال HAS_SYMPTOM الحال. Evidence: الحودة الحال بالمرديدين | الحودة الحال HAS_SYMPTOM الحال بالمرديدين. Evidence: الحودة الحال بالمرديدين | الحودة الحال HAS_SYMPTOM الحال. Evidence: الحودة الحال بالمرديدين | الحودة الحال HAS_SYMPTOM الحال بالمرديدين. Evidence: الحودة الحال بالمرديدين"
entity::ent_diseasecondition_33ebca04d291,entity,ent_diseasecondition_33ebca04d291,ent_diseasecondition_33ebca04d291,,الحودة الصكري,"Entity: الحودة الصكري
Aliases: الحودة الصكري
Type: DiseaseCondition
Quality: high
Relations: الحودة الصكري HAS_SYMPTOM الحال بالمرديدين. Evidence: الحودة الصكري اليثثار الحودة الحال بالمرديدين | الحودة الصكري HAS_SYMPTOM الحال بالمرديدين. Evidence: الحودة الصكري اليثثار الحودة الحال بالمرديدين"
entity::ent_diseasecondition_f870ba2ab6eb,entity,ent_diseasecondition_f870ba2ab6eb,ent_diseasecondition_f870ba2ab6eb,,الدورة الشهرية,"Entity: الدورة الشهرية
Aliases: الدورة, الدورة الشهرية
Type: DiseaseCondition
Quality: high
Relations: الدورة الشهرية TREATED_BY اكليل الجبل. Evidence: اكليل الجبل | الدورة الشهرية TREATED_BY الميرمية. Evidence: الميرمية | الدورة الشهرية TREATED_BY البقدونس. Evidence: البقدونس | الدورة الشهرية TREATED_BY حشيشة الملاك. Evidence: حشيشة الملاك | الدورة الشهرية TREATED_BY البردقوش. Evidence: البردقوش | الدورة الشهرية TREATED_BY القرفة. Evidence: القرفة | الدورة الشهرية TREATED_BY الزنجبيل. Evidence: الزنجبيل | الدورة الشهرية TREATED_BY الكرفس. Evidence: الكرفس"
entity::ent_diseasecondition_d858e70d5fdf,entity,ent_diseasecondition_d858e70d5fdf,ent_diseasecondition_d858e70d5fdf,,الروماتيزم,"Entity: الروماتيزم
Aliases: الروماتيزم
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_01ba795ec738,entity,ent_diseasecondition_01ba795ec738,ent_diseasecondition_01ba795ec738,,الرئتين,"Entity: الرئتين
Aliases: الرئتين
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_aaf0d0958a26,entity,ent_diseasecondition_aaf0d0958a26,ent_diseasecondition_aaf0d0958a26,,السرطان,"Entity: السرطان
Aliases: السرطان
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_6eb03902c623,entity,ent_diseasecondition_6eb03902c623,ent_diseasecondition_6eb03902c623,,السكري,"Entity: السكري
Aliases: السكري, سكري
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_e315c7d51517,entity,ent_diseasecondition_e315c7d51517,ent_diseasecondition_e315c7d51517,,السل,"Entity: السل
Aliases: السل
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_f756960fd62b,entity,ent_diseasecondition_f756960fd62b,ent_diseasecondition_f756960fd62b,,السمنة,"Entity: السمنة
Aliases: السمنة, سمنة
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_d99fb1a77d6c,entity,ent_diseasecondition_d99fb1a77d6c,ent_diseasecondition_d99fb1a77d6c,,الشيخوخة,"Entity: الشيخوخة
Aliases: الشيخوخة, شيخوخة, شيخوخة المبكرة
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_00247d3d5c80,entity,ent_diseasecondition_00247d3d5c80,ent_diseasecondition_00247d3d5c80,,الصداع التوتري,"Entity: الصداع التوتري
Aliases: الصداع التوتري, صداع التوتري
Type: DiseaseCondition
Quality: high
Relations: الصداع التوتري HAS_SYMPTOM صداع. Evidence: الصداع التوتري قد يظهر كصداع يختلف حدته"
entity::ent_diseasecondition_aacab021c9d4,entity,ent_diseasecondition_aacab021c9d4,ent_diseasecondition_aacab021c9d4,,الصداع النصفي,"Entity: الصداع النصفي
Aliases: الصداع النصفي
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_6fc3f18427fb,entity,ent_diseasecondition_6fc3f18427fb,ent_diseasecondition_6fc3f18427fb,,الصدمة الكهربائية,"Entity: الصدمة الكهربائية
Aliases: الصدمة الكهربائية
Type: DiseaseCondition
Quality: high
Relations: الصدمة الكهربائية TREATED_BY الطبيب. Evidence: يستدعي الطبيب او المسعف للتعامل مع المصاب"
entity::ent_diseasecondition_b3e7fc089ddd,entity,ent_diseasecondition_b3e7fc089ddd,ent_diseasecondition_b3e7fc089ddd,,الصفائح الدموية,"Entity: الصفائح الدموية
Aliases: الصفائح, الصفائح الدموية
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_ee57bd84c53c,entity,ent_diseasecondition_ee57bd84c53c,ent_diseasecondition_ee57bd84c53c,,الضرس,"Entity: الضرس
Aliases: الضرس
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_45b76d151316,entity,ent_diseasecondition_45b76d151316,ent_diseasecondition_45b76d151316,,الضيق البسيط,"Entity: الضيق البسيط
Aliases: الضيق البسيط
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_7b4788cd854a,entity,ent_diseasecondition_7b4788cd854a,ent_diseasecondition_7b4788cd854a,,الغدة الدرقية,"Entity: الغدة الدرقية
Aliases: الغدة الدرقية
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_46faf93722a3,entity,ent_diseasecondition_46faf93722a3,ent_diseasecondition_46faf93722a3,,الفركتوز,"Entity: الفركتوز
Aliases: الفركتوز, سكر الذرة
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_765c9fdd4495,entity,ent_diseasecondition_765c9fdd4495,ent_diseasecondition_765c9fdd4495,,الفشل القلبي اللامُعاوَض,"Entity: الفشل القلبي اللامُعاوَض
Aliases: الفشل القلبي اللامُعاوَض
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_d13d516b4149,entity,ent_diseasecondition_d13d516b4149,ent_diseasecondition_d13d516b4149,,القرحة,"Entity: القرحة
Aliases: القرحة
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_8fec9e9307d6,entity,ent_diseasecondition_8fec9e9307d6,ent_diseasecondition_8fec9e9307d6,,القفص الصدري,"Entity: القفص الصدري
Aliases: القفص الصدري
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_017a6d080eff,entity,ent_diseasecondition_017a6d080eff,ent_diseasecondition_017a6d080eff,,القولون,"Entity: القولون
Aliases: القولون, القولون العصبى, قولون
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_ca9304cd0dde,entity,ent_diseasecondition_ca9304cd0dde,ent_diseasecondition_ca9304cd0dde,,القولون العصبي,"Entity: القولون العصبي
Aliases: القولون العصبي, قولون العصبي
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_584b39abb33a,entity,ent_diseasecondition_584b39abb33a,ent_diseasecondition_584b39abb33a,,الكساح,"Entity: الكساح
Aliases: الكساح, كساح, كساح العظام
Type: DiseaseCondition
Quality: high
Relations: الكساح TREATED_BY فيتامين د. Evidence: تصنف بأنها (Vit.D-Resistant Rickets) أي لا تستجيب للجرعات المعتادة من فيتامين (د)"
entity::ent_diseasecondition_1cda0b09f82c,entity,ent_diseasecondition_1cda0b09f82c,ent_diseasecondition_1cda0b09f82c,,الكوليسترول,"Entity: الكوليسترول
Aliases: الكوليسترول
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_4171598a5900,entity,ent_diseasecondition_4171598a5900,ent_diseasecondition_4171598a5900,,اللثة,"Entity: اللثة
Aliases: اللثة, لثة
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_d2e284c27e53,entity,ent_diseasecondition_d2e284c27e53,ent_diseasecondition_d2e284c27e53,,اللمف,"Entity: اللمف
Aliases: اللمف, سائل, سائل شفاف
Type: DiseaseCondition
Quality: high
Relations: "
