entity_id,canonical_name,entity_type,surface_form,qa_id,chunk_id,source_row_number,field,evidence,llm_confidence,model,prompt_version
ent_treatment_0311bc90ba75,حليب مكسر بروتين الحليب,Treatment,حليب مكسر بروتين الحليب,ahd5k_00020,chunk_00002,340580,answer,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,تحسس,ahd5k_00133,chunk_00002,376061,question,عندي تحسس انفي موسمي بيتغير حسب المواسم,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_45a78ee47153,نازونكس,Treatment,نازونكس,ahd5k_00133,chunk_00002,376061,answer,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ربو,ahd5k_00510,chunk_00002,294513,question,هل تؤخر علاجات الحساسية والربو عملية الحمل ؟,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,مضاد هيستامين,ahd5k_00555,chunk_00002,370571,answer,ابدا مضاد هيستامين مره الى مرتين باليوم الى ان تذهب للطبيب,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_01231,chunk_00003,390602,question,تناولت مضاد حيووي زييثرون وانتج حساسية شديدة,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_test_433492431144,تحليل الحساسية,Test,تحليل حساسية,ahd5k_01231,chunk_00003,390602,answer,اعملي تحليل حساسية المضادات,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_843876e28a68,كورتيزون,Treatment,كورتيزون,ahd5k_01231,chunk_00003,390602,answer,استخدمي مضاد هيسامين وكورتيزون موضعي,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,مضاد هيسامين,ahd5k_01231,chunk_00003,390602,answer,استخدمي مضاد هيسامين وكورتيزون موضعي,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_01245,chunk_00003,266907,question,انا اشعر بالصداع والنعاس وحساسية في وجهي,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_test_3f0d2e079b73,RAST Test,Test,RAST Test,ahd5k_01245,chunk_00003,266907,answer,معرفة سبب الحساسيه يتم ذلك عن طريق RAST Test,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_02039,chunk_00004,383915,question,اعاني من حبوب بيضاء صغيره ف اماكن معينه ف الوجه و اتوقع انها حساسية من البيض او اشعة الشمس,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_test_dd68aa784555,تحاليل مخبرية,Test,تحاليل,ahd5k_02039,chunk_00004,383915,answer,لابدمن رؤيتها من قبل طبيب وعمل تحاليل خاصه بالحساسيه,0.800,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_02115,chunk_00004,266317,question,ابنتي معاها حساسية معينة لبعض الاطعمة وعمرها سنتان,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_test_dd68aa784555,تحاليل مخبرية,Test,فحص,ahd5k_02892,chunk_00004,807374,answer,يجب عمل فحص للحساسية التعددة,0.800,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,مضاد للهستامين,ahd5k_02892,chunk_00004,807374,answer,تناول مضاد للهستامين ومزيل للاحتقان,0.700,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,حساسية الصدر,ahd5k_03243,chunk_00004,286579,question,إبني عمر 6 سنوات و يعاني من حساسية الصدر,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ربو,ahd5k_03662,chunk_00004,381920,answer,متابعة مع طبيب ضروري جدا للبدأ بالعلاج العلاجي والوقائي للربو,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,حساسية في الصدر,ahd5k_03662,chunk_00004,381920,question,اعاني من حساسية في الصدر وضيق في التنفس وسعال وقئ صباحا,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسيه,ahd5k_04144,chunk_00005,373880,question,ما هي ادويت الحساسيه التي لا تزيد من الوزن,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسيه,ahd5k_04347,chunk_00005,353044,question,هل حليب الماعز لا يسبب حساسية مثل حليب البقر ؟,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_test_433492431144,تحليل الحساسية,Test,تحليل الحساسه,ahd5k_04480,chunk_00005,268180,answer,ابداي العلاج له عن طريق طبيب حساسيه اوصدريه بعد الكشف عنه وعمل تحليل الحساسه RAST and IgE,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_93828ade2cbe,الارتكاريا,Symptom,حكه,ahd5k_04654,chunk_00005,288628,question,السلام عليكم من فتره صار جسمي ايحكني لحتاه وشي ايدي كل جسمي,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_93828ade2cbe,الارتكاريا,Symptom,حكه,ahd5k_04733,chunk_00005,327643,question,السلام عليكم عندي حكة في جميع مناطق الجسم منذو 6 اشهر رغم اني اسعملت جميع لادويه دون فائده,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,مضادات الهيستامين,ahd5k_04819,chunk_00005,334866,question,هل يمكن مواجهة حساسية الارتيكاريا بادوية المناعة بعيدا عن مضادات الهيستامين و الكورتيزون؟,0.800,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_00812,chunk_00006,393214,question,طفلتي تتحسس من الجلوتين وعمرها سنة ونصف هل توجد أدوية تساعد على الشفاء من هذا المرض ام لا ؟؟,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_cbf0b7b10d4f,تجنب المنتجات التي تحوي جلوتين,Treatment,تجنب المنتجات التي تحوي جلوتين,ahd5k_00812,chunk_00006,393214,answer,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_02124,chunk_00006,382451,question,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_341d574d8fe5,التهاب اللوزتين,DiseaseCondition,تهاب لوز,ahd5k_02124,chunk_00006,382451,question,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_66c2e60e8e52,نشفان,Symptom,نشفان,ahd5k_02124,chunk_00006,382451,question,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,0.800,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_c48b0529e8b1,شراب ECHINACEA,Treatment,شراب ECHINACEA,ahd5k_02124,chunk_00006,382451,answer,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_e341edad55d8,تقوية المناعة,Treatment,تقوية المناعة,ahd5k_02124,chunk_00006,382451,answer,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_01418,chunk_00007,787042,question,هل هناك اسباب للحساسية من الباراسيتمول,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_7b839cc80688,ضيق تنفس,Symptom,ضيق بلتنفس,ahd5k_02329,chunk_00007,327080,question,اعاني من ضيق بلتنفس عند حدوث الغبار في الجو,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_test_433492431144,تحليل الحساسية,Test,نتيجة الحساسة,ahd5k_02482,chunk_00007,370620,question,نتيجة الحساسة عندي هي IMMUNOLOGIE ige 183 UI/ml,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,مضاد هيستامين,ahd5k_04920,chunk_00007,375608,answer,ابدا مضاد هيستامين مره الى مرتين باليوم,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_adcc5a085807,الجلد المترهل,DiseaseCondition,الجلد المترهل,ahd5k_01190,chunk_00008,785346,question,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_5b2a681074cf,الجراحة التجميلية,Treatment,الجراحة التجميلية,ahd5k_01190,chunk_00008,785346,answer,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_8f18706cd796,الرياضة,Treatment,الرياضة,ahd5k_01190,chunk_00008,785346,answer,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_550808b4296e,الكركم,Treatment,الكركم,ahd5k_03805,chunk_00008,792923,answer,يستعمل الكركم لتفتيح البشرة حيث انة يضفي اشراقة وحيوية على البشرة، و يستخدم للوجة والجسم بخلطة مع مواد اخرى كماء الورد و القشدة او الكريمة.,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,مرضى القلب,ahd5k_00614,chunk_00009,768114,answer,وجد ان هذه العشبة تزيد من سيولة الدم في المرضى الذين يأخذون الاسبرين او البلافكس او الورفارين وهم الغالبية العظمى من مرضى القلب,0.700,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_00614,chunk_00009,768114,question,هل عشبة الزعرور تتعارض مع مميعات الدم كالأسبرين وتؤدي لنتيجة سلبية ؟,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_test_433492431144,تحليل الحساسية,Test,تسمم الجسم,ahd5k_00614,chunk_00009,768114,answer,وكذلك تزيد من احتمالية تسمم الجسم بدواء ( DIGOXIN ) وذلك عند تفاعله مع هذه العشبة تزداد معدلاته في الدم بصورة عالية,0.700,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_f4cf885a0447,سعال,Symptom,الصداع,ahd5k_00883,chunk_00009,771623,answer,نعم فقد أكدالأستاذ المساعد للتغذية الإكلينيكية في كلية العلوم الطبية التطبيقية بجامعة الملك سعود بالرياض الدكتور “عبدالعزيز بن محمد العثمان” أن مشروبات الطاقة تساهم في ارتفاع ضغط القلب، وزيادة نسبة السكر في الدم والأرق والصداع,0.700,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_b67abf88ef76,حجامة,Treatment,حجامة,ahd5k_03307,chunk_00009,770478,question,ماهي نصائحك لمن عمل الحجامة بعد يوم؟,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_341d574d8fe5,التهاب اللوزتين,DiseaseCondition,التهاب اللوزتين,ahd5k_02465,chunk_00010,771895,question,هل يوجد علاج بالطب البديل لعلاج التهاب اللوزتين,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_c8b276e9a67b,التهاب المفاصل,DiseaseCondition,التهاب المفاصل,ahd5k_04473,chunk_00010,22465,answer,الحد من التهاب المفاصل,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_c8b276e9a67b,التهاب المفاصل,DiseaseCondition,التهاب المفاصل,ahd5k_04473,chunk_00010,22465,answer,لعلاج ألم المفاصل أو التهاب المفاصل,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_202dedeff038,ألم المفاصل,Symptom,ألم المفاصل,ahd5k_04473,chunk_00010,22465,answer,التخفيف من ألم المفاصل,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_202dedeff038,ألم المفاصل,Symptom,الم المفاصل,ahd5k_04473,chunk_00010,22465,answer,من فوائد زيت الحنظل للمفاصل أبين لك الآتي: ... التخفيف من الم المفاصل,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_b036b1170044,زيت الحنظل,Treatment,زيت الحنظل,ahd5k_04473,chunk_00010,22465,answer,يستخرج زيت الحنظل من نبات الحنظل الصحراوي,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,فترة الحمل,ahd5k_03104,chunk_00011,767363,answer,"لا ينبغي استخدام زيت الحلبة قبل استشارة الطبيب , ومن الأفضل تجنب استخدامه أثناء فترة الحمل.",0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_24d83b12af40,زيت الحلبة,Treatment,زيت الحلبة,ahd5k_03104,chunk_00011,767363,question,ما هى فوائد زيت الحلبه للجسم اذا استعمل شربا مع الماء شكرا,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_24d83b12af40,زيت الحلبة,Treatment,زيت الحلبة,ahd5k_03104,chunk_00011,767363,answer,"فوائد زيت الحلبة للجسم: 1. فوائد زيت الحلبة للشعر: زيت الحلبة له تأثير قوي على نمو الشعر ويحد من الصلع وتساقط الشعر والقشور , فهو مصدر جيد لحمض النيكوتينيك والبروتين.",0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,حامل,ahd5k_04697,chunk_00011,767175,question,انا متزوجة وعمري 29 سنة ولدي ثلاثة اطفال اعاني من الدوالي في ساق قدمي بدت الدوالي عندي وانا حامل بالطفل الثاني وازدادت مع حملي في الطفل الثالث ....,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_c4254d272647,دوالي الساقين,DiseaseCondition,دوالي الساقين,ahd5k_04697,chunk_00011,767175,answer,دوالي الساقين : هي تضخم الأوردة السطحية وقد تحدث في أي مكان من الجسم ولكنها أكثر انتشارا في الساقين .,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_c4254d272647,دوالي الساقين,DiseaseCondition,دوالي,ahd5k_04697,chunk_00011,767175,question,انا متزوجة وعمري 29 سنة ولدي ثلاثة اطفال اعاني من الدوالي في ساق قدمي بدت الدوالي عندي وانا حامل بالطفل الثاني وازدادت مع حملي في الطفل الثالث ....,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_6528bb63fe9c,فينوروتون,Treatment,فينوروتون,ahd5k_04697,chunk_00011,767175,answer,العلاج : 1-- تنفيذ النصائح السابقة وتناول علاج بسيط مثل فينوروتون,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_f5d29134c577,العلاج بالليزر,Treatment,العلاج بالليزر,ahd5k_04697,chunk_00011,767175,answer,6--وافضل طريقة هي العلاج بالليزر حيث أثبتت الأبحاث العالمية نجاحا يفوق الجراحات الأخرى .,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,الدورة الشهرية,ahd5k_04015,chunk_00012,754522,answer,تنظيم الدورة الشهرية,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,الطمث,ahd5k_04015,chunk_00012,754522,question,نزول الطمث,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_2cb98decc0ee,الكرفس,Treatment,الكرفس,ahd5k_04015,chunk_00012,754522,answer,الكرفس,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_639e625fe991,الزنجبيل,Treatment,الزنجبيل,ahd5k_04015,chunk_00012,754522,answer,الزنجبيل,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_895d0d591838,القرفة,Treatment,القرفة,ahd5k_04015,chunk_00012,754522,answer,القرفة,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_b792fc31b8bb,الميرمية,Treatment,الميرمية,ahd5k_04015,chunk_00012,754522,answer,الميرمية,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_c2ead061e2d0,حشيشة الملاك,Treatment,حشيشة الملاك,ahd5k_04015,chunk_00012,754522,answer,حشيشة الملاك,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_c91b15de897a,البقدونس,Treatment,البقدونس,ahd5k_04015,chunk_00012,754522,answer,البقدونس,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_fc32e4036e25,البردقوش,Treatment,البردقوش,ahd5k_04015,chunk_00012,754522,answer,البردقوش,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_fd42eb263b89,اكليل الجبل,Treatment,اكليل الجبل,ahd5k_04015,chunk_00012,754522,answer,اكليل الجبل,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_02556,chunk_00013,788199,answer,تجبنه في حال المعاناة من حساسية تجاه البابونج,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,حمل,ahd5k_02556,chunk_00013,788199,answer,يجب تجنب الإفراط في استخدامه في حال الحمل,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_91cb532e35c6,بابونج,Treatment,بابونج,ahd5k_02556,chunk_00013,788199,question,كيف يحضر شراب البابونج,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_91cb532e35c6,بابونج,Treatment,البابونج,ahd5k_02556,chunk_00013,788199,answer,ينصح بتغطية كوب البابونج بعد إضافة الماء,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,التهاب,ahd5k_00887,chunk_00014,25538,answer,علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي.,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ربو,ahd5k_00887,chunk_00014,25538,answer,التخفيف من أعراض الربو وأمراض الجهاز التنفسي.,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_00887,chunk_00014,25538,answer,علاج حساسية الأنف والتهاب الجيوب الأنفية.,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_b754f1a1e5a8,صداع,Symptom,صداع,ahd5k_00887,chunk_00014,25538,answer,التخفيف من أعراض الصداع والصداع النصفي.,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,زيت الحبة السوداء,ahd5k_00887,chunk_00014,25538,question,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_fc32e4036e25,البردقوش,Treatment,البردقوش,ahd5k_01330,chunk_00014,784660,question,ماهو البردقوش وهل يوجد باليمن وهل يزيد من عدد الحيوانات المنويه؟,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,مرض السكر,ahd5k_01358,chunk_00014,776142,question,ما هو ابسط علاج لمرض السكر بدون كيماويات؟,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_7dcc65be78f8,زيت الزيتون,Treatment,زيت الزيتون,ahd5k_04761,chunk_00014,803257,question,ما هي فوائد زيت الزيتون للصحة والجسم,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_a9901bfb5bd5,مرهم مايكونازول,Treatment,مرهم مايكونازول,ahd5k_04864,chunk_00014,765501,answer,العلاج باستخدام مرهم مايكونازول ، ومضمضة بمطهر حسب ما يصف الطبيب,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_c97970fb458a,اوميبرازول,Treatment,اوميبرازول,ahd5k_04382,chunk_00015,778481,answer,تناولي احد الأدوية المثبطة لافراز الحمض مثل اوميبرازول,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_1cff9c5dbe9e,صرع,DiseaseCondition,كهرباء زائدة,ahd5k_02823,chunk_00016,808060,question,طفل عمره اربع سنوات شخص مرضه على انه كهرباء زائدة,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_1cff9c5dbe9e,صرع,DiseaseCondition,داء الصرع,ahd5k_02823,chunk_00016,808060,answer,عبارة ( كهرباء زائدة ) او ( شحنات كهرباء ) يطلقها الاطباء على داء الصرع,0.950,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_871c0c5d659d,نوبة,Symptom,نوبات عامة,ahd5k_02823,chunk_00016,808060,answer,الصرع نوعان : 1- نوبات عامة تصيب جميع اجزاء الجسم,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_871c0c5d659d,نوبة,Symptom,نوبات جزئية,ahd5k_02823,chunk_00016,808060,answer,2- نوبات جزئية تصيب جزء او عضو من الجسم,0.900,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_46e10e992f79,تلون الشبكيه الصبغي,DiseaseCondition,مرض تلون الشبكيه الصبغي,ahd5k_04028,chunk_00017,774490,question,مرض وراثي,0.950,llama-3.1-8b-instant,legacy_entity_extraction
ent_symptom_4ee1ee88d9f2,الديدان الشريطية,Symptom,الديدان الشريطية,ahd5k_04028,chunk_00017,774490,answer,طارد للديدان الشريطية,0.950,llama-3.1-8b-instant,legacy_entity_extraction
ent_symptom_b754f1a1e5a8,صداع,Symptom,صداع,ahd5k_04028,chunk_00017,774490,question,شفاء الصداع وآلام الرأس,0.950,llama-3.1-8b-instant,legacy_entity_extraction
ent_test_dd68aa784555,تحاليل مخبرية,Test,تحاليل مخبرية,ahd5k_04028,chunk_00017,774490,question,تحاليل مخبرية,0.950,llama-3.1-8b-instant,legacy_entity_extraction
