entity_id,canonical_name,canonical_name_norm,entity_type,aliases,mention_count,qa_count,source_chunk_count,average_llm_confidence,source_models,source_origin
ent_diseasecondition_9db0143f0c61,إسهال,اسهال,DiseaseCondition,"[""إسهال""]",2,2,2,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_b2548ad0e103,اضطراب الغدة الدرقية,اضطراب الغده الدرقيه,DiseaseCondition,"[""اضطراب الغدة الدرقية""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_35eb2b8f8638,اضطراب نفسي,اضطراب نفسي,DiseaseCondition,"[""اضطراب نفسي"", ""شك مريض""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_dede421c3692,اضطراب نقص الإنتباه وفرط النشاط,اضطراب نقص الانتباه وفرط النشاط,DiseaseCondition,"[""ADHD"", ""Hyper activity"", ""اضطراب نقص الإنتباه وفرط النشاط""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_fab2e100965e,اضطرابات كهربية قلبية,اضطرابات كهربيه قلبيه,DiseaseCondition,"[""اضطرابات كهربية"", ""اضطرابات كهربية قلبية""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d17af903c162,اضطرابات هرمونية,اضطرابات هرمونيه,DiseaseCondition,"[""اضطرابات هرمونية""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_a2605dbbfa2a,أقل من الطبيعي,اقل من الطبيعي,DiseaseCondition,"[""أقل من الطبيعي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_32c84edce6a2,اكتئاب,اكتياب,DiseaseCondition,"[""اكتئاب""]",1,1,1,0.900,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_0d4568f518f0,الاثية الشرجي,الاثيه الشرجي,DiseaseCondition,"[""الاثية"", ""الاثية الشرجي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_6a33d7cf782a,الاحمرار في المستقيم,الاحمرار في المستقيم,DiseaseCondition,"[""الاحمرار في المستقيم""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_8b9d599f7475,الأسنان,الاسنان,DiseaseCondition,"[""اسنان"", ""الأسنان""]",1,1,1,0.700,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_c1b41bd3762d,الاعتلال العصبي الحاد,الاعتلال العصبي الحاد,DiseaseCondition,"[""الاعتلال العصبي"", ""الاعتلال العصبي الحاد""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_d808bbf4fafe,الاعتلال العصبي المحيطي,الاعتلال العصبي المحيطي,DiseaseCondition,"[""اعتلال الأعصاب الحاد"", ""الاعتلال العصبي"", ""الاعتلال العصبي المحيطي""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_c530adcb98c5,الاكتئاب,الاكتياب,DiseaseCondition,"[""اكتئاب"", ""الاكتئاب"", ""شعور بالخوف""]",2,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_09029ff48e08,الالثية,الالثيه,DiseaseCondition,"[""الالثية""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_8ca9f15583c7,الانتان,الانتان,DiseaseCondition,"[""الانتان"", ""الانتان خفي أو ظاهر""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_57f97ace9696,الانتفاخ,الانتفاخ,DiseaseCondition,"[""الانتفاخ""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_4483219775eb,الانزلاقات الغضروفية العنقية,الانزلاقات الغضروفيه العنقيه,DiseaseCondition,"[""الانزلاقات الغضروفية العنقية""]",1,1,1,0.800,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_328b3df02a9c,الانفجار,الانفجار,DiseaseCondition,"[""الانفجار"", ""التهاب""]",2,2,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_8ae017ffaf32,الانفلوانزا,الانفلوانزا,DiseaseCondition,"[""الانفلوانزا""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_ad424ed48183,الانيمياء,الانيمياء,DiseaseCondition,"[""الانيمياء""]",2,1,1,0.950,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_9b48ba52a758,البحبس,البحبس,DiseaseCondition,"[""البحبس""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_ce9ff22d8fac,البرونكيتيس,البرونكيتيس,DiseaseCondition,"[""البرونكيتيس"", ""التهاب""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_f9f02cdde82f,البواسير,البواسير,DiseaseCondition,"[""البواسير"", ""بواسير""]",6,6,3,0.867,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_ddae3ff624cf,الترمسه,الترمسه,DiseaseCondition,"[""الترمسه""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_30c063bfe92d,التسوس,التسوس,DiseaseCondition,"[""التسوس"", ""التصبغات السوداء""]",2,2,2,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_e973040455bf,التشوهات الخلقية,التشوهات الخلقيه,DiseaseCondition,"[""التشوهات الخلقية""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_743481d9d387,التصاق التوائم السيامي,التصاق التوايم السيامي,DiseaseCondition,"[""التصاق التوائم السيامي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_4ea30d57b62c,التصبغات السوداء,التصبغات السوداء,DiseaseCondition,"[""التسوس"", ""التصبغات السوداء""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_497a01dc0103,التلاسيميا,التلاسيميا,DiseaseCondition,"[""التلاسيميا"", ""فقر دم البحر الابيض المتوسط""]",2,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_16cf4e77b755,التهاب,التهاب,DiseaseCondition,"[""التهاب"", ""التهابات المفاصل"", ""تهاب"", ""تهاب المبيض""]",198,171,81,0.874,"[""llama-3.1-8b-instant"", ""llama-3.3-70b-versatile""]",new_user_extraction
ent_diseasecondition_d1ac437fb721,التهاب الامعاء,التهاب الامعاء,DiseaseCondition,"[""التهاب الامعاء""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_ad3e19c416f6,التهاب الجيوب الأنفية,التهاب الجيوب الانفيه,DiseaseCondition,"[""التهاب الجيوب الأنفية""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_6ed57271807f,التهاب الحفاظ,التهاب الحفاظ,DiseaseCondition,"[""التهاب الحفاظ""]",2,2,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_8073c16255c6,التهاب الخلوي,التهاب الخلوي,DiseaseCondition,"[""التهاب الخلوي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d9b91988beb9,التهاب السحايا,التهاب السحايا,DiseaseCondition,"[""التهاب السحايا""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_6ed4cacd0b61,التهاب الشعري,التهاب الشعري,DiseaseCondition,"[""التهاب الشعري""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_9a200b8418cc,التهاب العصعصي,التهاب العصعصي,DiseaseCondition,"[""التهاب العصعصي""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_3a46ea69fd7e,التهاب العصي البصري,التهاب العصي البصري,DiseaseCondition,"[""التهاب العصي البصري""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_31c6f1e3a619,التهاب الغدة الدرقية,التهاب الغده الدرقيه,DiseaseCondition,"[""التهاب الدرقية"", ""التهاب الغدة الدرقية""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_8cc0af593e58,التهاب القولون,التهاب القولون,DiseaseCondition,"[""التهاب القولون"", ""تهاب القولون""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_4e2d7ec982d0,التهاب القولون التقرحى,التهاب القولون التقرحي,DiseaseCondition,"[""التهاب القولون التقرحى"", ""تهاب القولون التقرحى""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_93d8578caf27,التهاب الكبد,التهاب الكبد,DiseaseCondition,"[""التهاب الكبد""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_6e95846a4080,التهاب اللثة,التهاب اللثه,DiseaseCondition,"[""التهاب"", ""التهاب اللثة"", ""تهاب اللثه""]",8,7,2,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_008140d48ce1,التهاب اللسان,التهاب اللسان,DiseaseCondition,"[""التهاب اللسان"", ""تهاب اللسان""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_341d574d8fe5,التهاب اللوزتين,التهاب اللوزتين,DiseaseCondition,"[""التهاب اللوزتين"", ""تهاب لوز""]",2,2,2,0.900,"[""llama-3.3-70b-versatile""]",previous_user_extraction
ent_diseasecondition_32f9c9a21059,التهاب المعدة,التهاب المعده,DiseaseCondition,"[""التهاب المعدة"", ""تهاب المعدة""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_c8b276e9a67b,التهاب المفاصل,التهاب المفاصل,DiseaseCondition,"[""التهاب المفاصل""]",2,1,1,0.950,"[""llama-3.3-70b-versatile""]",previous_user_extraction
ent_diseasecondition_5a02034f11b7,التهاب بكتيري,التهاب بكتيري,DiseaseCondition,"[""التهاب بكتيري"", ""تهاب بكتيري""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_9c03a470d940,التهاب فطري,التهاب فطري,DiseaseCondition,"[""التهاب فطري"", ""تهاب فطري""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_25a284953b35,التهاب في البويصلة الشعرية,التهاب في البويصله الشعريه,DiseaseCondition,"[""التهاب في البويصلة الشعرية""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_e78e37bf0691,التهاب في الغدد الليمفاوية,التهاب في الغدد الليمفاويه,DiseaseCondition,"[""التهاب في الغدد الليمفاوية""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_2c73be2f25fe,التهاب فيروسي,التهاب فيروسي,DiseaseCondition,"[""التهاب فيروسي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_f12d335bd2d8,التهاب مفصل الركبة,التهاب مفصل الركبه,DiseaseCondition,"[""التهاب مفصل الركبة"", ""تهاب مفصل الركبة""]",3,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_99862803579b,التهابات,التهابات,DiseaseCondition,"[""التهاب"", ""التهابات""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_88f6404a8c65,التهابات فى المعدة,التهابات في المعده,DiseaseCondition,"[""التهابات فى المعدة""]",1,1,1,0.800,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d6c2824a955a,التوائم,التوايم,DiseaseCondition,"[""التوائم""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_443aafd23ff7,التوحد السلوكي,التوحد السلوكي,DiseaseCondition,"[""التوحد السلوكي""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_8e104f8ce212,الجالكتوز,الجالكتوز,DiseaseCondition,"[""الجالكتوز""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_adcc5a085807,الجلد المترهل,الجلد المترهل,DiseaseCondition,"[""الجلد المترهل""]",1,1,1,0.850,"[""llama-3.3-70b-versatile""]",previous_user_extraction
ent_diseasecondition_9efe983f86e2,الجلطات,الجلطات,DiseaseCondition,"[""الجلطات"", ""جلطات""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_925cfcb87467,الجلطات الدماغية,الجلطات الدماغيه,DiseaseCondition,"[""الجلطات الدماغية"", ""جلطات"", ""جلطات دماغية""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_ec2ee6e91bb0,الجلطة,الجلطه,DiseaseCondition,"[""التهاب"", ""الجلطة""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_da5565d6842c,الجلطة الدماغية,الجلطه الدماغيه,DiseaseCondition,"[""الجلطة الدماغية"", ""الجلطة الدماغية السابقة""]",2,2,2,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_1420aadad936,الجنين,الجنين,DiseaseCondition,"[""الجنين""]",2,2,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_2de63ce5404a,الجيب اللثوي,الجيب اللثوي,DiseaseCondition,"[""الجيب اللثوي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_794191c3054d,الجينات المرضية,الجينات المرضيه,DiseaseCondition,"[""الجينات المرضية"", ""الجينات الوراثية""]",2,2,1,0.950,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_a35ca72da6b7,الحثل العضلي,الحثل العضلي,DiseaseCondition,"[""الحثل العضلي"", ""حثل دوشين العضلي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_5dcc30c3edc8,الحروق,الحروق,DiseaseCondition,"[""الحروق""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_ac6f7cbfb177,الحصى,الحصي,DiseaseCondition,"[""الحصى""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_7abdd04c7114,الحمل,الحمل,DiseaseCondition,"[""الحمل"", ""الحمل الوراثي"", ""حمل"", ""حمل بالاسبوع العاشر"", ""حمل خارج الرحم""]",83,79,27,0.889,"[""llama-3.1-8b-instant"", ""llama-3.3-70b-versatile""]",new_user_extraction
ent_diseasecondition_67c97925404a,الحمى الشديدة,الحمي الشديده,DiseaseCondition,"[""الانفلوانزا"", ""التهابات الجرثومية الحادة"", ""الحمى الشديدة""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_41f520aa86a9,الحودة الحال,الحوده الحال,DiseaseCondition,"[""الحودة الحال""]",2,2,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_33ebca04d291,الحودة الصكري,الحوده الصكري,DiseaseCondition,"[""الحودة الصكري""]",2,2,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_df207aa1a15e,الختناق,الختناق,DiseaseCondition,"[""الختناق""]",1,1,1,0.700,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_9f5df4e1d56b,الخراج,الخراج,DiseaseCondition,"[""الخراج"", ""الناسور""]",2,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,الدوره الشهريه,DiseaseCondition,"[""الدورة"", ""الدورة الشهرية"", ""دورة شهرية""]",15,13,5,0.890,"[""llama-3.1-8b-instant"", ""llama-3.3-70b-versatile""]",new_user_extraction
ent_diseasecondition_efd8fda1ef13,الديدان,الديدان,DiseaseCondition,"[""الديدان"", ""ديدان""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_c64474f33e29,الربو,الربو,DiseaseCondition,"[""الربو""]",2,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d858e70d5fdf,الروماتيزم,الروماتيزم,DiseaseCondition,"[""الروماتيزم""]",1,1,1,0.900,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_01ba795ec738,الرئتين,الريتين,DiseaseCondition,"[""الرئتين""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_aaf0d0958a26,السرطان,السرطان,DiseaseCondition,"[""السرطان"", ""سرطان الثدي""]",4,4,4,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_6eb03902c623,السكري,السكري,DiseaseCondition,"[""السكري"", ""سكري""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_e315c7d51517,السل,السل,DiseaseCondition,"[""السل""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_e6fe2d341b4c,السم,السم,DiseaseCondition,"[""الدغه العقرب"", ""السم""]",2,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_f756960fd62b,السمنة,السمنه,DiseaseCondition,"[""السمنة"", ""سمنة""]",2,2,2,0.900,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_9e3b0d436b03,الشلل الرعاشي,الشلل الرعاشي,DiseaseCondition,"[""الشلل الرعاشي"", ""داء باركنسون""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_d99fb1a77d6c,الشيخوخة,الشيخوخه,DiseaseCondition,"[""الشيخوخة"", ""شيخوخة"", ""شيخوخة المبكرة""]",2,2,2,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_00247d3d5c80,الصداع التوتري,الصداع التوتري,DiseaseCondition,"[""الصداع التوتري"", ""صداع التوتري""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_aacab021c9d4,الصداع النصفي,الصداع النصفي,DiseaseCondition,"[""الصداع النصفي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_6fc3f18427fb,الصدمة الكهربائية,الصدمه الكهرباييه,DiseaseCondition,"[""الصدمة الكهربائية""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_b3e7fc089ddd,الصفائح الدموية,الصفايح الدمويه,DiseaseCondition,"[""الصفائح"", ""الصفائح الدموية""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_ee57bd84c53c,الضرس,الضرس,DiseaseCondition,"[""الضرس""]",5,5,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_45b76d151316,الضيق البسيط,الضيق البسيط,DiseaseCondition,"[""الضيق البسيط"", ""ضيق""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_c8a25bd71e35,الطفرة,الطفره,DiseaseCondition,"[""الطفرة""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_3d7ba1abc264,الغازات,الغازات,DiseaseCondition,"[""ارتكاريا"", ""التهاب"", ""الغازات"", ""حساسية الصدر"", ""ربو"", ""نزلة معوية""]",3,3,2,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_7b4788cd854a,الغدة الدرقية,الغده الدرقيه,DiseaseCondition,"[""الغدة الدرقية""]",5,3,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_ae8c75765ec1,الغدة اللمفاوية,الغده اللمفاويه,DiseaseCondition,"[""الغدة اللمفاوية""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_46faf93722a3,الفركتوز,الفركتوز,DiseaseCondition,"[""الفركتوز"", ""سكر الذرة""]",2,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_765c9fdd4495,الفشل القلبي اللامُعاوَض,الفشل القلبي اللامعاوض,DiseaseCondition,"[""الفشل القلبي اللامُعاوَض"", ""فشل قلبي""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d13d516b4149,القرحة,القرحه,DiseaseCondition,"[""القرحة""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_8fec9e9307d6,القفص الصدري,القفص الصدري,DiseaseCondition,"[""القفص الصدري""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_017a6d080eff,القولون,القولون,DiseaseCondition,"[""القولون"", ""القولون العصبى"", ""قولون""]",11,8,4,0.868,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_ca9304cd0dde,القولون العصبي,القولون العصبي,DiseaseCondition,"[""ارتكاريا"", ""التهاب"", ""القولون التقرحي"", ""القولون العصبي"", ""حساسية الصدر"", ""ربو"", ""قولون العصبي"", ""نزلة معوية""]",24,21,10,0.898,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_5b95544ae1ac,الكالسيوم,الكالسيوم,DiseaseCondition,"[""الكالسيوم""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_584b39abb33a,الكساح,الكساح,DiseaseCondition,"[""الكساح"", ""كساح"", ""كساح العظام""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_1cda0b09f82c,الكوليسترول,الكوليسترول,DiseaseCondition,"[""الكوليسترول""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_4171598a5900,اللثة,اللثه,DiseaseCondition,"[""اللثة"", ""لثة""]",6,6,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d2e284c27e53,اللمف,اللمف,DiseaseCondition,"[""اللمف"", ""سائل"", ""سائل شفاف""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_5de2f8c39a17,المرض الفطري,المرض الفطري,DiseaseCondition,"[""المرض الفطري""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_319e19ad93a5,المرض الوراثي,المرض الوراثي,DiseaseCondition,"[""الأمراض الوراثية"", ""المرض الوراثي""]",6,5,2,0.950,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_86e897b1e25a,الملوية البوابية,الملويه البوابيه,DiseaseCondition,"[""الملوية البوابية""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_1d360e20e36c,الموت الدماغي,الموت الدماغي,DiseaseCondition,"[""الموت الدماغي"", ""موت دماغى""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_a2ea3f4151b1,الناسور,الناسور,DiseaseCondition,"[""الناسور""]",2,2,2,0.900,"[""llama-3.1-8b-instant""]",new_user_extraction
