query_id,query,original_answer_ar,refined_answer_ar,kept_claims,removed_claims,limitations_ar,answerability_label,claim_count,kept_claim_count,removed_claim_count,claim_support_rate,hallucination_rate,mitigation_action,refined_preview
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,الجرعة الموصوفة من 20 إبرة حديد خلال شهر تُعتبر آمنة إذا كانت مبنية على نتائج التحاليل المخبرية وحالة مخزون الحديد في الجسم [E6]. يُنصح بالالتزام بالجرعة الموصوفة من قبل الطبيب و监测 أي أعراض جانبية غير معتادة.,وصف 20 إبرة حديد خلال شهر آمن إذا كانت مبنية على نتائج التحاليل [E6 | ahd5k_01162] يجب تقييم الجرعة بناءً على نسبة الهيموغلوبين ومخزون الحديد في الجسم [E6 | ahd5k_01162],"[""وصف 20 إبرة حديد خلال شهر آمن إذا كانت مبنية على نتائج التحاليل"", ""يجب تقييم الجرعة بناءً على نسبة الهيموغلوبين ومخزون الحديد في الجسم""]",[],"[""ال أدلة المتوفرة لا تشمل مخاطر الجرعات العالية من الحديد أو الأعراض الجانبية المحتملة""]",answerable,2,2,0,1.0,0.0,no_claims_removed,وصف 20 إبرة حديد خلال شهر آمن إذا كانت مبنية على نتائج التحاليل [E6 | ahd5k_01162] يجب تقييم الجرعة بناءً على نسبة الهيموغلوبين ومخزون الحديد في الجسم [E6 | ahd5k_01162]
trial_query_087,أود معرفة ما أسباب تدلي المستقيم؟وطرق العلاج؟,لا توجد أدلة كافية في السياق المقدم لتحديد أسباب تدلي المستقيم أو طرق علاجه. البيانات المتاحة تركز على أمراض أخرى مثل دوالي الخصية أو التهابات المسالك البولية، ولا تتضمن معلومات مباشرة عن تدلي المستقيم.,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,[],"[""البيانات المتاحة تركز على أمراض أخرى مثل دوالي الخصية أو التهابات المسالك البولية، ولا تتضمن معلومات مباشرة عن تدلي المستقيم""]","[""عدم وجود علاقات أو أدلة مباشرة متعلقة بتدلي المستقيم في السياق المقدم""]",insufficient_evidence,1,0,1,0.0,1.0,removed_unsupported_claims,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية أو بممارسة الرياضة [E1][E3]. يُنصح بالرجوع إلى اختصاصي تجميل لتحديد الخيار الأنسب [E1].,"يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية [E1,E3 | ahd5k_01190,ahd5k_01190] يمكن شد الجلد المترهل في منطقة البطن بممارسة الرياضة [E1,E3 | ahd5k_01190,ahd5k_01190]","[""يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية"", ""يمكن شد الجلد المترهل في منطقة البطن بممارسة الرياضة""]",[],"[""العلاقة بين الجراحة التجميلية وشد الجلد المترهل ذات موثوقية محدودة (0.424409) في أحد الروابط"", ""لا توجد أدلة حول تأثير ممارسة الرياضة على الجلد المترهل دون الجراحة""]",answerable,2,2,0,1.0,0.0,no_claims_removed,"يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية [E1,E3 | ahd5k_01190,ahd5k_01190] يمكن شد الجلد المترهل في منطقة البطن بممارسة الرياضة [E1,E3 | ahd5k_01190,ahd5k_01190]"
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,تظهر الأدلة أن تضخم الطحال قد يسبب تضخمًا في الأرداف [E1]، وأن التهابًا قد يرتبط بالتعب [E2][E3]. ومع ذلك، فإن أدلة الرسم البياني محدودة ولا تغطي العلاقة بين ارتفاع الصفراء أو أعراض البطن والظهر المذكورة. يُنصح بالاستعانة بطبيب مختص لإجراء تقييم شامل.,"تضخم الطحال يمكن أن يسبب تضخمًا في الأرداف [E1 | ahd5k_00647] الالتهاب يمكن أن يسبب التعب [E2,E3 | ahd5k_03872]","[""تضخم الطحال يمكن أن يسبب تضخمًا في الأرداف"", ""الالتهاب يمكن أن يسبب التعب""]",[],"[""لا توجد أدلة مباشرة تربط ارتفاع الصفراء أو أعراض البطن والظهر المذكورة بمرض محدد"", ""الرسم البياني لا يغطي العلاقات بين ارتفاع الصفراء والتهاب الكبد أو أمراض المناعة الذاتية""]",answerable,2,2,0,1.0,0.0,no_claims_removed,"تضخم الطحال يمكن أن يسبب تضخمًا في الأرداف [E1 | ahd5k_00647] الالتهاب يمكن أن يسبب التعب [E2,E3 | ahd5k_03872]"
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,يصعب علاج شلل العصب السابع بعد تأخر الخمس سنوات، لكن يمكن تجربة العلاجات التالية: الكورتيزونات [E1]، مضادات الالتهاب [E2]، مضادات الفيروسات [E4]، العلاج الطبيعي [E3]، أو العلاج بالإبر الصينية [E5]. يُنصح باستشارة طبيب متخصص لتحديد الخيار الأنسب.,الكورتيزونات تُستخدم في علاج شلل العصب السابع [E1 | ahd5k_01221] مضادات الالتهاب تُستخدم في علاج شلل العصب السابع [E2 | ahd5k_01221] مضادات الفيروسات تُستخدم في علاج شلل العصب السابع [E4 | ahd5k_01221] العلاج الطبيعي يُستخدم في علاج شلل العصب السابع [E3 | ahd5k_01221] العلاج بالإبر الصينية يُستخدم في علاج شلل العصب السابع [E5 | ahd5k_01221],"[""الكورتيزونات تُستخدم في علاج شلل العصب السابع"", ""مضادات الالتهاب تُستخدم في علاج شلل العصب السابع"", ""مضادات الفيروسات تُستخدم في علاج شلل العصب السابع"", ""العلاج الطبيعي يُستخدم في علاج شلل العصب السابع"", ""العلاج بالإبر الصينية يُستخدم في علاج شلل العصب السابع""]",[],"[""الدقة المحدودة في تقييم فعالية العلاجات بعد تأخر الخمس سنوات"", ""عدم وجود أدلة كافية عن الجرعات أو الشروط المحددة للعلاج""]",answerable,5,5,0,1.0,0.0,no_claims_removed,الكورتيزونات تُستخدم في علاج شلل العصب السابع [E1 | ahd5k_01221] مضادات الالتهاب تُستخدم في علاج شلل العصب السابع [E2 | ahd5k_01221] مضادات الفيروسات تُستخدم في علاج شلل العصب السابع [E4 | ahd5k_01221] العلاج الطبيعي يُستخدم في علاج شلل العصب السابع [E3 | ahd5k_01221] العلاج بالإبر الصينية يُستخدم في علاج شلل العصب...
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,في حال حدوث حساسية شديدة وتورم بعد تناول مضاد حيوي مثل زييثرون، يُنصح بتجنب تناوله مجددًا [E1]، واستخدام مضاد الهيستامين مع كورتيزون موضعي [E1][E2]. يُفضل إجراء تحليل لتحديد حساسية المضادات الحيوية [E1].,"تجنب تناول مضاد حيوي مثل زييثرون مجددًا في حال حدوث حساسية شديدة [E1 | ahd5k_01231] استخدام مضاد الهيستامين مع كورتيزون موضعي لعلاج الحساسية الشديدة [E1,E2 | ahd5k_01231] إجراء تحليل لتحديد حساسية المضادات الحيوية بعد تفاعل شديد [E1 | ahd5k_01231]","[""تجنب تناول مضاد حيوي مثل زييثرون مجددًا في حال حدوث حساسية شديدة"", ""استخدام مضاد الهيستامين مع كورتيزون موضعي لعلاج الحساسية الشديدة"", ""إجراء تحليل لتحديد حساسية المضادات الحيوية بعد تفاعل شديد""]",[],"[""ال أدلة تركز على علاجات موضعية وتجنب المسببات، لكنها تفتقر إلى تفاصيل حول إدارة الحالات الشديدة أو التدخلات الطبية الفورية""]",answerable,3,3,0,1.0,0.0,no_claims_removed,"تجنب تناول مضاد حيوي مثل زييثرون مجددًا في حال حدوث حساسية شديدة [E1 | ahd5k_01231] استخدام مضاد الهيستامين مع كورتيزون موضعي لعلاج الحساسية الشديدة [E1,E2 | ahd5k_01231] إجراء تحليل لتحديد حساسية المضادات الحيوية بعد تفاعل شديد [E1 | ahd5k_01231]"
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,لا توجد أدلة كافية في السياق المقدم لتقييم العلاقة بين الأعراض المذكورة (صداع، نعاس، حساسية في الوجه، حكة) والدواء المذكور. يُنصح بالاستمرار في مراجعة الطبيب المختص لتحديد سبب الأعراض وتعديل العلاج [E1-E4].,الحساسية قد تسبب أعراض مثل السعال والبلغم [E1] [E1 | ahd5k_00970] الحساسية قد تؤدي إلى ضيق تنفس [E3] [E3 | ahd5k_00683],"[""الحساسية قد تسبب أعراض مثل السعال والبلغم [E1]"", ""الحساسية قد تؤدي إلى ضيق تنفس [E3]""]",[],"[""عدم وجود أدلة مباشرة تربط الصداع والحساسية في الوجه والحكة بالحساسية المذكورة في السياق"", ""عدم توفر معلومات حول تأثير الدواء على الأعراض المذكورة""]",answerable,2,2,0,1.0,0.0,no_claims_removed,الحساسية قد تسبب أعراض مثل السعال والبلغم [E1] [E1 | ahd5k_00970] الحساسية قد تؤدي إلى ضيق تنفس [E3] [E3 | ahd5k_00683]
trial_query_093,لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب. كما أخبركم أني مريصة بالقلب (مشكل في صمامتين),البيانات المقدمة لا تشمل أدلة كافية لتفسير صعوبة التنفس أو الآلام القريبة من القلب أو مشاكل النوم الجانبية. يُنصح بمراجعة طبيب قلب لفحص صمامات القلب وتحديد سبب الأعراض.,صعوبة التنفس العميق قد تكون مرتبطة بفقر الدم [E3] [E3 | ahd5k_02546] لا توجد أدلة كافية في السياق المسترجع لدعم: آلام القرب من القلب غير مذكورة في الأدلة المُسترجعة [E1-E6].,"[""صعوبة التنفس العميق قد تكون مرتبطة بفقر الدم [E3]""]","[""آلام القرب من القلب غير مذكورة في الأدلة المُسترجعة [E1-E6]""]","[""عدم وجود أدلة مباشرة لربط صعوبة التنفس أو الآلام القريبة من القلب بالبيانات المُسترجعة"", ""البيانات لا تشمل علاقات لمشكلات صمامات القلب""]",partially_answerable,2,1,1,0.5,0.5,removed_unsupported_claims,صعوبة التنفس العميق قد تكون مرتبطة بفقر الدم [E3] [E3 | ahd5k_02546] لا توجد أدلة كافية في السياق المسترجع لدعم: آلام القرب من القلب غير مذكورة في الأدلة المُسترجعة [E1-E6].
trial_query_094,هل هناك أسباب أخرى محددة تؤدي الى ولادة دات شفة مشقوقة من غير استعمال دواء التوبيراميت.,لا توجد أدلة كافية في السياق المقدم لتوضيح أسباب أخرى لولادة شفة مشقوقة غير استخدام دواء التوبيراميت. العلاقات المسترجعة تتناول علاجات لقرحة وشيب، ولا ترتبط مباشرة بتشوهات خلقية مثل الشفة المشقوقة.,"السياق المقدم لا يحتوي على أدلة كافية عن أسباب أخرى لولادة شفة مشقوقة غير التوبيراميت [E1,E2,E3,E4 | ahd5k_01066,ahd5k_04612]","[""السياق المقدم لا يحتوي على أدلة كافية عن أسباب أخرى لولادة شفة مشقوقة غير التوبيراميت""]",[],"[""عدم وجود علاقات أو أدلة مباشرة عن أسباب خلقية أخرى للشفة المشقوقة في السياق المسترجع""]",answerable,1,1,0,1.0,0.0,no_claims_removed,"السياق المقدم لا يحتوي على أدلة كافية عن أسباب أخرى لولادة شفة مشقوقة غير التوبيراميت [E1,E2,E3,E4 | ahd5k_01066,ahd5k_04612]"
trial_query_095,كيف تتم ازالة شظايا القنابل الصغيرة الانشطارية في المنزل عند عدم التمكن من الذهاب للمستشفى وهل هناك اخطار من بقائها؟,لا توجد طريقة موصى بها لإزالة شظايا القنابل الصغيرة الانشطارية في المنزل. يُنصح بالتصوير بالأشعة لتحديد مكان الشظايا ونوعها [E1]، مع ملاحظة أن الجسم قد يصنع محفظات حولها ويعزلها [E1]. لا توجد أدلة كافية حول المخاطر المحددة لبقائها في الجسم.,"يُنصح بالتصوير بالأشعة لتحديد مكان شظايا القنابل الصغيرة الانشطارية ونوعها [E1,E4 | ahd5k_01290,ahd5k_01290] الجسم قد يصنع محفظات حول شظايا القنابل الصغيرة الانشطارية ويعزلها [E1 | ahd5k_01290]","[""يُنصح بالتصوير بالأشعة لتحديد مكان شظايا القنابل الصغيرة الانشطارية ونوعها"", ""الجسم قد يصنع محفظات حول شظايا القنابل الصغيرة الانشطارية ويعزلها""]",[],"[""لا توجد أدلة كافية حول مخاطر بقاء الشظايا في الجسم"", ""لا توجد إرشادات منزلية موثقة لإزالة الشظايا""]",answerable,2,2,0,1.0,0.0,no_claims_removed,"يُنصح بالتصوير بالأشعة لتحديد مكان شظايا القنابل الصغيرة الانشطارية ونوعها [E1,E4 | ahd5k_01290,ahd5k_01290] الجسم قد يصنع محفظات حول شظايا القنابل الصغيرة الانشطارية ويعزلها [E1 | ahd5k_01290]"
trial_query_096,السلام عليكم .. هل تناول ملعقة يوميا من زيت الحلبة على الريق يزيد من حجم الثدي بجانب التمارين ..؟؟ و ما المدة التى يمكن الاستمرار عليها فى تناول الزيت؟ و...,لا توجد أدلة كافية في الشبكة لدعم أو نفي تأثير زيت الحلبة على زيادة حجم الثدي أو تحديد مدة الاستخدام الآمن. يُنصح بالاستعانة بمتخصص طبي لتقييم هذا العلاج [E1].,زيت الحلبة ليس له أدلة كافية في الشبكة لتأثيره على حجم الثدي [E1 | ahd5k_00203],"[""زيت الحلبة ليس له أدلة كافية في الشبكة لتأثيره على حجم الثدي""]",[],"[""لا توجد أدلة مباشرة حول زيت الحلبة أو تأثيره على الثدي""]",answerable,1,1,0,1.0,0.0,no_claims_removed,زيت الحلبة ليس له أدلة كافية في الشبكة لتأثيره على حجم الثدي [E1 | ahd5k_00203]
trial_query_097,كيفية التعامل مع انتفاخ ضرس العقل مسببا الام و احمرار الفك الاسفل,في حالة انتفاخ ضرس العقل المسبب لآلام واحمرار الفك السفلي، يُنصح بمراجعة طبيب أو أخصائي جراحة الوجه والفكين [E1] [E2]. ضرس العقل قد يسبب آلامًا بدرجات متفاوتة تتطلب عادةً خلعه [E1] [E3]. لا توجد أدلة كافية حول معالجة الانتفاخ مباشرةً دون مراجعة طبية [E5].,"ضرس العقل قد يسبب آلامًا بدرجات متفاوتة تتطلب خلعه [E1,E3 | ahd5k_04356,ahd5k_04356] المراجعة الطبية (طبيب أو أخصائي جراحة الوجه والفكين) هي المعالجة الموصى بها [E2,E4 | ahd5k_04356,ahd5k_04356]","[""ضرس العقل قد يسبب آلامًا بدرجات متفاوتة تتطلب خلعه"", ""المراجعة الطبية (طبيب أو أخصائي جراحة الوجه والفكين) هي المعالجة الموصى بها""]",[],"[""عدم وجود أدلة كافية حول معالجة الانتفاخ مباشرةً دون مراجعة طبية"", ""العلاقة بين انتفاخ الفك والأشعة بالصبغة غير محددة بوضوح""]",answerable,2,2,0,1.0,0.0,no_claims_removed,"ضرس العقل قد يسبب آلامًا بدرجات متفاوتة تتطلب خلعه [E1,E3 | ahd5k_04356,ahd5k_04356] المراجعة الطبية (طبيب أو أخصائي جراحة الوجه والفكين) هي المعالجة الموصى بها [E2,E4 | ahd5k_04356,ahd5k_04356]"
