query_id,query,answer_ar,claims,evidence_summary_ar,used_relations,limitations_ar,next_step_note_ar,provider,model
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,الجرعة الموصوفة من 20 إبرة حديد خلال شهر تُعتبر آمنة إذا كانت مبنية على نتائج التحاليل المخبرية وحالة مخزون الحديد في الجسم [E6]. يُنصح بالالتزام بالجرعة الموصوفة من قبل الطبيب و监测 أي أعراض جانبية غير معتادة.,"[{""claim_ar"": ""وصف 20 إبرة حديد خلال شهر آمن إذا كانت مبنية على نتائج التحاليل"", ""citations"": [""E6""], ""source_qa_ids"": [""ahd5k_01162""], ""support_status"": ""supported""}, {""claim_ar"": ""يجب تقييم الجرعة بناءً على نسبة الهيموغلوبين ومخزون الحديد في الجسم"", ""citations"": [""E6""], ""source_qa_ids"": [""ahd5k_01162""], ""support_status"": ""supported""}]","[""الجرعة الموصوفة من الحديد تُحدد بناءً على نتائج التحاليل المخبرية وحالة الجسم [E6]""]","[""نقص حديد --DIAGNOSED_BY--> فحص تحاليل مخبرية""]","[""ال أدلة المتوفرة لا تشمل مخاطر الجرعات العالية من الحديد أو الأعراض الجانبية المحتملة""]",يُنصح بمتابعة الطبيب لتأكيد أن الجرعة مناسبة لحالة الجسم و监测 أي تغيرات.,groq,qwen/qwen3-32b
trial_query_087,أود معرفة ما أسباب تدلي المستقيم؟وطرق العلاج؟,لا توجد أدلة كافية في السياق المقدم لتحديد أسباب تدلي المستقيم أو طرق علاجه. البيانات المتاحة تركز على أمراض أخرى مثل دوالي الخصية أو التهابات المسالك البولية، ولا تتضمن معلومات مباشرة عن تدلي المستقيم.,[],[],[],"[""عدم وجود علاقات أو أدلة مباشرة متعلقة بتدلي المستقيم في السياق المقدم""]",يُنصح بالاستعانة بخبير طبي لإجراء فحص سريري وتحديد السبب والعلاج المناسب.,groq,qwen/qwen3-32b
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية أو بممارسة الرياضة [E1][E3]. يُنصح بالرجوع إلى اختصاصي تجميل لتحديد الخيار الأنسب [E1].,"[{""claim_ar"": ""يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية"", ""citations"": [""E1"", ""E3""], ""source_qa_ids"": [""ahd5k_01190"", ""ahd5k_01190""], ""support_status"": ""supported""}, {""claim_ar"": ""يمكن شد الجلد المترهل في منطقة البطن بممارسة الرياضة"", ""citations"": [""E1"", ""E3""], ""source_qa_ids"": [""ahd5k_01190"", ""ahd5k_01190""], ""support_status"": ""supported""}]","[""الجراحة التجميلية تُستخدم لشد الجلد المترهل (E1/E3)"", ""ممارسة الرياضة تُعتبر خيارًا غير جراحي لتحسين مرونة الجلد (E1/E3)""]","[""الجلد المترهل --TREATED_BY--> الجراحة التجميلية"", ""الجراحة التجميلية --TREATS--> الجلد المترهل""]","[""العلاقة بين الجراحة التجميلية وشد الجلد المترهل ذات موثوقية محدودة (0.424409) في أحد الروابط"", ""لا توجد أدلة حول تأثير ممارسة الرياضة على الجلد المترهل دون الجراحة""]",يُنصح بالاستشارة مع طبيب تجميلي لتحديد الخيار الأنسب بناءً على الحالة الفردية، حيث أن هذا الإجابة ليست بديلًا عن التشخيص الطبي المباشر.,groq,qwen/qwen3-32b
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,تظهر الأدلة أن تضخم الطحال قد يسبب تضخمًا في الأرداف [E1]، وأن التهابًا قد يرتبط بالتعب [E2][E3]. ومع ذلك، فإن أدلة الرسم البياني محدودة ولا تغطي العلاقة بين ارتفاع الصفراء أو أعراض البطن والظهر المذكورة. يُنصح بالاستعانة بطبيب مختص لإجراء تقييم شامل.,"[{""claim_ar"": ""تضخم الطحال يمكن أن يسبب تضخمًا في الأرداف"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_00647""], ""support_status"": ""supported""}, {""claim_ar"": ""الالتهاب يمكن أن يسبب التعب"", ""citations"": [""E2"", ""E3""], ""source_qa_ids"": [""ahd5k_03872""], ""support_status"": ""supported""}]","[""تضخم الطحال مرتبط بتضخم الأرداف (E1)"", ""الالتهاب مرتبط بالتعب (E2, E3)""]","[""تضخم --HAS_SYMPTOM--> تضخم في الارداف"", ""التهاب --HAS_SYMPTOM--> تعب"", ""تعب --SYMPTOM_OF--> التهاب""]","[""لا توجد أدلة مباشرة تربط ارتفاع الصفراء أو أعراض البطن والظهر المذكورة بمرض محدد"", ""الرسم البياني لا يغطي العلاقات بين ارتفاع الصفراء والتهاب الكبد أو أمراض المناعة الذاتية""]",يُنصح بزيارة طبيب مختص لإجراء فحوصات إضافية وتحديد السبب الجذري للأعراض.,groq,qwen/qwen3-32b
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,يصعب علاج شلل العصب السابع بعد تأخر الخمس سنوات، لكن يمكن تجربة العلاجات التالية: الكورتيزونات [E1]، مضادات الالتهاب [E2]، مضادات الفيروسات [E4]، العلاج الطبيعي [E3]، أو العلاج بالإبر الصينية [E5]. يُنصح باستشارة طبيب متخصص لتحديد الخيار الأنسب.,"[{""claim_ar"": ""الكورتيزونات تُستخدم في علاج شلل العصب السابع"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_01221""], ""support_status"": ""supported""}, {""claim_ar"": ""مضادات الالتهاب تُستخدم في علاج شلل العصب السابع"", ""citations"": [""E2""], ""source_qa_ids"": [""ahd5k_01221""], ""support_status"": ""supported""}, {""claim_ar"": ""مضادات الفيروسات تُستخدم في علاج شلل العصب السابع"", ""citations"": [""E4""], ""source_qa_ids"": [""ahd5k_01221""], ""support_status"": ""supported""}, {""claim_ar"": ""العلاج الطبيعي يُستخدم في علاج شلل العصب السابع"", ""citations"": [""E3""], ""source_qa_ids"": [""ahd5k_01221""], ""support_status"": ""supported""}, {""claim_ar"": ""العلاج بالإبر الصينية يُستخدم في علاج شلل العصب السابع"", ""citations"": [""E5""], ""source_qa_ids"": [""ahd5k_01221""], ""support_status"": ""supported""}]","[""الكورتيزونات ومضادات الالتهاب والعلاج الطبيعي والإبر الصينية تُستخدم في علاج شلل العصب السابع، لكن التأخير يقلل فعاليتها [E1-E5]""]","[""شلل العصب السابع --TREATED_BY--> الكورتيزونات"", ""شلل العصب السابع --TREATED_BY--> مضادات الالتهاب"", ""شلل العصب السابع --TREATED_BY--> مضادات الفيروسات"", ""شلل العصب السابع --TREATED_BY--> العلاج الطبيعي"", ""شلل العصب السابع --TREATED_BY--> العلاج بالإبر الصينية""]","[""الدقة المحدودة في تقييم فعالية العلاجات بعد تأخر الخمس سنوات"", ""عدم وجود أدلة كافية عن الجرعات أو الشروط المحددة للعلاج""]",يُنصح باستشارة طبيب أعصاب لإجراء تقييم مفصل وتحديد خطة علاج مخصصة.,groq,qwen/qwen3-32b
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,في حال حدوث حساسية شديدة وتورم بعد تناول مضاد حيوي مثل زييثرون، يُنصح بتجنب تناوله مجددًا [E1]، واستخدام مضاد الهيستامين مع كورتيزون موضعي [E1][E2]. يُفضل إجراء تحليل لتحديد حساسية المضادات الحيوية [E1].,"[{""claim_ar"": ""تجنب تناول مضاد حيوي مثل زييثرون مجددًا في حال حدوث حساسية شديدة"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_01231""], ""support_status"": ""supported""}, {""claim_ar"": ""استخدام مضاد الهيستامين مع كورتيزون موضعي لعلاج الحساسية الشديدة"", ""citations"": [""E1"", ""E2""], ""source_qa_ids"": [""ahd5k_01231""], ""support_status"": ""supported""}, {""claim_ar"": ""إجراء تحليل لتحديد حساسية المضادات الحيوية بعد تفاعل شديد"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_01231""], ""support_status"": ""supported""}]","[""التحذير من تناول مضاد حيوي مسبب للحساسية مجددًا مع توصية بمضاد الهيستامين وكورتيزون موضعي [E1]"", ""توصية بتجنب المنتجات الحساسية مثل الجلوتين في حالات أخرى [E4]""]","[""حساسية --TREATED_BY--> مضاد الهيستامين"", ""حساسية --TREATED_BY--> كورتيزون""]","[""ال أدلة تركز على علاجات موضعية وتجنب المسببات، لكنها تفتقر إلى تفاصيل حول إدارة الحالات الشديدة أو التدخلات الطبية الفورية""]",يُنصح بالاتصال بمتخصص طبي فورًا لعلاج الحساسية الشديدة والتورم، حيث أن هذه الإرشادات لا تُستبدل برأي طبيب.,groq,qwen/qwen3-32b
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,لا توجد أدلة كافية في السياق المقدم لتقييم العلاقة بين الأعراض المذكورة (صداع، نعاس، حساسية في الوجه، حكة) والدواء المذكور. يُنصح بالاستمرار في مراجعة الطبيب المختص لتحديد سبب الأعراض وتعديل العلاج [E1-E4].,"[{""claim_ar"": ""الحساسية قد تسبب أعراض مثل السعال والبلغم [E1]"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_00970""], ""support_status"": ""supported""}, {""claim_ar"": ""الحساسية قد تؤدي إلى ضيق تنفس [E3]"", ""citations"": [""E3""], ""source_qa_ids"": [""ahd5k_00683""], ""support_status"": ""supported""}]","[""الحساسية مرتبطة بسعال وبلغم (E1)"", ""الحساسية مرتبطة بضيق تنفس (E3)""]","[""حساسية --HAS_SYMPTOM--> سعال"", ""حساسية --HAS_SYMPTOM--> ضيق تنفس""]","[""عدم وجود أدلة مباشرة تربط الصداع والحساسية في الوجه والحكة بالحساسية المذكورة في السياق"", ""عدم توفر معلومات حول تأثير الدواء على الأعراض المذكورة""]",يُنصح بمراجعة طبيب الحساسية أو الطبيب المعالج لإجراء فحص طبي شامل وتقييم الأعراض بدقة.,groq,qwen/qwen3-32b
trial_query_093,لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب. كما أخبركم أني مريصة بالقلب (مشكل في صمامتين),البيانات المقدمة لا تشمل أدلة كافية لتفسير صعوبة التنفس أو الآلام القريبة من القلب أو مشاكل النوم الجانبية. يُنصح بمراجعة طبيب قلب لفحص صمامات القلب وتحديد سبب الأعراض.,"[{""claim_ar"": ""صعوبة التنفس العميق قد تكون مرتبطة بفقر الدم [E3]"", ""citations"": [""E3""], ""source_qa_ids"": [""ahd5k_02546""], ""support_status"": ""insufficient""}, {""claim_ar"": ""آلام القرب من القلب غير مذكورة في الأدلة المُسترجعة [E1-E6]"", ""citations"": [], ""source_qa_ids"": [], ""support_status"": ""insufficient""}]","[""- فقر الدم قد يسبب ألمًا في المعدة وخمولًا واضطرابات في النوم [E3]"", ""- ضرس العقل المعكوس قد يسبب ألمًا وصداعًا [E1]""]","[""فقر الدم --HAS_SYMPTOM--> الم المعدجة"", ""ضرس العقل --HAS_SYMPTOM--> الام""]","[""عدم وجود أدلة مباشرة لربط صعوبة التنفس أو الآلام القريبة من القلب بالبيانات المُسترجعة"", ""البيانات لا تشمل علاقات لمشكلات صمامات القلب""]",يُنصح بمراجعة طبيب قلب لفحص صمامات القلب وتحديد سبب الأعراض غير المُستجابة للبيانات المُسترجعة.,groq,qwen/qwen3-32b
trial_query_094,هل هناك أسباب أخرى محددة تؤدي الى ولادة دات شفة مشقوقة من غير استعمال دواء التوبيراميت.,لا توجد أدلة كافية في السياق المقدم لتوضيح أسباب أخرى لولادة شفة مشقوقة غير استخدام دواء التوبيراميت. العلاقات المسترجعة تتناول علاجات لقرحة وشيب، ولا ترتبط مباشرة بتشوهات خلقية مثل الشفة المشقوقة.,"[{""claim_ar"": ""السياق المقدم لا يحتوي على أدلة كافية عن أسباب أخرى لولادة شفة مشقوقة غير التوبيراميت"", ""citations"": [""E1"", ""E2"", ""E3"", ""E4""], ""source_qa_ids"": [""ahd5k_01066"", ""ahd5k_04612""], ""support_status"": ""insufficient""}]","[""- العلاقات المسترجعة تتناول علاجات لقرحة وشيب (E1-E4)"", ""- لا توجد علاقات مباشرة بين الشفة المشقوقة وأسباب أخرى غير التوبيراميت""]","[""قرحة --TREATED_BY--> ايزومبرازول"", ""شيب --TREATED_BY--> خلطة الريحان و الروزماري"", ""ايزومبرازول --TREATS--> قرحة"", ""خلطة الريحان و الروزماري --TREATS--> شيب""]","[""عدم وجود علاقات أو أدلة مباشرة عن أسباب خلقية أخرى للشفة المشقوقة في السياق المسترجع""]",يُنصح بالاستعانة بمتخصص في أمراض وراثية أو طبيب نسائي لاستكشاف أسباب أخرى محتملة للتشوهات الخلقية.,groq,qwen/qwen3-32b
trial_query_095,كيف تتم ازالة شظايا القنابل الصغيرة الانشطارية في المنزل عند عدم التمكن من الذهاب للمستشفى وهل هناك اخطار من بقائها؟,لا توجد طريقة موصى بها لإزالة شظايا القنابل الصغيرة الانشطارية في المنزل. يُنصح بالتصوير بالأشعة لتحديد مكان الشظايا ونوعها [E1]، مع ملاحظة أن الجسم قد يصنع محفظات حولها ويعزلها [E1]. لا توجد أدلة كافية حول المخاطر المحددة لبقائها في الجسم.,"[{""claim_ar"": ""يُنصح بالتصوير بالأشعة لتحديد مكان شظايا القنابل الصغيرة الانشطارية ونوعها"", ""citations"": [""E1"", ""E4""], ""source_qa_ids"": [""ahd5k_01290"", ""ahd5k_01290""], ""support_status"": ""supported""}, {""claim_ar"": ""الجسم قد يصنع محفظات حول شظايا القنابل الصغيرة الانشطارية ويعزلها"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_01290""], ""support_status"": ""supported""}]","[""التصوير بالأشعة يُستخدم لتحديد مكان الشظايا ونوعها [E1]"", ""الجسم قد يعزل الشظايا عبر إنتاج محفظات حولها [E1]""]","[""شظايا القنابل الصغيرة الانشطارية --DIAGNOSED_BY--> أشعة"", ""أشعة --DIAGNOSES--> شظايا القنابل الصغيرة الانشطارية""]","[""لا توجد أدلة كافية حول مخاطر بقاء الشظايا في الجسم"", ""لا توجد إرشادات منزلية موثقة لإزالة الشظايا""]",يُنصح بمراجعة طبيب متخصص في أقرب فرصة ممكنة لتحديد الخطوات المناسبة.,groq,qwen/qwen3-32b
