relation_id,chunk_id,qa_id,source_row_number,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,candidate_relation_type,validated_relation_type,keep,confidence,evidence,reason,provider,model,prompt_version,edge_id,source_relation_id,graph_relation_type,direction
rel_seed_e6efa72444f2651e,chunk_00003,ahd10k_06287,98412,ent_merge_000260,تشقق الجلد,DiseaseCondition,ent_merge_001050,فحص سريري,Test,DIAGNOSED_BY,DIAGNOSED_BY,true,0.900,"تشقق الجلد في هذه المنطقة, فحص سريري",الفحص السريري مذكور كوسيلة لتشخيص تشقق الجلد.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_e6efa72444f2651e,rel_seed_e6efa72444f2651e,DIAGNOSED_BY,original
rel_seed_e6efa72444f2651e,chunk_00003,ahd10k_06287,98412,ent_merge_001050,فحص سريري,Test,ent_merge_000260,تشقق الجلد,DiseaseCondition,DIAGNOSED_BY,DIAGNOSED_BY,true,0.900,"تشقق الجلد في هذه المنطقة, فحص سريري",الفحص السريري مذكور كوسيلة لتشخيص تشقق الجلد.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_e6efa72444f2651e__inverse,rel_seed_e6efa72444f2651e,DIAGNOSES,inverse
rel_seed_89f9bab460ccb04d,chunk_00003,ahd10k_06287,98412,ent_merge_000766,حرقان,Symptom,ent_merge_001050,فحص سريري,Test,INVESTIGATED_BY,INVESTIGATED_BY,true,0.850,"أشعر بألم وحرقان في الفتحة, فحص سريري",الفحص السريري مذكور كوسيلة لاستقصاء أسباب الحرقان.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_89f9bab460ccb04d,rel_seed_89f9bab460ccb04d,INVESTIGATED_BY,original
rel_seed_89f9bab460ccb04d,chunk_00003,ahd10k_06287,98412,ent_merge_001050,فحص سريري,Test,ent_merge_000766,حرقان,Symptom,INVESTIGATED_BY,INVESTIGATED_BY,true,0.850,"أشعر بألم وحرقان في الفتحة, فحص سريري",الفحص السريري مذكور كوسيلة لاستقصاء أسباب الحرقان.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_89f9bab460ccb04d__inverse,rel_seed_89f9bab460ccb04d,INVESTIGATES,inverse
rel_seed_c057596fb9a2aa6e,chunk_00003,ahd5k_01231,390602,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000975,تحليل الحساسية,Test,DIAGNOSED_BY,DIAGNOSED_BY,true,0.900,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, تحليل حساسية المضادات",تحليل الحساسية مذكور كوسيلة لتشخيص الحساسية الناتجة عن المضاد الحيوي.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_c057596fb9a2aa6e,rel_seed_c057596fb9a2aa6e,DIAGNOSED_BY,original
rel_seed_c057596fb9a2aa6e,chunk_00003,ahd5k_01231,390602,ent_merge_000975,تحليل الحساسية,Test,ent_merge_000326,حساسية,DiseaseCondition,DIAGNOSED_BY,DIAGNOSED_BY,true,0.900,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, تحليل حساسية المضادات",تحليل الحساسية مذكور كوسيلة لتشخيص الحساسية الناتجة عن المضاد الحيوي.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_c057596fb9a2aa6e__inverse,rel_seed_c057596fb9a2aa6e,DIAGNOSES,inverse
rel_seed_248894ebb1f96639,chunk_00003,ahd5k_01231,390602,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001544,كورتيزون,Treatment,TREATED_BY,TREATED_BY,true,0.850,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, استخدمي مضاد هيسامين وكورتيزون موضعي",الكورتيزون مذكور كعلاج مباشر للحساسية الناتجة.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_248894ebb1f96639,rel_seed_248894ebb1f96639,TREATED_BY,original
rel_seed_248894ebb1f96639,chunk_00003,ahd5k_01231,390602,ent_merge_001544,كورتيزون,Treatment,ent_merge_000326,حساسية,DiseaseCondition,TREATED_BY,TREATED_BY,true,0.850,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, استخدمي مضاد هيسامين وكورتيزون موضعي",الكورتيزون مذكور كعلاج مباشر للحساسية الناتجة.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_248894ebb1f96639__inverse,rel_seed_248894ebb1f96639,TREATS,inverse
rel_seed_b8db318441c83bad,chunk_00003,ahd5k_01231,390602,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001600,مضاد الهيستامين,Treatment,TREATED_BY,TREATED_BY,true,0.850,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, استخدمي مضاد هيسامين وكورتيزون موضعي",مضاد الهيستامين مذكور كعلاج مباشر للحساسية الناتجة.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_b8db318441c83bad,rel_seed_b8db318441c83bad,TREATED_BY,original
rel_seed_b8db318441c83bad,chunk_00003,ahd5k_01231,390602,ent_merge_001600,مضاد الهيستامين,Treatment,ent_merge_000326,حساسية,DiseaseCondition,TREATED_BY,TREATED_BY,true,0.850,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, استخدمي مضاد هيسامين وكورتيزون موضعي",مضاد الهيستامين مذكور كعلاج مباشر للحساسية الناتجة.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_b8db318441c83bad__inverse,rel_seed_b8db318441c83bad,TREATS,inverse
rel_seed_235f3c76c533dd55,chunk_00003,ahd5k_01245,266907,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000918,RAST Test,Test,DIAGNOSED_BY,DIAGNOSED_BY,true,0.850,معرفة سبب الحساسيه يتم ذلك عن طريق RAST Test,"The QA explicitly states that RAST Test is used to determine the cause of the allergy, directly supporting the DIAGNOSED_BY relation.",groq,qwen/qwen3-32b,colleague_validation,rel_seed_235f3c76c533dd55,rel_seed_235f3c76c533dd55,DIAGNOSED_BY,original
rel_seed_235f3c76c533dd55,chunk_00003,ahd5k_01245,266907,ent_merge_000918,RAST Test,Test,ent_merge_000326,حساسية,DiseaseCondition,DIAGNOSED_BY,DIAGNOSED_BY,true,0.850,معرفة سبب الحساسيه يتم ذلك عن طريق RAST Test,"The QA explicitly states that RAST Test is used to determine the cause of the allergy, directly supporting the DIAGNOSED_BY relation.",groq,qwen/qwen3-32b,colleague_validation,rel_seed_235f3c76c533dd55__inverse,rel_seed_235f3c76c533dd55,DIAGNOSES,inverse
rel_seed_27188af5cd772db5,chunk_00004,ahd10k_00560,502449,ent_merge_000312,جفاف الجلد,DiseaseCondition,ent_merge_001126,Vaseline,Treatment,TREATED_BY,TREATED_BY,true,1.000,Vaseline,QA evidence explicitly states Vaseline as treatment for dry skin.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_27188af5cd772db5,rel_seed_27188af5cd772db5,TREATED_BY,original
rel_seed_27188af5cd772db5,chunk_00004,ahd10k_00560,502449,ent_merge_001126,Vaseline,Treatment,ent_merge_000312,جفاف الجلد,DiseaseCondition,TREATED_BY,TREATED_BY,true,1.000,Vaseline,QA evidence explicitly states Vaseline as treatment for dry skin.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_27188af5cd772db5__inverse,rel_seed_27188af5cd772db5,TREATS,inverse
rel_seed_4a6448f814b2f13b,chunk_00005,ahd10k_01949,169254,ent_merge_000847,ضيق تنفس,Symptom,ent_merge_000949,الفحص الطبي,Test,INVESTIGATED_BY,INVESTIGATED_BY,true,0.850,الفحص الطبي يمكن أن يساعد,Direct evidence links the medical exam to investigating dyspnea.,groq,qwen/qwen3-32b,colleague_validation,rel_seed_4a6448f814b2f13b,rel_seed_4a6448f814b2f13b,INVESTIGATED_BY,original
rel_seed_4a6448f814b2f13b,chunk_00005,ahd10k_01949,169254,ent_merge_000949,الفحص الطبي,Test,ent_merge_000847,ضيق تنفس,Symptom,INVESTIGATED_BY,INVESTIGATED_BY,true,0.850,الفحص الطبي يمكن أن يساعد,Direct evidence links the medical exam to investigating dyspnea.,groq,qwen/qwen3-32b,colleague_validation,rel_seed_4a6448f814b2f13b__inverse,rel_seed_4a6448f814b2f13b,INVESTIGATES,inverse
rel_seed_f682bfa44bcf4de2,chunk_00005,ahd10k_01949,169254,ent_merge_000250,تسارع قلبي,DiseaseCondition,ent_merge_000949,الفحص الطبي,Test,DIAGNOSED_BY,DIAGNOSED_BY,true,0.850,الفحص الطبي يمكن أن يساعد,Direct evidence links the medical exam to diagnosing tachycardia.,groq,qwen/qwen3-32b,colleague_validation,rel_seed_f682bfa44bcf4de2,rel_seed_f682bfa44bcf4de2,DIAGNOSED_BY,original
rel_seed_f682bfa44bcf4de2,chunk_00005,ahd10k_01949,169254,ent_merge_000949,الفحص الطبي,Test,ent_merge_000250,تسارع قلبي,DiseaseCondition,DIAGNOSED_BY,DIAGNOSED_BY,true,0.850,الفحص الطبي يمكن أن يساعد,Direct evidence links the medical exam to diagnosing tachycardia.,groq,qwen/qwen3-32b,colleague_validation,rel_seed_f682bfa44bcf4de2__inverse,rel_seed_f682bfa44bcf4de2,DIAGNOSES,inverse
rel_seed_dc054699a041344a,chunk_00006,ahd10k_01239,622816,ent_merge_000684,النتصاب,Symptom,ent_merge_001386,ختان,Treatment,TREATED_BY,TREATED_BY,true,1.000,اجريت عملية ختان منذ شهرين,Circumcision is explicitly stated as a treatment for phimosis.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_dc054699a041344a,rel_seed_dc054699a041344a,TREATED_BY,original
rel_seed_dc054699a041344a,chunk_00006,ahd10k_01239,622816,ent_merge_001386,ختان,Treatment,ent_merge_000684,النتصاب,Symptom,TREATED_BY,TREATED_BY,true,1.000,اجريت عملية ختان منذ شهرين,Circumcision is explicitly stated as a treatment for phimosis.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_dc054699a041344a__inverse,rel_seed_dc054699a041344a,TREATS,inverse
rel_seed_c2b652a865fca387,chunk_00006,ahd5k_00812,393214,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002139,تجنب المنتجات التي تحوي جلوتين,Treatment,TREATED_BY,TREATED_BY,true,1.000,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,Avoiding gluten is directly cited as the primary treatment for celiac disease.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_c2b652a865fca387,rel_seed_c2b652a865fca387,TREATED_BY,original
rel_seed_c2b652a865fca387,chunk_00006,ahd5k_00812,393214,ent_merge_002139,تجنب المنتجات التي تحوي جلوتين,Treatment,ent_merge_000326,حساسية,DiseaseCondition,TREATED_BY,TREATED_BY,true,1.000,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,Avoiding gluten is directly cited as the primary treatment for celiac disease.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_c2b652a865fca387__inverse,rel_seed_c2b652a865fca387,TREATS,inverse
rel_seed_7b16ef358f086e76,chunk_00006,ahd5k_02124,382451,ent_merge_000091,التهاب اللوزتين,DiseaseCondition,ent_merge_001934,نشفان,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,النشفان مذكور كأعراض بعد التهاب اللوزتين,النص يربط مباشرة بين التهاب اللوزتين والنشفان,groq,qwen/qwen3-32b,colleague_validation,rel_seed_7b16ef358f086e76,rel_seed_7b16ef358f086e76,HAS_SYMPTOM,original
rel_seed_7b16ef358f086e76,chunk_00006,ahd5k_02124,382451,ent_merge_001934,نشفان,Symptom,ent_merge_000091,التهاب اللوزتين,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,النشفان مذكور كأعراض بعد التهاب اللوزتين,النص يربط مباشرة بين التهاب اللوزتين والنشفان,groq,qwen/qwen3-32b,colleague_validation,rel_seed_7b16ef358f086e76__inverse,rel_seed_7b16ef358f086e76,SYMPTOM_OF,inverse
rel_seed_05fda8fa93120777,chunk_00006,ahd5k_02124,382451,ent_merge_001934,نشفان,Symptom,ent_merge_002191,شراب ECHINACEA,Treatment,TREATED_BY,TREATED_BY,true,0.800,يوجد أيضا شراب ECHINACEA يحسن حالتك,Echinacea syrup is explicitly mentioned as improving throat dryness symptoms.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_05fda8fa93120777,rel_seed_05fda8fa93120777,TREATED_BY,original
rel_seed_05fda8fa93120777,chunk_00006,ahd5k_02124,382451,ent_merge_002191,شراب ECHINACEA,Treatment,ent_merge_001934,نشفان,Symptom,TREATED_BY,TREATED_BY,true,0.800,يوجد أيضا شراب ECHINACEA يحسن حالتك,Echinacea syrup is explicitly mentioned as improving throat dryness symptoms.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_05fda8fa93120777__inverse,rel_seed_05fda8fa93120777,TREATS,inverse
rel_seed_f156f1b30130e684,chunk_00006,ahd5k_02124,382451,ent_merge_001934,نشفان,Symptom,ent_merge_002143,تقوية المناعة,Treatment,TREATED_BY,TREATED_BY,true,0.900,عليك بتقوية المناعة بأكل الفواكة... تقوية المناعة,Immune system strengthening is directly recommended as a treatment approach.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_f156f1b30130e684,rel_seed_f156f1b30130e684,TREATED_BY,original
rel_seed_f156f1b30130e684,chunk_00006,ahd5k_02124,382451,ent_merge_002143,تقوية المناعة,Treatment,ent_merge_001934,نشفان,Symptom,TREATED_BY,TREATED_BY,true,0.900,عليك بتقوية المناعة بأكل الفواكة... تقوية المناعة,Immune system strengthening is directly recommended as a treatment approach.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_f156f1b30130e684__inverse,rel_seed_f156f1b30130e684,TREATS,inverse
rel_seed_0e17e506193644c9,chunk_00007,ahd10k_04091,237117,ent_merge_000776,حكة,Symptom,ent_merge_001398,دهونات ترطيب,Treatment,TREATED_BY,TREATED_BY,true,0.850,استعلي دهونات ترطيب,Direct treatment of 'حكة' (itching) with moisturizers is explicitly stated.,groq,qwen/qwen3-32b,colleague_validation,rel_seed_0e17e506193644c9,rel_seed_0e17e506193644c9,TREATED_BY,original
rel_seed_0e17e506193644c9,chunk_00007,ahd10k_04091,237117,ent_merge_001398,دهونات ترطيب,Treatment,ent_merge_000776,حكة,Symptom,TREATED_BY,TREATED_BY,true,0.850,استعلي دهونات ترطيب,Direct treatment of 'حكة' (itching) with moisturizers is explicitly stated.,groq,qwen/qwen3-32b,colleague_validation,rel_seed_0e17e506193644c9__inverse,rel_seed_0e17e506193644c9,TREATS,inverse
rel_seed_e1c26b2e673d1c07,chunk_00008,ahd5k_01190,785346,ent_merge_001715,الجلد المترهل,DiseaseCondition,ent_merge_002050,الجراحة التجميلية,Treatment,TREATED_BY,TREATED_BY,true,0.850,يمكن شده بالجراحة التجميلية,QA explicitly states الجراحة التجميلية treats الجلد المترهل,groq,qwen/qwen3-32b,colleague_validation,rel_seed_e1c26b2e673d1c07,rel_seed_e1c26b2e673d1c07,TREATED_BY,original
rel_seed_e1c26b2e673d1c07,chunk_00008,ahd5k_01190,785346,ent_merge_002050,الجراحة التجميلية,Treatment,ent_merge_001715,الجلد المترهل,DiseaseCondition,TREATED_BY,TREATED_BY,true,0.850,يمكن شده بالجراحة التجميلية,QA explicitly states الجراحة التجميلية treats الجلد المترهل,groq,qwen/qwen3-32b,colleague_validation,rel_seed_e1c26b2e673d1c07__inverse,rel_seed_e1c26b2e673d1c07,TREATS,inverse
