mention_id,entity_id,canonical_name,entity_type,chunk_id,qa_id,source_row_number,surface_form,field,evidence,extraction_method,provider,model,confidence,llm_confidence,prompt_version
men_merge_0000012,ent_merge_001050,فحص سريري,Test,chunk_00003,ahd10k_06287,98412,فحص سريري,answer,فحص سريري,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000013,ent_merge_000312,جفاف الجلد,DiseaseCondition,chunk_00004,ahd10k_00560,502449,جفاف الجلد و الشفاه,question,جفاف الجلد و الشفاه,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000014,ent_merge_000312,جفاف الجلد,DiseaseCondition,chunk_00004,ahd10k_00560,502449,جفاف الشفة,answer,جفاف الشفة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000015,ent_merge_000259,تشقق,DiseaseCondition,chunk_00004,ahd10k_04927,435448,تشقق في زوايا فمي,question,تشقق في زوايا فمي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000016,ent_merge_000259,تشقق,DiseaseCondition,chunk_00004,ahd10k_04927,435448,التشقق,answer,التشقق,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000017,ent_merge_000059,التهاب,DiseaseCondition,chunk_00004,ahd10k_04927,435448,الاصابه بالفطريات,answer,الاصابه بالفطريات,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700,,
men_merge_0000018,ent_merge_000444,فطريات,DiseaseCondition,chunk_00004,ahd10k_04927,435448,الاصابه بالفطريات,answer,الاصابه بالفطريات,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700,,
men_merge_0000019,ent_merge_001126,Vaseline,Treatment,chunk_00004,ahd10k_00560,502449,Vaseline,answer,Vaseline,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000020,ent_merge_000847,ضيق تنفس,Symptom,chunk_00005,ahd10k_01949,169254,ضيق تنفس,question,لم يستطع ان ينام بسبب ضيق تنفس,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000021,ent_merge_000250,تسارع قلبي,DiseaseCondition,chunk_00005,ahd10k_01949,169254,تسارع قلبي,answer,فمن كلامك يبدو انه تسارع قلبي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000022,ent_merge_000949,الفحص الطبي,Test,chunk_00005,ahd10k_01949,169254,الفحص الطبي,answer,والفحص الطبي يمكن ان يساعد,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000023,ent_merge_001386,ختان,Treatment,chunk_00006,ahd10k_01239,622816,ختان,question,اجريت عملية ختان منذ شهرين,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000024,ent_merge_000684,النتصاب,Symptom,chunk_00006,ahd10k_01239,622816,النتصاب,question,النتصاب ضعيف ومؤلم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000025,ent_merge_000776,حكة,Symptom,chunk_00007,ahd10k_04091,237117,حكة,question,تسبب لي بي حكة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000026,ent_merge_000740,تفسير في الجلد,Symptom,chunk_00007,ahd10k_04091,237117,تفسير في الجلد,question,تسبب لي بي حكة و تفسير في الجلد,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000027,ent_merge_001398,دهونات ترطيب,Treatment,chunk_00007,ahd10k_04091,237117,دهونات ترطيب,answer,استعلي دهونات ترطيب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000028,ent_merge_001127,ابر منشطه,Treatment,chunk_00007,ahd10k_06316,790263,ابر منشطه,question,خذي ابر منشطه للمبايظ تحت الجلد,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000029,ent_merge_001127,ابر منشطه,Treatment,chunk_00007,ahd10k_06316,790263,ابر منشطه,answer,الابر المنشطة التي تؤخذ تحت الجلد,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000030,ent_merge_000776,حكة,Symptom,chunk_00008,ahd10k_03911,362860,حكه,question,حكه شديده في المنطقة الحساسه,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000031,ent_merge_000318,حب الشباب,DiseaseCondition,chunk_00008,ahd10k_02870,690498,حب الشباب,question,اسلام عليك دكتور اريد علاج حب الشباب وندبات حب الشباب وحفر حب الشباب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000032,ent_merge_000531,ندبات حب الشباب,DiseaseCondition,chunk_00008,ahd10k_02870,690498,ندبات حب الشباب,question,اسلام عليك دكتور اريد علاج حب الشباب وندبات حب الشباب وحفر حب الشباب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000033,ent_merge_000339,حفر حب الشباب,DiseaseCondition,chunk_00008,ahd10k_02870,690498,حفر حب الشباب,question,اسلام عليك دكتور اريد علاج حب الشباب وندبات حب الشباب وحفر حب الشباب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000034,ent_merge_001533,كريم فيدآوْت,Treatment,chunk_00008,ahd10k_01977,760382,كريم فيدآوْت,answer,يمكن استخدام كريم فيدآوْت ،كريم رومكس، واسرعهم نتيجة كريم blending blechingskin ،كريم افالون، كريمUnitone4 مقشرglycalus كريم بيوتى آند شاين فرنسى، كريم iklan، ديرما وايت اوبجيكتف، وكريم إنلايتيكس.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000035,ent_merge_001531,كريم رومكس,Treatment,chunk_00008,ahd10k_01977,760382,كريم رومكس,answer,يمكن استخدام كريم فيدآوْت ،كريم رومكس، واسرعهم نتيجة كريم blending blechingskin ،كريم افالون، كريمUnitone4 مقشرglycalus كريم بيوتى آند شاين فرنسى، كريم iklan، ديرما وايت اوبجيكتف، وكريم إنلايتيكس.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000036,ent_merge_001536,كريم ميكونازول,Treatment,chunk_00008,ahd10k_03911,362860,كريم ميكونازول,answer,استخدم كريم ميكونازول مرتين يوميا 14يوم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000037,ent_merge_000326,حساسية,DiseaseCondition,chunk_00009,ahd10k_04432,745242,حسساسه,question,بشرتي حسساسه,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000038,ent_merge_000325,حزاز,DiseaseCondition,chunk_00009,ahd10k_05328,677761,مرض الحزاز,question,اعاني من مرض الحزاز,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000039,ent_merge_000870,قشرة,Symptom,chunk_00009,ahd10k_05772,559566,قشرة البشرة,question,ظهور قشرة البشرة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000040,ent_merge_000034,إكزيما,DiseaseCondition,chunk_00009,ahd10k_05772,559566,اكزيما,answer,قد تكون فطريات او اكزما,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000041,ent_merge_000402,صدفية,DiseaseCondition,chunk_00009,ahd10k_05772,559566,صدفية,answer,ان كنت ارجح حالتك بالصدفية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000042,ent_merge_000231,بهاق,DiseaseCondition,chunk_00009,ahd10k_09492,692555,بهاق,answer,لابد من الفحص السريري فقد تكون بسبب البهاق,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000043,ent_merge_000268,تصلب الجلد,DiseaseCondition,chunk_00009,ahd10k_09492,692555,تصلب الجلد,answer,لابد من الفحص السريني فقد تكون بسبب البهاق او تصلب الجلد,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000044,ent_merge_001527,كريم الاساس,Treatment,chunk_00009,ahd10k_04432,745242,كريم الاساس BB Cream,answer,يمكن استخدام كريم للوجه لفترة ما وإن شاء الله ستزول، وأنصحك بكريم كريم الاساس BB Cream,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000045,ent_merge_000430,غدة دهنية,DiseaseCondition,chunk_00010,ahd10k_02371,791114,غده دهنيه,answer,احيانا تختفي تلقائيا اذا بقيت لفتره تزيد عن الثلاثة شهور وحصل تغير بها عندها لا بد من مراجعة الطبيب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000046,ent_merge_000501,مرض الإيدز,DiseaseCondition,chunk_00010,ahd10k_04334,593279,مرض الايدز,question,هل الجنس الفموي يسبب مرض الايدز عند الرجال,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000047,ent_merge_000511,مرض بيروني,DiseaseCondition,chunk_00010,ahd10k_05582,721157,مرض بيروني,question,هل هذا مرض بيروني ؟؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000048,ent_merge_000776,حكة,Symptom,chunk_00010,ahd10k_06248,390505,الحكة,question,و كانها تحت الجلد ظهرت بعد ممارسة جنس طويلة مع الزوجة استخدمت كلورتمازول لمدة اسبوع...,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700,,
men_merge_0000049,ent_merge_000471,كتلة دهنية,DiseaseCondition,chunk_00011,ahd10k_00989,338332,كتلة دهنية,answer,أنا أظن أن هذه كتلة دهنية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000050,ent_merge_000765,حرارة,Symptom,chunk_00011,ahd10k_00989,338332,حرارة,question,اشعر بحرارة في المكان,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000051,ent_merge_000730,تشنج,Symptom,chunk_00011,ahd10k_00989,338332,تشنج,question,تشنج قليل في الرقبة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000052,ent_merge_001144,إستشارة طبيب,Treatment,chunk_00011,ahd10k_00989,338332,إستشارة طبيب,answer,أنصحك بإستشارة طبيب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000053,ent_merge_000056,البهاق,DiseaseCondition,chunk_00012,ahd10k_01882,800028,البهاق,question,أعاني من البهاق و يكبر أثره على جسمي يوما بعد يوم ما الحل,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000054,ent_merge_000318,حب الشباب,DiseaseCondition,chunk_00012,ahd10k_02107,781914,حب الشباب,question,انا كنت اعاني من حب الشباب والحمد لله عالجت بشرتي بحبوب الروكتان,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000055,ent_merge_000311,جفاف البشرة,DiseaseCondition,chunk_00012,ahd10k_00041,752957,جفاف جلد الجفون,question,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000056,ent_merge_000311,جفاف البشرة,DiseaseCondition,chunk_00012,ahd10k_00466,789877,جفاف البشرة,question,ماالحل والكريم المناسب انا بشرتى الظاهر انها جا فه او عاديه فى الصيف لا تستحمل الشمس وتسمر وتعرق وتتعبنى لكن فى الشتاء تجف,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000057,ent_merge_000038,الأسمرار,DiseaseCondition,chunk_00012,ahd10k_00067,241845,الأسمرار,question,السلام عليكم. علاج السواد الرقبه والشيب المبكر؟ أفيدوني بارك الله فيكم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000058,ent_merge_000038,الأسمرار,DiseaseCondition,chunk_00012,ahd10k_01004,271562,الأسمرار,question,سلام..أنا شخص نصف أسمر ممكن علاج تببيض البشرة مع العلم أن الجو في القاهرة هذاالشهر حار جداًوسكراً,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000059,ent_merge_000326,حساسية,DiseaseCondition,chunk_00012,ahd10k_00041,752957,حساسية,question,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها كيف ارطبها ؟؟ وهل استطيع استخدام احد الزيوت الطبيعية؟؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000060,ent_merge_000148,الشيب,DiseaseCondition,chunk_00012,ahd10k_00067,241845,الشيب المبكر,question,السلام عليكم. علاج السواد الرقبه والشيب المبكر؟ أفيدوني بارك الله فيكم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000061,ent_merge_000059,التهاب,DiseaseCondition,chunk_00012,ahd10k_00041,752957,التهاب,answer,مركب السيليكون المركبات التي تحتوي على السيليكون هامة لحماية الجلد ما حول منطقة العين قبل الإصابة بإجهاد من ملوثات البيئة من دخان السجائر والأتربة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000062,ent_merge_000776,حكة,Symptom,chunk_00012,ahd10k_00041,752957,حكة,question,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها كيف ارطبها ؟؟ وهل استطيع استخدام احد الزيوت الطبيعية؟؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000063,ent_merge_000756,تيبس,Symptom,chunk_00012,ahd10k_00041,752957,تيبسها,question,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها كيف ارطبها ؟؟ وهل استطيع استخدام احد الزيوت الطبيعية؟؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000064,ent_merge_000715,تجاعيد,Symptom,chunk_00012,ahd10k_00466,789877,تجاعيد,answer,تنقسم البشرة الجافة الى نوعين : _بشرة جافة ناقصة الماء....تبدو مشدودة جافة ناعمة الملمس تظهر بها بعض الخطوط الصغيرة الحمراء اذا كانت البشرة بيضاء وتظهر بها بعض التجاعيد الصغيرة احيانا,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000065,ent_merge_001413,روكتان,Treatment,chunk_00012,ahd10k_02107,781914,روكتان,question,انا كنت اعاني من حب الشباب والحمد لله عالجت بشرتي بحبوب الروكتان,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000066,ent_merge_001528,كريم الحماية من الشمس,Treatment,chunk_00012,ahd10k_01004,271562,كريم الحماية من الشمس,answer,استعمال كريم الحماية من الشمس باستمرار يجنبك الأثر الضار المسبب للاسمرار,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000067,ent_merge_001431,زيت الورد,Treatment,chunk_00012,ahd10k_01044,754016,زيت الورد,answer,نعم مفيدة وإليك بعض فوائدها: السصنفرة :هي عملية تقشير تزيل عن الجلد كل ما يعلق بسطحه من طبقات الخلايا الميتة التي تتعبه و تسبب الارهاق و فقدان الحيوية لبقية الجسم و هذه العملية تؤدي الي تفتيح مسام جلدك و جعله حيويا و نضرا و شابا .واستخدام زيت الورد يساعد في تبييض البشرة وإكسابها الرائحة الفواحة والطيبة والمنعشة.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000068,ent_merge_001430,زيت اللوز,Treatment,chunk_00012,ahd10k_00466,789877,زيت اللوز,answer,العناية بها: استعمال الزيوت ومرطبات البشرة الخفيفة باستمرار. الأعشاب المفيدة: البنفسج والورد والبيلسان والبابونج... ويمكن ايضا استعمال الأعشاب القابضة للبشرة الجافة ومضاف اليها الأعشاب المرطبة. وللحفاظ على التوازن القلوي للبشرة الجافة ينصح بمسحها بعصير الخيار أو الخل المخفف بالماء وذلك لتشجيع خلاياها على العمل واتزان نسب المواد الدهنية والماء بها.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000069,ent_merge_001509,فيتامين ك,Treatment,chunk_00012,ahd10k_00041,752957,فيتامين (K),answer,فيتامين (K) هذا الفيتامين يعمل بكفاءة مع البذور المستخلصة من شجر كستناء الحصان فهو أفضل بكثير من استخدامه بمفرده,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000070,ent_merge_000326,حساسية,DiseaseCondition,chunk_00013,ahd10k_03598,772607,حساسية,question,ما علاج أثار حب الشباب؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000071,ent_merge_000318,حب الشباب,DiseaseCondition,chunk_00013,ahd10k_03598,772607,حب الشباب,question,ما علاج أثار حب الشباب؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000072,ent_merge_000318,حب الشباب,DiseaseCondition,chunk_00013,ahd10k_04129,774853,حب الشباب,question,اعانى من ندبات متوسطة من اثار حب الشباب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000073,ent_merge_000530,ندبات,DiseaseCondition,chunk_00013,ahd10k_04129,774853,ندبات,question,اعانى من ندبات متوسطة من اثار حب الشباب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000074,ent_merge_000870,قشرة,Symptom,chunk_00013,ahd10k_05457,801653,قشرة,question,أعاني من كثرة القشرة في شعري,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000075,ent_merge_001116,Neostrata Facial cleanser,Treatment,chunk_00013,ahd10k_03598,772607,Neostrata Facial cleanser,answer,نظفي المنطقة باستخدام Neostrata Facial cleanser,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000076,ent_merge_001278,بензويل بيراوكسيد,Treatment,chunk_00013,ahd10k_03598,772607,بензويل بيراوكسيد,answer,Use benzoyl peroxide 5% once morning,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000077,ent_merge_001542,كليندامايسين,Treatment,chunk_00013,ahd10k_03598,772607,كليندامايسين,answer,Use the solution Clindacint clindamycin phosphate once evening,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000078,ent_merge_001494,فوسيدين,Treatment,chunk_00013,ahd10k_03598,772607,فوسيدين,answer,Use Fucidin ointment & keracnyl ointment.morning and evening,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000079,ent_merge_000996,تقشير,Test,chunk_00013,ahd10k_03598,772607,تقشير,answer,أفضل طريقة هي التقشير العميق باستخدام جهاز أكسين,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000080,ent_merge_000145,الشامات,DiseaseCondition,chunk_00014,ahd10k_08330,742589,الشامات,question,شامات بالوجه,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000081,ent_merge_001428,زيت الخروع,Treatment,chunk_00014,ahd10k_08330,742589,زيت الخروع,question,دهن الشامات بزيت الخروع,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000082,ent_merge_001428,زيت الخروع,Treatment,chunk_00014,ahd10k_08330,742589,زيت خروع,answer,قومي بتدليك زيت خروع على الشامة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000083,ent_merge_000184,الهالات السوداء,DiseaseCondition,chunk_00014,ahd10k_09727,766414,الهالات السوداء,question,الهالات السوداء,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000084,ent_merge_001587,مرهم الريتينول,Treatment,chunk_00014,ahd10k_09727,766414,مرهم الريتينول,answer,مرهم الريتينول,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000085,ent_merge_000051,الإيدز,DiseaseCondition,chunk_00015,ahd10k_01133,134646,الإيدز,question,قمت بتحاليل الايدز,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000086,ent_merge_000975,تحليل الحساسية,Test,chunk_00015,ahd10k_01133,134646,تحاليل,question,قمت بتحاليل الايدز,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000087,ent_merge_001429,زيت الزيتون,Treatment,chunk_00015,ahd10k_02448,167468,زيت الزيتون,question,دلك العضو الذكري بزيت الزبتون,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700,,
men_merge_0000088,ent_merge_000035,أكلة الأظافر,DiseaseCondition,chunk_00016,ahd10k_00540,325346,أكلة الأظافر,question,أعاني من حالة اكل الأضافر بشكل مستمر,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000089,ent_merge_001559,مادة لإيقاف العادة,Treatment,chunk_00016,ahd10k_00540,325346,ماده مره,answer,توضع ماده مره على الاصابع لإيقاف العاده,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000090,ent_merge_000780,حمرة الوجه,Symptom,chunk_00017,ahd10k_01565,618968,احمرار الوجه,question,عندما العب رياضه الجرى وجهى يحمر بطريقه شديده,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000091,ent_merge_001414,رياضة,Treatment,chunk_00017,ahd10k_01529,603686,الرياضة,answer,الرياضة وعلاج الميزو,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000092,ent_merge_001414,رياضة,Treatment,chunk_00017,ahd10k_01565,618968,رياضة,question,عندما العب رياضه الجرى وجهى يحمر بطريقه شديده,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000093,ent_merge_001355,جراحة,Treatment,chunk_00017,ahd10k_01529,603686,جراحة,answer,والعكس جراحة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800,,
men_merge_0000094,ent_merge_001310,تجميل,Treatment,chunk_00018,ahd10k_01380,785346,تجميل,answer,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000095,ent_merge_001414,رياضة,Treatment,chunk_00018,ahd10k_01380,785346,رياضة,answer,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000096,ent_merge_001360,جراحة تجميلية,Treatment,chunk_00018,ahd10k_01380,785346,جراحة تجميلية,answer,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000097,ent_merge_001525,كركم,Treatment,chunk_00018,ahd10k_06163,792923,كركم,question,ماهى فوائد الكركم بالنسبة لتفتيح البشرة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000098,ent_merge_000739,تفتيح البشرة,Symptom,chunk_00018,ahd10k_06163,792923,تفتيح البشرة,question,ماهى فوائد الكركم بالنسبة لتفتيح البشرة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000099,ent_merge_000715,تجاعيد,Symptom,chunk_00018,ahd10k_06278,759749,تجاعيد,answer,العلاج وأسلوب التجميل المضاد للتجاعيد,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000100,ent_merge_001311,تجميل الثدي,Treatment,chunk_00019,ahd10k_03050,783171,جراحة تصغير و شد او تجميل الثدي,answer,جراحة تصغير و شد او تجميل الثدي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000101,ent_merge_000619,آلام بالظهر,Symptom,chunk_00019,ahd10k_03050,783171,آلام بالظهر,answer,آلام بالظهر,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000102,ent_merge_000621,آلام بالكتفين,Symptom,chunk_00019,ahd10k_03050,783171,آلام بالكتفين,answer,آلام بالكتفين,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000103,ent_merge_000879,مشاكل فى الملابس,Symptom,chunk_00019,ahd10k_03050,783171,مشاكل فى الملابس,answer,مشاكل فى الملابس,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000104,ent_merge_000880,مشاكل نفسية,Symptom,chunk_00019,ahd10k_03050,783171,مشاكل نفسية,answer,مشاكل نفسية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000105,ent_merge_000469,كبر حجم الثدي,DiseaseCondition,chunk_00019,ahd10k_03050,783171,كبر حجم الثدي,answer,كبر حجم الثدي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000106,ent_merge_000389,سقوط الثدي,DiseaseCondition,chunk_00019,ahd10k_03050,783171,سقوط الثدي,answer,سقوط الثدي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
