entity_id,canonical_name,canonical_name_norm,entity_type,aliases,confidence,mention_count,provider,model
ent_merge_000070,التهاب الزائدة الدودية,التهاب الزايده الدوديه,DiseaseCondition,"[""التهاب الزائدة الدودية"", ""التهاب زائدة دودية""]",0.950,1,,
ent_merge_000071,التهاب السحايا,التهاب السحايا,DiseaseCondition,"[""التهاب السحايا""]",0.850,3,,
ent_merge_000072,التهاب الشريان الصدغي,التهاب الشريان الصدغي,DiseaseCondition,"[""التهاب الشريان الصدغي""]",0.900,1,,
ent_merge_000073,التهاب العصب الوركي,التهاب العصب الوركي,DiseaseCondition,"[""التهاب العصب الوركي""]",0.900,1,,
ent_merge_000074,التهاب الغدد اللمفاوية,التهاب الغدد اللمفاويه,DiseaseCondition,"[""التهاب الغدد اللمفاوية""]",0.950,2,,
ent_merge_000075,التهاب الفرج,التهاب الفرج,DiseaseCondition,"[""التهاب الفرج""]",0.850,1,,
ent_merge_000076,التهاب الفقار اللاصق,التهاب الفقار اللاصق,DiseaseCondition,"[""التهاب الفقار اللاصق""]",0.950,1,,
ent_merge_000077,التهاب القزحية,التهاب القزحيه,DiseaseCondition,"[""التهاب القزحية""]",0.800,1,,
ent_merge_000078,التهاب القصبات التحسسي,التهاب القصبات التحسسي,DiseaseCondition,"[""التهاب القصبات التحسسي""]",0.900,1,,
ent_merge_000079,التهاب القنوات المراريه,التهاب القنوات المراريه,DiseaseCondition,"[""التهاب القنوات المراريه""]",0.950,1,,
ent_merge_000080,التهاب القولون,التهاب القولون,DiseaseCondition,"[""التهاب القولون"", ""التهاب في المعده""]",0.900,2,,
ent_merge_000081,التهاب القولون التقرحي,التهاب القولون التقرحي,DiseaseCondition,"[""التهاب القولون التقرحي""]",0.875,2,,
ent_merge_000082,التهاب الكبد,التهاب الكبد,DiseaseCondition,"[""التهاب الكبد"", ""التهاب الكبد ب"", ""التهاب الكبد الفيروسي"", ""التهاب كبيبات الكلى"", ""التهاب الكبد الوبائي ب""]",0.889,9,,
ent_merge_000083,التهاب الكبد أ,التهاب الكبد ا,DiseaseCondition,"[""التهاب الكبد أ""]",0.850,1,,
ent_merge_000084,التهاب الكبد الفيروسي ب,التهاب الكبد الفيروسي ب,DiseaseCondition,"[""التهاب الكبد الفيروسي ب""]",0.950,1,,
ent_merge_000085,التهاب الكبد ب,التهاب الكبد ب,DiseaseCondition,"[""التهاب الكبد ب""]",0.900,2,,
ent_merge_000086,التهاب الكبد ج,التهاب الكبد ج,DiseaseCondition,"[""التهاب الكبد ج"", ""التهاب الكبد الوبائي ج""]",0.900,1,,
ent_merge_000087,التهاب الكبد سي,التهاب الكبد سي,DiseaseCondition,"[""التهاب الكبد سي""]",0.950,2,,
ent_merge_000088,التهاب الكبدى الفيروسى,التهاب الكبدي الفيروسي,DiseaseCondition,"[""التهاب الكبدى الفيروسى""]",0.950,1,,
ent_merge_000089,التهاب الكلى,التهاب الكلي,DiseaseCondition,"[""التهاب الكلى"", ""التهابات الكلية""]",0.917,3,,
ent_merge_000090,التهاب اللثة,التهاب اللثه,DiseaseCondition,"[""التهاب اللثة"", ""نزيف اللثة"", ""تورم اللثه من الداخل"", ""التهاب""]",0.858,12,,
ent_merge_000091,التهاب اللوزتين,التهاب اللوزتين,DiseaseCondition,"[""التهاب اللوزتين"", ""التهاب لوز"", ""تهاب لوز""]",0.912,4,,
ent_merge_000092,التهاب المثانة,التهاب المثانه,DiseaseCondition,"[""التهاب المثانة"", ""التهاب""]",0.850,2,,
ent_merge_000093,التهاب المري,التهاب المري,DiseaseCondition,"[""التهاب المري""]",0.950,1,,
ent_merge_000094,التهاب المريء,التهاب المريء,DiseaseCondition,"[""التهاب المريء""]",0.900,1,,
ent_merge_000095,التهاب المسالك البولية,التهاب المسالك البوليه,DiseaseCondition,"[""التهاب المسالك البولية""]",0.880,5,,
ent_merge_000096,التهاب المستقيم,التهاب المستقيم,DiseaseCondition,"[""التهاب المستقيم""]",0.850,1,,
ent_merge_000097,التهاب المعدة,التهاب المعده,DiseaseCondition,"[""التهاب المعدة"", ""التهاب""]",0.900,5,,
ent_merge_000098,التهاب المفاصل,التهاب المفاصل,DiseaseCondition,"[""التهاب المفاصل""]",0.933,3,,
ent_merge_000099,التهاب المهبل,التهاب المهبل,DiseaseCondition,"[""التهاب المهبل""]",0.850,1,,
ent_merge_000100,التهاب بول,التهاب بول,DiseaseCondition,"[""التهاب بول""]",0.950,1,,
ent_merge_000101,التهاب فتحة الشرج,التهاب فتحه الشرج,DiseaseCondition,"[""التهاب فتحة الشرج""]",0.900,1,,
ent_merge_000102,التهاب فطري,التهاب فطري,DiseaseCondition,"[""التهاب فطري""]",0.850,2,,
ent_merge_000103,التهاب كبد مناعي ذاتي,التهاب كبد مناعي ذاتي,DiseaseCondition,"[""التهاب كبد مناعي ذاتي""]",0.900,1,,
ent_merge_000104,التهاب كبدي,التهاب كبدي,DiseaseCondition,"[""التهاب كبدي""]",0.950,1,,
ent_merge_000105,التهاب مفصل الركبه,التهاب مفصل الركبه,DiseaseCondition,"[""التهاب مفصل الركبه""]",0.933,3,,
ent_merge_000106,التهابات,التهابات,DiseaseCondition,"[""التهابات""]",0.875,4,,
ent_merge_000107,التهابات الرئوية,التهابات الريويه,DiseaseCondition,"[""التهابات الرئوية""]",0.950,1,,
ent_merge_000108,الثعلبة,الثعلبه,DiseaseCondition,"[""الثعلبة"", ""داء الثعلبة""]",0.933,3,,
ent_merge_000109,الجرثومة الحلزونية,الجرثومه الحلزونيه,DiseaseCondition,"[""الجرثومة الحلزونية""]",0.900,1,,
ent_merge_000110,الجروح القطعية,الجروح القطعيه,DiseaseCondition,"[""الجروح القطعية""]",0.900,1,,
ent_merge_000111,الجلطات القلبية,الجلطات القلبيه,DiseaseCondition,"[""الجلطات القلبية"", ""الجلطة القلبية""]",0.850,1,,
ent_merge_000112,الجنين,الجنين,DiseaseCondition,"[""الجنين""]",0.833,3,,
ent_merge_000113,الجنين المشوه,الجنين المشوه,DiseaseCondition,"[""الجنين المشوه""]",0.850,1,,
ent_merge_000114,الجهاز العصبي المركزي,الجهاز العصبي المركزي,DiseaseCondition,"[""الجهاز العصبي المركزي""]",0.950,1,,
ent_merge_000115,الجهاز الهضمي,الجهاز الهضمي,DiseaseCondition,"[""الجهاز الهضمي"", ""الجهلز الهضمي"", ""أعضاء الجهاز الهضمي""]",0.850,2,,
ent_merge_000116,الحشيش,الحشيش,DiseaseCondition,"[""الحشيش""]",0.950,2,,
ent_merge_000117,الحمل,الحمل,DiseaseCondition,"[""الحمل"", ""حامل"", ""حمل"", ""الانجاب"", ""الحامل"", ""فحص الحمل"", ""عملية الحمل"", ""بعد الحمل"", ""فتره الحمل"", ""رجل حامل لفايروس الكبد"", ""حامل لفايروس الكبد"", ""حمل الأنابيب"", ""أطفال الأنابيب"", ""الحمل الوراثي"", ""متلازمة داون"", ""حثل المادة البيضاء"", ""منفولية"", ""الحصبة الألمانية"", ""انحلال الدم"", ""حمل اتناء الدورة الشهرية"", ""حمل بالاسبوع العاشر"", ""الحمل في الشهر الثالث""]",0.929,292,,
ent_merge_000118,الحيض,الحيض,DiseaseCondition,"[""الحيض"", ""اليوم 2 من الحيض""]",0.875,2,,
ent_merge_000120,الخصوبة,الخصوبه,DiseaseCondition,"[""الخصوبة""]",0.900,1,,
ent_merge_000121,الخصية,الخصيه,DiseaseCondition,"[""الخصية""]",0.850,1,,
ent_merge_000122,الخطر ع الكبد,الخطر ع الكبد,DiseaseCondition,"[""الخطر ع الكبد""]",0.850,1,,
ent_merge_000123,الدماغ,الدماغ,DiseaseCondition,"[""الدماغ""]",0.950,1,,
ent_merge_000124,الدوالي,الدوالي,DiseaseCondition,"[""الدوالي"", ""دوالي""]",0.875,4,,
ent_merge_000125,الدوالي على الخصية,الدوالي علي الخصيه,DiseaseCondition,"[""الدوالي على الخصية"", ""دوالي على الخصيه""]",0.800,1,,
ent_merge_000126,الدورة الشهرية,الدوره الشهريه,DiseaseCondition,"[""الدورة الشهرية"", ""الدورة"", ""العدة"", ""دورتي"", ""الطمث"", ""الحيض"", ""عدم نزول الدورة الشهرية"", ""تاخر الدوره الشهريه"", ""فترة الدورة الشهرية"", ""الدم"", ""دورتي الشهرية"", ""دورة شهرية"", ""اضطراب الدورة الشهرية"", ""دورة"", ""الدورة الحيضية"", ""الدورة الشرية""]",0.927,82,,
ent_merge_000127,الذئبة,الذيبه,DiseaseCondition,"[""الذئبة""]",0.850,1,,
ent_merge_000128,الرباط,الرباط,DiseaseCondition,"[""الرباط""]",0.850,1,,
ent_merge_000129,الربو,الربو,DiseaseCondition,"[""الربو"", ""نوبات الربو"", ""ربو""]",0.867,6,,
ent_merge_000131,الرقبة,الرقبه,DiseaseCondition,"[""الرقبة""]",0.950,1,,
ent_merge_000132,الرهاب,الرهاب,DiseaseCondition,"[""الرهاب""]",0.850,1,,
ent_merge_000133,الروماتويد,الروماتويد,DiseaseCondition,"[""الروماتويد"", ""الروماتويد فاكتور""]",0.800,1,,
ent_merge_000134,الروماتيزم,الروماتيزم,DiseaseCondition,"[""الروماتيزم"", ""روماتيزم الدم""]",0.875,2,,
ent_merge_000135,الرئه,الريه,DiseaseCondition,"[""الرئه""]",0.800,1,,
ent_merge_000136,السرطان,السرطان,DiseaseCondition,"[""السرطان""]",0.842,6,,
ent_merge_000137,السرطانات,السرطانات,DiseaseCondition,"[""السرطانات"", ""بعض انواع السرطانات""]",0.900,1,,
ent_merge_000138,السكتة الدماغية,السكته الدماغيه,DiseaseCondition,"[""السكتة الدماغية""]",0.850,1,,
ent_merge_000139,السكر,السكر,DiseaseCondition,"[""السكر""]",0.850,1,,
ent_merge_000140,السكري,السكري,DiseaseCondition,"[""السكري"", ""سكلسل"", ""داء السكري"", ""فحص السكري""]",0.860,5,,
ent_merge_000141,السل,السل,DiseaseCondition,"[""السل""]",0.875,4,,
ent_merge_000142,السمنة,السمنه,DiseaseCondition,"[""السمنة"", ""السمنة المفرطة"", ""سمنة مفرطة""]",0.900,6,,
ent_merge_000143,السموم,السموم,DiseaseCondition,"[""السموم""]",0.800,1,,
ent_merge_000144,السيلان,السيلان,DiseaseCondition,"[""السيلان""]",0.850,1,,
ent_merge_000145,الشامات,الشامات,DiseaseCondition,"[""الشامات""]",0.950,1,,
ent_merge_000146,الشراهة,الشراهه,DiseaseCondition,"[""الشراهة""]",0.950,1,,
ent_merge_000147,الشفه الارنبيه,الشفه الارنبيه,DiseaseCondition,"[""الشفه الارنبيه""]",0.950,1,,
ent_merge_000148,الشيب,الشيب,DiseaseCondition,"[""الشيب"", ""الشيب المبكر""]",0.900,2,,
ent_merge_000149,الشيخوخة,الشيخوخه,DiseaseCondition,"[""الشيخوخة"", ""علامات الشيخوخة المبكرة""]",0.883,3,,
ent_merge_000150,الصدفية,الصدفيه,DiseaseCondition,"[""الصدفية"", ""أعراض الصدفية"", ""القشرة السميكة""]",0.890,5,,
ent_merge_000151,الضعف الجنسي,الضعف الجنسي,DiseaseCondition,"[""الضعف الجنسي""]",0.950,2,,
ent_merge_000152,الضغط,الضغط,DiseaseCondition,"[""الضغط""]",0.850,1,,
ent_merge_000153,الضغط النفسي,الضغط النفسي,DiseaseCondition,"[""الضغط النفسي""]",0.950,1,,
ent_merge_000154,الظهارة المتقرنة,الظهاره المتقرنه,DiseaseCondition,"[""الظهارة المتقرنة""]",0.850,1,,
ent_merge_000155,العصب المبهم,العصب المبهم,DiseaseCondition,"[""العصب المبهم""]",0.950,2,,
ent_merge_000156,العقد الليمفاوية,العقد الليمفاويه,DiseaseCondition,"[""العقد الليمفاوية""]",0.900,1,,
ent_merge_000157,العقم,العقم,DiseaseCondition,"[""العقم""]",0.950,4,,
ent_merge_000158,الغدد الصماء,الغدد الصماء,DiseaseCondition,"[""الغدد الصماء""]",0.800,1,,
ent_merge_000159,الغدد اللمفاويه,الغدد اللمفاويه,DiseaseCondition,"[""الغدد اللمفاويه""]",0.800,1,,
ent_merge_000160,الغدة الدرقية,الغده الدرقيه,DiseaseCondition,"[""الغدة الدرقية""]",0.879,7,,
ent_merge_000161,الغضروف,الغضروف,DiseaseCondition,"[""الغضروف""]",0.850,1,,
ent_merge_000162,الفشل الكلوي,الفشل الكلوي,DiseaseCondition,"[""الفشل الكلوي""]",0.950,1,,
ent_merge_000163,الفطريات,الفطريات,DiseaseCondition,"[""الفطريات""]",0.850,1,,
ent_merge_000164,الفيروس,الفيروس,DiseaseCondition,"[""الفيروس"", ""الفيروس الكبدي"", ""الفايروس""]",0.900,2,,
ent_merge_000165,القرحة,القرحه,DiseaseCondition,"[""القرحة"", ""تقرحات المعدة""]",0.900,4,,
ent_merge_000166,القلب المفتوح,القلب المفتوح,DiseaseCondition,"[""القلب المفتوح"", ""القلب المفتوحة""]",0.850,1,,
ent_merge_000167,القلس المعدي المريئي,القلس المعدي المرييي,DiseaseCondition,"[""القلس المعدي المريئي""]",0.850,1,,
ent_merge_000169,القناة الشريانية المفتوحة,القناه الشريانيه المفتوحه,DiseaseCondition,"[""القناة الشريانية المفتوحة""]",0.850,1,,
ent_merge_000170,القولون العصبي,القولون العصبي,DiseaseCondition,"[""القولون العصبي"", ""قولون عصبى"", ""اضرابات فى القولون"", ""القولون"", ""من اعصاب القولون"", ""متلازمة القولون العصابي"", ""القولون العصبي المتهيج"", ""القولون العصابي"", ""مشاكل القولون"", ""قولون العصبي"", ""ضيق فى القولون واصل والى فتحه الشرج كشفت كذا مره وتحاليل واشاعات كلها سليمه بس المشكله انه الضيق ده بقى مزمن ممكن افاده"", ""استاصال جزء تالف للمرئ وفي اي دولة ممكن اجراؤها بنتي عمرها 2و9اشهر شربت مادة البوتاس الحارقة سببت لها انسدادان صغيران لم تنفع التوسيعات معهم 1عن بعد 12cm و2..."", ""وجود صديد ودم في البراز ربما يدل على مشكلة مثل القولون التقرحي"", ""اعصاب القولون""]",0.906,54,,
ent_merge_000171,الكبد الدهني,الكبد الدهني,DiseaseCondition,"[""الكبد الدهني""]",0.900,1,,
ent_merge_000172,الكتلة,الكتله,DiseaseCondition,"[""الكتلة"", ""كتله""]",0.900,1,,
ent_merge_000173,الكلوي,الكلوي,DiseaseCondition,"[""الكلوي""]",0.850,1,,
ent_merge_000174,الكولسترول,الكولسترول,DiseaseCondition,"[""الكولسترول""]",0.950,2,,
ent_merge_000175,الكوليسترول,الكوليسترول,DiseaseCondition,"[""الكوليسترول""]",0.900,2,,
ent_merge_000176,اللقمة الهستيريائية,اللقمه الهستيرياييه,DiseaseCondition,"[""اللقمة الهستيريائية""]",0.950,1,,
ent_merge_000177,المبيضات,المبيضات,DiseaseCondition,"[""المبيضات""]",0.850,1,,
ent_merge_000178,المرارة,المراره,DiseaseCondition,"[""المرارة""]",0.875,2,,
ent_merge_000179,المرض,المرض,DiseaseCondition,"[""المرض""]",0.800,1,,
ent_merge_000180,المناعة,المناعه,DiseaseCondition,"[""المناعة"", ""مناعة""]",0.850,1,,
ent_merge_000181,النقرس,النقرس,DiseaseCondition,"[""النقرس"", ""نقرس""]",0.925,2,,
ent_merge_000182,النكاف,النكاف,DiseaseCondition,"[""النكاف""]",0.950,2,,
ent_merge_000183,النواة اللبية,النواه اللبيه,DiseaseCondition,"[""النواة اللبية""]",0.850,1,,
ent_merge_000184,الهالات السوداء,الهالات السوداء,DiseaseCondition,"[""الهالات السوداء""]",0.900,1,,
ent_merge_000186,الوتر,الوتر,DiseaseCondition,"[""الوتر""]",0.850,1,,
ent_merge_000187,الوسواس,الوسواس,DiseaseCondition,"[""الوسواس""]",0.950,1,,
ent_merge_000188,الولادة,الولاده,DiseaseCondition,"[""الولادة"", ""ولادة""]",0.883,3,,
ent_merge_000189,ألياف عصبية,الياف عصبيه,DiseaseCondition,"[""ألياف عصبية"", ""الألياف العصبية""]",0.850,1,,
ent_merge_000190,ألياف عضلية,الياف عضليه,DiseaseCondition,"[""ألياف عضلية"", ""الألياف العضلية""]",0.850,1,,
ent_merge_000191,اليرقان,اليرقان,DiseaseCondition,"[""اليرقان""]",0.950,1,,
ent_merge_000192,ام الدم الشريانية,ام الدم الشريانيه,DiseaseCondition,"[""ام الدم الشريانية""]",0.950,1,,
ent_merge_000193,أمراض الثدي,امراض الثدي,DiseaseCondition,"[""أمراض الثدي""]",0.950,1,,
