expansion_version,query_id,original_query,query_group,primary_intent,safety_mode,safety_reason,variant_c_query_source,graph_aliases_added,qa_id,source_row_number,question,answer,category,matched_variants,variant_a_rank,variant_b_rank,variant_c_rank,best_variant_rank,best_bm25_rank,variant_support_count,expansion_rank,relevance_label,error_reason,secondary_error_reason
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0196565,196565,ماهي التحاليل اللازمه لبعد الاجهاض؟ غير تحليل تمييع الدم لاني سليمه,تحليل ال TORCH IGG IGM والغدة الدرقية والاجسام المضادة,أمراض نسائية,A|B,6,1,,1,-22.210051,2,1,0,wrong intent,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0362428,362428,اختي تبلغ من العمر 14 سنه شهر رمضان بأكمله لم تفطر حيت تأكل لقمة واحده و تقول لا استطيع المزيد بطني سينفجر و فقدت وزنها كثييرا يقول الطبيب انه انتفاخ...,عليها المتابعة مع طبيب باطني لعمل الفحوصات اللازمه.,تغذية,C,,,1,1,-41.720232,1,2,1,different clinical scenario,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0485391,485391,التحاليل اللازمة للتأكد من تشخيص الوباء الكبدي B ومدى الإصابة به,Hepatitis B marker,أمراض باطنية,A,1,,,1,-21.126999,1,3,0,wrong disease,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0372498,372498,اعاني من انتفاخ شديد وكان بطني سينفجر ووجود غازات والام بمنطقة البطن وجوانبها خاصة الجهه اليمين وفتور وسخونه بالجسم,الأعراض التي تعانين منها نعزوها في الغالب إلى القولون العصبي. عليك مراجعة أخصائي أمراض باطنية لعمل الفحوصات الطبية اللازمة لاستبعاد الأسباب الأخرى ومن ثم المعالجة الناجعة.,أمراض باطنية,C,,,2,2,-41.134186,1,4,1,missing key constraint,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0679648,679648,كيف يمكن الكشف عن القولون العصبي؟ ؟ماهي التحاليل اللازمة؟؟,تشخيص القولون العصبي يتم عبر إستثناء باقي الأمراض .. لا يوجد فحص معين لكشف القولون العصبي,أمراض الجهاز الهضمي,A,2,,,2,-20.793783,1,5,1,different clinical scenario,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0414367,414367,"السلام عليكم
دورتي دائما 9 او 10 ايام هل هذا طبيعي . وماهي التحاليل اللازمه اذا كان الموضوع غير طبيعي",سونار على الرحم و تحليل هرمونات,أمراض نسائية,B,,2,,2,-19.994606,1,6,0,wrong intent,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0666542,666542,مشكلة في إنتفاخ فوق خصية يمنى عندما ألمس مكان الإنتفاخ أجد مثل أوردة في غير مكانها و كأنها ملتوية لم أذهب عند طبيب و لكني خائف أن يكون شئ خطير...,"بالتاكيد انه ليس بمرض خطير..لانه لا يوجد امراض خطيرة علاماتها كما ذكرت
على الاغلب انك تعاني من دوالي الخصيه
صورة التراساوند للخصيتين تحل الاشكال",أمراض المسالك البولية والتناسلية,C,,,3,3,-34.699173,1,7,0,wrong anatomy,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0059950,59950,ماهي التحاليل اللازمه في الاسبوع19 من الحمل وهل اذا طلب الطبيب فحص فوق الصوتيه هل يعني انه يشك بامر معين !؟ او هناك خطوره لذلك طلب هذا الاشعه مسح,فحص تحليل السكر ف الشهر الخامس وطبيعي السونار في متابعة الجنين,أمراض نسائية,A,3,,,3,-18.782659,1,8,0,different clinical scenario,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0116619,116619,اي التحاليل اللازمة لعمل فحص كورونا,"فيروس كورونا مش بيتم تشخيصه بالتحاليل فقط 
لكن بيتم التشخيص علي حسب الاعراض و بالتحاليل والاشعه المقطعيه والمسحه شئ اساسي للتشخيص الحتمي 
يعني لو مفيش اعراض تماما التحاليل مش بيكون ليها فايده 
ووقت ظهور الاعراض وقتها بنعمل اشعه مقطعيه وتحاليل دم تشمل ( صوره دم كامله CBC - سرعه ترسيب CRP - ومعامل التجلط ddimer - ونسبه حديد بالدم serum iron and ferritin وبعض التحاليل الاخري الاقل أهميه )
اذا كانت التحاليل غير طبيعيه بنعمل اشعه مقطعيه علي الصدر وبنشوف لو فيها تغييرات غير طبيعيه وقتها بيبقي التشخيص أسهل لكنه مش تشخيص نهائي لكن بيرجح التشخيص بنسبه كبيره والتشخيص النهائي يتم بعمل المسحه فقط",الطب العام,B,,3,,3,-17.703802,1,9,0,wrong disease,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0795528,795528,ماهى التحاليل اللازمة لمعرفة عددالحيوانات المنوى وكفاءة الحيوانات المنوية وكافة التحاليل للسائل المنوى,"يلزم تحليل المني، راجع فحص المنويات في القاموس
المصطلحات الطبية | الطبي analysis",أمراض المسالك البولية والتناسلية,A,4,,,4,-18.435222,1,10,0,wrong anatomy,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0747650,747650,"والدتي مريضة ضغط وسكر وشعرت بالام بعد التشخيص بالاشعه ظهر لديها تضخم بالكبد والطحال ارجو الافادة ماهو الحل والعلاج لحالتها .. وهل ينفع معها ربط المعده
نرجو الافادة باسرع مايمكن...","السؤال غير واضح
تقولين شعرت بألم بعد التشخيص بالشعة ، تشخيص ماذا ، واي نوع من الاشعة هي التي اُجريت لها ، بالنسبة لتضخم الكبد والطحال يجب معرفة السبب
أن تضخم الكبد قد يحدث بمفردة فى بعض الحالات، وقد يكون مصاحبا أيضا لتضخم الطحال وهما مسؤلان عن تصنيع الصفائح الدموية والهيموجلوبين فى جسم الإنسان، كما يقومان بالتخلص من منتجات الدم الزائدة فى الدورة الطبيعية للجسم، وعند حدوث خلل فى تلك المنظومة بحيث تزيد نسب كرات الدم الحمراء يحدث نشاط زائد فى الكبد والطحال يؤدى إلى تضخمهم، وبالتالى يعتبر تضخم الكبد والطحال هو خلل مناعى يحدث نتيجة لنشاط غير عادى فى تكوين الدم فى نخاع العظم. يجب دراسة المريض",أمراض باطنية,B,,4,,4,-17.422642,1,11,1,different clinical scenario,
partial_only_fts_v1,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,انتفاخها|انتفاخ عام|انتفاخ بالوجه,ahdqa_0686479,686479,عندي طفل عمره 4 اشهر ويعاني من التعرق الشديد اخاف انه عنده مرض السكري لانه وراثي ويوجد في العائلة ارجو ان تفيدوني وجزاكم الله الف خير,يرجى الذهاب الى طبيب الاطفال لعمل الفحوصات اللازمه,مرض السكري,C,,,5,5,-33.721954,1,12,0,different clinical scenario,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0534222,534222,"عملت حشوة جذر وبعد مرور ست اشهر تقريبا بدأت اشعر بوجع بمكان السن الذي تم قتل العصب فية وحشوه كيف يمكن حدوث ذلك وماذا افعل ارجو اجابتي !!""""",ممكن يكون حصل التهاب في الانسجه المحيطه بجذر السن. يجب مراجعة الطبيب وعمل صورة اشعه و اعادة علاج الجذور.,طب الأسنان,C,,,1,1,-39.249666,1,1,1,different clinical scenario,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0517463,517463,عملت حشوة جذر قبل كم شهر لكن مؤخرا ينتابني الم بين فترة واخرى بمكان السن المحشو اليس من المفترض عدم حصول ذلك لان عصب السن المحشي قد تم قتله !!!,"العلاج الصحيح للعصب لا يتم (بقتله).
الطريقه الصحيحه تتم باستأصاله وتوسيع القنوات جيدا وعمل حشوه للجذور ثم الحشوه النهائيه.
يجب عليك مراجعه طبيبك لمعرفه السبب",أمراض الأسنان,C,,,2,2,-37.693143,1,2,1,different clinical scenario,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0033349,33349,اليوم لاحظت ظهور حبة في اللثة،هل هذا خطير؟هل يدل على وجود تسوسات تحتاج للعلاج؟هل يجب اخذ ادوية معينة؟ او عادي تروح بعد فترة؟ اتمنى تشرحلي الوضع كامل,هذه قد تدل ع وجود خراج تحت جذر السن وبالتالي ينصح بمراجعة طبيب الأسنان وعمل اشعه وتشخيص السن والذي قد يحتاج معالجة عصب. لانه قد يختفي هذا الخراج ويرجع مرة ثانية وبالتالي يجب معالجته لانه عبارة عن التهاب.,أمراض الأسنان,C,,,3,3,-37.648486,1,3,1,wrong symptom,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0470165,470165,"هل التهاب اللثه يسبب تسوس الاسنان؟
وكيف اعرف السن يحتاج الى قلع دون زيارة طبيب؟
وكيف ممكن اعتني باسناني للان حشوتان جذر و٥حشوة دائمة وانا غير متزوجة عمري٢٨","بطريقة غير مباشرة نعم، ولا يمكنك معرفة فيما اذا كان السن بحاجة للقلع ام لا إلا بكشف الطبيب عليه الا اذا كان السن يتحرك حركة كبيرة جدا او انه تكرر ظهور خراج حوله مرات عديدةاو سن منكسر و لم يبقى منه الا الجذور التي مر عليها وقت طويل، هذه الحالات من الواضح انها بحاجة للقلع.
و العناية بالاسنان تكون بالتفريش مرتان يوميا على الاقل وليس اكثر من ثلاث مرات و استعمال خيط الأسنان مرة على الاقل يوميا ربما قبل النوم و زيارة طبيب الاسنان كل ست شهور مرة و انه لامر طبيعي وجود عدة حشوات في عمرك هذا، المهم انها متقنة",أمراض الأسنان,C,,,4,4,-37.310151,1,4,0,wrong intent,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0407268,407268,مرحبا دكتور كنت اعاني من الم في الضرس مع ظهور حبة في اعلى اللثة..ذهبت لطبيب الاسنان اثناء سحبه للعصب لاحظت خروج دم كثيف وكتل من داخل القناة هل هذا طبيعي؟,نعم طبيعي اكيد . هذا الدم يكون بسبب تهيج العصب و التهابه,أمراض الأسنان,C,,,5,5,-36.613677,1,5,0,wrong symptom,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0048463,48463,ظهرت لي باللثة بقع بنية في الانياب الامامية حيث أن اللثة عند جذر السن تقريبا لونها بني واللثة السفلية فيها خطوط بنية قريبة من الأسنان(بدون ألم)+احس بانحسار اللثة في سن...,"السلام عليكم
بالنسبة لتغير لون اللثة قد يكون عامل خارجي كوجود حشوة فضه او تلبيسة معدن على السن مما قد تؤثر على اللون
هذا عموما
بالنسبة لحالتك غالبا هي شيء طبيعي يعتمد على صبغة الميلانين المسئولة عن لون البشره
فهي شيء طبيعي لا تؤثر
لكن بالنسبة لانحسار اللثة في السن يجب عمل تنظيف لثة وإزالة الرواسب للأسنان كل فترة
وتفريش الأسنان بفرشاة ناعمه من الأسفل للأعلى
نسأل الله ان يكتب عاجل الشفاء",أمراض الأسنان,C,,,6,6,-36.480053,1,6,1,missing key constraint,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0779204,779204,انا رحت لطبيب الاسنان وطلع عندس التهاب شديد في اللثة قام صرفلي فلازول وتابوسين مرتين في اليوم لكن لاحظت ان لون بولي تغير هل التغير طبيعي مع الدواء او لا...,"لا باس ان التلون فى البول بواسطة الادويه التى تناولتيها امر طبيعى ولا ضرر منه
ولكن من الافضل اجراء ازاله للسبب الرئيسى المسبب لالتهاب اللثه فى عيادة طبيب الاسنان وسرعان ما تعود اللثه الى وضعها الطبيعى السليم الصحى الوردى",أمراض الأسنان,C,,,7,7,-36.368034,1,7,0,wrong intent,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0317301,317301,انا اعاني من تأخر الدورة الشهرية وأظن أن السبب هو أنني كنت أذهب لطبيب الأسنان كان يخدر (البنج )لي فمي سؤالي هل التخدير يؤثر على العادة الشهرية,نعم. يؤثر..,أمراض نسائية,C,,,8,8,-35.566955,1,8,0,unsupported recommendation,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0018089,18089,"وقع هاتفي في اسناني الأمامية و حاسس بألم متوسط
و الي مخوفني ان عندي تراجع في اللثة هل يسبب وقوع الاسنان بعد اصابة ؟",يجب عمل صورة اشعاعية للسن لمعرفة حالة السن في الاصابات السنيه الناتجه عن الارتطام قد تؤدي لانزياح في السن او كسر في جذر السن مما يؤدي لمشاكل في الانسجة المحطيه وانحسار اللثة وقد يؤدي الارتطام الى تموت للعصب مما قد يؤدي لتلون السن . يجب زيارة طبيب اسنان للتشخيص ومعرفة السبب بعد التشيص السريري والصورة الاشعاعية,أمراض الأسنان,C,,,9,9,-35.368538,1,9,0,different clinical scenario,
partial_only_fts_v1,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0341211,341211,السلالم عليكم ورحمة الله اليوم لاحظت ظهور تحت الحاجب الأيمن فوق العين لون ازرق,قد تعبر عن وجود كدمة او نزف تحت جلد يفضل مراجعة طبيب,امراض العيون,C,,,10,10,-35.292886,1,10,0,wrong anatomy,
partial_only_fts_v1,evalv1_017,هل العملية الجراحية على مستوى المخ لاستاصال ورم ارومي دبقي للمرة الثانية بعد خطيرة و هل هناك أمل في العيش مع هذا الورم,symptoms,treatment_request,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: دموي,original_query,,ahdqa_0204588,204588,ورم ارومي دبقي في الفص الامامي الأيسر للدماغ اجريت له عمليه استئصال نسبت97بلميه وتم نجاح العمليه واستكملت العلاج بتيمودال والاشعه هل يمكن الشفاء من هذا الورم,نسبة السيطرة تكون عالية ان شاء الله,الأورام الخبيثة والحميدة,C,,,1,1,-58.815895,1,1,1,missing key constraint,
partial_only_fts_v1,evalv1_017,هل العملية الجراحية على مستوى المخ لاستاصال ورم ارومي دبقي للمرة الثانية بعد خطيرة و هل هناك أمل في العيش مع هذا الورم,symptoms,treatment_request,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: دموي,original_query,,ahdqa_0451833,451833,هل العلاج الكيماوي يوقف العلاج به اذا لم يعطي نتيجة وكم هي مدة اعطاء الكيماوي في حالة ورم دبقي نجمي الدرجة الرابعة ومدة امل العيش به والحمد الله على كل...,قد يستمر شهورا وسنوات وهناك طرق اخرى مع الكيماوى والاعمار بيد الله,الأورام الخبيثة والحميدة,C,,,2,2,-49.342675,1,2,1,missing key constraint,
partial_only_fts_v1,evalv1_017,هل العملية الجراحية على مستوى المخ لاستاصال ورم ارومي دبقي للمرة الثانية بعد خطيرة و هل هناك أمل في العيش مع هذا الورم,symptoms,treatment_request,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: دموي,original_query,,ahdqa_0453745,453745,والدى يعانى من ورم ارومى دبقى هل الجراحة تضر لمعرفة درجة الورم أم ﻻ ارجو إجابة وهل يفشى تماما,ان الجراحة هي المرحلة الأولى بعلاج هذا النوع من الأورام ومن ثم الأشعة مع العلاج الكيميائي. أما عم إمكانية إجراء الجراحة وأضرارها فيجب مناقشة هذا الأمر مع جراح الأعصاب والطبيب المعالج لأنهم على دراية بالورم وحجمه ومكانه ومدى إنتشاره.,الأورام الخبيثة والحميدة,C,,,3,3,-49.341581,1,3,1,missing key constraint,
