query_id,query,original_max_label,expansion_reviewed_candidates,expansion_max_label,first_expansion_direct_rank,direct_within_rank_5,outcome
evalv1_051,اريد استفسار علي دواء valdoxan,0,0,,,False,all_zero_not_targeted
evalv1_052,لدي ألم في رأسي من الخلف حتى الامام من الجهة اليسرى وكثيرا ما تأتيني هذه النوبات أحيانا بعد أيام من زوال الألم يصاحب ذلك خروج الدم من أنفي ويصل هذه...,1,9,1,,False,still_partial
evalv1_053,مالفرق بين فحص VIT D Total وفحص 25 hydroxy vitamin D3حيث بلغ الأول لدي(9)ng/ml بينماالثاني (4)ng/ml مع انهما في يوم واحد غير انهما في مختبرين مغايرين,1,12,1,,False,still_partial
evalv1_054,ما سبب الفشل الكلوي وكيف يتم معالجته والوقاية منة؟,1,12,1,,False,still_partial
evalv1_055,ماذا يحدث في حال تناول الكبدة يومياً؟,1,12,1,,False,still_partial
evalv1_056,سؤال هل فعلن ان اهداب قناة فالوب تكون كسلانه؟كيف اعرف ذلك؟هل فيه علاج لها؟,1,12,1,,False,still_partial
evalv1_057,االسلام عليكم انا ذكر عمري22لدي ضمور في النخاعsma3 والان وزني في تزايد وانا امشي بعكازات وللمسافات البعيده بكرسي ما الالات الرياضيه المفيدة في تخفيف وزني وتحسين قدرة عضلاتي وهل مع...,1,12,1,,False,still_partial
evalv1_058,قمت بإجراء تحليل دم لمعرفة هل أنا مصابة بالأنميا أو لا وخرج في التحليل lymphocytes كان مرتفع شوي 45.5% . ماذا يعني هذا؟,1,7,2,7,False,rescued_direct
evalv1_059,تعرضت لحادث الاصطدام كان من الخلف، سرعه الاصطدام جعلت راسي واعضائي الخلفيه ترتطم بكرسي السائق . هل الارتطام من الخلف يسبب خلل في الكلى او الاعضاء الاخرى؟؟ كيف اتاكد من...,0,0,,,False,all_zero_not_targeted
evalv1_060,السلام عليكم ..... انا اعاني من الاستيقاظ بعد النوم لثلاث ساعات ثم اخلد للنوم مرة اخرى . هل هذا قد يؤثر على النمو؟,2,0,,,False,already_direct
evalv1_061,السلام عليكم انا من ممارسين العاده السريه وعمري 20 في بعض الأحيان يخرج مني السائل لا اراديا عند التحرك أو في حالة التهيج ما السبب والعلاج,1,12,1,,False,still_partial
evalv1_062,"عندي ورم صلب في فروة الراس منذ 3 سنوات الى الان بينمو ببطئ وبيسبب صداع شديد لو لمسته او اتخبطت او اي حركة قريبة من مكان وجود الكتلة الصلبة ,مع...",1,12,1,,False,still_partial
evalv1_063,انا اعيش فى دوله عربيه وذهبت الى الحلاق وجرحنى ومن يومها صابنى الوسواس الى ان دخلت فى مرحله التغرب عن الذات واصبحت اتفحص جسمى كل دقيقه هل هل ممكن الاصابه...,1,11,2,11,False,rescued_direct
evalv1_064,السلام عليكم انا شاب عمري 17 سنة لااستطيع نطق جميع الحرووف وبالذات حرف (س)مما يسبب احراج كبير لي عندما اتكلم فما الحل لذالك وهل يوجد علاااج لي ارجوو الرد,0,0,,,False,all_zero_not_targeted
evalv1_065,انا عملت البي سي ار وطلع النتيجه 35000هل كدا عندي فيرس,2,0,,,False,already_direct
evalv1_066,دكتور انا من قترة تظهر حب شباب على وجهي ويبقى الاثر واستخدم مقشرات لكن ماتنفع معي ابد وممكن استخدم الزيروكتان -- isotretinoin-- وجهي حار وتظهر بقع حمرا,2,0,,,False,already_direct
evalv1_067,من فترة بعانى من ضيق ف التنفس وبحس بضغط ع صدرى واما اتحرك او اعمل مجهود حتى لو خفيف مجرد مشى مثلا بحس بدوخة و نفسى بيروح,1,2,2,2,True,rescued_direct
evalv1_068,سلام أنا سويت أشعة للكلى وباقي على دورتي 10 أيام .سؤالي هو لو صار في حمل هل في خطر عليه إن ينزل أو يكون عند تشوهات ،طيب ادى كان حمل...,0,0,,,False,all_zero_not_targeted
evalv1_069,ما هي الوصفات الطبيعية التي تستخدم في التخسيس مع الابقاء على شكل الوجة ثابت ومع عدم الاضرار بطفلي في حالة الرضاعة الطبيعية ؟,1,8,0,,False,still_partial
evalv1_070,انا ذكر عمرى 18 عام هل من وصفات او اطعمه تساعد على اطاله الشعر فى مدد قصيره ؟؟,2,0,,,False,already_direct
evalv1_071,هل دواء انافرونيل يظهر فى تحليل المخدرات فى عينة الدم والبول,0,0,,,False,all_zero_not_targeted
evalv1_072,هل رداء ايليت بادى اليابانى له تاثير فعال فى التخسيس وشد الجسم دون اضرار وماهى افضل كريمات التخسيس الموضعى وطرق تنحيف الوجه و شكرا جزيلا على تعاونكم,1,7,1,,False,still_partial
evalv1_073,اعاني من النحافه وزني 44 وطولي 164 ومالقيت حل رغم اني اكل 3 و4 واكثر وجبات في اليوم بس عظمي مبين فجسمي عملت فحصص غدد وسليم ، احدهم قال لي...,2,0,,,False,already_direct
evalv1_074,هل زواج الاقارب له خطورة على انجاب اطفال اصحاء خاصة ان احد الزوجين لديه اخوة بهم اعاقة بسبب ايضا زواج الاقارب,2,0,,,False,already_direct
evalv1_075,أعاني من تشققات في اللسان,2,0,,,False,already_direct
evalv1_076,ظهرت ثاليل في وجه بنتي الصغيرة عمرها ٤ سنوات.وتم تشخيصها على انها ثاليل لؤلؤيه.وبعد علاج شهرين بالمراهم وشراب زنك.لم تتحسن وقرر الطبيب العلاج بالحامض...فهل العلاج بالحامض سيترك اثار في مكان...,0,0,,,False,all_zero_not_targeted
evalv1_077,انا مصابه بمرض البطانه المهاجرة وسيجري لى عملية طفل انابيب مع العلم انني مدخنه فهل التدخين يجب ان اوقفه قبل العمليه وكم هي الفتره التي يجب ان تكون بين التوقف...,2,0,,,False,already_direct
evalv1_078,انا انثى العمر 31 نسبة tsh 0.008 ونسبة t3 و t4 طبيعيان ما هو التشخيص لحالتي ؟,2,0,,,False,already_direct
evalv1_079,هل يعد الزواج من الأقارب خطرا بمعنى الكلمة وفي كل الحالات؟,2,0,,,False,already_direct
evalv1_080,عندي طفلة رضيعة عمرها ٧ شهور شفت اليوم برازها أخضر داكن وقت الصبح و كانت بالليل كل شوي تبكي و ترجع تنام هل في شي خطير ؟,1,12,1,,False,still_partial
evalv1_081,انا استعمل ريتان واستعمل معه شراب دكسون هل يجوز هذا ام لا؟,1,7,1,,False,still_partial
evalv1_082,عاني من الم في المعدة واشعر بضيق في التنفس وبروده في الرجلين وبدوخه وقلة الشهيه؟ افيدون ا,2,0,,,False,already_direct
evalv1_083,ماهي علامة سرطان الثدى في بدايته ؟ وهل كل ورم في الثدي يكون خبيث ؟ هل الفحص يكون عندى أى طبيب ؟ وشكرا,2,0,,,False,already_direct
evalv1_084,سلام عليكو انا عوز اعرف اضرار الزنجبيل اى,2,0,,,False,already_direct
evalv1_085,اللساني بيحرقني وعليه طبقه سميكه ولونه اصفر منذو خمس سنوات تروح وتيجي وانا تعبان ونفسي في حل,0,0,,,False,all_zero_not_targeted
evalv1_086,كيفية علاج دوالى الرحم,2,0,,,False,already_direct
evalv1_087,انا فتاه احب الجلوس مع اصدقائي في المدرسه كثرا وانا قريبه من طالبات الفصل ولكن لم استطع التكافؤ مع افراد عائلتي فعند الجلوس معهم اصمت ولا اتكلم وقط اسمع وارى...,1,8,1,,False,still_partial
evalv1_088,لماذا كل ماانزلت داخل زوجتي تشعر بحرقان وكأنو جرح ونكب عليه ملح داخل الرحم,2,0,,,False,already_direct
evalv1_089,هل استعمال حقنة menogon للرجال اللي عندهم نقص هرمونات دائمه ام ثلاث اشهر فقط,2,0,,,False,already_direct
evalv1_090,ما هو افضل علاج لأرتفاع ضغط الدم,2,0,,,False,already_direct
evalv1_091,ما سبب إحساسي المفاجئ بالحزن في بعض الأحيان؟علما ان هدا الحزن المفاجئ أحس به كل مرة في الشهر.؟ويكون هدا الحزن في أواخركل شهر؟,2,0,,,False,already_direct
evalv1_092,هل ممكن تقسيم الحباية نصفين واخد كل نصف لوحده بدلا من اخد الحباية كلها مرة واحده لصعوبة بلعها بسبب انها كبيرة؟؟,0,0,,,False,all_zero_not_targeted
evalv1_093,هل تصدر من الدماغ وبالذات من الخلايا العصبية العريضة فى التلفيف اشعاعات نووية تنتقل الى خارج الجسم اريد تفسيرا لهذا الافتراض,1,10,1,,False,still_partial
evalv1_094,هل من مغيث.تبلغ امي من العمر٧٦ سنة تعاني من تشنجات في الركبتين مع ارتفاع الضغط في اوقات كثيرة ودون اسباب واضحة مع العلم انها تداوم منذ ٣٠ سنة على ادوية...,1,12,1,,False,still_partial
evalv1_095,انا حامل بالشهر التاسع خلعت رضسين جنب بعض بالفك السفلي قبل ٤ ايام لاكن في الم غير محتمل بالفك و الأذن والعين والراس الدكتور كتبلي فقط بنادول إكسترا,1,7,2,7,False,rescued_direct
evalv1_096,ابنتي لا تقدر تبتلع الحليب إطلاقا وعندها ريفلاكس كيف اجعلها تتقبل الببروني والرضاعة الاصطناعيه ولكم جزيل الشكر,1,6,0,,False,still_partial
evalv1_097,ما_هو_علاج_قصر_القامة ?,0,0,,,False,all_zero_not_targeted
evalv1_098,"حامل في الاسبوع التاسع وظهر في السونار كيسان حمل فارغان ولم يظهر نبض ولكن لايوجد نزيف ولم تنزل قطرت دم ولا اشعر بألم والوحام موجود ولكن اقل علما\""اني اسقطت مرتين...",2,0,,,False,already_direct
evalv1_099,"ا والدى عنده ورم بالكبد واتشعب لبورة فى العمود الفقرى حجمها ١ سم فى ١,٥ سم وعملنا ١٠ جلسات اشعاع ذرى واخدناهم ٤ مكثفين وهل ممكن بعد الاشعاع ماخلص بفترة...",1,12,1,,False,still_partial
evalv1_100,السلام عليكم ورحمة الله وبركاته يا دكتر انا العب قوى جري يوميا وقليل العب حديد لو استخدم عقاقير او ابر بناء جسم هل تاثر على الكبد وتسبب امراض اريد ابني...,1,12,1,,False,still_partial
