query_id,query,claim_id,claim_rank,claim_ar,answer_ar,citations,source_qa_ids,used_relations,support_status_hint,extraction_source
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,trial_query_085_claim_01,1,الأعراض المذكورة قد تكون مرتبطة بحالات تتطلب تقييمًا طبيًا,الأعراض المذكورة (دوار، دقات سريعة للقلب، شعور برأس ثقيل، وغيبوبة مؤقتة) قد تكون مرتبطة بحالات متعددة تتطلب تقييمًا طبيًا شاملًا. لا توجد أدلة كافية في السياق المقدم لربط هذه الأعراض مباشرة بفقر الدم أو أي تشخيص محدد آخر. يُنصح بالاستعانة بخبير طبي لإجراء فحوصات إضافية.,[],[],[],insufficient,structured_llm_claims
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,trial_query_086_claim_01,1,وصف 20 إبرة حديد خلال شهر آمن إذا كانت مبنية على نتائج التحاليل,الجرعة الموصوفة من 20 إبرة حديد خلال شهر تُعتبر آمنة إذا كانت مبنية على نتائج التحاليل المخبرية وحالة مخزون الحديد في الجسم [E6]. يُنصح بالالتزام بالجرعة الموصوفة من قبل الطبيب و监测 أي أعراض جانبية غير معتادة.,"[""E6""]","[""ahd5k_01162""]","[""نقص حديد --DIAGNOSED_BY--> فحص تحاليل مخبرية""]",supported,structured_llm_claims
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,trial_query_086_claim_02,2,يجب تقييم الجرعة بناءً على نسبة الهيموغلوبين ومخزون الحديد في الجسم,الجرعة الموصوفة من 20 إبرة حديد خلال شهر تُعتبر آمنة إذا كانت مبنية على نتائج التحاليل المخبرية وحالة مخزون الحديد في الجسم [E6]. يُنصح بالالتزام بالجرعة الموصوفة من قبل الطبيب و监测 أي أعراض جانبية غير معتادة.,"[""E6""]","[""ahd5k_01162""]","[""نقص حديد --DIAGNOSED_BY--> فحص تحاليل مخبرية""]",supported,structured_llm_claims
trial_query_087,أود معرفة ما أسباب تدلي المستقيم؟وطرق العلاج؟,trial_query_087_claim_02,2,البيانات المتاحة تركز على أمراض أخرى مثل دوالي الخصية أو التهابات المسالك البولية، ولا تتضمن معلومات مباشرة عن تدلي المستقيم,لا توجد أدلة كافية في السياق المقدم لتحديد أسباب تدلي المستقيم أو طرق علاجه. البيانات المتاحة تركز على أمراض أخرى مثل دوالي الخصية أو التهابات المسالك البولية، ولا تتضمن معلومات مباشرة عن تدلي المستقيم.,[],[],[],,sentence_fallback
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,trial_query_088_claim_01,1,يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية,يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية أو بممارسة الرياضة [E1][E3]. يُنصح بالرجوع إلى اختصاصي تجميل لتحديد الخيار الأنسب [E1].,"[""E1"", ""E3""]","[""ahd5k_01190"", ""ahd5k_01190""]","[""الجلد المترهل --TREATED_BY--> الجراحة التجميلية"", ""الجراحة التجميلية --TREATS--> الجلد المترهل""]",supported,structured_llm_claims
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,trial_query_088_claim_02,2,يمكن شد الجلد المترهل في منطقة البطن بممارسة الرياضة,يمكن شد الجلد المترهل في منطقة البطن بالجراحة التجميلية أو بممارسة الرياضة [E1][E3]. يُنصح بالرجوع إلى اختصاصي تجميل لتحديد الخيار الأنسب [E1].,"[""E1"", ""E3""]","[""ahd5k_01190"", ""ahd5k_01190""]","[""الجلد المترهل --TREATED_BY--> الجراحة التجميلية"", ""الجراحة التجميلية --TREATS--> الجلد المترهل""]",supported,structured_llm_claims
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,trial_query_089_claim_01,1,تضخم الطحال يمكن أن يسبب تضخمًا في الأرداف,تظهر الأدلة أن تضخم الطحال قد يسبب تضخمًا في الأرداف [E1]، وأن التهابًا قد يرتبط بالتعب [E2][E3]. ومع ذلك، فإن أدلة الرسم البياني محدودة ولا تغطي العلاقة بين ارتفاع الصفراء أو أعراض البطن والظهر المذكورة. يُنصح بالاستعانة بطبيب مختص لإجراء تقييم شامل.,"[""E1""]","[""ahd5k_00647""]","[""تضخم --HAS_SYMPTOM--> تضخم في الارداف"", ""التهاب --HAS_SYMPTOM--> تعب"", ""تعب --SYMPTOM_OF--> التهاب""]",supported,structured_llm_claims
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,trial_query_089_claim_02,2,الالتهاب يمكن أن يسبب التعب,تظهر الأدلة أن تضخم الطحال قد يسبب تضخمًا في الأرداف [E1]، وأن التهابًا قد يرتبط بالتعب [E2][E3]. ومع ذلك، فإن أدلة الرسم البياني محدودة ولا تغطي العلاقة بين ارتفاع الصفراء أو أعراض البطن والظهر المذكورة. يُنصح بالاستعانة بطبيب مختص لإجراء تقييم شامل.,"[""E2"", ""E3""]","[""ahd5k_03872""]","[""تضخم --HAS_SYMPTOM--> تضخم في الارداف"", ""التهاب --HAS_SYMPTOM--> تعب"", ""تعب --SYMPTOM_OF--> التهاب""]",supported,structured_llm_claims
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_01,1,الكورتيزونات تُستخدم في علاج شلل العصب السابع,يصعب علاج شلل العصب السابع بعد تأخر الخمس سنوات، لكن يمكن تجربة العلاجات التالية: الكورتيزونات [E1]، مضادات الالتهاب [E2]، مضادات الفيروسات [E4]، العلاج الطبيعي [E3]، أو العلاج بالإبر الصينية [E5]. يُنصح باستشارة طبيب متخصص لتحديد الخيار الأنسب.,"[""E1""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> الكورتيزونات"", ""شلل العصب السابع --TREATED_BY--> مضادات الالتهاب"", ""شلل العصب السابع --TREATED_BY--> مضادات الفيروسات"", ""شلل العصب السابع --TREATED_BY--> العلاج الطبيعي"", ""شلل العصب السابع --TREATED_BY--> العلاج بالإبر الصينية""]",supported,structured_llm_claims
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_02,2,مضادات الالتهاب تُستخدم في علاج شلل العصب السابع,يصعب علاج شلل العصب السابع بعد تأخر الخمس سنوات، لكن يمكن تجربة العلاجات التالية: الكورتيزونات [E1]، مضادات الالتهاب [E2]، مضادات الفيروسات [E4]، العلاج الطبيعي [E3]، أو العلاج بالإبر الصينية [E5]. يُنصح باستشارة طبيب متخصص لتحديد الخيار الأنسب.,"[""E2""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> الكورتيزونات"", ""شلل العصب السابع --TREATED_BY--> مضادات الالتهاب"", ""شلل العصب السابع --TREATED_BY--> مضادات الفيروسات"", ""شلل العصب السابع --TREATED_BY--> العلاج الطبيعي"", ""شلل العصب السابع --TREATED_BY--> العلاج بالإبر الصينية""]",supported,structured_llm_claims
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_03,3,مضادات الفيروسات تُستخدم في علاج شلل العصب السابع,يصعب علاج شلل العصب السابع بعد تأخر الخمس سنوات، لكن يمكن تجربة العلاجات التالية: الكورتيزونات [E1]، مضادات الالتهاب [E2]، مضادات الفيروسات [E4]، العلاج الطبيعي [E3]، أو العلاج بالإبر الصينية [E5]. يُنصح باستشارة طبيب متخصص لتحديد الخيار الأنسب.,"[""E4""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> الكورتيزونات"", ""شلل العصب السابع --TREATED_BY--> مضادات الالتهاب"", ""شلل العصب السابع --TREATED_BY--> مضادات الفيروسات"", ""شلل العصب السابع --TREATED_BY--> العلاج الطبيعي"", ""شلل العصب السابع --TREATED_BY--> العلاج بالإبر الصينية""]",supported,structured_llm_claims
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_04,4,العلاج الطبيعي يُستخدم في علاج شلل العصب السابع,يصعب علاج شلل العصب السابع بعد تأخر الخمس سنوات، لكن يمكن تجربة العلاجات التالية: الكورتيزونات [E1]، مضادات الالتهاب [E2]، مضادات الفيروسات [E4]، العلاج الطبيعي [E3]، أو العلاج بالإبر الصينية [E5]. يُنصح باستشارة طبيب متخصص لتحديد الخيار الأنسب.,"[""E3""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> الكورتيزونات"", ""شلل العصب السابع --TREATED_BY--> مضادات الالتهاب"", ""شلل العصب السابع --TREATED_BY--> مضادات الفيروسات"", ""شلل العصب السابع --TREATED_BY--> العلاج الطبيعي"", ""شلل العصب السابع --TREATED_BY--> العلاج بالإبر الصينية""]",supported,structured_llm_claims
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,trial_query_090_claim_05,5,العلاج بالإبر الصينية يُستخدم في علاج شلل العصب السابع,يصعب علاج شلل العصب السابع بعد تأخر الخمس سنوات، لكن يمكن تجربة العلاجات التالية: الكورتيزونات [E1]، مضادات الالتهاب [E2]، مضادات الفيروسات [E4]، العلاج الطبيعي [E3]، أو العلاج بالإبر الصينية [E5]. يُنصح باستشارة طبيب متخصص لتحديد الخيار الأنسب.,"[""E5""]","[""ahd5k_01221""]","[""شلل العصب السابع --TREATED_BY--> الكورتيزونات"", ""شلل العصب السابع --TREATED_BY--> مضادات الالتهاب"", ""شلل العصب السابع --TREATED_BY--> مضادات الفيروسات"", ""شلل العصب السابع --TREATED_BY--> العلاج الطبيعي"", ""شلل العصب السابع --TREATED_BY--> العلاج بالإبر الصينية""]",supported,structured_llm_claims
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,trial_query_091_claim_01,1,تجنب تناول مضاد حيوي مثل زييثرون مجددًا في حال حدوث حساسية شديدة,في حال حدوث حساسية شديدة وتورم بعد تناول مضاد حيوي مثل زييثرون، يُنصح بتجنب تناوله مجددًا [E1]، واستخدام مضاد الهيستامين مع كورتيزون موضعي [E1][E2]. يُفضل إجراء تحليل لتحديد حساسية المضادات الحيوية [E1].,"[""E1""]","[""ahd5k_01231""]","[""حساسية --TREATED_BY--> مضاد الهيستامين"", ""حساسية --TREATED_BY--> كورتيزون""]",supported,structured_llm_claims
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,trial_query_091_claim_02,2,استخدام مضاد الهيستامين مع كورتيزون موضعي لعلاج الحساسية الشديدة,في حال حدوث حساسية شديدة وتورم بعد تناول مضاد حيوي مثل زييثرون، يُنصح بتجنب تناوله مجددًا [E1]، واستخدام مضاد الهيستامين مع كورتيزون موضعي [E1][E2]. يُفضل إجراء تحليل لتحديد حساسية المضادات الحيوية [E1].,"[""E1"", ""E2""]","[""ahd5k_01231""]","[""حساسية --TREATED_BY--> مضاد الهيستامين"", ""حساسية --TREATED_BY--> كورتيزون""]",supported,structured_llm_claims
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,trial_query_091_claim_03,3,إجراء تحليل لتحديد حساسية المضادات الحيوية بعد تفاعل شديد,في حال حدوث حساسية شديدة وتورم بعد تناول مضاد حيوي مثل زييثرون، يُنصح بتجنب تناوله مجددًا [E1]، واستخدام مضاد الهيستامين مع كورتيزون موضعي [E1][E2]. يُفضل إجراء تحليل لتحديد حساسية المضادات الحيوية [E1].,"[""E1""]","[""ahd5k_01231""]","[""حساسية --TREATED_BY--> مضاد الهيستامين"", ""حساسية --TREATED_BY--> كورتيزون""]",supported,structured_llm_claims
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,trial_query_092_claim_01,1,الحساسية قد تسبب أعراض مثل السعال والبلغم [E1],لا توجد أدلة كافية في السياق المقدم لتقييم العلاقة بين الأعراض المذكورة (صداع، نعاس، حساسية في الوجه، حكة) والدواء المذكور. يُنصح بالاستمرار في مراجعة الطبيب المختص لتحديد سبب الأعراض وتعديل العلاج [E1-E4].,"[""E1""]","[""ahd5k_00970""]","[""حساسية --HAS_SYMPTOM--> سعال"", ""حساسية --HAS_SYMPTOM--> ضيق تنفس""]",supported,structured_llm_claims
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,trial_query_092_claim_02,2,الحساسية قد تؤدي إلى ضيق تنفس [E3],لا توجد أدلة كافية في السياق المقدم لتقييم العلاقة بين الأعراض المذكورة (صداع، نعاس، حساسية في الوجه، حكة) والدواء المذكور. يُنصح بالاستمرار في مراجعة الطبيب المختص لتحديد سبب الأعراض وتعديل العلاج [E1-E4].,"[""E3""]","[""ahd5k_00683""]","[""حساسية --HAS_SYMPTOM--> سعال"", ""حساسية --HAS_SYMPTOM--> ضيق تنفس""]",supported,structured_llm_claims
trial_query_093,لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب. كما أخبركم أني مريصة بالقلب (مشكل في صمامتين),trial_query_093_claim_01,1,صعوبة التنفس العميق قد تكون مرتبطة بفقر الدم [E3],البيانات المقدمة لا تشمل أدلة كافية لتفسير صعوبة التنفس أو الآلام القريبة من القلب أو مشاكل النوم الجانبية. يُنصح بمراجعة طبيب قلب لفحص صمامات القلب وتحديد سبب الأعراض.,"[""E3""]","[""ahd5k_02546""]","[""فقر الدم --HAS_SYMPTOM--> الم المعدجة"", ""ضرس العقل --HAS_SYMPTOM--> الام""]",insufficient,structured_llm_claims
trial_query_093,لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب. كما أخبركم أني مريصة بالقلب (مشكل في صمامتين),trial_query_093_claim_02,2,آلام القرب من القلب غير مذكورة في الأدلة المُسترجعة [E1-E6],البيانات المقدمة لا تشمل أدلة كافية لتفسير صعوبة التنفس أو الآلام القريبة من القلب أو مشاكل النوم الجانبية. يُنصح بمراجعة طبيب قلب لفحص صمامات القلب وتحديد سبب الأعراض.,[],[],"[""فقر الدم --HAS_SYMPTOM--> الم المعدجة"", ""ضرس العقل --HAS_SYMPTOM--> الام""]",insufficient,structured_llm_claims
trial_query_094,هل هناك أسباب أخرى محددة تؤدي الى ولادة دات شفة مشقوقة من غير استعمال دواء التوبيراميت.,trial_query_094_claim_01,1,السياق المقدم لا يحتوي على أدلة كافية عن أسباب أخرى لولادة شفة مشقوقة غير التوبيراميت,لا توجد أدلة كافية في السياق المقدم لتوضيح أسباب أخرى لولادة شفة مشقوقة غير استخدام دواء التوبيراميت. العلاقات المسترجعة تتناول علاجات لقرحة وشيب، ولا ترتبط مباشرة بتشوهات خلقية مثل الشفة المشقوقة.,"[""E1"", ""E2"", ""E3"", ""E4""]","[""ahd5k_01066"", ""ahd5k_04612""]","[""قرحة --TREATED_BY--> ايزومبرازول"", ""شيب --TREATED_BY--> خلطة الريحان و الروزماري"", ""ايزومبرازول --TREATS--> قرحة"", ""خلطة الريحان و الروزماري --TREATS--> شيب""]",insufficient,structured_llm_claims
trial_query_095,كيف تتم ازالة شظايا القنابل الصغيرة الانشطارية في المنزل عند عدم التمكن من الذهاب للمستشفى وهل هناك اخطار من بقائها؟,trial_query_095_claim_01,1,يُنصح بالتصوير بالأشعة لتحديد مكان شظايا القنابل الصغيرة الانشطارية ونوعها,لا توجد طريقة موصى بها لإزالة شظايا القنابل الصغيرة الانشطارية في المنزل. يُنصح بالتصوير بالأشعة لتحديد مكان الشظايا ونوعها [E1]، مع ملاحظة أن الجسم قد يصنع محفظات حولها ويعزلها [E1]. لا توجد أدلة كافية حول المخاطر المحددة لبقائها في الجسم.,"[""E1"", ""E4""]","[""ahd5k_01290"", ""ahd5k_01290""]","[""شظايا القنابل الصغيرة الانشطارية --DIAGNOSED_BY--> أشعة"", ""أشعة --DIAGNOSES--> شظايا القنابل الصغيرة الانشطارية""]",supported,structured_llm_claims
trial_query_095,كيف تتم ازالة شظايا القنابل الصغيرة الانشطارية في المنزل عند عدم التمكن من الذهاب للمستشفى وهل هناك اخطار من بقائها؟,trial_query_095_claim_02,2,الجسم قد يصنع محفظات حول شظايا القنابل الصغيرة الانشطارية ويعزلها,لا توجد طريقة موصى بها لإزالة شظايا القنابل الصغيرة الانشطارية في المنزل. يُنصح بالتصوير بالأشعة لتحديد مكان الشظايا ونوعها [E1]، مع ملاحظة أن الجسم قد يصنع محفظات حولها ويعزلها [E1]. لا توجد أدلة كافية حول المخاطر المحددة لبقائها في الجسم.,"[""E1""]","[""ahd5k_01290""]","[""شظايا القنابل الصغيرة الانشطارية --DIAGNOSED_BY--> أشعة"", ""أشعة --DIAGNOSES--> شظايا القنابل الصغيرة الانشطارية""]",supported,structured_llm_claims
trial_query_096,السلام عليكم .. هل تناول ملعقة يوميا من زيت الحلبة على الريق يزيد من حجم الثدي بجانب التمارين ..؟؟ و ما المدة التى يمكن الاستمرار عليها فى تناول الزيت؟ و...,trial_query_096_claim_01,1,زيت الحلبة ليس له أدلة كافية في الشبكة لتأثيره على حجم الثدي,لا توجد أدلة كافية في الشبكة لدعم أو نفي تأثير زيت الحلبة على زيادة حجم الثدي أو تحديد مدة الاستخدام الآمن. يُنصح بالاستعانة بمتخصص طبي لتقييم هذا العلاج [E1].,"[""E1""]","[""ahd5k_00203""]","[""النقص الشديد للصفائح --TREATED_BY--> الروتيكسيماب"", ""الروتيكسيماب --TREATS--> النقص الشديد للصفائح""]",insufficient,structured_llm_claims
