query_id,source_entity_row,canonical_name,canonical_name_norm,entity_type,mapping_status,match_type,selected_entity_id,selected_canonical_name,candidate_entity_ids,candidate_count
entitygtv1_032,33,ابتعاد بيروكسيد الهيدروجين,ابتعاد بيروكسيد الهيدروجين,Treatment,unresolved,none,,,,0
entitygtv1_033,34,التهاب بالاذن الوسطي,التهاب بالاذن الوسطي,DiseaseCondition,unresolved,none,,,,0
entitygtv1_034,35,ضيق التنفس,ضيق التنفس,Symptom,mapped,exact_canonical,ent_merge_000846,ضيق التنفس,ent_merge_000846,1
entitygtv1_035,36,السرطان,السرطان,DiseaseCondition,mapped,exact_canonical,ent_merge_000136,السرطان,ent_merge_000136,1
entitygtv1_036,37,حقنة دبيروفوس,حقنه دبيروفوس,Treatment,unresolved,none,,,,0
entitygtv1_037,38,التمارين الرياضية,التمارين الرياضيه,Treatment,mapped,exact_canonical,ent_merge_001191,التمارين الرياضية,ent_merge_001191,1
entitygtv1_038,39,حساسية الحليب,حساسيه الحليب,DiseaseCondition,unresolved,none,,,,0
entitygtv1_039,40,جراحة,جراحه,Treatment,mapped,exact_canonical,ent_merge_001355,جراحة,ent_merge_001355,1
entitygtv1_040,41,ورم من الثدي,ورم من الثدي,DiseaseCondition,unresolved,none,,,,0
entitygtv1_041,42,أمراض القلب,امراض القلب,DiseaseCondition,mapped,exact_canonical,ent_merge_000196,أمراض القلب,ent_merge_000196,1
entitygtv1_042,43,ازيثرومايسين,ازيثرومايسين,Treatment,mapped,exact_canonical,ent_merge_001141,أزيثرومايسين,ent_merge_001141,1
entitygtv1_042,115,ازيثرومايسين,ازيثرومايسين,Treatment,mapped,exact_canonical,ent_merge_001141,أزيثرومايسين,ent_merge_001141,1
entitygtv1_043,44,صعوبة في التنفس العميق,صعوبه في التنفس العميق,Symptom,mapped,exact_alias,ent_merge_000846,ضيق التنفس,ent_merge_000846,1
entitygtv1_044,45,التهاب,التهاب,DiseaseCondition,mapped,exact_canonical,ent_merge_000059,التهاب,ent_merge_000059,1
entitygtv1_045,46,نوبات الهلع,نوبات الهلع,DiseaseCondition,mapped,exact_canonical,ent_merge_000556,نوبات الهلع,ent_merge_000556,1
entitygtv1_045,202,نوبات الهلع,نوبات الهلع,DiseaseCondition,mapped,exact_canonical,ent_merge_000556,نوبات الهلع,ent_merge_000556,1
entitygtv1_046,47,حساسية,حساسيه,DiseaseCondition,mapped,exact_canonical,ent_merge_000326,حساسية,ent_merge_000326,1
entitygtv1_047,48,الحمل,الحمل,DiseaseCondition,mapped,exact_canonical,ent_merge_000117,الحمل,ent_merge_000117,1
entitygtv1_048,49,سيلدينافيل,سيلدينافيل,Treatment,mapped,exact_canonical,ent_merge_001446,سيلدينافيل,ent_merge_001446,1
entitygtv1_049,52,الحمل,الحمل,DiseaseCondition,mapped,exact_canonical,ent_merge_000117,الحمل,ent_merge_000117,1
entitygtv1_050,53,الانفصام الشخصية,الانفصام الشخصيه,DiseaseCondition,mapped,exact_alias,ent_merge_000218,انفصام الشخصية,ent_merge_000218,1
entitygtv1_051,54,الفيروس,الفيروس,DiseaseCondition,mapped,exact_canonical,ent_merge_000164,الفيروس,ent_merge_000164,1
entitygtv1_052,55,الببسين,الببسين,Treatment,mapped,exact_canonical,ent_merge_001181,الببسين,ent_merge_001181,1
entitygtv1_053,56,وجع في الرأس,وجع في الراس,Symptom,mapped,exact_canonical,ent_merge_000908,وجع في الرأس,ent_merge_000908,1
entitygtv1_054,57,بيتاسيرك,بيتاسيرك,Treatment,mapped,exact_canonical,ent_merge_001304,بيتاسيرك,ent_merge_001304,1
entitygtv1_055,58,السعال الليلي,السعال الليلي,Symptom,unresolved,none,,,,0
entitygtv1_056,59,اكتئاب,اكتياب,DiseaseCondition,mapped,exact_canonical,ent_merge_000033,اكتئاب,ent_merge_000033,1
entitygtv1_057,60,التهاب الاذن الداخليه,التهاب الاذن الداخليه,DiseaseCondition,unresolved,none,,,,0
entitygtv1_058,61,اكتئاب,اكتياب,DiseaseCondition,mapped,exact_canonical,ent_merge_000033,اكتئاب,ent_merge_000033,1
entitygtv1_059,62,كارنيتين ، ترنتال,"كارنيتين , ترنتال",Treatment,unresolved,none,,,,0
entitygtv1_060,63,الدورة الشهرية,الدوره الشهريه,Symptom,mapped,exact_alias,ent_merge_000805,دورة شهرية,ent_merge_000805,1
entitygtv1_061,64,ثقب في القلب,ثقب في القلب,DiseaseCondition,mapped,exact_canonical,ent_merge_000303,ثقب في القلب,ent_merge_000303,1
entitygtv1_061,275,ثقب في القلب,ثقب في القلب,DiseaseCondition,mapped,exact_canonical,ent_merge_000303,ثقب في القلب,ent_merge_000303,1
entitygtv1_062,65,السونار,السونار,Test,mapped,exact_canonical,ent_merge_000942,السونار,ent_merge_000942,1
entitygtv1_063,66,الدوالى,الدوالي,DiseaseCondition,mapped,exact_canonical,ent_merge_000124,الدوالي,ent_merge_000124,1
entitygtv1_064,67,ضيق فى التنفس,ضيق في التنفس,Symptom,duplicate_family_resolved,exact_alias,ent_merge_000847,ضيق تنفس,ent_merge_000847|ent_merge_000846,2
entitygtv1_065,68,صداع,صداع,Symptom,mapped,exact_canonical,ent_merge_000830,صداع,ent_merge_000830,1
entitygtv1_066,69,حساسية,حساسيه,DiseaseCondition,mapped,exact_canonical,ent_merge_000326,حساسية,ent_merge_000326,1
entitygtv1_067,70,الاميبا,الاميبا,DiseaseCondition,unresolved,none,,,,0
entitygtv1_068,71,الكوليسترول ال ldl,الكوليسترول ال ldl,Test,unresolved,none,,,,0
entitygtv1_069,72,رعشة اليدين,رعشه اليدين,Symptom,unresolved,none,,,,0
entitygtv1_070,73,القولون العصبى,القولون العصبي,DiseaseCondition,mapped,exact_canonical,ent_merge_000170,القولون العصبي,ent_merge_000170,1
entitygtv1_071,74,التهاب,التهاب,DiseaseCondition,mapped,exact_canonical,ent_merge_000059,التهاب,ent_merge_000059,1
entitygtv1_072,75,Regular Ultrasound,regular ultrasound,Test,mapped,exact_canonical,ent_merge_000919,Regular Ultrasound,ent_merge_000919,1
entitygtv1_073,76,التهاب بالاثنى عشر,التهاب بالاثني عشر,DiseaseCondition,unresolved,none,,,,0
entitygtv1_074,77,توبليكسيل,توبليكسيل,Treatment,mapped,exact_canonical,ent_merge_001349,توبليكسيل,ent_merge_001349,1
entitygtv1_074,224,السعال الجاف,السعال الجاف,Symptom,unresolved,none,,,,0
entitygtv1_074,239,السعال الجاف,السعال الجاف,Symptom,unresolved,none,,,,0
entitygtv1_075,78,تحليل دم,تحليل دم,Test,mapped,exact_canonical,ent_merge_000983,تحليل دم,ent_merge_000983,1
entitygtv1_076,79,الاكتئاب,الاكتياب,DiseaseCondition,mapped,exact_canonical,ent_merge_000040,الإكتئاب,ent_merge_000040,1
entitygtv1_077,80,الحرارة,الحراره,Symptom,mapped,article_normalized,ent_merge_000765,حرارة,ent_merge_000765,1
entitygtv1_077,106,الحرارة,الحراره,Symptom,mapped,article_normalized,ent_merge_000765,حرارة,ent_merge_000765,1
entitygtv1_078,81,الساركوما,الساركوما,DiseaseCondition,unresolved,none,,,,0
entitygtv1_079,82,الوهن العام,الوهن العام,Symptom,mapped,exact_canonical,ent_merge_000690,الوهن العام,ent_merge_000690,1
entitygtv1_079,147,الوهن العام,الوهن العام,Symptom,mapped,exact_canonical,ent_merge_000690,الوهن العام,ent_merge_000690,1
entitygtv1_079,168,الوهن العام,الوهن العام,Symptom,mapped,exact_canonical,ent_merge_000690,الوهن العام,ent_merge_000690,1
entitygtv1_080,84,صداع,صداع,Symptom,mapped,exact_canonical,ent_merge_000830,صداع,ent_merge_000830,1
entitygtv1_081,85,الجماع,الجماع,Symptom,mapped,exact_canonical,ent_merge_000640,الجماع,ent_merge_000640,1
entitygtv1_082,86,فحص التراساوند,فحص التراساوند,Test,mapped,exact_canonical,ent_merge_001030,فحص التراساوند,ent_merge_001030,1
entitygtv1_083,87,إجهاض,اجهاض,DiseaseCondition,mapped,exact_canonical,ent_merge_000003,إجهاض,ent_merge_000003,1
entitygtv1_084,88,ربو,ربو,DiseaseCondition,mapped,exact_canonical,ent_merge_000371,ربو,ent_merge_000371,1
entitygtv1_085,89,حب الشباب,حب الشباب,DiseaseCondition,mapped,exact_canonical,ent_merge_000318,حب الشباب,ent_merge_000318,1
entitygtv1_086,90,إرتفاع الضغط,ارتفاع الضغط,DiseaseCondition,mapped,exact_alias,ent_merge_000010,ارتفاع ضغط الدم,ent_merge_000010,1
entitygtv1_086,196,إرتفاع الضغط,ارتفاع الضغط,DiseaseCondition,mapped,exact_alias,ent_merge_000010,ارتفاع ضغط الدم,ent_merge_000010,1
entitygtv1_087,91,المرميه,المرميه,Treatment,mapped,exact_alias,ent_merge_001261,الميرمية,ent_merge_001261,1
entitygtv1_088,92,المشي,المشي,Treatment,mapped,exact_canonical,ent_merge_001256,المشي,ent_merge_001256,1
entitygtv1_089,93,سرعة دقات القلب,سرعه دقات القلب,Symptom,mapped,exact_canonical,ent_merge_000820,سرعة دقات القلب,ent_merge_000820,1
entitygtv1_090,94,التهابات,التهابات,DiseaseCondition,mapped,exact_canonical,ent_merge_000106,التهابات,ent_merge_000106,1
entitygtv1_091,95,بيتا ثلاسيميا,بيتا ثلاسيميا,DiseaseCondition,unresolved,none,,,,0
entitygtv1_092,96,تجمع صديدى,تجمع صديدي,DiseaseCondition,mapped,exact_canonical,ent_merge_000237,تجمع صديدى,ent_merge_000237,1
entitygtv1_093,97,اكتئاب,اكتياب,DiseaseCondition,mapped,exact_canonical,ent_merge_000033,اكتئاب,ent_merge_000033,1
entitygtv1_094,98,فيتامين د,فيتامين د,Treatment,mapped,exact_canonical,ent_merge_001507,فيتامين د,ent_merge_001507,1
entitygtv1_095,99,الالتهاب الكبدي,الالتهاب الكبدي,DiseaseCondition,unresolved,none,,,,0
entitygtv1_096,100,تكيس المبايض,تكيس المبايض,DiseaseCondition,mapped,exact_canonical,ent_merge_000289,تكيس المبايض,ent_merge_000289,1
entitygtv1_097,101,ارتفاع ضغط الدم,ارتفاع ضغط الدم,DiseaseCondition,mapped,exact_canonical,ent_merge_000010,ارتفاع ضغط الدم,ent_merge_000010,1
entitygtv1_098,102,تحليل بول و مزرعة,تحليل بول و مزرعه,Test,unresolved,none,,,,0
entitygtv1_099,103,اكل الأضافر,اكل الاضافر,DiseaseCondition,unresolved,none,,,,0
entitygtv1_100,104,غشاء البكره,غشاء البكره,DiseaseCondition,unresolved,none,,,,0
