query_id,query,query_group,reference_answer,gold_entity_ids,gold_evidence_ids,gold_qa_ids,gold_relation_ids,answerable_from_final_graph,annotation_status,annotator_id,adjudicator_id,annotation_notes
entitygtv1_012,اكل علك وابلعه هل يمكن ان يؤدي الى انسداد البلعوم؟,entity_ground_truth,"بلع العلكة "" اللبانة "" عادةً لا يسبب مشاكل في البلعوم .. في حالات نادرة قد يسبب مشاكل إذا دخل إلى القصبات أو القصيبات الهوائية مثل الإختناق أو الإلتهابات الناتجة عن وجود جسم أجنبي فيها .. أما المشاكل الأخرى فهي ممكنة وتكون ناتجة عن صعوبات هضمية سواء في المعدة أو الأمعاء .. فهي تتكون من مواد صعبة الهضم .. لذلك أنصحك أن لا تقومي بذلك أبداً",ent_merge_001770,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=1
entitygtv1_013,بعد فرك المهبل بقوة من خلال الاصابع اصبح هنالك انتفاخ واحمرار في الشفرتين وحرقة والم اثناء التبول فهل هذا يعني ان البكارة تمزق وانني لست عذراء ؟,entity_ground_truth,لا. لم تتمزق.ولكن اصبح عندك التهاب وتلوث,ent_merge_000059,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_014,نسبه فيتامين د 17 هل هذه النسبه قليله في الشهور الاولي من الحمل,entity_ground_truth,خذي فيتامين D2000 يوميا,,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=0 unresolved_entities=نسبه فيتامين د
entitygtv1_015,انا اعني من نزول كتل من الدم أثناء الدورة الشهرية هل في ذلك خطورة وماتفسير ذلك ، مع العلم انا لست متزوجة ...؟؟؟؟؟؟؟؟؟؟؟؟,entity_ground_truth,هذا عادي ولا خطر منه.ولكن اعملي فحص قوة الدم,ent_merge_001054,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_016,عمري٣٣حامل الاسبوع١٢ وتبين لدي ورم او كيس داخل الرحم حجمه ٥*٦سم مكانه قاع الرحم ونحن لاجئين في تركيا و الاطباء هنا لا يتكلمون كثيرا و قالو عادي! هل يكتمل حملي...,entity_ground_truth,"مراقبة الحمل كل اسبوعين حتى نهاية الشهر الرابع, ومتابعة الاطباء بعد ذلك عند الضرورة والا كل شهر لغاية الشهر السابع, ثم اسبوعيا او حسب برنامج الطبيب المعالج",ent_merge_000568,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=1 unresolved_entities=كيس داخل الرحم
entitygtv1_017,السلام عليكم ..اشعر بكتلة صغيرة لينة تحت الجلد اسفل الرأس اعلى الرقبة بحجم حبة الحمص عندما المسها اشعر بحرارة في المكان وتشنج قليل في الرقبة ولكن لا تؤلمني ومسببة لي...,entity_ground_truth,أنا أظن أن هذه كتلة دهنية ولكن لا يمكن الجزم قبل المعاينة لذلك أنصحك بإستشارة طبيب.,ent_merge_000471,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=1
entitygtv1_018,تنظيف الجهاز التنفسي والرءه من النيكوتين,entity_ground_truth,"التوقف عن التدخين بكل انواعه اولا ...
الابتعاد عن الاجواء الملوثة ...
أخذ علاج ال MUCOSOLVAN شراب ثلاث مرات يوميا على معدة فارغة لمدة ستة أشهر على ان يؤخذ في الأشهر الأخيرة علاج مرافق Expectorant 3 مرات يوميا وهذا سيؤدي لخروج اليلغم من القصبات
من الافضل تنشق الأكسجين نصف ساعة صباحا ... وتصف ساعة مساء والابقاء على تواصل مع الأخصائي ..",ent_merge_001115,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_019,"ﻋﻨﺪﻣﺎ ﺃﻧﺎﻡ ﻋﻠﻰ ﺟﻨﺒﻲ ﺍﻷﻳﻤﻦ ﺗﻜﻮﻥ ﻓﺘﺤﺔ ﺍﻷﻧﻒ
ﺍﻟﻴﺴﺮﻯ ﻓﻘﻂ ﻫﻲ ﺍﻟﺘﻲ ﺗﻌﻤﻞ، ﻭﺍﻟﻌﻜﺲ ﻋﻨﺪﻣﺎ ﺃﻧﺎﻡ ﻋﻠﻰ ﺟﻨﺒﻲ ﺍﻷﻳﺴﺮ
ﺗﻜﻮﻥ ﻓﺘﺤﺖ ﺍﻷﻧﻒ ﺍﻟﻴﻤﻨﻰ ﻫﻴﺎ ﺍﻟﺘﻲ ﺗﻌﻤﻞ",entity_ground_truth,من الطبيعي ان نشعر باغلاق وفتح الانف بشكل دوري ولكن اذا وصلت لدرجة الانزعاج فغالبا ما يكون بسبب الحساسيه الانفيه وتضخم القرنيات الانفيه,,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=0 unresolved_entities=الحساسيه الانفيه
entitygtv1_020,هل يوجد شئ غير الخصيتين داخل كيس الصفن اشعر بشي غير الخصيتين داخل الكيس لا تسبب اى الم حتى بعد الضغط عليها ترى ماذا تكون ؟,entity_ground_truth,"يحتوي كيس الصفن على:

الخصيتين
البربخ
الاوعية الناقلة للحيوانات المنوية
اوعية دموية

 
الشعور ب أي شيء آخر قد يكون بسبب:

 التهاب البربخ
توسع بالاوعية الدموية ما يسمى ب دوالي الخصية
كيس او كتلة

 
عليك ب مراجعة طبيب المسالك البولية، لاخد تاريخ مرضي، واجراء فحص سريري، و صورة تلفزونية (التراساوند).
 
للمزيد:

خمسة أسئلة يتحرج الرجال من سؤالها للطبيب
أمور تضر بصحة الحيوانات المنوية

المرجع:

Scrotum
Scrotum Masses",ent_merge_000366,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=1
entitygtv1_021,"السلام عليكم
دائما اشعر بنعاس حتى لو كنت نائمة فترة جيدة تقريبا 6 او 7 ساعات ما السبب وما االحل ؟؟
وشكرا الكم كتير",entity_ground_truth,"الأسباب الشائعة:
- النوم لفترات قصيرة.
- الأدوية والعقاقير (مهدئات- أقراص منومة- مضادات الهيستامين).
- اضطرابات النوم (مثل تقطع النفس أثناء النوم) أو الغفوات النومية.
- حالات طبية أخرى مثل ( خمول الغدة الدرقية - فرط كالسيوم الدم - فرط صوديوم الدم أو نقصه).
- علاج النعاس:
- العناية فى المنزل:
- ينبغى علاج الأسباب، بالنسبة للنعاس الذى يكون سببه الاكتئاب، القلق، الملل، الضغوط عليك بمحاولة حل المشكلة بدون اللجوء للمساعدة الطبية النتخصصة.
- أما إذا كان بسبب أحد الادوية أو العقاقير عليك بالتحدث إلى الطبيب الذى وصفه لك للتوقف عنه على الفور أو لتغييره (لا تفعل ذلك من نفسك أبداً).
- وإذا كان السبب السمنة أو نقص التهوية، فاللجوء إلى إنقاص الوزن هو علاج فى حد ذاته مع استشارة طبيب متخصص.
- وإذا كان النعاس بسبب خمول الغدة الدرقية أو فرط كالسيوم الدم أو فرط صوديوم الدم أو نقصه يعالجها الطبيب المتخصص كل شخص حسب حالته الصحية.",ent_merge_000687,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=1
entitygtv1_022,مولوده بشفه ارنبيه هل من الممكن انجب اطفال يعانون من نفس المشكله وكيف يمكن ان اتجنب عدم ولاده اطفال مصابين بالشفه الارنبيه,entity_ground_truth,السبب بيئي وجيني على العموم-تجنب السجاير والدخان وبعض الامراض الفيروسيه -اما الاسباب الجينيه لها دور في الاسباب -ذالك يعني ان الفرصه للاصابه موجوده- التشخيص اثناء الحمل ممكن بعمل التراساوند واخصائي النسائه له دور في التشخيص والتصرف,ent_merge_000936,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_023,السلام عليكم،،عندي التهاب في اليد اليسرى و انتفاخ الان انا داخل في اليوم الرابع،رحت مستوصف قال التهاب في العصب وصرف لي دواء بروفين وحط لي مشد، والانتفاخ مستمر هل هو...,entity_ground_truth,نعم نتيجة الالتهاب وتجمع السوائل فقط قم بوضع اليد بماء بارد لمدة 20 دقيقه ثم قم بوضع الضاغط وكرر العمليه 3 مرات باليوم,,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=0 unresolved_entities=التهاب في العصب
entitygtv1_024,هل انتفاخ اصابع القدم و احيانا ازراق الاصابع عند وضع القدم دخل الماء الساخن او عند الجلوس لمدة طويلة او الوقوف لمدة طويلة امر عادي ؟ و لا أعاني من...,entity_ground_truth,"تورم القدمين
هذه هي عادة مصدر ازعاج مؤقت وتكون إما بسبب الوقوف طويلا وخاصة إذا كنت حاملا. في المقابل ، يمكن أن يكون تورم القدمين علامة على حالة مرضية خطيرة فقد يكون السبب ضعف الدورة الدموية، أو مشكلة مع الجهاز الليمفاوي ، أو تجلط الدم , أو مشكلة بالكلي أو الغدة الدرقية
اما ازرقائها القدمين في الماء الساخن أظن ان هذه الحالة موجودة في الماء البارد لكن بالماء الساخن ممكن ان تنتفخ القدم وهذا طبيعي لحدوث توسع في الشرايين ام ازرقاء القدم فهو نتيجة تقلص في الشرايين ويكون هذا في الماء البارد او في فصل الشتاء",,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=0 unresolved_entities=تورم القدمين
entitygtv1_025,"كم فنجان قهوة مسموح لي بالشرب يوميا ؟
علما باني طالبة ثانوية عامة واحتاجها للتركيز بدراستي",entity_ground_truth,"الكمية الموصى بهـــا 200 ملغم لكل يوم للأشخاص البالغين حسب الجمعية العامة للغذاء والدواء الأمريكية
ومن الجدير بالذكر أن الإكثار من تناول الكافيين أكثر من 400 ملغم يؤدي إلى :
- الأرق
- الهلع
- التهيج للأمعاء
- اضطراب المعدة
- سرعة ضربات القلب
- الهزل العام في العضلات",ent_merge_001234,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_026,ما معنى المرض من ناحية علمية و نفسية,entity_ground_truth,تحول عن حالة الصحة العادية، وبدقة أكثر فإن المرض هو المجموع الكلي للتفاعلات الجسدية والعقلية من قبل شخص تجاه عامل مؤذي يدخل جسمه من الخارج، أو ينشأ من الداخل (كالكائنات الدقيقة، أو السموم)، أو جرح، أو خلل خلقي، أو ولادي. او خلل استقلابي، او نقص في التغذية، أو عملية متنكسة. وتقسم الأمراض إلى معدية وغير معدية،وبائية وغير وبائية.,ent_merge_000179,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=1
entitygtv1_027,"كان معايا الجرثومه الحلزونيه واتعالجت منها
لكن تعبت جدا
عملت منظار للمعده
لاقيت فى شرخ فى جدار المعده و تهتكات فى الحجاب الحاجزواشعر بالم وحرقان تحت القفص الصدرى.ماذا افعل؟",entity_ground_truth,متابعة جادة مع الطبيب المعالج.,,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=0 unresolved_entities=شرخ فى جدار المعده
entitygtv1_028,عمري 22 طالبة امتياز تمريض،أعاني من فترة طويله ألم بأكتافي ويثور عندما أعمل بيدي ولا أعلم مالسبب ،ارجو مساعدتكم,entity_ground_truth,"في الاعمار الشابة هذه الالام سببها الرئيسب التهاب اوتار او شد عضلي , ينصح العمل على تقوية عضلات العنق والجذع , ينصح عمل صورة اشعة للعنق ومراجعة مركز علاج طبيعي",ent_merge_000059,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_029,هل الهرمونات تسبب حساسيه في الجلد( مثل منطقة الصدر)؟؟؟,entity_ground_truth,من الامراض التي تؤدي الى خلل هرموني وكذلك تغيرات جلديه هي ما يسمى بمتلازمه تكيس المبايض فبهذه الحاله نتيجه للارتفاع المفرط في الأنسولين و حالة مقاومة الانسولين، فهذا قد يؤدي الى زيادة بالوزن في الجزء العلوي من الجسم وكذلك تغيرات جلدية، مثل ظهور علامات في الجلد، أو ظهور بقع جلدية داكنة تحت الذراع أو على الرقبة أو في أعلى الفخذ و منطقة الأعضاء التناسلية.,,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=0 unresolved_entities=متلازمه تكيس المبايض
