annotation_version,query_id,query,query_group,candidate_type,candidate_id,qa_id,source_quality,retrieval_channel,candidate_question,candidate_answer_or_evidence,relation_type,source_entity_name,target_entity_name,relevance_label,error_reason,secondary_error_reason,annotator_id,annotation_status,annotation_notes
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,relation,rel_seed_c8ab49ecb7e233f9,ahd10k_00787,raw_ahd_source_row,graph_relation,,الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي والتوتر ماهو علاج انخفاض هرمون البروجسترون ؟,TREATED_BY,انخفاض هرمون البروجسترون,تناول الخضراوات,0,unsupported recommendation,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0606183,ahdqa_0606183,ahd_heldout_safe_corpus,conditional_fts,ما هي الاطعمة التي تزيد هرمون البروجستيرون..وهل له علاقة بتقلب المزاج,لماذا هذا السؤال,,,,0,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0498432,ahdqa_0498432,ahd_heldout_safe_corpus,conditional_fts,السلام عليكم انا قمت بعمل تحليل هرمون البروجستيرون في اليوم٢١ من الدورة والنتيجة ١١.٥٣ هل التبويض منخفض او جيد؟,منخفض ....,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0754643,ahdqa_0754643,ahd_heldout_safe_corpus,fts_qa,هل يمكن ان يحدث حمل اذا كان هرمون البروجسترن صفر,من الصعب جدا ان يكون مستوى الهرمون صفر ولكن عموما فان مستوى هرمون البروجستيرون يتغير حسب ايام الدورة وفي العادة فاننا نقوم بعمل التحليل في اليوم 21 او 22 من بداية الدورة واذا كان مستوى الهرمون في هذه الفترة اقل من 2 فهذا يعني عدم وجود اباضة وبالتالي فان حدوث حمل صعب جدا,,,,1,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahd10k_00787,ahd10k_00787,raw_ahd_source_row,vector,ماهو علاج انخفاض هرمون البروجسترون ؟,"هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون قد تبدأ بوقف التدخين , التقليل من الضغط النفسي والتوتر , والإكثار من تناول الخضراوات والفواكه , وايضا هناك بعض الاعشاب الطبية التي من الممكن ان تزيد مستوى الهرمون وقد يلجأ الطبيب لوصف بعض العلاجات الدوائية التي تحتوي هرمون البروجيستيرون على عدة اشكال دوائية",,,,2,,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0073498,ahdqa_0073498,ahd_heldout_safe_corpus,fts_qa,اشعور بدوران متوازن طوال اليوم دون الاغماء عملت تحاليل غدة وفقر دم وفيتامين د وكل شيء طبيعي والدوران ملازمني صرلو ثلاث اشهر ولم اطيب ما سبب هذا الشعور,يجب ان تكشفي عند دكتور انف واذن مؤقتا ناخد betaserc و dramanex مرتين ف اليوم,,,,1,missing key constraint,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0344693,ahdqa_0344693,ahd_heldout_safe_corpus,conditional_fts,هل الشعور بالتشتت وعدم التركيز وفقدان التوازن في الجسم لدرجه الدوخه او الاغماء..هل ممكن أن يكون كل هذا من القلق النفسي؟,هذه الأعراض تشير إلى سبب عضوي وليس نفسي.,,,,1,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0030209,ahdqa_0030209,ahd_heldout_safe_corpus,conditional_fts,في الحقيقة عندما اصوم اتسحر جيدا ومع هذا ينتهي بي بالا غماء بالاضافة الى الدوخة الشديدة عندما اقف لاصلي ويحدث الاغماء اكثر شي عندما اصوم فما السبب,يرجي اجراء تحليل Cbc,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0505732,ahdqa_0505732,ahd_heldout_safe_corpus,conditional_fts,انا فتاة ابلغ 16 سنة اعاني من الدوخة و الاغماء اثناء ممارسة الرياضة فماذا افعل؟,السلام عليكم قبل ممارسة الرياضة حتي لو داخل البيت لازم نطمن علي قوة الدم بتحليلCBC احتمال وجود انيميا ولو سليمة نعمل تحليل TSHللغدة الدرقية ونراعي ممارسة الرياضة بعد تناول أي وجبة خفيفة مثل موزة أو تفاحة تمد الجسم بالجلوكوز أثناء المجهود وتكون المكان جيد التهوية وغير مغلق وضيق وتكون واخدة قسط كافي من النوم,,,,1,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0568889,ahdqa_0568889,ahd_heldout_safe_corpus,conditional_fts,ما سبب الإغماء أو الدوخه أو فقدان الوعي وقت تخدير الضرس باابره البنج!!!!,الخوف و الحالة النفسيه .,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0433786,ahdqa_0433786,ahd_heldout_safe_corpus,conditional_fts,مرحبا . اعاني كثيرا من الدوخة فكلما اقف اقترب من الاغماء و لكن لم يغمى علي قط .فما هي احتمالات الامراض لدي ؟ و هل يمكن ان اكون مصابة بفقر...,الدوخة عند الوقوف راجعة لنقص نسبة الاكسجين الواردة الى الدماغ .. وفقر الدم من بين اسبابها الى جانب اسباب اخرى مثل انخفاض ضغد الدم و عيرها.,,,,1,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0528835,ahdqa_0528835,ahd_heldout_safe_corpus,conditional_fts,مالذي يسبب تسرع في دقات لقلب فجأه و الدوخه و الاغماء لفتره قصيره؟؟؟,هناك أسباب التهابية وعدوائية وتنفسية وقلبية ودموية وأخرى كثيرة يمكن أن تسبب ذلك، وننصح باجراء فحص طبي سريري أولا للوقوف على علامات وتفاصيل أكثر دقة,,,,2,,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0266526,ahdqa_0266526,ahd_heldout_safe_corpus,conditional_fts,ما سبب الاغماء بعد اى جرح بسيط سواء بالوجه او باليد و ما هو سبب الدوخه بعد القيام من النوم او الجلوس ؟؟؟,لا يوجد أي علاقة بين الجروح البسيطة و الإغماء إلا إذا كانت حالة نفسية ، و هنا يجب استشأرة الطب النفسي. اما عن الدوخة بعد القيام من النوم فهو بسبب انخفاض تروية الدماغ بالدم مؤقتا نتيجة الحركة السريعة,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0421730,ahdqa_0421730,ahd_heldout_safe_corpus,conditional_fts,الدوخة التي يسببها ديدرال ممكن تكون قوية لدرجة الاغماء؟,ارسل الاسم العلمي وليس التجاري؟,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,evidence,qa::ahdqa_0221395,ahdqa_0221395,ahd_heldout_safe_corpus,conditional_fts,أعاني كثيرا من الدوخة وخصوصا اذا كنت مسافرة او اقوم بنشاط في وقت الظهيرة حيث اني لا استطيع تحمل اشعة الشمس واوشك على الاغماء.هل هناك تحاليل يجب القيام بها؟ وشكرا,رجاء تحليل صورة دم كامله و نسبه الفيرتين بالدم و تجنب المشى و العمل تحت أشعة الشمس المباشره و شرب كميات من الماء,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,mention::men_exp1_0000476,ahdexp1_07790,preprocessed_source,vector,ماسبب الشعور بضيق التنفس وتسارع دقات القلب حيث يكون لفترة قصيرة وأختفائها؟,هناك أسباب كثيرة، منها ما هو نفسي ومنها ما هو عضوي، وهذه الأخيرة ممكن أن تكون مجموعية أو ناجمة عن اضطراب أساسي أو أولي في النظم الكهربي للقلب، وللتمييز وتحديد السبب لا بد من الفحص الطبي للوقوف على تفاصيل وعلامات تُساعد في تحديد السبب المحتمل,,,,1,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,qa::ahdqa_0649452,ahdqa_0649452,ahd_heldout_safe_corpus,fts_qa,ماهو الفحص الطبي الذي يمكن ابراز الاصابة با نقص هرمون النمو,هو فحص تحفيزي له طريقة خاصة يجب عمله تحت إشراف الطبيب المختص بالغدد الصم,,,,0,wrong disease,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,qa::ahdqa_0334386,ahdqa_0334386,ahd_heldout_safe_corpus,fts_qa,طريقة الفحص الطبي السريري بالتفصيل وهل يشمل منطقة المهبل,الفحص الطبي حسب شكوى المريض,,,,1,missing key constraint,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,qa::ahdqa_0680701,ahdqa_0680701,ahd_heldout_safe_corpus,fts_qa,ما هو الفحص الطبي الذي يكشف بدقة ان الشخص مصاب بالقولون العصبي وما هي اعراضه؟,ليس هناك فحص مخصص لهذا المرض انما هي مجموعه الاعراض متوافقة مثل ( الانفاخ و الاسهال او الامساك و الام حادة متكررة في البطن ) وذلك بعض اجراء بعض الفحوصات ومنها التنظير العلوي والسفلي لتتاكد من امراض اخرى ان وجدت,,,,0,wrong disease,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,qa::ahd10k_00678,ahd10k_00678,raw_ahd_source_row,vector,هل الفحص الطبي الشامل يشمل الايدز والغدد الدرقيه والسكر وجرثومة المعدة,"تختلف طبيعية الفحص الشامل من مختبر لآخر , الا أن الفحوصات المذكورة خاصة ودقيقة قد لا يُوصى بها بشكل روتيني أو كجزء من الفحص المخبري الشامل .",,,,1,missing key constraint,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,qa::ahd5k_03417,ahd5k_03417,preprocessed_source,vector,ما هذا المرض؟ أحس ان راسي ير موجود بجسمي او انه خفيف ليس مثل ما كان من قبل وعندما اضع يدي على راسي احس ان راسي صغرت جدا ما هذا؟,الفحص الطبي هو الوسيلة الوحيدة لتحديد ان كان هناك سبب عضوي أو نفسي، وفي حالة عدم وجود أي خلل عضوي يتطلب الأمر مراجعة أخصائي نفسية للوصول إلى تشخيص دقيق,,,,1,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,mention::men_exp1_0000368,ahdexp1_05993,preprocessed_source,vector,اوريد استشاره في انى في بعض الاحيان اشعر بي سرعه في نبضات القلب بشكل مفاجاء دون القيام بي اي مجهود وكل فتره تزيد اكثر اود معرفه اسبابها وماخطورتها,لا نعرف كم هو التسارع وما يُصاحبه من أعراض، ولكن اذا كان مزعجاً ننصح باجراء فحص طبي سريري وعلى ضوء نتائجه يتقرر السلوك الطبي الأمثل,,,,1,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,qa::ahdqa_0214313,ahdqa_0214313,ahd_heldout_safe_corpus,fts_qa,ما سبب ألم العظم من أسفل الركبة إلى الكاحل ؟ وما التخصص الطبي الذي يجب مراجعته ؟,عليك مراجعة طبيب روماتيزم للفحص السريري واجراء اللازم من تصوير وتحليل للدم لمعرفة السبب فالاسباب كثيره,,,,0,wrong symptom,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,qa::ahdqa_0684636,ahdqa_0684636,ahd_heldout_safe_corpus,fts_qa,"دكتور شكرا على الإجابة للسؤال السابق, ما هو الرمز الطبي لفحص هرمون التيستيرون؟ أعني لو أردت إجراء الفحص ما هو الرمز أو الإسم الذي أعطيه للمخبر حتى يجرو لي الفحص؟",testosterone test,,,,0,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,evidence,qa::ahdqa_0791809,ahdqa_0791809,ahd_heldout_safe_corpus,fts_qa,ممكن اعرف ما هو الفحص الطبي السريري وما هو الفحص الخبري؟,الفحص السريري يشمل فحص الجسم من فوق لتحت بجميع أعضائه، والفحص المخبري هو فحص كافة سوائل الجسم وإفرازاته في المختبر إما مجهرياً أو بأجهزة أخرى.,,,,2,,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,relation,rel_seed_4a6448f814b2f13b,ahd10k_01949,raw_ahd_source_row,graph_relation,,الفحص الطبي يمكن أن يساعد والفحص الطبي يمكن ان يساعد لم يستطع ان ينام بسبب ضيق تنفس فمن كلامك يبدو انه تسارع قلبي,INVESTIGATED_BY,ضيق تنفس,الفحص الطبي,0,generic medical overlap,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,evidence,relation::rel_seed_30ff3f9299a1bc92,ahd5k_00970,preprocessed_source,graph,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,اذا كنت مدخنا يجب الاقلاع عن التدخين نهائياً وقطعياً علما بأنك لا تدخن كما قلت لكن جلوسك في مكان فيه مدخنين يجعلك مدخناً ايضاً اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج يجب التأكد من ما تعانيه هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم يجب التأكد من ذلك وانصحك بان تطلب معاينة من اخصائي حساسية لكي يعطيك التشخيص النهائي وعندها الطريق الى العلاج يكون اسهل,,,,0,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,relation,rel_seed_6a19266a600cd127,ahd10k_01288,raw_ahd_source_row,graph_relation,,عندي حساسيه ربوي عندي حساسيه ربوي عندي حساسيه ربوي لو مشيت شويه بهبط جدا,HAS_SYMPTOM,ربو,ضيق التنفس,0,generic medical overlap,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,evidence,qa::ahdqa_0113626,ahdqa_0113626,ahd_heldout_safe_corpus,conditional_fts,التهاب بالصدر سابقا منذ 5سنوات وهو عنده ضغط وسكر و ربو وعمليه دعامة بالقلب وصرع و صوت صفير بالصدر وانتفاخ بالرجل و الساق,يجب ان تراجع طبيب القلبية والصدرية عاجلا,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,relation,rel_seed_4de0040282f7419c,ahd10k_05425,raw_ahd_source_row,graph_relation,,اعاني من حساسية في الصدر... وسعال اعاني من حساسية في الصدر وضيق في التنفس وسعال وقئ صباحا اعاني من حساسية في الصدر وضيق في التنفس وسعال وقئ صباحا متابعة مع طبيب ضروري جدا للبدأ بالعلاج العلاجي والوقائي للربو,HAS_SYMPTOM,حساسية,سعال,0,generic medical overlap,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,evidence,mention::men_exp1_0004183,ahdexp1_06326,preprocessed_source,vector,هل تحليل ige total نسبته 95 طبيعي وهل يدل علي عدم وجود حساسية بالصدر مع العلم اني اعاني بحساسية أنف وتسبب لي مشاكل بالصدر والتنفس,يجب تحديد الوحدة التي تم بها إجراء تحليل ige total لكي نستدل على عدم وجود حساسية في الصدر (الربو) أو تحديد ما إذا كان تحليل serum ige الخاص بكم طبيعي أم لا.حيث أن النطاق الطبيعي لتحليل ige للبالغين هو 5-KU/I 120، أو 150-300 UI/ml. للمزيد: الرياضة والحساسية الصدرية المرجع: TOTAL IGE [How to define the normal level of serum IgE in adults?],,,,0,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,evidence,qa::ahdqa_0774065,ahdqa_0774065,ahd_heldout_safe_corpus,conditional_fts,ابنى سنة ونصف ومنذ الولادة وهويعانى من شئ بالصدر ومنذ قريب تم حجزة فى العناية المركزة لحدوث لة اختناق ولا يقدر على التنفس ودوما اسمع صوت حشرجة بصدرة هل لهذا...,اذا كان المقصود آفة قلبية رئوية فقد يكون له علاقة بأمراض خلقية كتشوهات خلقية في القلب أما اذا كان المقصود تشجنج في القصبات(ربو)فلا اعتقد ان هنالك علاقة مع الولادة,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,relation,rel_seed_30ff3f9299a1bc92,ahd5k_00970,preprocessed_source,graph_relation,,السؤال يربط بين الحساسية وعوارض السعال والبلغم بشكل مباشر. ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,HAS_SYMPTOM,حساسية,سعال,0,generic medical overlap,,GPT-5.6 Thinking,annotated,
