mention_id,entity_id,canonical_name,entity_type,chunk_id,qa_id,source_row_number,surface_form,field,evidence,extraction_method,provider,model,confidence
men_llm_0000025,ent_test_433492431144,تحليل الحساسية,Test,chunk_00003,ahd5k_01231,390602,تحليل حساسية,answer,اعملي تحليل حساسية المضادات,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000026,ent_test_3f0d2e079b73,RAST Test,Test,chunk_00003,ahd5k_01245,266907,RAST Test,answer,معرفة سبب الحساسيه يتم ذلك عن طريق RAST Test,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000027,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00004,ahd5k_02039,383915,حساسية,question,اعاني من حبوب بيضاء صغيره ف اماكن معينه ف الوجه و اتوقع انها حساسية من البيض او اشعة الشمس,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000028,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00004,ahd5k_02115,266317,حساسية,question,ابنتي معاها حساسية معينة لبعض الاطعمة وعمرها سنتان,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000029,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,chunk_00004,ahd5k_03662,381920,ربو,answer,متابعة مع طبيب ضروري جدا للبدأ بالعلاج العلاجي والوقائي للربو,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900
men_llm_0000030,ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,chunk_00004,ahd5k_03243,286579,حساسية الصدر,question,إبني عمر 6 سنوات و يعاني من حساسية الصدر,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000031,ent_diseasecondition_250910ab0701,حساسية الصدر,DiseaseCondition,chunk_00004,ahd5k_03662,381920,حساسية في الصدر,question,اعاني من حساسية في الصدر وضيق في التنفس وسعال وقئ صباحا,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000032,ent_test_dd68aa784555,تحاليل مخبرية,Test,chunk_00004,ahd5k_02039,383915,تحاليل,answer,لابدمن رؤيتها من قبل طبيب وعمل تحاليل خاصه بالحساسيه,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800
men_llm_0000033,ent_test_dd68aa784555,تحاليل مخبرية,Test,chunk_00004,ahd5k_02892,807374,فحص,answer,يجب عمل فحص للحساسية التعددة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800
men_llm_0000034,ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,chunk_00004,ahd5k_02892,807374,مضاد للهستامين,answer,تناول مضاد للهستامين ومزيل للاحتقان,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700
men_llm_0000035,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00005,ahd5k_04144,373880,حساسيه,question,ما هي ادويت الحساسيه التي لا تزيد من الوزن,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000036,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00005,ahd5k_04347,353044,حساسيه,question,هل حليب الماعز لا يسبب حساسية مثل حليب البقر ؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000037,ent_symptom_93828ade2cbe,الارتكاريا,Symptom,chunk_00005,ahd5k_04654,288628,حكه,question,السلام عليكم من فتره صار جسمي ايحكني لحتاه وشي ايدي كل جسمي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900
men_llm_0000038,ent_symptom_93828ade2cbe,الارتكاريا,Symptom,chunk_00005,ahd5k_04733,327643,حكه,question,السلام عليكم عندي حكة في جميع مناطق الجسم منذو 6 اشهر رغم اني اسعملت جميع لادويه دون فائده,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900
men_llm_0000039,ent_test_433492431144,تحليل الحساسية,Test,chunk_00005,ahd5k_04480,268180,تحليل الحساسه,answer,ابداي العلاج له عن طريق طبيب حساسيه اوصدريه بعد الكشف عنه وعمل تحليل الحساسه RAST and IgE,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000040,ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,chunk_00005,ahd5k_04819,334866,مضادات الهيستامين,question,هل يمكن مواجهة حساسية الارتيكاريا بادوية المناعة بعيدا عن مضادات الهيستامين و الكورتيزون؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800
men_llm_0000041,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00006,ahd5k_00812,393214,حساسية,question,طفلتي تتحسس من الجلوتين وعمرها سنة ونصف هل توجد أدوية تساعد على الشفاء من هذا المرض ام لا ؟؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000042,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00006,ahd5k_02124,382451,حساسية,question,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000043,ent_diseasecondition_341d574d8fe5,التهاب اللوزتين,DiseaseCondition,chunk_00006,ahd5k_02124,382451,تهاب لوز,question,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000044,ent_symptom_66c2e60e8e52,نشفان,Symptom,chunk_00006,ahd5k_02124,382451,نشفان,question,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.800
men_llm_0000045,ent_treatment_cbf0b7b10d4f,تجنب المنتجات التي تحوي جلوتين,Treatment,chunk_00006,ahd5k_00812,393214,تجنب المنتجات التي تحوي جلوتين,answer,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000046,ent_treatment_e341edad55d8,تقوية المناعة,Treatment,chunk_00006,ahd5k_02124,382451,تقوية المناعة,answer,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900
men_llm_0000047,ent_treatment_c48b0529e8b1,شراب ECHINACEA,Treatment,chunk_00006,ahd5k_02124,382451,شراب ECHINACEA,answer,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000048,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00007,ahd5k_01418,787042,حساسية,question,هل هناك اسباب للحساسية من الباراسيتمول,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000049,ent_symptom_7b839cc80688,ضيق تنفس,Symptom,chunk_00007,ahd5k_02329,327080,ضيق بلتنفس,question,اعاني من ضيق بلتنفس عند حدوث الغبار في الجو,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000050,ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,chunk_00007,ahd5k_04920,375608,مضاد هيستامين,answer,ابدا مضاد هيستامين مره الى مرتين باليوم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000051,ent_test_433492431144,تحليل الحساسية,Test,chunk_00007,ahd5k_02482,370620,نتيجة الحساسة,question,نتيجة الحساسة عندي هي IMMUNOLOGIE ige 183 UI/ml,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000052,ent_diseasecondition_adcc5a085807,الجلد المترهل,DiseaseCondition,chunk_00008,ahd5k_01190,785346,الجلد المترهل,question,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000053,ent_treatment_8f18706cd796,الرياضة,Treatment,chunk_00008,ahd5k_01190,785346,الرياضة,answer,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000054,ent_treatment_5b2a681074cf,الجراحة التجميلية,Treatment,chunk_00008,ahd5k_01190,785346,الجراحة التجميلية,answer,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000055,ent_treatment_550808b4296e,الكركم,Treatment,chunk_00008,ahd5k_03805,792923,الكركم,answer,يستعمل الكركم لتفتيح البشرة حيث انة يضفي اشراقة وحيوية على البشرة، و يستخدم للوجة والجسم بخلطة مع مواد اخرى كماء الورد و القشدة او الكريمة.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000056,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00009,ahd5k_00614,768114,حساسية,question,هل عشبة الزعرور تتعارض مع مميعات الدم كالأسبرين وتؤدي لنتيجة سلبية ؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000057,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,chunk_00009,ahd5k_00614,768114,مرضى القلب,answer,وجد ان هذه العشبة تزيد من سيولة الدم في المرضى الذين يأخذون الاسبرين او البلافكس او الورفارين وهم الغالبية العظمى من مرضى القلب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700
men_llm_0000058,ent_symptom_f4cf885a0447,سعال,Symptom,chunk_00009,ahd5k_00883,771623,الصداع,answer,نعم فقد أكدالأستاذ المساعد للتغذية الإكلينيكية في كلية العلوم الطبية التطبيقية بجامعة الملك سعود بالرياض الدكتور “عبدالعزيز بن محمد العثمان” أن مشروبات الطاقة تساهم في ارتفاع ضغط القلب، وزيادة نسبة السكر في الدم والأرق والصداع,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700
men_llm_0000059,ent_treatment_b67abf88ef76,حجامة,Treatment,chunk_00009,ahd5k_03307,770478,حجامة,question,ماهي نصائحك لمن عمل الحجامة بعد يوم؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000060,ent_test_433492431144,تحليل الحساسية,Test,chunk_00009,ahd5k_00614,768114,تسمم الجسم,answer,وكذلك تزيد من احتمالية تسمم الجسم بدواء ( DIGOXIN ) وذلك عند تفاعله مع هذه العشبة تزداد معدلاته في الدم بصورة عالية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700
men_llm_0000061,ent_diseasecondition_341d574d8fe5,التهاب اللوزتين,DiseaseCondition,chunk_00010,ahd5k_02465,771895,التهاب اللوزتين,question,هل يوجد علاج بالطب البديل لعلاج التهاب اللوزتين,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000062,ent_diseasecondition_c8b276e9a67b,التهاب المفاصل,DiseaseCondition,chunk_00010,ahd5k_04473,22465,التهاب المفاصل,answer,الحد من التهاب المفاصل,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000063,ent_diseasecondition_c8b276e9a67b,التهاب المفاصل,DiseaseCondition,chunk_00010,ahd5k_04473,22465,التهاب المفاصل,answer,لعلاج ألم المفاصل أو التهاب المفاصل,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000064,ent_symptom_202dedeff038,ألم المفاصل,Symptom,chunk_00010,ahd5k_04473,22465,ألم المفاصل,answer,التخفيف من ألم المفاصل,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900
men_llm_0000065,ent_symptom_202dedeff038,ألم المفاصل,Symptom,chunk_00010,ahd5k_04473,22465,الم المفاصل,answer,من فوائد زيت الحنظل للمفاصل أبين لك الآتي: ... التخفيف من الم المفاصل,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900
men_llm_0000066,ent_treatment_b036b1170044,زيت الحنظل,Treatment,chunk_00010,ahd5k_04473,22465,زيت الحنظل,answer,يستخرج زيت الحنظل من نبات الحنظل الصحراوي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000067,ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,chunk_00011,ahd5k_03104,767363,فترة الحمل,answer,"لا ينبغي استخدام زيت الحلبة قبل استشارة الطبيب , ومن الأفضل تجنب استخدامه أثناء فترة الحمل.",llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000068,ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,chunk_00011,ahd5k_04697,767175,حامل,question,انا متزوجة وعمري 29 سنة ولدي ثلاثة اطفال اعاني من الدوالي في ساق قدمي بدت الدوالي عندي وانا حامل بالطفل الثاني وازدادت مع حملي في الطفل الثالث ....,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000069,ent_diseasecondition_c4254d272647,دوالي الساقين,DiseaseCondition,chunk_00011,ahd5k_04697,767175,دوالي الساقين,answer,دوالي الساقين : هي تضخم الأوردة السطحية وقد تحدث في أي مكان من الجسم ولكنها أكثر انتشارا في الساقين .,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000070,ent_diseasecondition_c4254d272647,دوالي الساقين,DiseaseCondition,chunk_00011,ahd5k_04697,767175,دوالي,question,انا متزوجة وعمري 29 سنة ولدي ثلاثة اطفال اعاني من الدوالي في ساق قدمي بدت الدوالي عندي وانا حامل بالطفل الثاني وازدادت مع حملي في الطفل الثالث ....,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000071,ent_treatment_24d83b12af40,زيت الحلبة,Treatment,chunk_00011,ahd5k_03104,767363,زيت الحلبة,question,ما هى فوائد زيت الحلبه للجسم اذا استعمل شربا مع الماء شكرا,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000072,ent_treatment_24d83b12af40,زيت الحلبة,Treatment,chunk_00011,ahd5k_03104,767363,زيت الحلبة,answer,"فوائد زيت الحلبة للجسم: 1. فوائد زيت الحلبة للشعر: زيت الحلبة له تأثير قوي على نمو الشعر ويحد من الصلع وتساقط الشعر والقشور , فهو مصدر جيد لحمض النيكوتينيك والبروتين.",llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000073,ent_treatment_6528bb63fe9c,فينوروتون,Treatment,chunk_00011,ahd5k_04697,767175,فينوروتون,answer,العلاج : 1-- تنفيذ النصائح السابقة وتناول علاج بسيط مثل فينوروتون,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000074,ent_treatment_f5d29134c577,العلاج بالليزر,Treatment,chunk_00011,ahd5k_04697,767175,العلاج بالليزر,answer,6--وافضل طريقة هي العلاج بالليزر حيث أثبتت الأبحاث العالمية نجاحا يفوق الجراحات الأخرى .,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000075,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,chunk_00012,ahd5k_04015,754522,الدورة الشهرية,answer,تنظيم الدورة الشهرية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000076,ent_diseasecondition_f870ba2ab6eb,الدورة الشهرية,DiseaseCondition,chunk_00012,ahd5k_04015,754522,الطمث,question,نزول الطمث,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000077,ent_treatment_fd42eb263b89,اكليل الجبل,Treatment,chunk_00012,ahd5k_04015,754522,اكليل الجبل,answer,اكليل الجبل,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000078,ent_treatment_b792fc31b8bb,الميرمية,Treatment,chunk_00012,ahd5k_04015,754522,الميرمية,answer,الميرمية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000079,ent_treatment_c91b15de897a,البقدونس,Treatment,chunk_00012,ahd5k_04015,754522,البقدونس,answer,البقدونس,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000080,ent_treatment_c2ead061e2d0,حشيشة الملاك,Treatment,chunk_00012,ahd5k_04015,754522,حشيشة الملاك,answer,حشيشة الملاك,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000081,ent_treatment_fc32e4036e25,البردقوش,Treatment,chunk_00012,ahd5k_04015,754522,البردقوش,answer,البردقوش,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000082,ent_treatment_895d0d591838,القرفة,Treatment,chunk_00012,ahd5k_04015,754522,القرفة,answer,القرفة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000083,ent_treatment_639e625fe991,الزنجبيل,Treatment,chunk_00012,ahd5k_04015,754522,الزنجبيل,answer,الزنجبيل,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000084,ent_treatment_2cb98decc0ee,الكرفس,Treatment,chunk_00012,ahd5k_04015,754522,الكرفس,answer,الكرفس,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000085,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00013,ahd5k_02556,788199,حساسية,answer,تجبنه في حال المعاناة من حساسية تجاه البابونج,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000086,ent_diseasecondition_7abdd04c7114,الحمل,DiseaseCondition,chunk_00013,ahd5k_02556,788199,حمل,answer,يجب تجنب الإفراط في استخدامه في حال الحمل,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900
men_llm_0000087,ent_treatment_91cb532e35c6,بابونج,Treatment,chunk_00013,ahd5k_02556,788199,بابونج,question,كيف يحضر شراب البابونج,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000088,ent_treatment_91cb532e35c6,بابونج,Treatment,chunk_00013,ahd5k_02556,788199,البابونج,answer,ينصح بتغطية كوب البابونج بعد إضافة الماء,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000089,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,chunk_00014,ahd5k_00887,25538,ربو,answer,التخفيف من أعراض الربو وأمراض الجهاز التنفسي.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000090,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00014,ahd5k_00887,25538,حساسية,answer,علاج حساسية الأنف والتهاب الجيوب الأنفية.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000091,ent_symptom_b754f1a1e5a8,صداع,Symptom,chunk_00014,ahd5k_00887,25538,صداع,answer,التخفيف من أعراض الصداع والصداع النصفي.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000092,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,chunk_00014,ahd5k_00887,25538,التهاب,answer,علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي.,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000093,ent_diseasecondition_380db6d92562,مرض السكري,DiseaseCondition,chunk_00014,ahd5k_01358,776142,مرض السكر,question,ما هو ابسط علاج لمرض السكر بدون كيماويات؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000094,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,chunk_00014,ahd5k_00887,25538,زيت الحبة السوداء,question,ما هي فوائد زيت حبة السوداء أو ما يعرف بحبة البركة، وهل يمكن تناولها بشكل يومي؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000095,ent_treatment_fc32e4036e25,البردقوش,Treatment,chunk_00014,ahd5k_01330,784660,البردقوش,question,ماهو البردقوش وهل يوجد باليمن وهل يزيد من عدد الحيوانات المنويه؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
