qa_id,source_row_number,split,category,category_en,question,answer,question_norm,answer_norm,qa_char_len
ahd5k_00085,425888,graph_train,أمراض القلب و الشرايين,Cardiovascular disease,ماهو المعدل الطبيعي لضغط الدم لرجل عمرة في 79 سنة وماهو هو عدد نبضات القلب المثالي بالنسبة له .,حسب عوامل الخطورة الاخرى كالسكري و الكلى. اذا لانوجد أمراض مصاحبة ١٤٠-٨٠ و ضربات القلب تقريبا من ٦٥-٨٥ لكن ممكن ان نقبل ضربات قلب اقل او اكثر,ماهو المعدل الطبيعي لضغط الدم لرجل عمره في 79 سنه وماهو هو عدد نبضات القلب المثالي بالنسبه له .,حسب عوامل الخطوره الاخري كالسكري و الكلي. اذا لانوجد امراض مصاحبه 140-80 و ضربات القلب تقريبا من 65-85 لكن ممكن ان نقبل ضربات قلب اقل او اكثر,236
ahd5k_00088,786887,graph_train,علم التشريح,Anatomy,هل يوجد علاج دوائى او طبيعي لعلاج انفراص بالفاصل العجزي القطني,اذا كان هذا الانقراص غير مسبب لضغط على الجذور العصبية يمكن العلاج من خلال جلسات علاج فيزيائي ام اذا كان ضاغطا فالجراحة هي الحل كذل في حال تضيق قناة النخاع المصاحبة لانزلاق غضروفي,هل يوجد علاج دوايي او طبيعي لعلاج انفراص بالفاصل العجزي القطني,اذا كان هذا الانقراص غير مسبب لضغط علي الجذور العصبيه يمكن العلاج من خلال جلسات علاج فيزيايي ام اذا كان ضاغطا فالجراحه هي الحل كذل في حال تضيق قناه النخاع المصاحبه لانزلاق غضروفي,240
ahd5k_00114,787413,graph_train,تشخيص,Diagnosis,منذ دخول فصل الشتاء انتابتني بعض الاعراض ولاسيما في الرجل اليسري اشعر بالم في المفصل ودلك عند ثني الرجل يإما بالجلوس اوالقعود وعندما احاول الوقوف ارجع رجلي بصعوبة لمكانها الطبيعي...,"ما تعانين منه هو عبارة عن الم ميكانيكي اي وقت الحركة فقط ., لا وجود له مع الراحة , ينصح لك عمل صورة اشعة عادية للحوض وبها يتضح وضع راس الفخذ من الجهتين . اذا كانت الامور سليمة عليك بالسباحة وعمل جلسات علاج طبيعي وتليين حركة مفصل الفخذ بالنوم مستلقية على ظهرك وعمل حركة الدراجة خمس دقائق يوميا",منذ دخول فصل الشتاء انتابتني بعض الاعراض ولاسيما في الرجل اليسري اشعر بالم في المفصل ودلك عند ثني الرجل ياما بالجلوس اوالقعود وعندما احاول الوقوف ارجع رجلي بصعوبه لمكانها الطبيعي.,"ما تعانين منه هو عباره عن الم ميكانيكي اي وقت الحركه فقط ., لا وجود له مع الراحه , ينصح لك عمل صوره اشعه عاديه للحوض وبها يتضح وضع راس الفخذ من الجهتين . اذا كانت الامور سليمه عليك بالسباحه وعمل جلسات علاج طبيعي وتليين حركه مفصل الفخذ بالنوم مستلقيه علي ظهرك وعمل حركه الدراجه خمس دقايق يوميا",473
ahd5k_00127,803173,graph_train,علم الأجنة,Embryology,هل ادوية قاطع الشهية مضرة؟ وهل تؤدي الى العقم؟ مثلا (ماجريم),من المعروف أن أدوية تخسيس الوزن بعد التوقف عن تناولها يعود الوزن الى ما كان عليه سابفا ، يعني فائدتها مؤقتة ، ولها تأثيرات جانبية كالشلل واالإمساك واعتلال المفاصل كما لها تأثيرات على القلب والاعصاب والسرطان ، لذا لا ننصحك باستعمال هذه الحبوب . وأفضل طريقة لتخسيس الوزن هو المواظبة على التمارين الرياضية واتباع حمية غذائية قليلة السعرات وليس الحرمان من الغداء او العشاء ، يمكنك الإعتماد على الخضروات الخضراء بشكل أساسي في طعامك وتجنب الدهون والتقليل من الدهون والسكريات,هل ادويه قاطع الشهيه مضره? وهل تودي الي العقم? مثلا (ماجريم),"من المعروف ان ادويه تخسيس الوزن بعد التوقف عن تناولها يعود الوزن الي ما كان عليه سابفا , يعني فايدتها موقته , ولها تاثيرات جانبيه كالشلل واالامساك واعتلال المفاصل كما لها تاثيرات علي القلب والاعصاب والسرطان , لذا لا ننصحك باستعمال هذه الحبوب . وافضل طريقه لتخسيس الوزن هو المواظبه علي التمارين الرياضيه واتباع حميه غذاييه قليله السعرات وليس الحرمان من الغداء او العشاء , يمكنك الاعتماد علي الخضروات الخضراء بشكل اساسي في طعامك وتجنب الدهون والتقليل من الدهون والسكريات",528
ahd5k_00133,376061,graph_train,أرجية حساسية,Allergic allergy,تصاص كلينيل نازال سبراي قلو بديل لان ما عم لاقي منو مع العلم عندي تحسس انفي موسمي بيتغير حسب المواسم,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,تصاص كلينيل نازال سبراي قلو بديل لان ما عم لاقي منو مع العلم عندي تحسس انفي موسمي بيتغير حسب المواسم,بدايل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,146
ahd5k_00140,795620,graph_train,تشخيص,Diagnosis,هل يمكن ان تحس المرأة بوجع طفيف على مستوى الثدي أثناء الدورة الشرية؟ مع العلم ان الألم على مستوى الثدي الايسر؟,"يمكن ان يحدث هذا قبل او اثناء الدوره الشهريه نتيجه التغييرات الهرمونيه التي تحدث في هذه الاثناء, ولكن يختفي هذا الالم بعد انتهاء الدوره. لذلك اذا استمر الالم انصحك بمراجعه طبيبك للفحص.",هل يمكن ان تحس المراه بوجع طفيف علي مستوي الثدي اثناء الدوره الشريه? مع العلم ان الالم علي مستوي الثدي الايسر?,"يمكن ان يحدث هذا قبل او اثناء الدوره الشهريه نتيجه التغييرات الهرمونيه التي تحدث في هذه الاثناء, ولكن يختفي هذا الالم بعد انتهاء الدوره. لذلك اذا استمر الالم انصحك بمراجعه طبيبك للفحص.",294
ahd5k_00142,771796,graph_train,تشخيص,Diagnosis,السلام عليكم .. أعاني ما يقارب السنتين من تعرجات ( فطريات ) واضحة في لساني من الجهة اليمنى واليسرى بجوار منطقة الطحن مما سببت لي إحراج أثناء حديثي مع الناس...,عليك بالذهاب الى طبيب اخصائي وليس الى مستةصف لمعرفة التشخيص الحقيقي هل هو فطريات او نقص فيتامبناتك او اي شرء آخر,السلام عليكم . اعاني ما يقارب السنتين من تعرجات ( فطريات ) واضحه في لساني من الجهه اليمني واليسري بجوار منطقه الطحن مما سببت لي احراج اثناء حديثي مع الناس.,عليك بالذهاب الي طبيب اخصايي وليس الي مستهصف لمعرفه التشخيص الحقيقي هل هو فطريات او نقص فيتامبناتك او اي شرء اخر,270
ahd5k_00149,765465,graph_train,الطب البديل,Alternative medicine,سؤال هو فى اعشاب حاليا مفعول الكبروتين عالى للشعر بنفس نتيجة الكيراتين -- البروتين -- البيوثيرابي لان تكلفتهم عالية جدا واختى شعرها سئ جدا وهايش ومجهد ارجو الرد ولك منا...,علاج هيشان الشعر هو استخدام كريم التصفيف بالزيوت الطبيعية وهي زيت الزيتون وزيت الخروع وزيت اللوز مخلوطة مع بعضها البعض ثم يدهن به الشعر من الجذور ويدلك دلكا خفيفا و لتقصف الشعر أفضل شامبو هو شامبو الاطفال أو شامبو غني بالبروتينات مثل بانتين ، واستخدمي البلسم عند كل غسلة ولكن لا تضعيه على جذور الشعر وتجنبي قدر الامكان تجفيف الشعر بالسشوار وإذا كان لا بد من ذلك فليكن هواء متوسط الحرارة .,سوال هو في اعشاب حاليا مفعول الكبروتين عالي للشعر بنفس نتيجه الكيراتين -- البروتين -- البيوثيرابي لان تكلفتهم عاليه جدا واختي شعرها سي جدا وهايش ومجهد ارجو الرد ولك منا.,"علاج هيشان الشعر هو استخدام كريم التصفيف بالزيوت الطبيعيه وهي زيت الزيتون وزيت الخروع وزيت اللوز مخلوطه مع بعضها البعض ثم يدهن به الشعر من الجذور ويدلك دلكا خفيفا و لتقصف الشعر افضل شامبو هو شامبو الاطفال او شامبو غني بالبروتينات مثل بانتين , واستخدمي البلسم عند كل غسله ولكن لا تضعيه علي جذور الشعر وتجنبي قدر الامكان تجفيف الشعر بالسشوار واذا كان لا بد من ذلك فليكن هواء متوسط الحراره .",559
ahd5k_00162,650715,graph_train,صحة الطفل,Child health,بسبب ظروف اجتماعية عصيبه لدى فقد تركت ابنى مع والده بعد شهر من ولادته على ان اعود بعد ثلاثة اشهر ويقول والده انه ينظر اليه نظرات عتاب دائما. كيف يؤثر...,في هذا العمر سيعود كل شئ لطبيعته بالتدريج عند رجوعك-,بسبب ظروف اجتماعيه عصيبه لدي فقد تركت ابني مع والده بعد شهر من ولادته علي ان اعود بعد ثلاثه اشهر ويقول والده انه ينظر اليه نظرات عتاب دايما. كيف يوثر.,في هذا العمر سيعود كل شي لطبيعته بالتدريج عند رجوعك-,204
ahd5k_00171,796753,graph_train,صحة المسنين,Elderly health,امرأة تريد طرقة للتخلص من الكوليسترول في الجسم - وعمرها 54 سنة,أولاً يتوجب معرفة نوع الكوليسترول المرتفع لديها وهل يصاحبه ارتفاع في الدهون الثلاثية أم لا وهل الكوليسترول الحميد منخفض ، جميع هذه المعلومات يمكن الحصول عليها بعد فحص الدهون لتحديد نوع الزيادة ومقدارها ، كذلك يتطلب معرفة ما اذا كان وزنها طبيعي أم لا ، وهل لديها أي مرض مزمن، أما بشكل عام فطرق تخفيضه بدون دواء تعتمد في الدرجة الأولى على الجهد والتمارين خاصة المشي وعلى الحمية وتجنب الدهن الجيواني والاألبان خاصة الجبن والطعام المقلي كذلك تجنب الأغذية التي تحتوي على أحشاء الحيونات والكبد والطحال، والاستعاضة عنها بالأسماك والخضرة والفواكه الطازجة وزيت الزيتون,امراه تريد طرقه للتخلص من الكوليسترول في الجسم - وعمرها 54 سنه,"اولا يتوجب معرفه نوع الكوليسترول المرتفع لديها وهل يصاحبه ارتفاع في الدهون الثلاثيه ام لا وهل الكوليسترول الحميد منخفض , جميع هذه المعلومات يمكن الحصول عليها بعد فحص الدهون لتحديد نوع الزياده ومقدارها , كذلك يتطلب معرفه ما اذا كان وزنها طبيعي ام لا , وهل لديها اي مرض مزمن, اما بشكل عام فطرق تخفيضه بدون دواء تعتمد في الدرجه الاولي علي الجهد والتمارين خاصه المشي وعلي الحميه وتجنب الدهن الجيواني والاالبان خاصه الجبن والطعام المقلي كذلك تجنب الاغذيه التي تحتوي علي احشاء الحيونات والكبد والطحال, والاستعاضه عنها بالاسماك والخضره والفواكه الطازجه وزيت الزيتون",621
ahd5k_00189,777734,graph_train,أمراض القلب و الشرايين,Cardiovascular disease,ماهي اسباب الضربات الهاجرة في القلب وكيف يمكن علاجها بدون اخذ حبوب الاندرال لاني اخذته ولم تذهب هذه الضربات علما ان عمري 45 سنة افيدوني؟,أسبابها كثيرة وتختلف من شخص لآخر، فمن الممكن أن تكون أحد الأعراض الثانوية لإضطراب آخر يتعلق بالغدة الدرقية أو بفقر الدم أوغيره من الأسباب الكثيرة والمتعددة، وإذا كان لا يوجد هناك أي علة أو سبب واضح يفسر حدوثها، يبقى الإحتمال أن تكون أولية وهذه عدة أنواع أيضاً وعلاجها مرتبط بالتشخيص الدقيق لفئتها من خلال الرسم التخطيطي للقلب، وفي أغلب الحلات تكون فوق أذينية ولا تشكل خطورة ويتم السيطرة عليها بدواء يتناسب مع نوعها وسببها والإندرال يمكن أن يُساعد في السيطرة عليها في أحيان كثيرة، لكن في بعض الحالات قد يكون من المفيد استخدام أدوية أخرى وفقاً لنوعها وحدتها والأعراض المرافقة وحسب درجة الاستجابة الدوائية لدى الشخص وظروفه الصحية الأخرى، علماً أن في بعض الحالات لا تحتاج لأي علاج لا سيما إذا لم يكن يرافقها أعراض أخرى أو أنها قليلة ولا تسبب إزعاج مهم للمريض,ماهي اسباب الضربات الهاجره في القلب وكيف يمكن علاجها بدون اخذ حبوب الاندرال لاني اخذته ولم تذهب هذه الضربات علما ان عمري 45 سنه افيدوني?,"اسبابها كثيره وتختلف من شخص لاخر, فمن الممكن ان تكون احد الاعراض الثانويه لاضطراب اخر يتعلق بالغده الدرقيه او بفقر الدم اوغيره من الاسباب الكثيره والمتعدده, واذا كان لا يوجد هناك اي عله او سبب واضح يفسر حدوثها, يبقي الاحتمال ان تكون اوليه وهذه عده انواع ايضا وعلاجها مرتبط بالتشخيص الدقيق لفيتها من خلال الرسم التخطيطي للقلب, وفي اغلب الحلات تكون فوق اذينيه ولا تشكل خطوره ويتم السيطره عليها بدواء يتناسب مع نوعها وسببها والاندرال يمكن ان يساعد في السيطره عليها في احيان كثيره, لكن في بعض الحالات قد يكون من المفيد استخدام ادويه اخري وفقا لنوعها وحدتها والاعراض المرافقه وحسب درجه الاستجابه الدواييه لدي الشخص وظروفه الصحيه الاخري, علما ان في بعض الحالات لا تحتاج لاي علاج لا سيما اذا لم يكن يرافقها اعراض اخري او انها قليله ولا تسبب ازعاج مهم للمريض",890
ahd5k_00203,509892,graph_train,أمراض الدم,Blood,ابني عمره ١٠سنه يعاني من نقص الصفائح itpتم اعطائه ivigمرتين وتم اعطائه كرتزون وحاليا اضيف له علاج الروتيكسيماب اول جرعه ونستمر عليها لمده شهر كل اسبوع مره هل الروتكسيماب يفيده,نعم مفيد لة ويجب الاستمرار فى العلاج و متابعة الطبيب المعالج,ابني عمره 10سنه يعاني من نقص الصفايح itpتم اعطايه ivigمرتين وتم اعطايه كرتزون وحاليا اضيف له علاج الروتيكسيماب اول جرعه ونستمر عليها لمده شهر كل اسبوع مره هل الروتكسيماب يفيده,نعم مفيد له ويجب الاستمرار في العلاج و متابعه الطبيب المعالج,235
ahd5k_00209,392462,graph_train,أمراض الأسنان,Dental,السلام عليكم انا اعاني من وجود خطوط سوداء خفيفة على جوانب اضراسي وصولا الى انيابي و يزداد دالك فلا اضن انه تسوس ارجوك اريد الحل سريعا,التصبغات السوداء متنوعة المصدر منها ما هو خارجي. و منها ما هو داخلي ... الاحتمالات هنا عديدة منها التدخين ... الطعام و الشراب ... ادوية الحديد ... مضمضة الكلورهيكسيدين ... الترسبات الجيرية ... الخ .... التسوس يكونه اسود اللون لكن يكون هناك نخر او تاكل في سطح السن,السلام عليكم انا اعاني من وجود خطوط سوداء خفيفه علي جوانب اضراسي وصولا الي انيابي و يزداد دالك فلا اضن انه تسوس ارجوك اريد الحل سريعا,التصبغات السوداء متنوعه المصدر منها ما هو خارجي. و منها ما هو داخلي . الاحتمالات هنا عديده منها التدخين . الطعام و الشراب . ادويه الحديد . مضمضه الكلورهيكسيدين . الترسبات الجيريه . الخ . التسوس يكونه اسود اللون لكن يكون هناك نخر او تاكل في سطح السن,396
ahd5k_00222,777470,graph_train,تشخيص,Diagnosis,اختي عمرها 17 ومنذ سنتين تقريبا اصبحت تصاب بالام حادة في الراس وعندما تصاب بها تشعر بنض سريع وقوي جدا في الشرايين الموجودة في منقطة جوانب الجبهة ما ثشخيصكم لما...,على الاغلب هذا شقيقة يجب اجراء فحص طبي لنفي اي سبب اخر للصداع و من ثم يمكن اخذ المسكنات مثل الباندول فولت فاست,اختي عمرها 17 ومنذ سنتين تقريبا اصبحت تصاب بالام حاده في الراس وعندما تصاب بها تشعر بنض سريع وقوي جدا في الشرايين الموجوده في منقطه جوانب الجبهه ما ثشخيصكم لما.,علي الاغلب هذا شقيقه يجب اجراء فحص طبي لنفي اي سبب اخر للصداع و من ثم يمكن اخذ المسكنات مثل الباندول فولت فاست,272
ahd5k_00230,804638,graph_train,علم الأجنة,Embryology,في أي شهر من أشهر الحمل يتم تكوين عظام الجنين,في نهاية الاسبوع السادس يبدأ الجنين بتكوين العمود الفقري ويكون صغير جدا لا يزيد طوله عن 2/1سم.,في اي شهر من اشهر الحمل يتم تكوين عظام الجنين,في نهايه الاسبوع السادس يبدا الجنين بتكوين العمود الفقري ويكون صغير جدا لا يزيد طوله عن 2/1سم.,139
ahd5k_00235,765015,graph_train,إسعاف أولي,First aid,كيف انقذ شخص تم وقوف قلبه,يستخدم تدليك القلب في اللحظات الأولى من توقف القلب، أو يمكن استعمال الصدمة الكهربائية. وإذا تأخر الوقت فيرحمه الله.راجع مقالات الرسعاف الأولي في المقالات.,كيف انقذ شخص تم وقوف قلبه,"يستخدم تدليك القلب في اللحظات الاولي من توقف القلب, او يمكن استعمال الصدمه الكهرباييه. واذا تاخر الوقت فيرحمه الله.راجع مقالات الرسعاف الاولي في المقالات.",179
ahd5k_00237,343593,graph_train,أمراض القلب و الشرايين,Cardiovascular disease,السلام عليكم، ما هو الفرق بين ضغط الدم الخاص بالجسم والضغط الخاص بالعينين؟ من فضلكم تشرحولي بالتفصيل,لايوجد علاقة إجمالا,"السلام عليكم, ما هو الفرق بين ضغط الدم الخاص بالجسم والضغط الخاص بالعينين? من فضلكم تشرحولي بالتفصيل",لايوجد علاقه اجمالا,119
ahd5k_00255,460646,graph_train,أمراض باطنية,Esoteric,كيف اعالج تضيق القنوات الموجودة داخل الكبد عند الاطفال,غالبا يحتاج إلى عمل منظار قنوات مرارية الف سلامة,كيف اعالج تضيق القنوات الموجوده داخل الكبد عند الاطفال,غالبا يحتاج الي عمل منظار قنوات مراريه الف سلامه,102
ahd5k_00261,808368,graph_train,علم التشريح,Anatomy,اشعر بتدلى الخصيتين بشكل غير طبيعى لدرجة انه يؤثر على طول القضيب اثناء الارتخاء ويوجد بكيس الصفن عروق كثيره ولكنها لا تؤلمنى ما سبب هذه الحالة ارجو الاجابة,هي في الغالب دوالي الخصية. فاذهب إلى اختصاصي بالجراحة أو المسالك البولية واستشره. وراجع دوالي الخصية.,اشعر بتدلي الخصيتين بشكل غير طبيعي لدرجه انه يوثر علي طول القضيب اثناء الارتخاء ويوجد بكيس الصفن عروق كثيره ولكنها لا تولمني ما سبب هذه الحاله ارجو الاجابه,هي في الغالب دوالي الخصيه. فاذهب الي اختصاصي بالجراحه او المسالك البوليه واستشره. وراجع دوالي الخصيه.,256
ahd5k_00291,806401,graph_train,علم التشريح,Anatomy,مالمقصود باللمف,اللمف سائل شفاف، يميل لونه إلى الصفرة يشبه في تركيبه تركيب الدم إلا أنّه لا يحتوي على كرات دم حمراء بل كرات دم بيضاء. يتكون من بقايا السائل النسيجي وجزيئات البروتين والكريات البيضاء وبعض مكونات الجهاز المناعي الأخرى يساهم في نقل الدسم من المعي الدقيق إلى القلب.,مالمقصود باللمف,"اللمف سايل شفاف, يميل لونه الي الصفره يشبه في تركيبه تركيب الدم الا انه لا يحتوي علي كرات دم حمراء بل كرات دم بيضاء. يتكون من بقايا السايل النسيجي وجزييات البروتين والكريات البيضاء وبعض مكونات الجهاز المناعي الاخري يساهم في نقل الدسم من المعي الدقيق الي القلب.",276
