cohort,query_id,query,failure_class,confidence,requires_manual_review,strong_equivalent_count,borderline_count,strongest_answer_similarity,strongest_question_similarity,strongest_scenario_score,original_question_rows_excluded,fts_candidates,top_oracle_qa_id,top_oracle_question,top_oracle_answer,top_oracle_retrieved_by_current_pipeline,latency_ms
ahd_reference,evalv1_037,تناولت matador 750 لمده 15 وبعدها اصبت باسهال و تعب و نقص قلق والم فی المفاصل تغیر نضام غذائی. اجریت تحلیل البراز سلیم انا اعانی.فی.3.اشهر و نقص فی.الوزن کبیر و...,equivalent_evidence_exists_retriever_miss,medium,True,3,10,0.895657,0.830678,0.58,0,50,ahdqa_0524032,أتضايق من كل أنواع الطعام أشعر بأن بطني ينتفخ بسرعة عدا عن ذلك ازدياد مرات التبرز وميلها للإسهال ، أتناول دواء ريلاكسون حيث أعاني من ضيق تنفس وتشنج عضلي,"أظن بانك تعانين من حالة اختلال بين البكتيريا المفيدة و البكتيريا الضارة في الأمعاء .
بذلك تعانين من عسر الهضم .
استشيري طبيبك بشأن أخذ كبسولات Probiotics حبة قبل النوم , من أجل التعويض عن نقص البكتيريا المفيدة في الأمعاء .",False,17785.698
ahd_reference,evalv1_040,. خصيتي لا تاخذالشكل الطبيعي فهي ليست منتفخة كالكرة . بل اغلب الوقت متدلية جدا .احيانا كيس الصفن يتمدد ولايوجد به اي انتفاخ وتظهر الخصيتين بوضوح احيانا تنكمش الخصية فتصبح...,only_broad_or_mismatched_evidence_exists,low,True,0,1,0.858895,0.869936,0.305,0,50,ahdqa_0788687,عن أنني اعاني من انكماش في كيس الصفن وفي بعض الاحيان يكون عاديآ فما السبب شكرآ,هذا يعتمد على درجة الحرارة الخارجية، وهو وسيلة دفاعية للجسم للمحافظة على حرارة الخصية. ولكن ما دام يكون أحياناً طبيعياً، فلا تقلق.,False,14622.243
ahd_reference,evalv1_041,ما هو علاج حمو الفم ( بقعة بيضاء في المنتصف وشديدة الأحمرار من الاطراف ) اعاني منها من ٤ أيام أشعر بتعب شديد و ألم ؟!,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.879307,0.834828,0.5425,0,50,ahdqa_0308580,قبل ايام ظهرت بعض البقع البيضاء على اللثة مع الم في اللثة هل هو شيئ خطير ؟,"يجب مراجعة الطبيب للكشف اللازم و التشخيص.
لو كانت تلك البقع البيضاء عبارة عن قرح فموية ، فهي تاخذ 7-14 يوم و تختفي تلقائيا ، و ليس ليها أي علاج ولكن العلاج يكون مخدر موضعي لعدم الشعور بالالم منها، و هناك الكثير من مضمضات الفم التي بها هذا المخدر ويمكن استعمالها.",False,19959.886
ahd_reference,evalv1_043,ماذا يعني نقص mcv في تحليل الدم؟ وهل يدل على مشكلة خطيرة؟ علمًا أن النقص بسيط جدًا وباقي تحاليل الدم طبيعية,relevant_evidence_retrieved_but_step10_11_removed,medium,True,12,7,0.929817,0.816375,0.305,0,50,ahdqa_0193227,نتيجة تحليل vgm 77.9 fl هل هي طبيعية,"يدل تحليل vgm الذي يسمى أيضاً على MCV على متوسط حجم كريات الدم الحمراء، وتتراوح النسبة الطبيعية للتحليل بين 80-100 fl لكل خلية، وإن نتيجة vgm 77.9 fl منخفضة عن الحد الطبيعي وقد يدل ذلك على أحد الأسباب التالية:

فقر الدم بعوز الحديد أو أي أنواع أخرى من فقر الدم.
الثلاسيميا.

ينصح بزيارة الطبيب المختص لإجراء المزيد من الفحوصات لتحديد المشكلة إن وجدت والعلاج المناسب.
للمزيد:

اعراض فقر الدم
الإحتياطات اللازمة لإجراء التحاليل Tests Precautions

المرجع:

MCV (Mean Corpuscular Volume)",False,19988.575
ahd_reference,evalv1_045,كيف احلل شخصيتي ودي اعرف شخصيتي حقيقه,only_broad_or_mismatched_evidence_exists,low,True,0,2,0.921283,0.798957,0.6,0,50,ahdqa_0196809,"مرحبًا
انا فتاة واميل للذكورية منذ طفولتي واتمنى دائماً ان يعاملني المجتمع وكأني ذكر، شخصيتي الآن ربما تكون انوثية لكن تصرفاتي العكس لذلك أشعر بالتناقض نسويتي عنيفة.",الانسان يستطيع ان يتعرف على الكثير من خواص ذاته من خلال ملاحظة نفسه ملاحظة موضوعيه ومن خلال تفسير ذلك بحياد وشفافيه وهذا سيساعد بشكل اكبر لو اقترن بالمقاييس والاختبارات النفسية ونتائجها فالشخصية سمات وصفات ولمعرفة خواصها بشكل حقيقي يحتاج الانسان ان يخضع لاختبارات نفسيه يقوم بها تحت اشراف متخصص ليساعده في تحليلها وتفسيرها ومعرفتها .وانت لازلت في مقتبل العمر وهذه المرحلة التي تمرين بها تحتاج منك الى ان يكون لديك رغبة في التغيير والتطويروتحمل المسؤليه عمليا وتحتاجين لتنظيم نمط حياتك والمثابرة عليه بشكل متوازن وعليك الاهتمام بتطوير هواياتك ومهاراتك والتدرب على التعامل مع الضغوط وفقك الله,False,19030.731
ahd_reference,evalv1_054,ما سبب الفشل الكلوي وكيف يتم معالجته والوقاية منة؟,only_broad_or_mismatched_evidence_exists,low,True,0,12,0.893197,0.873048,0.805,0,50,ahdqa_0462475,سبب الفشل الكلوي,هذا سؤال كبير . باختصار هناك نوعان من الفشل الكلوي حاد ومزمن . الحاد ينشأ من فقدان سوائل الجسم مثل النزيف او الاسهال الشديد او الاستفراغ المستمر أو الحرق الشديد ، تسمم نتيجة تناول بعض الادوية او السموم ، انسداد الحالبين بحصوات مثلا ، او انسداد مجرى البول نتيجة تضيق الاحليل او تضخم البروستاتا ... الخ والمزمن يكون نتيجة لالتهاب مزمن في كبيبات الكلية او ارتفاع ضغط الدم او مرض السكري أو الذئبة الحمراء او الظاهرة الكلوية . وقد ينشأ نتيجة انسداد مجرى البول نتيجة تضخم البروستاتا وغير ذلك من اسباب .,True,12384.534
ahd_reference,evalv1_057,االسلام عليكم انا ذكر عمري22لدي ضمور في النخاعsma3 والان وزني في تزايد وانا امشي بعكازات وللمسافات البعيده بكرسي ما الالات الرياضيه المفيدة في تخفيف وزني وتحسين قدرة عضلاتي وهل مع...,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.86573,0.820567,0.325,0,50,ahdqa_0637625,تمارين تقوية العصب,يمكنك التواصل مع الزميل استشارى الطب الطبيعى على موقع الطبى لشرح المزيد من التفاصيل عن تمارين تقوية الاعصاب,False,8055.426
ahd_reference,evalv1_059,تعرضت لحادث الاصطدام كان من الخلف، سرعه الاصطدام جعلت راسي واعضائي الخلفيه ترتطم بكرسي السائق . هل الارتطام من الخلف يسبب خلل في الكلى او الاعضاء الاخرى؟؟ كيف اتاكد من...,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.895928,0.838328,0.17,0,50,ahdqa_0572757,اعاني من وجع بالمعدة مع شيء متقلص قريب من المعدة، قبل فترة زرت طبيب عام وحكالي معي حصوة بالمرارة اخدت كورسين الام ظهر خفت ولكن ما لزت اعاني من غثيان...,اعمل اشعة تلفزيونية على البطن والحوض للتاكد من التشخيص,False,5501.987
ahd_reference,evalv1_061,السلام عليكم انا من ممارسين العاده السريه وعمري 20 في بعض الأحيان يخرج مني السائل لا اراديا عند التحرك أو في حالة التهيج ما السبب والعلاج,only_broad_or_mismatched_evidence_exists,low,True,0,2,0.903749,0.854092,0.569286,0,50,ahdqa_0740993,"السلام عليكم
بعد القذف يستمر نزول المذي لفترة الساعه او الساعتين هل هذا طبيعي
وانا امارس العاده السرية ..؟",هذا ليس طبيعي! و ربما كان السبب ممارسة العادة السرية، والأفضل لعلاج الحالة ترك العادة السرية، وممارسة الرياضة واستعادة اللياقة البدنية، وقد يكون مفيداً ممارسة تمارين كيغل لتقوية عضلات الحوض.,False,7558.642
ahd_reference,evalv1_063,انا اعيش فى دوله عربيه وذهبت الى الحلاق وجرحنى ومن يومها صابنى الوسواس الى ان دخلت فى مرحله التغرب عن الذات واصبحت اتفحص جسمى كل دقيقه هل هل ممكن الاصابه...,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.879746,0.832981,0.305,0,50,ahdqa_0769042,مارست العلاقة منذ زمن مع شخص لديه تورم واحمرار تحت الابط وسمعت من اعراض الايدز الاولية تضخم الغدة الليمفاوية فهل يشمل الاحمرار ايضا او ممكن يكون التهاب بصيلات الشعر مع...,يا عزيزي اظن ان وسواسك متعب جداً وانصحك كما قلت لك من قبل ان تعمل فحص الايدز لك انت والهدف هو ان تقطع الشك باليقين وتبعد هذا الوسواس عنك لان التفكير به دائماً وخوفك منه سيتعبك ويسبب لك مشاكل نفسية كثيرة والحل بسيط جدا جدا جدا / فقط عليك بعمل الفحص لنفسك وانا متأكد انه ليس هناك اي شيء لكن من الضرورة عمله لكي تقطع هذا الوسواس,False,8488.354
ahd_reference,evalv1_066,دكتور انا من قترة تظهر حب شباب على وجهي ويبقى الاثر واستخدم مقشرات لكن ماتنفع معي ابد وممكن استخدم الزيروكتان -- isotretinoin-- وجهي حار وتظهر بقع حمرا,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.886833,0.824823,0.801923,0,50,ahdqa_0471097,هل استخدام سكيزونكس بشكل متقطع اي عند اللزوم فقط يضر الجسم فى اى شيءج,هذا الدواء لا يستخدم عند الحاجة ويجب ان يؤخذ بوصفة طبية وتحت اشراف طبيب مختص,False,8905.677
ahd_reference,evalv1_072,هل رداء ايليت بادى اليابانى له تاثير فعال فى التخسيس وشد الجسم دون اضرار وماهى افضل كريمات التخسيس الموضعى وطرق تنحيف الوجه و شكرا جزيلا على تعاونكم,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.865604,0.832389,0.675,0,50,ahdqa_0537339,ادويه للتخسيس,ادوية التخسيس لا تنفع بقدر ضررها . عليك باتباع حمية غذائية و عدم تناول النشويات و عدم الاكل قبل النوم باربع ساعات و المشي يوميا,False,9744.996
ahd_reference,evalv1_076,ظهرت ثاليل في وجه بنتي الصغيرة عمرها ٤ سنوات.وتم تشخيصها على انها ثاليل لؤلؤيه.وبعد علاج شهرين بالمراهم وشراب زنك.لم تتحسن وقرر الطبيب العلاج بالحامض...فهل العلاج بالحامض سيترك اثار في مكان...,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.893923,0.82651,0.635714,0,50,ahdqa_0702848,هل يوجد علاج ل filiform wart في الوجه يساعد على اختفائه نهائيا؟,يمكن علاجه بالكي بالتبريد او الليزر,False,19273.196
ahd_reference,evalv1_080,عندي طفلة رضيعة عمرها ٧ شهور شفت اليوم برازها أخضر داكن وقت الصبح و كانت بالليل كل شوي تبكي و ترجع تنام هل في شي خطير ؟,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.908112,0.855839,0.552273,0,50,ahdqa_0081047,اصبح لون البراز مائل لللاخضر الغامق الني يعاني من كحه وعمره خمس شهور,السلام عليكم ورحمه الله وبركاته اختي الكريمه لا البراز الاخضر معناه أن البراز لا يبقي الفترة الكافيه ليتغير ى لونه وده بيحصل مع نزلات البرد أو الاسهال ويتحسن لوحده ولكن لازم من معالجة البرد والله اعلم,False,19954.088
ahd_reference,evalv1_085,اللساني بيحرقني وعليه طبقه سميكه ولونه اصفر منذو خمس سنوات تروح وتيجي وانا تعبان ونفسي في حل,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.870786,0.87216,0.325,0,50,ahdqa_0116530,"اشعر ب لسعه وبثور بيضاء وصفراء في مقدمه اللسان
انا شخص مدخن متزوج",عادة هاد الشكل من اللسان يحصل عند المدخنين بسبب تأثير النيكوتين .. و قد يكون بسبب الفطريات .. ممكن التخلص من البياض بتفريش اللسان مرتان باليوم بفرشاة خاصة به .. بالنسبة للحبوب اللي عاللسان قد تكون بسبب نقص بعض الفيتامينات مثل B12 او وجود فيروس فالافضل مراجعة الطبيب للتاكد,False,10568.121
ahd_reference,evalv1_087,انا فتاه احب الجلوس مع اصدقائي في المدرسه كثرا وانا قريبه من طالبات الفصل ولكن لم استطع التكافؤ مع افراد عائلتي فعند الجلوس معهم اصمت ولا اتكلم وقط اسمع وارى...,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.882642,0.821604,0.539286,0,50,ahdqa_0753060,اسلامكم عليكم ورحمة الله اخوكم من العراق يستنجد بكم وبعد اني ابلغ من العمر49 عام ولديه القالون العصبي وتيهاجته حسب تخصيص الاطباء لحالتي ولكن مشكلتي الان ليس القالون ولكن لديه...,من كلامك يبدو أن السبب في كل ذلك نفسي وهذا يتطلب معاودة أخصائي نفسية للاطلاع على تفاصيل أكثر ومن ثم سيضع لك الخطة العلاجية المناسبة للاكي تتعافى وتعود لحالتك الطبيعية في أسرع وقت,False,10188.059
ahd_reference,evalv1_092,هل ممكن تقسيم الحباية نصفين واخد كل نصف لوحده بدلا من اخد الحباية كلها مرة واحده لصعوبة بلعها بسبب انها كبيرة؟؟,only_broad_or_mismatched_evidence_exists,low,True,0,1,0.887353,0.846024,0.56125,0,50,ahdqa_0204402,هل تقسيم الدواءبالذات الحبوب الى اجزاء يقلل مقدار الجرعة اذا استخدم دواء عبارة عن حبوب والجرعة فرضاً 50 مج ،،، اذا قسمتها الى نصفين واستخدمت نصف هل يعني طبياً استخدام...,انظر الى شكل الحبة، ان كان هناك خط فاصل في المنتصف فيمكنك تقسيمها لكن اذا لم يتواجد هذا الخط فمعنى ذلك انك لو قسمتها لن تنقسم الجرعة الى نصفين لكن تتوزع بشكل عشوائي,True,9714.806
ahd_reference,evalv1_095,انا حامل بالشهر التاسع خلعت رضسين جنب بعض بالفك السفلي قبل ٤ ايام لاكن في الم غير محتمل بالفك و الأذن والعين والراس الدكتور كتبلي فقط بنادول إكسترا,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.885599,0.847317,0.407647,0,50,ahdqa_0446456,انا عملت عملية الناب المنطمر وانتهيت ..لكن اللثه حوالي السن اللي اخرجناه يوجع ولا اقدر اكل من الالم ..هل في وصفه او مسكن لهذا الشي؟!,استخدم مضمضه ماء دافئ بملح بهدوء شديد. واستخدم اي مسكن باراسيتامول مثل البنادول او بنادول اكسترا. الف سلامه للك,False,9763.69
ahd_reference,evalv1_097,ما_هو_علاج_قصر_القامة ?,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.8982,0.820651,0.305,0,50,ahdqa_0763545,ما هي التمارين الافضل لزيادة الطول وهل تحدث فارقاً ونتيجه جيده,"لا تمارين خاصة لزيادة الطول يعتمد الامر على الوراثة وطول الاهل والوضع الهرموني لدى الشاب او الفتاة , اذا كان هناك قصر ملفت للنظر من الضروري زيارة اخصائي غدد صماء وسكري من اجل الفحوصات المخبرية والفحص السريري",False,6681.652
ahd_reference,evalv1_099,"ا والدى عنده ورم بالكبد واتشعب لبورة فى العمود الفقرى حجمها ١ سم فى ١,٥ سم وعملنا ١٠ جلسات اشعاع ذرى واخدناهم ٤ مكثفين وهل ممكن بعد الاشعاع ماخلص بفترة...",only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.868493,0.834153,0.325,0,50,ahdqa_0333102,بس هي سرطانها المستوى الثالث وماتتعالج هرموني ..؟؟ممتنعه لاغلب الحبوب وكل شي ختص بالهرمون ممنوعه منه وسؤالي اسرطان المستوى الثالث الخبيث اذا تم شفاء هل يعود مره ثانيه؟؟,مع السرطان للأسف لا أحد يستطيع أن يعطي أي ضمانات بعدم عودته مهما كانت المرحلة.,False,5808.284
ahd_reference,evalv1_100,السلام عليكم ورحمة الله وبركاته يا دكتر انا العب قوى جري يوميا وقليل العب حديد لو استخدم عقاقير او ابر بناء جسم هل تاثر على الكبد وتسبب امراض اريد ابني...,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.877213,0.842709,0.52375,0,50,ahdqa_0782157,ما هي الطريقه الامنه لتضخيم العضلات علي العلم اني امارس ريا ضه كمال الاجسام واريد وصفه او منشط تكون امنه مائه في المائه وشكرا,افضل وأأمن طريقة هي الغذاء الطبيعي عليك مراجعة اخصائي تغذية لاحتساب طولك ووزنك والجهد الذي تبذله وما يناسب عملك وطريقة حياتك,False,16019.276
entity_gt,entitygtv1_003,قعدت تقريبا سنة ما بقدر امشي لحالي لازم حدا يمسك ايدي لاني كنت عامل عملية لورم على جذع الدماغ انا بداية مرضي كنت بمشي بصعوبة جدا فكنت محتاجة لحدا يساعدني...,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.850702,0.840331,0.445,1,49,ahdqa_0568145,والدتي عمرها 75 سنة تشكوا من عدم قدرتها على الوقوف تشكوا من الركبة وانحناء ظهرها وهي مصابة بالسكر افيدوني بعلاج الركبة يساعدها على النهوض,لمساعدتها على الوقوف عليها استعمال جهاز ( walker) مبدئياً واستشارة اخصائي الطب الطبيعي والتأهيل للمتابعة.,False,19482.879
entity_gt,entitygtv1_004,أحس بنبض قوي في بطني فوق السرة وتحت عظام الصدر ويزيد بعد الأكل وبعد أي جد عضلي مع حرقان ؟؟ ما السبب ؟؟,only_broad_or_mismatched_evidence_exists,low,True,0,1,0.938461,0.860983,0.17,1,49,ahdqa_0773259,السلام عليكم اني عندي حرقه دائما بأعلى المعده او بالمريئ ومن اكل اي اكل فيه حراره او اكل فواكه فيها حموضه مثل الليمون تبدء الحرقه عند نزولها بالمريئ وعندما استعمل...,يبدو أن عندك إلتهاب بسيط في جدار المعدة، والأسباب معظمها غير معروف ، ولكن هناك التدخين وبعض الأدوية مثل الأسبرين ،وتناول الحوامص والحار . العلاج : تناول مضادات الحموضة مثل مالوكس حبة 3مرات مص أو مضغ ، ومضادات الهستامين 2 مثل لانزوبرازول أو أوميبرازول حبة عند النوم ، ومضادات للتقلص ومهدئات مثل ليبراكس أو بوكسيديوم حبة 3مرات يوميا قبل الأكل، ومضاد حيوي لجرثومة الهيليكوباكتر مثل كلاسيد 500مغم مرتين يوميالمدة اسبوعين. وتجنب الأطعمة الحارة والحوامض والمشروبات الغازية والبهارات وزبادة عدد الوجبات وتقليل كمية الأكل ،والأكل ببطء ومضغ الطعام جيدا وتجنب العلكة والدخان ، وعدم الاضطجاع أثناء أو بعد الأكل,False,19158.525
