query_id,query,answerability_label,overall_reliability_score,reliability_score,reliability_label,claim_support_rate,hallucination_rate,mean_support_score,evidence_coverage,relation_confidence,source_reliability,evidence_count,supporting_relation_count,unique_source_count,claim_count,context_signal,calibration_bin,auroc,auprc,average_latency_seconds
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,answerable,0.7783,0.7783,medium,1.0,0.0,0.542,0.1429,0.6204,0.7587,7,1,1,2,1.0,0.7-0.8,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_087,أود معرفة ما أسباب تدلي المستقيم؟وطرق العلاج؟,insufficient_evidence,0.025,0.025,low,0.0,1.0,0.0,0.0,0.0,0.0,6,0,0,1,0.5,0.0-0.1,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_088,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,answerable,0.8376,0.8376,high,1.0,0.0,0.8889,0.5,0.6416,0.7758,4,2,1,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_089,السلام عليكم عمري43 اعاني ارتفاع الصفراء في الدم وصلت الي 7.6 ويوجد تضخم في الطحال والم ف اسفل البطن وجانبين الي الظهر مع احساس بالتعب تحاليل للفيروسات سلبي ومناعةانكا 1/80,answerable,0.8541,0.8541,high,1.0,0.0,0.225,0.5,0.7432,0.951,6,3,2,2,0.5,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_090,اعاني منذ فترة خمس سنوات من اصابة العصب السابع وترك بعض الاثار علي منها عند الطعام تذرف عيني اليسرى بالدمع هل هناك علاج للعصب السابع بعد مضي هذه المدة الزمنه,answerable,0.8591,0.8591,high,1.0,0.0,0.8742,0.8333,0.5645,0.6631,6,5,1,5,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_091,تناولت مضاد حيووي زييثرون وانتج حساسيه شديده وتورم في المنطقة التناسليه وانا تعبانه جدا ما الحل ؟,answerable,0.8401,0.8401,high,1.0,0.0,0.3333,0.3333,0.8401,0.7607,6,2,1,3,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_092,انا اشعر بالصداع والنعاس وحساسية في وجهي والحكة بكل انحاء جسمي كيف استطيع ان اوقف هذا الدواء,answerable,0.8748,0.8748,high,1.0,0.0,0.4822,0.25,0.9198,0.9953,8,2,2,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_093,لا أستطبع النوم على جانبي لا الأيمن ولا الأيسر وأجد صعوبة في التنفس العميق. كما أشعر بين الفينة والأخرى بآلام قرب القلب. كما أخبركم أني مريصة بالقلب (مشكل في صمامتين),partially_answerable,0.488,0.488,low,0.5,0.5,0.2222,0.1667,0.6575,0.7624,6,1,1,2,0.0,0.4-0.5,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_094,هل هناك أسباب أخرى محددة تؤدي الى ولادة دات شفة مشقوقة من غير استعمال دواء التوبيراميت.,answerable,0.8561,0.8561,high,1.0,0.0,0.2,1.0,0.4804,0.8936,4,3,2,1,0.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_095,كيف تتم ازالة شظايا القنابل الصغيرة الانشطارية في المنزل عند عدم التمكن من الذهاب للمستشفى وهل هناك اخطار من بقائها؟,answerable,0.8103,0.8103,high,1.0,0.0,0.75,0.3333,0.6277,0.7744,6,2,1,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_096,السلام عليكم .. هل تناول ملعقة يوميا من زيت الحلبة على الريق يزيد من حجم الثدي بجانب التمارين ..؟؟ و ما المدة التى يمكن الاستمرار عليها فى تناول الزيت؟ و...,answerable,0.8257,0.8257,high,1.0,0.0,0.1667,0.5,0.7226,0.9489,2,1,1,1,0.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_097,كيفية التعامل مع انتفاخ ضرس العقل مسببا الام و احمرار الفك الاسفل,answerable,0.8906,0.8906,high,1.0,0.0,0.25,0.6667,0.7974,0.8064,6,4,1,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_098,تعاني والدتي من انسداد في الصمام الابهر بنسبة 40-60. حيث والتقرير ينصح باجراء عملية قلب مفتوح وتبديل صمامالابهر مع العلم انها تعاني من مرض السكري وضغط الدمز. العمر65س,answerable,0.8383,0.8383,high,1.0,0.0,0.409,0.5714,0.6129,0.9046,7,2,2,2,0.5,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_099,انا ابتلعت دبوس امس ولا اشعر ببلعه واعاني بوجع صدري كيف اعمل,answerable,0.8037,0.8037,high,1.0,0.0,0.6667,0.3333,0.4649,0.8932,6,2,1,1,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_100,عندى بقع بنية على جانبى الوجة وانا اعانى من انيميا 10 وكان عندى حصوات بالمرارة وعملت العملية ولا زالت البقع موجودة ما العلاج الاكيد وشكرا,insufficient_evidence,0.0,0.0,low,0.0,1.0,0.0,0.0,0.0,0.0,7,0,0,1,0.0,0.0-0.1,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_101,ماهو البردقوش وهل يوجد باليمن وهل يزيد من عدد الحيوانات المنويه؟,partially_answerable,0.5308,0.5308,low,0.5,0.5,0.6,0.1667,0.7381,0.8005,6,1,1,2,0.5,0.5-0.6,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_102,اعاني من حموضة وصعوبة في التنفس وصعوبة بلع والم في الجانب الايسر من الصدر مع تعب في الكتف اليسرى بعد ابذال مجهود فهل هذا خطر على القلب ام حموضة عادية,answerable,0.8896,0.8896,high,1.0,0.0,0.1526,0.8333,0.6673,0.9303,6,4,2,2,0.5,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_103,ما هو ابسط علاج لمرض السكر بدون كيماويات؟,insufficient_evidence,0.1,0.1,low,0.0,0.5,0.0,0.0,0.0,0.0,8,0,0,2,0.0,0.1-0.2,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_104,انا عملت جراحة فى القلب وتم تغير الصمام المترالى بصمام ميكانيكى صناعى وباخد دواء واريفان ( لسيولة الدم ) 8 ملجرام ومصاب بالانفلوانزا ماالعلاج المناسب,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_105,هل حبوب كريستور(rousovastatin) تؤثر على عضلة القلب ؟,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_106,هل يوجد أعشاب طبية تساعد على الشفاء من حالة الاكتئاب و الشعور بالخوف ، علما بأنه يوجد لدي فقر دم (انيميا الفول ) و يتجدث حالات الاكتئاب هذه عند تناول...,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_107,"انا عندى 16 سنة وعندي ارتخاء بالصمام الميترالى والاعراض اللى عندي دوخة لما أقف و بتعب من أقل مجهود , وعند الاستيقاظ هناك ضيق بالتنفس,والدكتورظكاتبلى اندرال 20 جم بس مش...",partially_answerable,0.5529,0.5529,medium,0.5,0.5,0.2727,0.3333,0.7206,0.7987,6,2,1,2,0.5,0.5-0.6,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_108,هل هناك اسباب للحساسية من الباراسيتمول وما الاغذية التى امتنع عنها وما هى الاغذية التى ااكلها,answerable,0.8957,0.8957,high,1.0,0.0,0.4,0.375,0.933,0.9969,8,1,3,1,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_109,كان لدي ارتفاع بسيط في الصفائح ٤٦١ وعندما ولدت بعد ٥٠ يوم التحليل طلع ٦٧٩ واشكو من عدم اكتمال النفس في بعض الاوقات وقال لي الطبيب لديك التهاب في الصدر...,answerable,0.8499,0.8499,high,1.0,0.0,0.8,0.6667,0.4418,0.8908,6,4,2,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_110,عمري 18 سنة وأنا أعاني من صغر الثدي هل يوجد أي حل لتكبيره دون جراحة?,answerable,0.7954,0.7954,medium,1.0,0.0,0.4167,0.3333,0.4144,0.8881,6,2,1,1,1.0,0.7-0.8,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_111,عمري ٢٥سنة واعاني من نشاط زائد في الغده الدرقية وقمت بأخذ جرعه من اليود النووي المشع وعندي طفل عمره سنه فما المده الزمنيه المحدده اللتي سأتمكن بعدها,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_112,يشعر والدي بألم في منطقة الصدر علما ان والدي مصاب بجلطة قلبية ودماغية اليوم قد تناول بيزا وكانت دسمة،،،،،هل هذا الم قلب ام الام معدة,insufficient_evidence,0.0,0.0,low,0.0,1.0,0.0,0.0,0.0,0.0,6,0,0,2,0.0,0.0-0.1,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_113,هل يوجد تأثير على الجنين في حالة تعاطي أقراص ميزوتاك في بداية الحمل بغرض الإجهاض وأنا الآن اقتنعت باكمال الحمل ولكن قلق من تأثر الجنين بالمادة الفعالة لهذا الدواء؟,answerable,0.8281,0.8281,high,1.0,0.0,0.7895,0.1667,0.7372,0.9504,6,1,1,1,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_114,حموضة في فمي واحساس برائحة تفاح متعفن مع كدمات زرقاء غامقة في قدماي واحساس بغبوش في الرؤية,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_115,قمت بعمل اشعة بالصبغة على الاورطى والشرايين الطرفية وجت انتفاخ بالوجه ووجع بالجسم ارجو الافادة,answerable,0.8625,0.8625,high,1.0,0.0,0.0909,0.6667,0.795,0.9551,6,3,1,1,0.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_116,ماهي أضرارشجرة القات وماهي منافعها إذا لها فوائد وهل صحيح أنها علاج لمرضى السكر,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0.5,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_117,أعاني من حرقان بكامل بجسمي والتهاب المسالك البوليه وارتفاع الكلسترول والدهون الثلاثيه مال الحل جزاكم الله خير وما قد يكون المسبب,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0.5,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_118,ماهي علاجات حمى التهاب باطن القدم وباطن اليد وماهي الفحوصات للتاكد من اسباب هذا المرض؟,answerable,0.8039,0.8039,high,1.0,0.0,0.2485,0.3333,0.7269,0.7994,6,2,1,2,0.5,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_119,والدي وقع من الدرج قبل ثلالث ايام نلاحظ هناك زغللة في عينه اليمنى مع حول فيها تم قياسة مستوى السكر اليوم 200 اتمنى افادتي بهذا الامر هل له علاقة بالحلطة...,answerable,0.8787,0.8787,high,1.0,0.0,0.619,0.5714,0.6649,0.9548,7,3,3,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_120,ماهي الاهمية الطبية للجلوكوز والفركتوز والجالكتوز؟,answerable,0.8478,0.8478,high,1.0,0.0,0.7544,0.5,0.7576,0.7274,2,1,1,4,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_121,متى يلجأ الدكتور الي نزع عَصّب السن او الضرس,insufficient_evidence,0.025,0.025,low,0.0,1.0,0.0,0.0,0.0,0.0,4,0,0,1,0.5,0.0-0.1,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_122,سلام لقد اجريت فحص الهرمون B-HCG ،و نتائج التحاليل كما يللي 3-4 اسبوع 9-130 4-5 اسبوع 75-2600 5-6 اسبوع 850-20800 7-8 اسبوع 4000-100200 7-12 اسبوع 11500-289000 12-16 اسبوع 18300-137000 و...,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_123,لسلام عليكم ممكن تساعدوني ابني عملتله تطعيم سنة ونص اليوم هو يعاني من ارتفاع الحرارة ومايقدر يحرك رجلو وحتى يوقف وهو كتير البكاء كيف اتعامل معاه كيف اخفف من الم...,answerable,0.8109,0.8109,high,1.0,0.0,0.4444,0.4,0.4477,0.8914,5,2,1,1,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_124,هل زيت نبات الميرمية له آثار جانبية عند تناوله بشكل 3 كبسولات قبل الطعام للتخلص من افراز البرولاكتين المفرز والناتج عن ورم حميد في الغدة النخامية . .,answerable,0.7994,0.7994,medium,1.0,0.0,0.4615,0.3333,0.4386,0.8905,6,2,1,1,1.0,0.7-0.8,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_125,عندي الم في منطقه البطن مع الم بصدر جهه اليمين الى الرقبه وماقدرت اعرف تفسير الالم ذا من ايش او سببه مع وجود احيان ضيق بالتنفس ،،،، افيدوني,partially_answerable,0.5537,0.5537,medium,0.5,0.5,0.2353,0.3333,0.7252,0.7992,6,2,1,2,0.5,0.5-0.6,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
