relation_id,chunk_id,qa_id,source_row_number,candidate_relation_type,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,source_evidence,target_evidence,candidate_method,needs_llm_validation
rel_seed_096cac3fde260a90,chunk_00001,ahd5k_03872,383286,HAS_SYMPTOM,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000847,ضيق تنفس,Symptom,أعراض التهاب وحساسيه الجيوب الانفيه لابد من استخدام الادويه المناسبه بعد الفحص عند طبيب ENT,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,entity_type_cooccurrence_same_qa,true
rel_seed_135de7768adad7dc,chunk_00002,ahd10k_00440,789734,TREATED_BY,ent_merge_000311,جفاف البشرة,DiseaseCondition,ent_merge_001506,فيتامين ج,Treatment,لترطيب البشرة فهذا يعني أنها جافة,الحرص على تناول فيتامين ج,entity_type_cooccurrence_same_qa,true
rel_seed_8d1fa91d6ad1dbd2,chunk_00002,ahd10k_00440,789734,TREATED_BY,ent_merge_000311,جفاف البشرة,DiseaseCondition,ent_merge_001502,فيتامين أ,Treatment,لترطيب البشرة فهذا يعني أنها جافة,الحرص على تناول فيتامين ج و أ,entity_type_cooccurrence_same_qa,true
rel_seed_d44160652d021236,chunk_00002,ahd10k_00440,789734,HAS_SYMPTOM,ent_merge_000311,جفاف البشرة,DiseaseCondition,ent_merge_000776,حكة,Symptom,لترطيب البشرة فهذا يعني أنها جافة,تظهر بها بعض الخطوط الصغيرة الحمراء,entity_type_cooccurrence_same_qa,true
rel_seed_5c1112285efc8d37,chunk_00002,ahd10k_00440,789734,TREATED_BY,ent_merge_000776,حكة,Symptom,ent_merge_001506,فيتامين ج,Treatment,تظهر بها بعض الخطوط الصغيرة الحمراء,الحرص على تناول فيتامين ج,entity_type_cooccurrence_same_qa,true
rel_seed_bbb5bfcd224822c2,chunk_00002,ahd10k_00440,789734,TREATED_BY,ent_merge_000776,حكة,Symptom,ent_merge_001502,فيتامين أ,Treatment,تظهر بها بعض الخطوط الصغيرة الحمراء,الحرص على تناول فيتامين ج و أ,entity_type_cooccurrence_same_qa,true
rel_seed_1b739e00ece579d7,chunk_00002,ahd5k_00020,340580,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002166,حليب مكسر بروتين الحليب,Treatment,بنتي سنتين ونصف عندها حساسية من حليب البقر,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,entity_type_cooccurrence_same_qa,true
rel_seed_bd7f87647f58a852,chunk_00002,ahd5k_00133,376061,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002246,نازونكس,Treatment,عندي تحسس انفي موسمي بيتغير حسب المواسم,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,entity_type_cooccurrence_same_qa,true
rel_seed_e1c1a0706ca3e8ba,chunk_00003,ahd10k_06287,98412,HAS_SYMPTOM,ent_merge_000203,انتفاخ,DiseaseCondition,ent_merge_000766,حرقان,Symptom,لدي انتفاخ حول فتحة الشرج,أشعر بألم وحرقان في الفتحة,entity_type_cooccurrence_same_qa,true
rel_seed_4fe91795a8669dfc,chunk_00003,ahd10k_06287,98412,DIAGNOSED_BY,ent_merge_000203,انتفاخ,DiseaseCondition,ent_merge_001050,فحص سريري,Test,لدي انتفاخ حول فتحة الشرج,فحص سريري,entity_type_cooccurrence_same_qa,true
rel_seed_e2a71a94949a61f3,chunk_00003,ahd10k_06287,98412,HAS_SYMPTOM,ent_merge_000260,تشقق الجلد,DiseaseCondition,ent_merge_000766,حرقان,Symptom,تشقق الجلد في هذه المنطقة,أشعر بألم وحرقان في الفتحة,entity_type_cooccurrence_same_qa,true
rel_seed_e6efa72444f2651e,chunk_00003,ahd10k_06287,98412,DIAGNOSED_BY,ent_merge_000260,تشقق الجلد,DiseaseCondition,ent_merge_001050,فحص سريري,Test,تشقق الجلد في هذه المنطقة,فحص سريري,entity_type_cooccurrence_same_qa,true
rel_seed_89f9bab460ccb04d,chunk_00003,ahd10k_06287,98412,INVESTIGATED_BY,ent_merge_000766,حرقان,Symptom,ent_merge_001050,فحص سريري,Test,أشعر بألم وحرقان في الفتحة,فحص سريري,entity_type_cooccurrence_same_qa,true
rel_seed_c057596fb9a2aa6e,chunk_00003,ahd5k_01231,390602,DIAGNOSED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000975,تحليل الحساسية,Test,تناولت مضاد حيووي زييثرون وانتج حساسية شديدة,اعملي تحليل حساسية المضادات,entity_type_cooccurrence_same_qa,true
rel_seed_248894ebb1f96639,chunk_00003,ahd5k_01231,390602,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001544,كورتيزون,Treatment,تناولت مضاد حيووي زييثرون وانتج حساسية شديدة,استخدمي مضاد هيسامين وكورتيزون موضعي,entity_type_cooccurrence_same_qa,true
rel_seed_b8db318441c83bad,chunk_00003,ahd5k_01231,390602,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001600,مضاد الهيستامين,Treatment,تناولت مضاد حيووي زييثرون وانتج حساسية شديدة,استخدمي مضاد هيسامين وكورتيزون موضعي,entity_type_cooccurrence_same_qa,true
rel_seed_235f3c76c533dd55,chunk_00003,ahd5k_01245,266907,DIAGNOSED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000918,RAST Test,Test,انا اشعر بالصداع والنعاس وحساسية في وجهي,معرفة سبب الحساسيه يتم ذلك عن طريق RAST Test,entity_type_cooccurrence_same_qa,true
rel_seed_27188af5cd772db5,chunk_00004,ahd10k_00560,502449,TREATED_BY,ent_merge_000312,جفاف الجلد,DiseaseCondition,ent_merge_001126,Vaseline,Treatment,جفاف الجلد و الشفاه,Vaseline,entity_type_cooccurrence_same_qa,true
rel_seed_1f1020229e7d24a1,chunk_00004,ahd5k_02039,383915,DIAGNOSED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000967,تحاليل مخبرية,Test,اعاني من حبوب بيضاء صغيره ف اماكن معينه ف الوجه و اتوقع انها حساسية من البيض او اشعة الشمس,لابدمن رؤيتها من قبل طبيب وعمل تحاليل خاصه بالحساسيه,entity_type_cooccurrence_same_qa,true
rel_seed_4a6448f814b2f13b,chunk_00005,ahd10k_01949,169254,INVESTIGATED_BY,ent_merge_000847,ضيق تنفس,Symptom,ent_merge_000949,الفحص الطبي,Test,لم يستطع ان ينام بسبب ضيق تنفس,والفحص الطبي يمكن ان يساعد,entity_type_cooccurrence_same_qa,true
rel_seed_73508bc8cf4f3b67,chunk_00005,ahd10k_01949,169254,HAS_SYMPTOM,ent_merge_000250,تسارع قلبي,DiseaseCondition,ent_merge_000847,ضيق تنفس,Symptom,فمن كلامك يبدو انه تسارع قلبي,لم يستطع ان ينام بسبب ضيق تنفس,entity_type_cooccurrence_same_qa,true
rel_seed_f682bfa44bcf4de2,chunk_00005,ahd10k_01949,169254,DIAGNOSED_BY,ent_merge_000250,تسارع قلبي,DiseaseCondition,ent_merge_000949,الفحص الطبي,Test,فمن كلامك يبدو انه تسارع قلبي,والفحص الطبي يمكن ان يساعد,entity_type_cooccurrence_same_qa,true
rel_seed_dc054699a041344a,chunk_00006,ahd10k_01239,622816,TREATED_BY,ent_merge_000684,النتصاب,Symptom,ent_merge_001386,ختان,Treatment,النتصاب ضعيف ومؤلم,اجريت عملية ختان منذ شهرين,entity_type_cooccurrence_same_qa,true
rel_seed_c2b652a865fca387,chunk_00006,ahd5k_00812,393214,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002139,تجنب المنتجات التي تحوي جلوتين,Treatment,طفلتي تتحسس من الجلوتين وعمرها سنة ونصف هل توجد أدوية تساعد على الشفاء من هذا المرض ام لا ؟؟,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,entity_type_cooccurrence_same_qa,true
rel_seed_15a08b75e527d5cf,chunk_00006,ahd5k_02124,382451,HAS_SYMPTOM,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001934,نشفان,Symptom,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,entity_type_cooccurrence_same_qa,true
rel_seed_8a92d22708ad7cf3,chunk_00006,ahd5k_02124,382451,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002191,شراب ECHINACEA,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_896b8ab8d2057eb5,chunk_00006,ahd5k_02124,382451,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002143,تقوية المناعة,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_7b16ef358f086e76,chunk_00006,ahd5k_02124,382451,HAS_SYMPTOM,ent_merge_000091,التهاب اللوزتين,DiseaseCondition,ent_merge_001934,نشفان,Symptom,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,entity_type_cooccurrence_same_qa,true
rel_seed_59c9c8a2ea59d573,chunk_00006,ahd5k_02124,382451,TREATED_BY,ent_merge_000091,التهاب اللوزتين,DiseaseCondition,ent_merge_002191,شراب ECHINACEA,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_6e95c7f0d0837b0d,chunk_00006,ahd5k_02124,382451,TREATED_BY,ent_merge_000091,التهاب اللوزتين,DiseaseCondition,ent_merge_002143,تقوية المناعة,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_05fda8fa93120777,chunk_00006,ahd5k_02124,382451,TREATED_BY,ent_merge_001934,نشفان,Symptom,ent_merge_002191,شراب ECHINACEA,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_f156f1b30130e684,chunk_00006,ahd5k_02124,382451,TREATED_BY,ent_merge_001934,نشفان,Symptom,ent_merge_002143,تقوية المناعة,Treatment,اصبت بحساسية في الصيف بالجسم وصفها الدكتور بحساسية شمس و بعد فترة اصبت بالتهاب لوز و بلعوم و حبوب في اخر الحلق الحبوب مازالت موجودة واشعر بنشفان دائم في الحلق...,الاعراض التي في الحلق أعراض فيروس مثل الكوكساكي فيروس تتحسن مع الوقت عليك بتقوية المناعة بأكل الفواكة والحمضيات وشرب الزنجبيل مع العسل والليمون مره باليوم الزنجبيل مطحون بمعدل معلقه صغيره يوجد أيضا شراب ECHINACEA يحسن حالتك,entity_type_cooccurrence_same_qa,true
rel_seed_0e17e506193644c9,chunk_00007,ahd10k_04091,237117,TREATED_BY,ent_merge_000776,حكة,Symptom,ent_merge_001398,دهونات ترطيب,Treatment,تسبب لي بي حكة,استعلي دهونات ترطيب,entity_type_cooccurrence_same_qa,true
rel_seed_5ca8ccc3ef4f6862,chunk_00007,ahd10k_04091,237117,TREATED_BY,ent_merge_000740,تفسير في الجلد,Symptom,ent_merge_001398,دهونات ترطيب,Treatment,تسبب لي بي حكة و تفسير في الجلد,استعلي دهونات ترطيب,entity_type_cooccurrence_same_qa,true
rel_seed_c14e6c6326186938,chunk_00008,ahd10k_03911,362860,TREATED_BY,ent_merge_000776,حكة,Symptom,ent_merge_001536,كريم ميكونازول,Treatment,حكه شديده في المنطقة الحساسه,استخدم كريم ميكونازول مرتين يوميا 14يوم,entity_type_cooccurrence_same_qa,true
rel_seed_e1c26b2e673d1c07,chunk_00008,ahd5k_01190,785346,TREATED_BY,ent_merge_001715,الجلد المترهل,DiseaseCondition,ent_merge_002050,الجراحة التجميلية,Treatment,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.,entity_type_cooccurrence_same_qa,true
rel_seed_38854b43d3c501de,chunk_00008,ahd5k_01190,785346,TREATED_BY,ent_merge_001715,الجلد المترهل,DiseaseCondition,ent_merge_001209,الرياضة,Treatment,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.,entity_type_cooccurrence_same_qa,true
rel_seed_737faa477fcb2e8a,chunk_00009,ahd10k_04432,745242,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001527,كريم الاساس,Treatment,بشرتي حسساسه,يمكن استخدام كريم للوجه لفترة ما وإن شاء الله ستزول، وأنصحك بكريم كريم الاساس BB Cream,entity_type_cooccurrence_same_qa,true
rel_seed_aeaf0ff43a2b985d,chunk_00009,ahd10k_05772,559566,HAS_SYMPTOM,ent_merge_000034,إكزيما,DiseaseCondition,ent_merge_000870,قشرة,Symptom,قد تكون فطريات او اكزما,ظهور قشرة البشرة,entity_type_cooccurrence_same_qa,true
rel_seed_73e4c7cc83676d17,chunk_00009,ahd10k_05772,559566,HAS_SYMPTOM,ent_merge_000402,صدفية,DiseaseCondition,ent_merge_000870,قشرة,Symptom,ان كنت ارجح حالتك بالصدفية,ظهور قشرة البشرة,entity_type_cooccurrence_same_qa,true
rel_seed_4f99d6525c4d0ae2,chunk_00009,ahd5k_00614,768114,DIAGNOSED_BY,ent_merge_000371,ربو,DiseaseCondition,ent_merge_000975,تحليل الحساسية,Test,وجد ان هذه العشبة تزيد من سيولة الدم في المرضى الذين يأخذون الاسبرين او البلافكس او الورفارين وهم الغالبية العظمى من مرضى القلب,وكذلك تزيد من احتمالية تسمم الجسم بدواء ( DIGOXIN ) وذلك عند تفاعله مع هذه العشبة تزداد معدلاته في الدم بصورة عالية,entity_type_cooccurrence_same_qa,true
rel_seed_e2dd1b4aec0a4bed,chunk_00009,ahd5k_00614,768114,DIAGNOSED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000975,تحليل الحساسية,Test,هل عشبة الزعرور تتعارض مع مميعات الدم كالأسبرين وتؤدي لنتيجة سلبية ؟,وكذلك تزيد من احتمالية تسمم الجسم بدواء ( DIGOXIN ) وذلك عند تفاعله مع هذه العشبة تزداد معدلاته في الدم بصورة عالية,entity_type_cooccurrence_same_qa,true
rel_seed_046282ca71cd2437,chunk_00010,ahd5k_04473,22465,HAS_SYMPTOM,ent_merge_000098,التهاب المفاصل,DiseaseCondition,ent_merge_001889,ألم المفاصل,Symptom,الحد من التهاب المفاصل,التخفيف من ألم المفاصل,entity_type_cooccurrence_same_qa,true
rel_seed_1b1f4916a2d06d8d,chunk_00010,ahd5k_04473,22465,TREATED_BY,ent_merge_000098,التهاب المفاصل,DiseaseCondition,ent_merge_002183,زيت الحنظل,Treatment,الحد من التهاب المفاصل,يستخرج زيت الحنظل من نبات الحنظل الصحراوي,entity_type_cooccurrence_same_qa,true
rel_seed_31a3e0627e70bdc3,chunk_00010,ahd5k_04473,22465,TREATED_BY,ent_merge_001889,ألم المفاصل,Symptom,ent_merge_002183,زيت الحنظل,Treatment,التخفيف من ألم المفاصل,يستخرج زيت الحنظل من نبات الحنظل الصحراوي,entity_type_cooccurrence_same_qa,true
rel_seed_a850eb2b9e3a58f6,chunk_00011,ahd10k_00989,338332,HAS_SYMPTOM,ent_merge_000471,كتلة دهنية,DiseaseCondition,ent_merge_000765,حرارة,Symptom,أنا أظن أن هذه كتلة دهنية,اشعر بحرارة في المكان,entity_type_cooccurrence_same_qa,true
rel_seed_27448593a790e48f,chunk_00011,ahd10k_00989,338332,HAS_SYMPTOM,ent_merge_000471,كتلة دهنية,DiseaseCondition,ent_merge_000730,تشنج,Symptom,أنا أظن أن هذه كتلة دهنية,تشنج قليل في الرقبة,entity_type_cooccurrence_same_qa,true
rel_seed_115220b1e3dca413,chunk_00011,ahd10k_00989,338332,TREATED_BY,ent_merge_000471,كتلة دهنية,DiseaseCondition,ent_merge_001144,إستشارة طبيب,Treatment,أنا أظن أن هذه كتلة دهنية,أنصحك بإستشارة طبيب,entity_type_cooccurrence_same_qa,true
rel_seed_e71b881690c9447f,chunk_00011,ahd10k_00989,338332,TREATED_BY,ent_merge_000765,حرارة,Symptom,ent_merge_001144,إستشارة طبيب,Treatment,اشعر بحرارة في المكان,أنصحك بإستشارة طبيب,entity_type_cooccurrence_same_qa,true
rel_seed_765b1b959eee4b04,chunk_00011,ahd10k_00989,338332,TREATED_BY,ent_merge_000730,تشنج,Symptom,ent_merge_001144,إستشارة طبيب,Treatment,تشنج قليل في الرقبة,أنصحك بإستشارة طبيب,entity_type_cooccurrence_same_qa,true
rel_seed_cab902f083ea276c,chunk_00011,ahd5k_03104,767363,TREATED_BY,ent_merge_000117,الحمل,DiseaseCondition,ent_merge_001427,زيت الحلبة,Treatment,"لا ينبغي استخدام زيت الحلبة قبل استشارة الطبيب , ومن الأفضل تجنب استخدامه أثناء فترة الحمل.",ما هى فوائد زيت الحلبه للجسم اذا استعمل شربا مع الماء شكرا,entity_type_cooccurrence_same_qa,true
rel_seed_c547ca01d12b9313,chunk_00011,ahd5k_04697,767175,TREATED_BY,ent_merge_000117,الحمل,DiseaseCondition,ent_merge_001516,فينوروتون,Treatment,انا متزوجة وعمري 29 سنة ولدي ثلاثة اطفال اعاني من الدوالي في ساق قدمي بدت الدوالي عندي وانا حامل بالطفل الثاني وازدادت مع حملي في الطفل الثالث ....,العلاج : 1-- تنفيذ النصائح السابقة وتناول علاج بسيط مثل فينوروتون,entity_type_cooccurrence_same_qa,true
rel_seed_9936a452b54d8e36,chunk_00011,ahd5k_04697,767175,TREATED_BY,ent_merge_000117,الحمل,DiseaseCondition,ent_merge_001226,العلاج بالليزر,Treatment,انا متزوجة وعمري 29 سنة ولدي ثلاثة اطفال اعاني من الدوالي في ساق قدمي بدت الدوالي عندي وانا حامل بالطفل الثاني وازدادت مع حملي في الطفل الثالث ....,6--وافضل طريقة هي العلاج بالليزر حيث أثبتت الأبحاث العالمية نجاحا يفوق الجراحات الأخرى .,entity_type_cooccurrence_same_qa,true
rel_seed_2331b9bbdc21e85a,chunk_00011,ahd5k_04697,767175,TREATED_BY,ent_merge_000367,دوالي الساقين,DiseaseCondition,ent_merge_001516,فينوروتون,Treatment,دوالي الساقين : هي تضخم الأوردة السطحية وقد تحدث في أي مكان من الجسم ولكنها أكثر انتشارا في الساقين .,العلاج : 1-- تنفيذ النصائح السابقة وتناول علاج بسيط مثل فينوروتون,entity_type_cooccurrence_same_qa,true
rel_seed_621214519c4c5635,chunk_00011,ahd5k_04697,767175,TREATED_BY,ent_merge_000367,دوالي الساقين,DiseaseCondition,ent_merge_001226,العلاج بالليزر,Treatment,دوالي الساقين : هي تضخم الأوردة السطحية وقد تحدث في أي مكان من الجسم ولكنها أكثر انتشارا في الساقين .,6--وافضل طريقة هي العلاج بالليزر حيث أثبتت الأبحاث العالمية نجاحا يفوق الجراحات الأخرى .,entity_type_cooccurrence_same_qa,true
rel_seed_fd230ba0e18a91cb,chunk_00012,ahd10k_00041,752957,HAS_SYMPTOM,ent_merge_000311,جفاف البشرة,DiseaseCondition,ent_merge_000776,حكة,Symptom,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها كيف ارطبها ؟؟ وهل استطيع استخدام احد الزيوت الطبيعية؟؟,entity_type_cooccurrence_same_qa,true
rel_seed_a65ab04ecf81716a,chunk_00012,ahd10k_00041,752957,HAS_SYMPTOM,ent_merge_000311,جفاف البشرة,DiseaseCondition,ent_merge_000756,تيبس,Symptom,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها كيف ارطبها ؟؟ وهل استطيع استخدام احد الزيوت الطبيعية؟؟,entity_type_cooccurrence_same_qa,true
rel_seed_1bdd1fb147bbfb64,chunk_00012,ahd10k_00041,752957,TREATED_BY,ent_merge_000311,جفاف البشرة,DiseaseCondition,ent_merge_001509,فيتامين ك,Treatment,السلام عليكم عمري 27 سنة اعاني من جفاف جلد الجفون والمنطقة حول العين وتيبسها,فيتامين (K) هذا الفيتامين يعمل بكفاءة مع البذور المستخلصة من شجر كستناء الحصان فهو أفضل بكثير من استخدامه بمفرده,entity_type_cooccurrence_same_qa,true
