entity_id,canonical_name,canonical_name_norm,entity_type,aliases,confidence,provider,model
ent_merge_000051,الإيدز,الايدز,DiseaseCondition,"""الآيدز""|""الإيدز""|""الايدز""]|[""إيدز""|الإيدز",0.0,,
ent_merge_000052,البرود الجنسي,البرود الجنسي,DiseaseCondition,"""البرودة الجنسية""]|[""البرود الجنسي""|البرود الجنسي",0.0,,
ent_merge_000053,البرولاكتين,البرولاكتين,DiseaseCondition,"[""البرولاكتين""]|البرولاكتين",0.0,,
ent_merge_000054,البلعوم,البلعوم,DiseaseCondition,"[""البلعوم""]|البلعوم",0.0,,
ent_merge_000055,البنكرياس,البنكرياس,DiseaseCondition,"[""البنكرياس""]|البنكرياس",0.0,,
ent_merge_000056,البهاق,البهاق,DiseaseCondition,"[""البهاق""]|البهاق",0.0,,
ent_merge_000057,التدخين,التدخين,DiseaseCondition,"[""التدخين""]|التدخين",0.0,,
ent_merge_000058,التسلخات,التسلخات,DiseaseCondition,"[""التسلخات""]|التسلخات",0.0,,
ent_merge_000059,التهاب,التهاب,DiseaseCondition,"""التهاب الاذن الوسطى""|""التهاب البربخ""|""التهاب البروستاتا""|""التهاب الجيوب""|""التهاب الدم""|""التهاب الرئة""|""التهاب الشعرة""|""التهاب العصب السابع""|""التهاب القصبات""|""التهاب القولون""|""التهاب اللثه""|""التهاب المزمن""|""التهاب المعدة""|""التهاب اوتار القدم""|""التهاب اوتار الكتف""|""التهاب بكتيري""|""التهاب جلدي""|""التهاب غشائي عضلي""|""التهاب في الاذن""|""التهاب في الجيوب الانفيه""|""التهاب في العصعص""|""التهاب في الكتف""|""التهاب في اليد""|""التهاب فيروسي""|""التهاب ما""|""التهاب""|""التهابات المفاصل""|""التهابات""|""تهاب المبيض""]|""تهاب""|""تهاب""]|[""إلتهاب""|[""التهاب""|التهاب",0.0,,
ent_merge_000060,التهاب الأذن,التهاب الاذن,DiseaseCondition,"[""التهاب الأذن""]|التهاب الأذن",0.0,,
ent_merge_000061,التهاب البربخ,التهاب البربخ,DiseaseCondition,"[""التهاب البربخ""]|التهاب البربخ",0.0,,
ent_merge_000062,التهاب البروستات,التهاب البروستات,DiseaseCondition,"[""التهاب البروستات""]|التهاب البروستات",0.0,,
ent_merge_000063,التهاب البروستاتا,التهاب البروستاتا,DiseaseCondition,"""التهاب البروستاتا""]|[""التهاب البروستات""|التهاب البروستاتا",0.0,,
ent_merge_000064,التهاب البول,التهاب البول,DiseaseCondition,"""التهابات البول""]|[""التهاب البول""|التهاب البول",0.0,,
ent_merge_000065,التهاب الجلد التأتبي,التهاب الجلد التاتبي,DiseaseCondition,"[""التهاب الجلد التأتبي""]|التهاب الجلد التأتبي",0.0,,
ent_merge_000066,التهاب الجيوب,التهاب الجيوب,DiseaseCondition,"[""التهاب الجيوب""]|التهاب الجيوب",0.0,,
ent_merge_000067,التهاب الجيوب الانفيه,التهاب الجيوب الانفيه,DiseaseCondition,"""التهاب الجيوب الانفيه""]|[""التهاب الجيوب الأنفية""]|[""التهاب الجيوب الانفية""|التهاب الجيوب الأنفية|التهاب الجيوب الانفيه",0.0,,
ent_merge_000068,التهاب الحلق,التهاب الحلق,DiseaseCondition,"[""التهاب الحلق""]|التهاب الحلق",0.0,,
ent_merge_000069,التهاب الرئة,التهاب الريه,DiseaseCondition,"[""التهاب الرئة""]|التهاب الرئة",0.0,,
ent_merge_000070,التهاب الزائدة الدودية,التهاب الزايده الدوديه,DiseaseCondition,"[""التهاب الزائدة الدودية""]|التهاب الزائدة الدودية",0.0,,
ent_merge_000071,التهاب السحايا,التهاب السحايا,DiseaseCondition,"[""التهاب السحايا""]|التهاب السحايا",0.0,,
ent_merge_000072,التهاب الشريان الصدغي,التهاب الشريان الصدغي,DiseaseCondition,"[""التهاب الشريان الصدغي""]|التهاب الشريان الصدغي",0.0,,
ent_merge_000073,التهاب العصب الوركي,التهاب العصب الوركي,DiseaseCondition,"[""التهاب العصب الوركي""]|التهاب العصب الوركي",0.0,,
ent_merge_000074,التهاب الغدد اللمفاوية,التهاب الغدد اللمفاويه,DiseaseCondition,"[""التهاب الغدد اللمفاوية""]|التهاب الغدد اللمفاوية",0.0,,
ent_merge_000075,التهاب الفرج,التهاب الفرج,DiseaseCondition,"[""التهاب الفرج""]|التهاب الفرج",0.0,,
ent_merge_000076,التهاب الفقار اللاصق,التهاب الفقار اللاصق,DiseaseCondition,"[""التهاب الفقار اللاصق""]|التهاب الفقار اللاصق",0.0,,
ent_merge_000077,التهاب القزحية,التهاب القزحيه,DiseaseCondition,"[""التهاب القزحية""]|التهاب القزحية",0.0,,
ent_merge_000078,التهاب القصبات التحسسي,التهاب القصبات التحسسي,DiseaseCondition,"[""التهاب القصبات التحسسي""]|التهاب القصبات التحسسي",0.0,,
ent_merge_000079,التهاب القنوات المراريه,التهاب القنوات المراريه,DiseaseCondition,"[""التهاب القنوات المراريه""]|التهاب القنوات المراريه",0.0,,
ent_merge_000080,التهاب القولون,التهاب القولون,DiseaseCondition,"""تهاب القولون""]|[""التهاب القولون""|[""التهاب القولون""]|التهاب القولون",0.0,,
ent_merge_000081,التهاب القولون التقرحي,التهاب القولون التقرحي,DiseaseCondition,"""تهاب القولون التقرحى""]|[""التهاب القولون التقرحى""|[""التهاب القولون التقرحي""]|التهاب القولون التقرحى|التهاب القولون التقرحي",0.0,,
ent_merge_000082,التهاب الكبد,التهاب الكبد,DiseaseCondition,"""التهاب الكبد الوبائي ب""|""التهاب الكبد ب""|""التهاب الكبد سي""|""التهاب الكبد فيروسي""|""التهاب كبيبات الكلى""]|[""التهاب الكبد""|[""التهاب الكبد""]|التهاب الكبد",0.0,,
ent_merge_000083,التهاب الكبد أ,التهاب الكبد ا,DiseaseCondition,"[""التهاب الكبد أ""]|التهاب الكبد أ",0.0,,
ent_merge_000084,التهاب الكبد الفيروسي ب,التهاب الكبد الفيروسي ب,DiseaseCondition,"""التهاب الكبد ب""]|[""التهاب الكبد الفيروسي ب""|التهاب الكبد الفيروسي ب",0.0,,
ent_merge_000085,التهاب الكبد ب,التهاب الكبد ب,DiseaseCondition,"""التهاب الكبد ب""]|[""التهاب الكبد""|التهاب الكبد ب",0.0,,
ent_merge_000086,التهاب الكبد ج,التهاب الكبد ج,DiseaseCondition,"[""التهاب الكبد ج""]|التهاب الكبد ج",0.0,,
ent_merge_000087,التهاب الكبد سي,التهاب الكبد سي,DiseaseCondition,"[""التهاب الكبد سي""]|التهاب الكبد سي",0.0,,
ent_merge_000088,التهاب الكبدى الفيروسى,التهاب الكبدي الفيروسي,DiseaseCondition,"[""التهاب الكبدى الفيروسى""]|التهاب الكبدى الفيروسى",0.0,,
ent_merge_000089,التهاب الكلى,التهاب الكلي,DiseaseCondition,"""التهاب الكلي""|""التهابات الكلية""]|[""التهاب الكلى""|التهاب الكلى",0.0,,
ent_merge_000090,التهاب اللثة,التهاب اللثه,DiseaseCondition,"""التهاب اللثة""|""تهاب اللثه""]|[""التهاب اللثة""]|[""التهاب""|التهاب اللثة",0.0,,
ent_merge_000091,التهاب اللوزتين,التهاب اللوزتين,DiseaseCondition,"""التهاب لوز""|""التهاب لوزتين""]|""تهاب لوز""]|[""التهاب اللوزتين""|التهاب اللوزتين",0.0,,
ent_merge_000092,التهاب المثانة,التهاب المثانه,DiseaseCondition,"""التهاب المثانه""]|[""التهاب المثانة""|التهاب المثانة",0.0,,
ent_merge_000093,التهاب المري,التهاب المري,DiseaseCondition,"[""التهاب المري""]|التهاب المري",0.0,,
ent_merge_000094,التهاب المريء,التهاب المريء,DiseaseCondition,"""التهاب المريء""]|[""التهاب المري""|التهاب المريء",0.0,,
ent_merge_000095,التهاب المسالك البولية,التهاب المسالك البوليه,DiseaseCondition,"[""التهاب المسالك البولية""]|التهاب المسالك البولية",0.0,,
ent_merge_000096,التهاب المستقيم,التهاب المستقيم,DiseaseCondition,"[""التهاب المستقيم""]|التهاب المستقيم",0.0,,
ent_merge_000097,التهاب المعدة,التهاب المعده,DiseaseCondition,"""التهاب المعدة""]|""تهاب المعدة""]|[""التهاب المعدة""|[""التهاب""|التهاب المعدة",0.0,,
ent_merge_000098,التهاب المفاصل,التهاب المفاصل,DiseaseCondition,"""التهاب المفاصل""]|[""التهاب المفاصل""]|[""التهاب""|التهاب المفاصل",0.0,,
ent_merge_000099,التهاب المهبل,التهاب المهبل,DiseaseCondition,"[""التهاب المهبل""]|التهاب المهبل",0.0,,
ent_merge_000100,التهاب بول,التهاب بول,DiseaseCondition,"[""التهاب بول""]|التهاب بول",0.0,,
ent_merge_000101,التهاب فتحة الشرج,التهاب فتحه الشرج,DiseaseCondition,"[""التهاب فتحة الشرج""]|التهاب فتحة الشرج",0.0,,
ent_merge_000102,التهاب فطري,التهاب فطري,DiseaseCondition,"""تهاب فطري""]|[""التهاب فطري""|[""التهاب فطري""]|التهاب فطري",0.0,,
ent_merge_000103,التهاب كبد مناعي ذاتي,التهاب كبد مناعي ذاتي,DiseaseCondition,"[""التهاب كبد مناعي ذاتي""]|التهاب كبد مناعي ذاتي",0.0,,
ent_merge_000104,التهاب كبدي,التهاب كبدي,DiseaseCondition,"""التهاب كبدي""]|[""التهاب الكبدي""|التهاب كبدي",0.0,,
ent_merge_000105,التهاب مفصل الركبه,التهاب مفصل الركبه,DiseaseCondition,"""تهاب مفصل الركبة""]|""سوفان مفصل الركبه""]|[""التهاب مفصل الركبة""|[""التهاب مفصل الركبه""|التهاب مفصل الركبة|التهاب مفصل الركبه",0.0,,
ent_merge_000106,التهابات,التهابات,DiseaseCondition,"""التهابات""]|[""التهاب""|التهابات",0.0,,
ent_merge_000107,التهابات الرئوية,التهابات الريويه,DiseaseCondition,"[""التهابات الرئوية""]|التهابات الرئوية",0.0,,
ent_merge_000108,الثعلبة,الثعلبه,DiseaseCondition,"""داء الثعلبة""]|[""الثعلبة""|الثعلبة",0.0,,
ent_merge_000109,الجرثومة الحلزونية,الجرثومه الحلزونيه,DiseaseCondition,"[""الجرثومة الحلزونية""]|الجرثومة الحلزونية",0.0,,
ent_merge_000110,الجروح القطعية,الجروح القطعيه,DiseaseCondition,"[""الجروح القطعية""]|الجروح القطعية",0.0,,
ent_merge_000111,الجلطات القلبية,الجلطات القلبيه,DiseaseCondition,"""الجلطة القلبية""]|[""الجلطات القلبية""|الجلطات القلبية",0.0,,
ent_merge_000112,الجنين,الجنين,DiseaseCondition,"[""الجنين""]|الجنين",0.0,,
ent_merge_000113,الجنين المشوه,الجنين المشوه,DiseaseCondition,"[""الجنين المشوه""]|الجنين المشوه",0.0,,
ent_merge_000114,الجهاز العصبي المركزي,الجهاز العصبي المركزي,DiseaseCondition,"[""الجهاز العصبي المركزي""]|الجهاز العصبي المركزي",0.0,,
ent_merge_000115,الجهاز الهضمي,الجهاز الهضمي,DiseaseCondition,"[""الجهاز الهضمي""]|الجهاز الهضمي",0.0,,
ent_merge_000116,الحشيش,الحشيش,DiseaseCondition,"[""الحشيش""]|الحشيش",0.0,,
ent_merge_000117,الحمل,الحمل,DiseaseCondition,"""الحمل الوراثي""|""حامل""|""حمل الأنابيب""|""حمل بالاسبوع العاشر""|""حمل خارج الرحم""]|""حمل سابق""|""حمل طبيعي""]|""حمل""|[""الحمل""|الحمل",0.0,,
ent_merge_000118,الحيض,الحيض,DiseaseCondition,"[""الحيض""]|الحيض",0.0,,
ent_merge_000119,الحيوانات المنوية,الحيوانات المنويه,DiseaseCondition,"[""الحيوانات المنوية""]|الحيوانات المنوية",0.0,,
ent_merge_000120,الخصوبة,الخصوبه,DiseaseCondition,"[""الخصوبة""]|الخصوبة",0.0,,
ent_merge_000121,الخصية,الخصيه,DiseaseCondition,"[""الخصية""]|الخصية",0.0,,
ent_merge_000122,الخطر ع الكبد,الخطر ع الكبد,DiseaseCondition,"[""الخطر ع الكبد""]|الخطر ع الكبد",0.0,,
ent_merge_000123,الدماغ,الدماغ,DiseaseCondition,"[""الدماغ""]|الدماغ",0.0,,
ent_merge_000124,الدوالي,الدوالي,DiseaseCondition,"""دوالي الخصية""]|""دوالي""|[""الدوالي""|الدوالي",0.0,,
ent_merge_000125,الدوالي على الخصية,الدوالي علي الخصيه,DiseaseCondition,"""دوالي على الخصية""]|[""الدوالي على الخصية""|الدوالي على الخصية",0.0,,
ent_merge_000126,الدورة الشهرية,الدوره الشهريه,DiseaseCondition,"""الحيض""|""الدورة الشهرية""|""الدورة الشهريه""|""الدورة""|""الدوره الشهريه""|""العدة""|""دورة شهرية""|""دورة شهرية""]|""دورة""|""دوره شهرية""]|[""اضطراب الدورة الشهرية""|[""الدورة""|الدورة الشهرية",0.0,,
ent_merge_000127,الذئبة,الذيبه,DiseaseCondition,"[""الذئبة""]|الذئبة",0.0,,
ent_merge_000128,الرباط,الرباط,DiseaseCondition,"[""الرباط""]|الرباط",0.0,,
ent_merge_000129,الربو,الربو,DiseaseCondition,"""ربو""]|[""الربو""|[""الربو""]|الربو",0.0,,
ent_merge_000130,الرضاعه,الرضاعه,DiseaseCondition,"[""الرضاعه""]|الرضاعه",0.0,,
ent_merge_000131,الرقبة,الرقبه,DiseaseCondition,"[""الرقبة""]|الرقبة",0.0,,
ent_merge_000132,الرهاب,الرهاب,DiseaseCondition,"[""الرهاب""]|الرهاب",0.0,,
ent_merge_000133,الروماتويد,الروماتويد,DiseaseCondition,"[""الروماتويد""]|الروماتويد",0.0,,
ent_merge_000134,الروماتيزم,الروماتيزم,DiseaseCondition,"[""الروماتيزم""]|الروماتيزم",0.0,,
ent_merge_000135,الرئه,الريه,DiseaseCondition,"[""الرئه""]|الرئه",0.0,,
ent_merge_000136,السرطان,السرطان,DiseaseCondition,"""سرطان الثدي""]|[""السرطان""|[""السرطان""]|السرطان",0.0,,
ent_merge_000137,السرطانات,السرطانات,DiseaseCondition,"[""السرطانات""]|السرطانات",0.0,,
ent_merge_000138,السكتة الدماغية,السكته الدماغيه,DiseaseCondition,"[""السكتة الدماغية""]|السكتة الدماغية",0.0,,
ent_merge_000139,السكر,السكر,DiseaseCondition,"[""السكر""]|السكر",0.0,,
ent_merge_000140,السكري,السكري,DiseaseCondition,"""داء السكري""]|""سكري""]|[""السكري""|السكري",0.0,,
ent_merge_000141,السل,السل,DiseaseCondition,"[""السل""]|السل",0.0,,
ent_merge_000142,السمنة,السمنه,DiseaseCondition,"""السمنه""|""سمنة مفرطة""]|""سمنة""]|[""السمنة""|السمنة",0.0,,
ent_merge_000143,السموم,السموم,DiseaseCondition,"[""السموم""]|السموم",0.0,,
ent_merge_000144,السيلان,السيلان,DiseaseCondition,"[""السيلان""]|السيلان",0.0,,
ent_merge_000145,الشامات,الشامات,DiseaseCondition,"[""الشامات""]|الشامات",0.0,,
ent_merge_000146,الشراهة,الشراهه,DiseaseCondition,"[""الشراهة""]|الشراهة",0.0,,
ent_merge_000147,الشفه الارنبيه,الشفه الارنبيه,DiseaseCondition,"[""الشفه الارنبيه""]|الشفه الارنبيه",0.0,,
ent_merge_000148,الشيب,الشيب,DiseaseCondition,"""الشيب""]|[""الشعر الأبيض""|الشيب",0.0,,
ent_merge_000149,الشيخوخة,الشيخوخه,DiseaseCondition,"""شيخوخة المبكرة""]|""شيخوخة""|[""الشيخوخة""|[""الشيخوخة""]|الشيخوخة",0.0,,
ent_merge_000150,الصدفية,الصدفيه,DiseaseCondition,"""الصدفية""|""القشرة السميكة""]|[""أعراض الصدفية""|الصدفية",0.0,,
ent_merge_000151,الضعف الجنسي,الضعف الجنسي,DiseaseCondition,"""الضعف الجنسي""]|[""الضعف الجنسى""|الضعف الجنسي",0.0,,
ent_merge_000152,الضغط,الضغط,DiseaseCondition,"[""الضغط""]|الضغط",0.0,,
ent_merge_000153,الضغط النفسي,الضغط النفسي,DiseaseCondition,"[""الضغط النفسي""]|الضغط النفسي",0.0,,
ent_merge_000154,الظهارة المتقرنة,الظهاره المتقرنه,DiseaseCondition,"[""الظهارة المتقرنة""]|الظهارة المتقرنة",0.0,,
ent_merge_000155,العصب المبهم,العصب المبهم,DiseaseCondition,"""الرئوي – المعدي""|""العصب المبهم""|""الغامض""]|[""الحائر""|العصب المبهم",0.0,,
ent_merge_000156,العقد الليمفاوية,العقد الليمفاويه,DiseaseCondition,"""العقد الليمفاويه""]|[""العقد الليمفاوية""|العقد الليمفاوية",0.0,,
ent_merge_000157,العقم,العقم,DiseaseCondition,"[""العقم""]|العقم",0.0,,
ent_merge_000158,الغدد الصماء,الغدد الصماء,DiseaseCondition,"[""الغدد الصماء""]|الغدد الصماء",0.0,,
ent_merge_000159,الغدد اللمفاويه,الغدد اللمفاويه,DiseaseCondition,"[""الغدد اللمفاويه""]|الغدد اللمفاويه",0.0,,
ent_merge_000160,الغدة الدرقية,الغده الدرقيه,DiseaseCondition,"[""الغدة الدرقية""]|الغدة الدرقية",0.0,,
ent_merge_000161,الغضروف,الغضروف,DiseaseCondition,"[""الغضروف""]|الغضروف",0.0,,
ent_merge_000162,الفشل الكلوي,الفشل الكلوي,DiseaseCondition,"[""الفشل الكلوي""]|الفشل الكلوي",0.0,,
ent_merge_000163,الفطريات,الفطريات,DiseaseCondition,"[""الفطريات""]|الفطريات",0.0,,
ent_merge_000164,الفيروس,الفيروس,DiseaseCondition,"""الفيروس الكبدي""]|[""الفيروس""|الفيروس",0.0,,
ent_merge_000165,القرحة,القرحه,DiseaseCondition,"""القرحه""]|[""القرحة""|[""القرحة""]|القرحة",0.0,,
ent_merge_000166,القلب المفتوح,القلب المفتوح,DiseaseCondition,"[""القلب المفتوح""]|القلب المفتوح",0.0,,
ent_merge_000167,القلس المعدي المريئي,القلس المعدي المرييي,DiseaseCondition,"[""القلس المعدي المريئي""]|القلس المعدي المريئي",0.0,,
ent_merge_000168,القلق,القلق,DiseaseCondition,"""قلق""]|[""القلق""|القلق",0.0,,
ent_merge_000169,القناة الشريانية المفتوحة,القناه الشريانيه المفتوحه,DiseaseCondition,"[""القناة الشريانية المفتوحة""]|القناة الشريانية المفتوحة",0.0,,
ent_merge_000170,القولون العصبي,القولون العصبي,DiseaseCondition,"""التهاب""|""القولون التقرحي""|""القولون العصبي""|""حساسية الصدر""|""ربو""|""قولون العصبي""|""قولون عصبى""|""قولون عصبي""|""متلازمة القولون العصابي""]|""نزلة معوية""]|[""ارتكاريا""|[""القولون""|القولون العصبي",0.0,,
ent_merge_000171,الكبد الدهني,الكبد الدهني,DiseaseCondition,"[""الكبد الدهني""]|الكبد الدهني",0.0,,
ent_merge_000172,الكتلة,الكتله,DiseaseCondition,"""كتله""]|[""الكتلة""|الكتلة",0.0,,
ent_merge_000173,الكلوي,الكلوي,DiseaseCondition,"[""الكلوي""]|الكلوي",0.0,,
ent_merge_000174,الكولسترول,الكولسترول,DiseaseCondition,"[""الكولسترول""]|الكولسترول",0.0,,
ent_merge_000175,الكوليسترول,الكوليسترول,DiseaseCondition,"[""الكوليسترول""]|الكوليسترول",0.0,,
ent_merge_000176,اللقمة الهستيريائية,اللقمه الهستيرياييه,DiseaseCondition,"[""اللقمة الهستيريائية""]|اللقمة الهستيريائية",0.0,,
ent_merge_000177,المبيضات,المبيضات,DiseaseCondition,"[""المبيضات""]|المبيضات",0.0,,
ent_merge_000178,المرارة,المراره,DiseaseCondition,"""المراره""]|[""المرارة""|المرارة",0.0,,
ent_merge_000179,المرض,المرض,DiseaseCondition,"[""المرض""]|المرض",0.0,,
ent_merge_000180,المناعة,المناعه,DiseaseCondition,"""مناعة""]|[""المناعة""|المناعة",0.0,,
ent_merge_000181,النقرس,النقرس,DiseaseCondition,"""نقرس في المفاصل""]|""نقرس""|[""النقرس""|[""النقرس""]|النقرس",0.0,,
ent_merge_000182,النكاف,النكاف,DiseaseCondition,"[""النكاف""]|النكاف",0.0,,
ent_merge_000183,النواة اللبية,النواه اللبيه,DiseaseCondition,"[""النواة اللبية""]|النواة اللبية",0.0,,
ent_merge_000184,الهالات السوداء,الهالات السوداء,DiseaseCondition,"[""الهالات السوداء""]|الهالات السوداء",0.0,,
ent_merge_000185,الهرمون,الهرمون,DiseaseCondition,"[""الهرمون""]|الهرمون",0.0,,
ent_merge_000186,الوتر,الوتر,DiseaseCondition,"[""الوتر""]|الوتر",0.0,,
ent_merge_000187,الوسواس,الوسواس,DiseaseCondition,"[""الوسواس""]|الوسواس",0.0,,
